time,San Antonio,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. L. Aldridge (D. Murray gains possession),,,,Jump ball: J. Henson vs. L. Aldridge (D. Murray gains possession)
11:46.0,L. Aldridge misses 2-pt shot from 16 ft,,0-0,,
11:42.0,Offensive rebound by K. Anderson,,0-0,,
11:29.0,L. Aldridge misses 2-pt shot from 10 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:11.0,,,0-0,,K. Middleton misses 3-pt shot from 26 ft
11:06.0,,,0-0,,Offensive rebound by J. Henson
11:02.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 6 ft
10:59.0,,,0-0,,Offensive rebound by K. Middleton
10:57.0,,,0-2,2,K. Middleton makes 2-pt shot at rim
10:37.0,K. Anderson misses 2-pt shot from 8 ft,,0-2,,
10:35.0,,,0-2,,Defensive rebound by K. Middleton
10:32.0,,,0-4,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
10:08.0,P. Mills makes 3-pt shot from 26 ft (assist by L. Aldridge),3,3-4,,
9:44.0,,,3-4,,J. Henson misses 2-pt shot from 3 ft
9:42.0,Defensive rebound by D. Murray,,3-4,,
9:22.0,P. Mills misses 2-pt shot from 18 ft,,3-4,,
9:19.0,,,3-4,,Defensive rebound by K. Middleton
9:11.0,,,3-4,,J. Terry misses 3-pt shot from 26 ft
9:08.0,Defensive rebound by D. Green,,3-4,,
8:54.0,D. Murray misses 2-pt shot from 10 ft,,3-4,,
8:52.0,,,3-4,,Defensive rebound by K. Middleton
8:49.0,,,3-6,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
8:49.0,San Antonio full timeout,,3-6,,
8:28.0,Turnover by D. Green (bad pass; steal by J. Henson),,3-6,,
8:24.0,,,3-8,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
7:59.0,D. Murray misses 2-pt shot from 14 ft,,3-8,,
7:57.0,,,3-8,,Defensive rebound by G. Antetokounmpo
7:51.0,,,3-8,,K. Middleton misses 3-pt shot from 27 ft
7:48.0,Defensive rebound by D. Murray,,3-8,,
7:46.0,Turnover by D. Green (traveling),,3-8,,
7:36.0,,,3-8,,Turnover by J. Henson (bad pass)
7:16.0,P. Mills misses 3-pt shot from 27 ft,,3-8,,
7:12.0,,,3-8,,Defensive rebound by G. Antetokounmpo
7:04.0,,,3-8,,Turnover by J. Henson (traveling)
6:51.0,D. Green misses 3-pt shot from 22 ft,,3-8,,
6:48.0,,,3-8,,Defensive rebound by J. Henson
6:39.0,,,3-8,,T. Snell enters the game for J. Terry
6:39.0,T. Parker enters the game for D. Murray,,3-8,,
6:37.0,,,3-8,,Offensive charge foul by E. Bledsoe (drawn by K. Anderson)
6:37.0,,,3-8,,Turnover by E. Bledsoe (offensive foul)
6:19.0,L. Aldridge makes 2-pt shot from 11 ft,2,5-8,,
5:59.0,,,5-8,,Turnover by G. Antetokounmpo (bad pass; steal by K. Anderson)
5:49.0,D. Green misses 3-pt shot from 27 ft,,5-8,,
5:47.0,,,5-8,,Defensive rebound by G. Antetokounmpo
5:41.0,,,5-10,2,E. Bledsoe makes 2-pt shot from 2 ft
5:27.0,L. Aldridge misses 2-pt shot from 4 ft,,5-10,,
5:21.0,Offensive rebound by K. Anderson,,5-10,,
5:21.0,K. Anderson makes 2-pt shot at rim,2,7-10,,
5:15.0,,,7-13,3,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by T. Snell)
4:55.0,P. Mills misses 3-pt shot from 26 ft,,7-13,,
4:48.0,Offensive rebound by D. Green,,7-13,,
4:48.0,D. Green misses 2-pt shot at rim,,7-13,,
4:48.0,Offensive rebound by D. Green,,7-13,,
4:38.0,L. Aldridge makes 2-pt shot from 16 ft,2,9-13,,
4:18.0,,,9-15,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
3:59.0,D. Green misses 3-pt shot from 27 ft,,9-15,,
3:57.0,,,9-15,,Defensive rebound by E. Bledsoe
3:55.0,,,9-17,2,K. Middleton makes 2-pt shot at rim (assist by E. Bledsoe)
3:55.0,San Antonio full timeout,,9-17,,
3:55.0,,,9-17,,J. Parker enters the game for J. Henson
3:55.0,,,9-17,,T. Maker enters the game for G. Antetokounmpo
3:55.0,B. Forbes enters the game for K. Anderson,,9-17,,
3:55.0,M. Ginobili enters the game for P. Mills,,9-17,,
3:55.0,R. Gay enters the game for L. Aldridge,,9-17,,
3:55.0,P. Gasol enters the game for D. Green,,9-17,,
3:35.0,T. Parker misses 2-pt shot from 19 ft,,9-17,,
3:32.0,,,9-17,,Defensive rebound by T. Snell
3:26.0,,,9-17,,E. Bledsoe misses 2-pt shot from 14 ft
3:24.0,,,9-17,,Offensive rebound by T. Maker
3:19.0,,,9-19,2,T. Maker makes 2-pt shot from 15 ft (assist by J. Parker)
2:59.0,Turnover by T. Parker (bad pass; steal by K. Middleton),,9-19,,
2:56.0,,,9-21,2,T. Maker makes 2-pt shot at rim (assist by K. Middleton)
2:45.0,,,9-21,,Personal foul by E. Bledsoe (drawn by R. Gay)
2:45.0,,,9-21,,B. Jennings enters the game for E. Bledsoe
2:36.0,R. Gay misses 2-pt shot from 2 ft,,9-21,,
2:29.0,Offensive rebound by R. Gay,,9-21,,
2:29.0,R. Gay makes 2-pt shot at rim,2,11-21,,
2:19.0,,,11-21,,K. Middleton misses 2-pt shot from 17 ft
2:15.0,Defensive rebound by T. Parker,,11-21,,
2:04.0,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Gasol),2,13-21,,
1:54.0,,,13-24,3,J. Parker makes 3-pt shot from 26 ft (assist by T. Snell)
1:41.0,Turnover by T. Parker (bad pass; steal by K. Middleton),,13-24,,
1:41.0,Personal foul by M. Ginobili (drawn by K. Middleton),,13-24,,
1:28.0,,,13-26,2,J. Parker makes 2-pt shot from 17 ft
1:04.0,Offensive charge foul by P. Gasol (drawn by T. Maker),,13-26,,
1:04.0,Turnover by P. Gasol (offensive foul),,13-26,,
0:53.0,,,13-26,,J. Parker misses 2-pt shot from 15 ft
0:51.0,Defensive rebound by P. Gasol,,13-26,,
