time,Toronto,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. S. Ibaka (B. Ingram gains possession),,,,Jump ball: B. Lopez vs. S. Ibaka (B. Ingram gains possession)
11:38.0,,,0-0,,K. Caldwell-Pope misses 2-pt shot from 16 ft
11:34.0,Defensive rebound by K. Lowry,,0-0,,
11:18.0,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry),2,2-0,,
11:03.0,,,2-0,,B. Ingram misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by P. Siakam,,2-0,,
10:54.0,P. Siakam makes 3-pt shot from 24 ft (assist by K. Lowry),3,5-0,,
10:40.0,,,5-2,2,B. Lopez makes 2-pt shot at rim (assist by B. Ingram)
10:22.0,Turnover by D. DeRozan (bad pass; steal by L. Ball),,5-2,,
10:17.0,,,5-4,2,L. Nance makes 2-pt shot at rim (assist by L. Ball)
10:03.0,S. Ibaka makes 2-pt shot from 16 ft (assist by D. DeRozan),2,7-4,,
9:48.0,,,7-4,,B. Lopez misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by S. Ibaka,,7-4,,
9:32.0,S. Ibaka makes 2-pt shot from 11 ft (assist by K. Lowry),2,9-4,,
9:20.0,,,9-4,,Turnover by B. Ingram (lost ball; steal by K. Lowry)
9:16.0,N. Powell misses 3-pt shot from 25 ft,,9-4,,
9:09.0,,,9-4,,Defensive rebound by L. Ball
9:05.0,,,9-6,2,L. Nance makes 2-pt shot from 1 ft (assist by L. Ball)
8:51.0,P. Siakam misses 3-pt shot from 23 ft,,9-6,,
8:48.0,,,9-6,,Defensive rebound by B. Lopez
8:34.0,,,9-6,,B. Ingram misses 2-pt shot from 13 ft
8:28.0,Defensive rebound by P. Siakam,,9-6,,
8:14.0,S. Ibaka makes 2-pt shot from 12 ft (assist by N. Powell),2,11-6,,
8:02.0,Personal foul by P. Siakam (drawn by L. Nance),,11-6,,
7:53.0,,,11-6,,B. Ingram misses 2-pt shot from 9 ft
7:48.0,,,11-6,,Offensive rebound by B. Lopez
7:46.0,,,11-8,2,B. Lopez makes 2-pt shot from 4 ft
7:42.0,P. Siakam makes 2-pt shot at rim (assist by D. DeRozan),2,13-8,,
7:26.0,,,13-10,2,L. Ball makes 2-pt shot from 1 ft (assist by B. Lopez)
7:09.0,Turnover by D. DeRozan (bad pass; steal by L. Nance),,13-10,,
7:04.0,,,13-12,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by L. Nance)
6:39.0,K. Lowry misses 3-pt shot from 29 ft,,13-12,,
6:35.0,,,13-12,,Defensive rebound by K. Caldwell-Pope
6:19.0,,,13-12,,Turnover by B. Lopez (bad pass)
6:19.0,,,13-12,,LA Lakers full timeout
6:00.0,P. Siakam misses 3-pt shot from 24 ft,,13-12,,
5:56.0,,,13-12,,Defensive rebound by K. Caldwell-Pope
5:38.0,,,13-14,2,L. Nance makes 2-pt shot from 1 ft
5:18.0,D. DeRozan misses 2-pt shot from 16 ft,,13-14,,
5:14.0,,,13-14,,Defensive rebound by L. Ball
5:06.0,,,13-16,2,B. Lopez makes 2-pt shot from 2 ft (assist by L. Ball)
4:46.0,N. Powell misses 2-pt shot from 3 ft (block by B. Lopez),,13-16,,
4:42.0,,,13-16,,Defensive rebound by K. Caldwell-Pope
4:37.0,,,13-16,,L. Ball misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by P. Siakam,,13-16,,
4:22.0,P. Siakam makes 2-pt shot from 7 ft (assist by N. Powell),2,15-16,,
4:06.0,,,15-18,2,B. Ingram makes 2-pt shot from 15 ft
3:58.0,Shooting foul by L. Nance (drawn by D. DeRozan),,15-18,,
3:58.0,D. DeRozan misses free throw 1 of 2,,15-18,,
3:58.0,Offensive rebound by Team,,15-18,,
3:58.0,,,15-18,,J. Clarkson enters the game for B. Ingram
3:58.0,,,15-18,,K. Kuzma enters the game for L. Nance
3:58.0,C. Miles enters the game for P. Siakam,,15-18,,
3:58.0,J. Poeltl enters the game for N. Powell,,15-18,,
3:58.0,D. DeRozan makes free throw 2 of 2,1,16-18,,
3:43.0,,,16-18,,B. Lopez misses 2-pt shot from 3 ft
3:43.0,Defensive rebound by D. DeRozan,,16-18,,
3:33.0,J. Poeltl misses 2-pt shot from 9 ft,,16-18,,
3:31.0,,,16-18,,Defensive rebound by K. Caldwell-Pope
3:27.0,,,16-18,,B. Lopez misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by J. Poeltl,,16-18,,
3:09.0,S. Ibaka misses 3-pt shot from 25 ft,,16-18,,
3:05.0,,,16-18,,Defensive rebound by K. Caldwell-Pope
2:59.0,,,16-20,2,B. Lopez makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope)
2:53.0,Toronto full timeout,,16-20,,
2:53.0,,,16-20,,J. Randle enters the game for B. Lopez
2:53.0,D. Wright enters the game for K. Lowry,,16-20,,
2:53.0,O. Anunoby enters the game for S. Ibaka,,16-20,,
2:44.0,C. Miles misses 3-pt shot from 25 ft,,16-20,,
2:40.0,,,16-20,,Defensive rebound by L. Ball
2:19.0,,,16-22,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
1:58.0,O. Anunoby misses 2-pt shot from 2 ft,,16-22,,
1:55.0,,,16-22,,Defensive rebound by K. Kuzma
1:49.0,,,16-22,,J. Clarkson misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by D. DeRozan,,16-22,,
1:38.0,O. Anunoby misses 3-pt shot from 22 ft,,16-22,,
1:36.0,,,16-22,,Defensive rebound by Team
1:36.0,,,16-22,,C. Brewer enters the game for K. Caldwell-Pope
1:36.0,,,16-22,,J. Hart enters the game for L. Ball
1:25.0,,,16-22,,Turnover by J. Clarkson (bad pass; steal by O. Anunoby)
1:17.0,O. Anunoby misses 2-pt shot from 7 ft,,16-22,,
1:12.0,,,16-22,,Defensive rebound by K. Kuzma
1:10.0,,,16-22,,Shooting foul by D. Wright (drawn by J. Randle)
1:10.0,,,16-23,1,J. Randle makes free throw 1 of 2
1:10.0,F. VanVleet enters the game for D. DeRozan,,16-23,,
1:10.0,,,16-24,1,J. Randle makes free throw 2 of 2
1:01.0,,,16-24,,Personal foul by K. Kuzma (drawn by C. Miles)
0:57.0,,,16-24,,Personal foul by C. Brewer (drawn by C. Miles)
0:57.0,C. Miles misses free throw 2 of 2,,16-24,,
0:57.0,Offensive rebound by J. Poeltl,,16-24,,
