time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: E. Kanter vs. N. Vucevic (E. Payton gains possession)
11:45.0,A. Gordon misses 2-pt shot from 17 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by E. Kanter
11:32.0,,,0-0,,M. Beasley misses 2-pt shot from 7 ft
11:30.0,Defensive rebound by N. Vucevic,,0-0,,
11:24.0,A. Gordon makes 2-pt shot from 15 ft,2,2-0,,
11:03.0,,,2-0,,M. Beasley misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by N. Vucevic,,2-0,,
10:50.0,E. Payton makes 2-pt shot from 1 ft,2,4-0,,
10:38.0,,,4-2,2,C. Lee makes 2-pt shot from 16 ft
10:31.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,6-2,,
10:09.0,,,6-5,3,M. Beasley makes 3-pt shot from 25 ft (assist by C. Lee)
9:54.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,8-5,,
9:39.0,,,8-7,2,M. Beasley makes 2-pt shot from 1 ft (assist by J. Jack)
9:25.0,E. Fournier misses 2-pt shot from 1 ft,,8-7,,
9:23.0,,,8-7,,Defensive rebound by D. Dotson
9:16.0,,,8-7,,C. Lee misses 2-pt shot from 1 ft
9:15.0,,,8-7,,Offensive rebound by E. Kanter
9:15.0,,,8-9,2,E. Kanter makes 2-pt shot at rim
9:15.0,Orlando full timeout,,8-9,,
8:55.0,N. Vucevic makes 2-pt shot from 6 ft,2,10-9,,
8:35.0,,,10-9,,M. Beasley misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by N. Vucevic,,10-9,,
8:30.0,J. Simmons misses 2-pt shot from 2 ft (block by M. Beasley),,10-9,,
8:29.0,Offensive rebound by Team,,10-9,,
8:22.0,Shooting foul by C. Lee (drawn by E. Fournier),,10-9,,
8:22.0,E. Fournier makes free throw 1 of 2,1,11-9,,
8:22.0,E. Fournier makes free throw 2 of 2,1,12-9,,
8:07.0,,,12-11,2,J. Jack makes 2-pt shot at rim
7:48.0,Turnover by E. Fournier (lost ball; steal by E. Kanter),,12-11,,
7:41.0,,,12-11,,Turnover by E. Kanter (lost ball; steal by J. Simmons)
7:34.0,N. Vucevic makes 2-pt shot from 6 ft (assist by A. Gordon),2,14-11,,
7:14.0,,,14-13,2,M. Beasley makes 2-pt shot from 6 ft
7:01.0,A. Gordon misses 3-pt shot from 25 ft,,14-13,,
7:00.0,,,14-13,,Defensive rebound by E. Kanter
6:39.0,,,14-13,,E. Kanter misses 2-pt shot from 3 ft
6:37.0,Defensive rebound by N. Vucevic,,14-13,,
6:34.0,A. Gordon makes 3-pt shot from 25 ft,3,17-13,,
6:20.0,,,17-13,,J. Jack misses 2-pt shot from 12 ft
6:18.0,Defensive rebound by N. Vucevic,,17-13,,
6:10.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,19-13,,
5:55.0,,,19-13,,New York full timeout
5:55.0,,,19-13,,D. McDermott enters the game for C. Lee
5:42.0,,,19-15,2,E. Kanter makes 2-pt shot from 19 ft (assist by J. Jack)
5:13.0,E. Fournier misses 3-pt shot from 26 ft,,19-15,,
5:13.0,,,19-15,,Defensive rebound by D. McDermott
5:07.0,,,19-15,,D. Dotson misses 2-pt shot from 16 ft
5:07.0,Defensive rebound by N. Vucevic,,19-15,,
4:58.0,E. Payton makes 2-pt shot at rim,2,21-15,,
4:39.0,,,21-15,,Turnover by M. Beasley (lost ball; steal by E. Fournier)
4:30.0,Shooting foul by E. Kanter (drawn by N. Vucevic),,21-15,,
4:30.0,,,21-15,,L. Thomas enters the game for M. Beasley
4:30.0,N. Vucevic makes free throw 1 of 2,1,22-15,,
4:30.0,N. Vucevic makes free throw 2 of 2,1,23-15,,
4:09.0,,,23-15,,D. McDermott misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by J. Simmons,,23-15,,
3:54.0,J. Simmons makes 3-pt shot from 23 ft (assist by E. Fournier),3,26-15,,
3:39.0,,,26-17,2,J. Jack makes 2-pt shot from 8 ft
3:27.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,29-17,,
3:10.0,,,29-17,,D. Dotson misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by Team,,29-17,,
3:10.0,,,29-17,,K. O'Quinn enters the game for E. Kanter
3:10.0,,,29-17,,F. Ntilikina enters the game for J. Jack
2:52.0,,,29-17,,Personal foul by F. Ntilikina (drawn by N. Vucevic)
2:52.0,A. Afflalo enters the game for J. Simmons,,29-17,,
2:41.0,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Fournier),2,31-17,,
2:21.0,,,31-17,,L. Thomas misses 2-pt shot from 8 ft
2:20.0,Defensive rebound by A. Gordon,,31-17,,
2:16.0,E. Payton makes 2-pt shot from 3 ft (assist by A. Gordon),2,33-17,,
2:16.0,Shooting foul by D. McDermott (drawn by E. Payton),,33-17,,
2:16.0,,,33-17,,C. Lee enters the game for D. Dotson
2:16.0,E. Payton makes free throw 1 of 1,1,34-17,,
2:04.0,,,34-17,,D. McDermott misses 2-pt shot from 1 ft
2:02.0,,,34-17,,Offensive rebound by L. Thomas
2:02.0,,,34-19,2,L. Thomas makes 2-pt shot at rim
1:51.0,N. Vucevic misses 3-pt shot from 25 ft,,34-19,,
1:51.0,,,34-19,,Defensive rebound by C. Lee
1:40.0,,,34-19,,D. McDermott misses 2-pt shot from 1 ft (block by N. Vucevic)
1:38.0,Defensive rebound by E. Payton,,34-19,,
1:20.0,E. Fournier misses 2-pt shot from 9 ft,,34-19,,
1:18.0,Offensive rebound by N. Vucevic,,34-19,,
1:18.0,N. Vucevic makes 2-pt shot at rim,2,36-19,,
1:02.0,,,36-19,,Shooting foul by N. Vucevic (drawn by L. Thomas)
1:02.0,,,36-20,1,L. Thomas makes free throw 1 of 2
1:02.0,B. Biyombo enters the game for E. Payton,,36-20,,
1:02.0,D. Augustin enters the game for N. Vucevic,,36-20,,
1:02.0,,,36-21,1,L. Thomas makes free throw 2 of 2
0:50.0,B. Biyombo misses 2-pt shot from 5 ft,,36-21,,
0:48.0,,,36-21,,Defensive rebound by K. O'Quinn
