time,Chicago,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Felicio (T. Gibson gains possession),,,,Jump ball: K. Towns vs. C. Felicio (T. Gibson gains possession)
11:46.0,,,0-0,,K. Towns misses 2-pt shot from 6 ft
11:43.0,Defensive rebound by Z. LaVine,,0-0,,
11:36.0,C. Felicio misses 2-pt shot from 5 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by T. Gibson
11:30.0,,,0-0,,J. Teague misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by L. Markkanen,,0-0,,
11:18.0,Z. LaVine makes 2-pt shot from 1 ft,2,2-0,,
10:52.0,,,2-0,,A. Wiggins misses 2-pt shot from 11 ft
10:50.0,Defensive rebound by K. Dunn,,2-0,,
10:46.0,Turnover by K. Dunn (bad pass),,2-0,,
10:35.0,,,2-2,2,A. Wiggins makes 2-pt shot at rim (assist by N. Bjelica)
10:20.0,K. Dunn makes 2-pt shot from 21 ft,2,4-2,,
10:04.0,,,4-5,3,J. Teague makes 3-pt shot from 25 ft (assist by A. Wiggins)
10:00.0,Turnover by K. Dunn (bad pass),,4-5,,
9:48.0,,,4-5,,K. Towns misses 2-pt shot from 2 ft (block by L. Markkanen)
9:48.0,Defensive rebound by D. Nwaba,,4-5,,
9:43.0,K. Dunn misses 3-pt shot from 25 ft,,4-5,,
9:43.0,,,4-5,,Defensive rebound by J. Teague
9:37.0,,,4-5,,N. Bjelica misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by K. Dunn,,4-5,,
9:28.0,K. Dunn makes 2-pt shot from 17 ft,2,6-5,,
9:20.0,,,6-7,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
8:59.0,K. Dunn misses 2-pt shot from 2 ft (block by J. Teague),,6-7,,
8:56.0,,,6-7,,Defensive rebound by J. Teague
8:53.0,,,6-7,,J. Teague misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by L. Markkanen,,6-7,,
8:43.0,Z. LaVine misses 3-pt shot from 26 ft,,6-7,,
8:39.0,,,6-7,,Defensive rebound by N. Bjelica
8:29.0,,,6-9,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
8:04.0,Z. LaVine misses 2-pt shot from 17 ft,,6-9,,
8:02.0,,,6-9,,Defensive rebound by T. Gibson
7:52.0,,,6-12,3,N. Bjelica makes 3-pt shot from 24 ft (assist by J. Teague)
7:35.0,D. Nwaba misses 3-pt shot from 22 ft,,6-12,,
7:32.0,,,6-12,,Defensive rebound by T. Gibson
7:26.0,,,6-14,2,A. Wiggins makes 2-pt shot at rim
7:26.0,Chicago full timeout,,6-14,,
7:11.0,L. Markkanen misses 2-pt shot from 12 ft,,6-14,,
7:10.0,Offensive rebound by C. Felicio,,6-14,,
7:08.0,Turnover by C. Felicio (bad pass; steal by J. Teague),,6-14,,
7:03.0,,,6-14,,Turnover by J. Teague (out of bounds lost ball)
6:55.0,,,6-14,,Personal foul by T. Gibson (drawn by L. Markkanen)
6:52.0,K. Dunn misses 2-pt shot from 1 ft,,6-14,,
6:50.0,,,6-14,,Defensive rebound by J. Teague
6:50.0,Personal foul by K. Dunn (drawn by J. Teague),,6-14,,
6:42.0,,,6-17,3,J. Teague makes 3-pt shot from 24 ft
6:25.0,Z. LaVine makes 2-pt shot from 8 ft,2,8-17,,
6:10.0,,,8-17,,T. Gibson misses 2-pt shot from 11 ft
6:06.0,Defensive rebound by D. Nwaba,,8-17,,
6:03.0,D. Nwaba makes 2-pt shot from 1 ft (assist by C. Felicio),2,10-17,,
5:43.0,,,10-17,,J. Teague misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by D. Nwaba,,10-17,,
5:37.0,Shooting foul by N. Bjelica (drawn by Z. LaVine),,10-17,,
5:37.0,Z. LaVine makes free throw 1 of 2,1,11-17,,
5:37.0,Z. LaVine makes free throw 2 of 2,1,12-17,,
5:27.0,,,12-17,,A. Wiggins misses 3-pt shot from 22 ft
5:24.0,Defensive rebound by K. Dunn,,12-17,,
5:20.0,K. Dunn misses 3-pt shot from 25 ft,,12-17,,
5:20.0,,,12-17,,Defensive rebound by J. Teague
5:11.0,,,12-19,2,A. Wiggins makes 2-pt shot from 9 ft
