time,Minnesota,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Towns (T. Gibson gains possession),,,,Jump ball: A. Davis vs. K. Towns (T. Gibson gains possession)
11:45.0,K. Towns misses 2-pt shot from 7 ft (block by A. Davis),,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Davis
11:33.0,,,0-0,,Turnover by D. Cousins (lost ball; steal by T. Gibson)
11:28.0,J. Butler makes 2-pt shot from 2 ft,2,2-0,,
11:24.0,,,2-0,,Shooting foul by K. Towns (drawn by D. Cousins)
11:24.0,,,2-1,1,D. Cousins makes free throw 1 of 2
11:24.0,,,2-2,1,D. Cousins makes free throw 2 of 2
11:03.0,T. Gibson makes 2-pt shot from 12 ft (assist by J. Butler),2,4-2,,
10:42.0,,,4-2,,E. Moore misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by J. Butler,,4-2,,
10:24.0,T. Gibson makes 2-pt shot from 3 ft (assist by J. Teague),2,6-2,,
10:07.0,,,6-2,,D. Cousins misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by J. Butler,,6-2,,
9:55.0,J. Butler misses 2-pt shot from 13 ft,,6-2,,
9:55.0,Offensive rebound by T. Gibson,,6-2,,
9:47.0,T. Gibson makes 2-pt shot at rim,2,8-2,,
9:32.0,,,8-2,,Turnover by E. Moore (bad pass; steal by J. Butler)
9:26.0,K. Towns misses 2-pt shot from 2 ft,,8-2,,
9:19.0,,,8-2,,Defensive rebound by A. Davis
9:14.0,,,8-4,2,J. Holiday makes 2-pt shot from 5 ft
9:10.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague),2,10-4,,
9:10.0,Shooting foul by D. Cunningham (drawn by J. Butler),,10-4,,
9:10.0,J. Butler makes free throw 1 of 1,1,11-4,,
9:01.0,,,11-6,2,D. Cousins makes 2-pt shot from 4 ft (assist by A. Davis)
8:49.0,A. Wiggins misses 2-pt shot from 14 ft,,11-6,,
8:49.0,,,11-6,,Defensive rebound by D. Cousins
8:37.0,,,11-6,,J. Holiday misses 2-pt shot from 13 ft
8:37.0,,,11-6,,Offensive rebound by A. Davis
8:32.0,,,11-8,2,A. Davis makes 2-pt shot from 10 ft
8:15.0,J. Teague makes 2-pt shot from 2 ft,2,13-8,,
7:58.0,,,13-8,,A. Davis misses 2-pt shot from 12 ft
7:58.0,Defensive rebound by K. Towns,,13-8,,
7:50.0,Turnover by J. Teague (bad pass; steal by E. Moore),,13-8,,
7:33.0,,,13-8,,Shooting foul by T. Gibson (drawn by D. Cousins)
7:33.0,,,13-9,1,D. Cousins makes free throw 1 of 2
7:33.0,,,13-10,1,D. Cousins makes free throw 2 of 2
7:24.0,A. Wiggins misses 3-pt shot from 29 ft,,13-10,,
7:20.0,,,13-10,,Defensive rebound by D. Cousins
7:12.0,,,13-10,,Turnover by D. Cousins (bad pass)
7:03.0,Turnover by J. Teague (bad pass; steal by E. Moore),,13-10,,
6:56.0,,,13-10,,D. Cunningham misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by K. Towns,,13-10,,
6:50.0,,,13-10,,Personal foul by E. Moore (drawn by A. Wiggins)
6:50.0,,,13-10,,New Orleans full timeout
6:39.0,J. Butler makes 2-pt shot from 12 ft,2,15-10,,
6:14.0,,,15-10,,D. Cunningham misses 3-pt shot from 26 ft
6:14.0,Defensive rebound by T. Gibson,,15-10,,
5:50.0,K. Towns misses 2-pt shot from 2 ft,,15-10,,
5:50.0,Offensive rebound by Team,,15-10,,
5:47.0,Turnover by A. Wiggins (bad pass; steal by A. Davis),,15-10,,
5:41.0,,,15-10,,Turnover by E. Moore (lost ball; steal by J. Butler)
5:36.0,T. Gibson makes 3-pt shot from 22 ft (assist by J. Teague),3,18-10,,
5:25.0,,,18-12,2,J. Holiday makes 2-pt shot at rim
5:09.0,Offensive charge foul by K. Towns (drawn by D. Cousins),,18-12,,
5:09.0,Turnover by K. Towns (offensive foul),,18-12,,
5:09.0,,,18-12,,C. Diallo enters the game for D. Cousins
5:09.0,,,18-12,,J. Nelson enters the game for E. Moore
5:09.0,G. Dieng enters the game for K. Towns,,18-12,,
4:56.0,,,18-12,,D. Cunningham misses 2-pt shot from 11 ft
4:56.0,Defensive rebound by A. Wiggins,,18-12,,
4:41.0,J. Teague makes 2-pt shot from 2 ft,2,20-12,,
4:34.0,,,20-12,,Shooting foul by T. Gibson (drawn by A. Davis)
4:34.0,,,20-13,1,A. Davis makes free throw 1 of 2
4:34.0,,,20-14,1,A. Davis makes free throw 2 of 2
4:13.0,G. Dieng misses 3-pt shot from 24 ft,,20-14,,
4:13.0,,,20-14,,Defensive rebound by A. Davis
4:07.0,,,20-14,,Turnover by D. Cunningham (out of bounds lost ball)
3:53.0,Turnover by J. Butler (lost ball; steal by A. Davis),,20-14,,
3:48.0,,,20-16,2,J. Holiday makes 2-pt shot at rim (assist by A. Davis)
3:43.0,A. Wiggins makes 2-pt shot from 2 ft,2,22-16,,
3:43.0,Shooting foul by A. Davis (drawn by A. Wiggins),,22-16,,
3:43.0,N. Bjelica enters the game for T. Gibson,,22-16,,
3:43.0,A. Wiggins misses free throw 1 of 1,,22-16,,
3:37.0,Offensive rebound by G. Dieng,,22-16,,
3:37.0,Turnover by J. Butler (traveling),,22-16,,
3:18.0,,,22-18,2,A. Davis makes 2-pt shot from 1 ft
3:07.0,J. Teague misses 3-pt shot from 26 ft,,22-18,,
3:07.0,,,22-18,,Defensive rebound by C. Diallo
2:52.0,,,22-20,2,C. Diallo makes 2-pt shot from 1 ft (assist by J. Holiday)
2:43.0,A. Wiggins misses 3-pt shot from 25 ft,,22-20,,
2:43.0,,,22-20,,Defensive rebound by C. Diallo
