time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. W. Cauley-Stein (L. Ball gains possession),,,,Jump ball: B. Lopez vs. W. Cauley-Stein (L. Ball gains possession)
11:46.0,,,0-3,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by L. Ball)
11:30.0,Shooting foul by B. Lopez (drawn by W. Cauley-Stein),,0-3,,
11:30.0,W. Cauley-Stein makes free throw 1 of 2,1,1-3,,
11:30.0,W. Cauley-Stein misses free throw 2 of 2,,1-3,,
11:27.0,,,1-3,,Defensive rebound by J. Randle
11:20.0,,,1-3,,Turnover by B. Ingram (bad pass; steal by D. Fox)
11:13.0,D. Fox makes 2-pt shot from 1 ft,2,3-3,,
11:03.0,,,3-5,2,B. Ingram makes 2-pt shot from 2 ft
10:52.0,D. Fox misses 2-pt shot from 4 ft,,3-5,,
10:50.0,,,3-5,,Defensive rebound by L. Ball
10:47.0,,,3-5,,B. Lopez misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by Z. Randolph,,3-5,,
10:31.0,Turnover by Z. Randolph (bad pass),,3-5,,
10:23.0,,,3-5,,L. Ball misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by Z. Randolph,,3-5,,
10:09.0,D. Fox makes 3-pt shot from 25 ft (assist by Z. Randolph),3,6-5,,
9:54.0,,,6-7,2,B. Lopez makes 2-pt shot from 10 ft
9:32.0,M. Richardson misses 2-pt shot from 14 ft (block by B. Ingram),,6-7,,
9:32.0,Offensive rebound by Team,,6-7,,
9:30.0,Z. Randolph misses 2-pt shot from 18 ft,,6-7,,
9:26.0,,,6-7,,Defensive rebound by L. Ball
9:17.0,,,6-10,3,J. Randle makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
9:06.0,Turnover by D. Fox (bad pass; steal by K. Caldwell-Pope),,6-10,,
9:03.0,,,6-10,,Shooting foul by B. Hield (drawn by J. Randle)
9:03.0,,,6-11,1,J. Randle makes free throw 1 of 2
9:03.0,,,6-12,1,J. Randle makes free throw 2 of 2
8:42.0,Z. Randolph misses 2-pt shot from 10 ft,,6-12,,
8:38.0,,,6-12,,Defensive rebound by B. Ingram
