time,Portland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: A. Baynes vs. J. Nurkic (D. Lillard gains possession)
11:45.0,Turnover by C. McCollum (bad pass),,0-0,,
11:32.0,,,0-0,,A. Baynes misses 2-pt shot from 19 ft
11:30.0,,,0-0,,Offensive rebound by Team
11:27.0,,,0-2,2,J. Tatum makes 2-pt shot from 19 ft
11:10.0,C. McCollum makes 2-pt shot from 12 ft (assist by D. Lillard),2,2-2,,
10:52.0,,,2-5,3,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford)
10:33.0,A. Aminu misses 2-pt shot from 2 ft,,2-5,,
10:31.0,,,2-5,,Defensive rebound by A. Horford
10:25.0,,,2-5,,T. Rozier misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by A. Aminu,,2-5,,
10:15.0,D. Lillard misses 2-pt shot from 1 ft (block by A. Baynes),,2-5,,
10:13.0,Offensive rebound by D. Lillard,,2-5,,
10:07.0,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard),2,4-5,,
9:55.0,,,4-5,,J. Tatum misses 2-pt shot from 18 ft
9:51.0,Defensive rebound by D. Lillard,,4-5,,
9:45.0,A. Aminu misses 3-pt shot from 27 ft,,4-5,,
9:43.0,,,4-5,,Defensive rebound by J. Brown
9:28.0,,,4-5,,A. Baynes misses 2-pt shot from 17 ft
9:28.0,Defensive rebound by E. Turner,,4-5,,
9:19.0,E. Turner misses 2-pt shot from 14 ft,,4-5,,
9:16.0,,,4-5,,Defensive rebound by A. Baynes
9:10.0,,,4-5,,J. Brown misses 2-pt shot from 3 ft
9:07.0,Defensive rebound by A. Aminu,,4-5,,
8:50.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,6-5,,
8:36.0,,,6-5,,T. Rozier misses 3-pt shot from 26 ft
8:33.0,Defensive rebound by E. Turner,,6-5,,
8:27.0,A. Aminu makes 3-pt shot from 22 ft (assist by E. Turner),3,9-5,,
8:02.0,,,9-5,,J. Tatum misses 2-pt shot from 18 ft
7:59.0,Defensive rebound by C. McCollum,,9-5,,
7:48.0,J. Nurkic makes 2-pt shot from 2 ft (assist by A. Aminu),2,11-5,,
7:28.0,,,11-5,,A. Horford misses 2-pt shot from 10 ft (block by D. Lillard)
