time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Capela (P. Tucker gains possession),,,,Jump ball: K. Towns vs. C. Capela (P. Tucker gains possession)
11:36.0,J. Harden misses 2-pt shot from 2 ft,,0-0,,
11:33.0,Offensive rebound by C. Capela,,0-0,,
11:33.0,C. Capela misses 2-pt shot at rim,,0-0,,
11:32.0,,,0-0,,Defensive rebound by T. Gibson
11:14.0,,,0-2,2,K. Towns makes 2-pt shot from 9 ft (assist by J. Butler)
11:01.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by A. Wiggins),,0-2,,
11:01.0,,,0-2,,Defensive rebound by K. Towns
10:48.0,,,0-4,2,J. Butler makes 2-pt shot from 11 ft (assist by K. Towns)
10:34.0,Turnover by J. Harden (bad pass; steal by K. Towns),,0-4,,
10:30.0,,,0-7,3,J. Teague makes 3-pt shot from 25 ft (assist by J. Butler)
10:11.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,0-7,,
10:10.0,,,0-7,,Defensive rebound by K. Towns
9:49.0,,,0-7,,A. Wiggins misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by J. Harden,,0-7,,
9:44.0,Offensive charge foul by L. Mbah a Moute (drawn by J. Teague),,0-7,,
9:44.0,Turnover by L. Mbah a Moute (offensive foul),,0-7,,
9:31.0,,,0-7,,Turnover by K. Towns (traveling)
9:20.0,P. Tucker makes 3-pt shot from 26 ft (assist by C. Paul),3,3-7,,
8:57.0,,,3-7,,Minnesota full timeout
8:54.0,,,3-7,,J. Teague misses 3-pt shot from 25 ft (block by J. Harden)
8:53.0,,,3-7,,Offensive rebound by Team
8:53.0,,,3-7,,Turnover by Team (shot clock)
8:35.0,C. Paul makes 2-pt shot from 15 ft,2,5-7,,
8:18.0,,,5-7,,T. Gibson misses 2-pt shot at rim
8:16.0,Defensive rebound by J. Harden,,5-7,,
8:03.0,J. Harden misses 2-pt shot at rim,,5-7,,
8:01.0,,,5-7,,Defensive rebound by J. Butler
7:46.0,,,5-9,2,J. Butler makes 2-pt shot from 12 ft (assist by J. Teague)
7:24.0,C. Paul makes 2-pt shot from 19 ft,2,7-9,,
7:05.0,,,7-11,2,K. Towns makes 2-pt shot from 1 ft
6:48.0,C. Paul misses 2-pt shot from 19 ft,,7-11,,
6:42.0,,,7-11,,Defensive rebound by J. Teague
6:40.0,,,7-14,3,J. Teague makes 3-pt shot from 24 ft
6:26.0,Turnover by L. Mbah a Moute (lost ball; steal by A. Wiggins),,7-14,,
6:26.0,Loose ball foul by L. Mbah a Moute (drawn by T. Gibson),,7-14,,
6:26.0,R. Anderson enters the game for P. Tucker,,7-14,,
6:26.0,E. Gordon enters the game for C. Paul,,7-14,,
6:13.0,,,7-14,,A. Wiggins misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by C. Capela,,7-14,,
6:05.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,9-14,,
6:05.0,Shooting foul by A. Wiggins (drawn by J. Harden),,9-14,,
6:05.0,G. Green enters the game for L. Mbah a Moute,,9-14,,
6:05.0,C. Capela misses free throw 1 of 1,,9-14,,
6:03.0,,,9-14,,Defensive rebound by J. Teague
5:52.0,,,9-14,,A. Wiggins misses 2-pt shot from 1 ft
5:48.0,,,9-14,,Offensive rebound by K. Towns
5:46.0,,,9-16,2,K. Towns makes 2-pt shot from 9 ft
5:39.0,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden),2,11-16,,
5:39.0,Shooting foul by A. Wiggins (drawn by C. Capela),,11-16,,
5:39.0,,,11-16,,J. Crawford enters the game for A. Wiggins
5:39.0,C. Capela makes free throw 1 of 1,1,12-16,,
5:33.0,,,12-18,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
5:33.0,,,12-18,,Shooting foul by G. Green (drawn by T. Gibson)
5:33.0,,,12-19,1,T. Gibson makes free throw 1 of 1
5:21.0,G. Green misses 3-pt shot from 22 ft,,12-19,,
5:18.0,,,12-19,,Defensive rebound by J. Teague
5:04.0,,,12-21,2,J. Butler makes 2-pt shot from 8 ft (assist by J. Teague)
4:42.0,J. Harden misses 2-pt shot from 8 ft,,12-21,,
4:39.0,,,12-21,,Defensive rebound by J. Butler
4:34.0,,,12-21,,J. Crawford misses 3-pt shot from 24 ft
4:32.0,,,12-21,,Offensive rebound by K. Towns
4:32.0,,,12-21,,Shooting foul by C. Capela (drawn by K. Towns)
4:32.0,,,12-22,1,K. Towns makes free throw 1 of 2
4:32.0,,,12-23,1,K. Towns makes free throw 2 of 2
4:32.0,N. Hilario enters the game for C. Capela,,12-23,,
4:24.0,J. Harden makes 2-pt shot from 1 ft,2,14-23,,
