time,Portland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Nurkic (C. McCollum gains possession),,,,Jump ball: S. Adams vs. J. Nurkic (C. McCollum gains possession)
11:41.0,D. Lillard misses 3-pt shot from 24 ft,,0-0,,
11:39.0,Offensive rebound by M. Harkless,,0-0,,
11:38.0,M. Harkless makes 2-pt shot from 1 ft,2,2-0,,
11:22.0,,,2-0,,P. George misses 2-pt shot from 7 ft
11:18.0,,,2-0,,Offensive rebound by S. Adams
11:18.0,,,2-0,,S. Adams misses 2-pt shot at rim
11:17.0,Defensive rebound by J. Nurkic,,2-0,,
11:09.0,C. McCollum makes 3-pt shot from 24 ft (assist by M. Harkless),3,5-0,,
10:44.0,,,5-0,,R. Westbrook misses 2-pt shot from 11 ft
10:42.0,Defensive rebound by J. Nurkic,,5-0,,
10:34.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,7-0,,
10:28.0,,,7-0,,P. George misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by A. Aminu,,7-0,,
10:15.0,M. Harkless misses 3-pt shot from 22 ft,,7-0,,
10:12.0,,,7-0,,Defensive rebound by C. Anthony
10:06.0,,,7-0,,C. Anthony misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by M. Harkless,,7-0,,
9:46.0,C. McCollum misses 2-pt shot from 15 ft,,7-0,,
9:43.0,,,7-0,,Defensive rebound by C. Anthony
9:39.0,,,7-0,,Shooting foul by J. Nurkic (drawn by S. Adams)
9:39.0,,,7-1,1,S. Adams makes free throw 1 of 2
9:39.0,,,7-2,1,S. Adams makes free throw 2 of 2
9:21.0,D. Lillard makes 2-pt shot from 14 ft (assist by M. Harkless),2,9-2,,
9:00.0,,,9-2,,C. Anthony misses 2-pt shot from 19 ft
8:57.0,Defensive rebound by C. McCollum,,9-2,,
8:47.0,J. Nurkic makes 2-pt shot at rim,2,11-2,,
8:35.0,,,11-2,,R. Westbrook misses 2-pt shot from 10 ft
8:34.0,Defensive rebound by J. Nurkic,,11-2,,
8:24.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Harkless),3,14-2,,
8:23.0,,,14-2,,Oklahoma City full timeout
8:07.0,,,14-4,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:49.0,A. Aminu makes 2-pt shot from 18 ft (assist by C. McCollum),2,16-4,,
7:25.0,,,16-6,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:07.0,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum),3,19-6,,
6:55.0,,,19-8,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
6:31.0,J. Nurkic misses 2-pt shot from 9 ft,,19-8,,
6:28.0,,,19-8,,Defensive rebound by C. Anthony
6:17.0,,,19-8,,C. Anthony misses 2-pt shot from 2 ft (block by M. Harkless)
6:16.0,,,19-8,,Offensive rebound by Team
6:08.0,,,19-8,,Turnover by S. Adams (lost ball; steal by J. Nurkic)
5:55.0,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard),3,22-8,,
5:42.0,,,22-8,,P. George misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by A. Aminu,,22-8,,
5:32.0,C. McCollum misses 3-pt shot from 24 ft,,22-8,,
5:28.0,,,22-8,,Defensive rebound by R. Westbrook
5:22.0,,,22-8,,P. George misses 2-pt shot from 4 ft (block by M. Harkless)
5:19.0,Defensive rebound by J. Nurkic,,22-8,,
5:13.0,D. Lillard makes 2-pt shot from 1 ft,2,24-8,,
4:52.0,,,24-10,2,C. Anthony makes 2-pt shot at rim
4:30.0,Shooting foul by C. Brewer (drawn by J. Nurkic),,24-10,,
4:30.0,J. Nurkic misses free throw 1 of 2,,24-10,,
4:30.0,Offensive rebound by Team,,24-10,,
4:30.0,,,24-10,,T. Ferguson enters the game for C. Brewer
4:30.0,P. Connaughton enters the game for M. Harkless,,24-10,,
4:30.0,E. Turner enters the game for C. McCollum,,24-10,,
4:30.0,J. Nurkic makes free throw 2 of 2,1,25-10,,
4:20.0,,,25-10,,R. Westbrook misses 2-pt shot from 17 ft
4:18.0,Defensive rebound by A. Aminu,,25-10,,
4:07.0,E. Turner misses 3-pt shot from 25 ft,,25-10,,
4:03.0,,,25-10,,Defensive rebound by P. George
3:50.0,,,25-10,,P. George misses 2-pt shot from 1 ft (block by J. Nurkic)
3:50.0,Defensive rebound by Team,,25-10,,
3:40.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,27-10,,
3:21.0,,,27-12,2,C. Anthony makes 2-pt shot from 2 ft
3:03.0,Turnover by J. Nurkic (bad pass; steal by R. Westbrook),,27-12,,
2:59.0,,,27-12,,R. Westbrook misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by P. Connaughton,,27-12,,
2:54.0,Portland full timeout,,27-12,,
2:54.0,,,27-12,,J. Grant enters the game for C. Anthony
2:54.0,E. Davis enters the game for A. Aminu,,27-12,,
2:54.0,Z. Collins enters the game for J. Nurkic,,27-12,,
2:47.0,E. Davis misses 2-pt shot from 2 ft,,27-12,,
2:43.0,Offensive rebound by P. Connaughton,,27-12,,
2:42.0,Z. Collins misses 3-pt shot from 24 ft,,27-12,,
2:40.0,,,27-12,,Defensive rebound by R. Westbrook
2:29.0,,,27-15,3,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook)
2:06.0,E. Turner misses 2-pt shot from 11 ft,,27-15,,
2:04.0,Offensive rebound by P. Connaughton,,27-15,,
1:55.0,D. Lillard misses 3-pt shot from 30 ft,,27-15,,
1:53.0,,,27-15,,Defensive rebound by J. Grant
1:46.0,,,27-15,,R. Felton enters the game for R. Westbrook
1:36.0,,,27-15,,R. Felton misses 3-pt shot from 22 ft
1:34.0,,,27-15,,Offensive rebound by S. Adams
1:28.0,,,27-15,,T. Ferguson misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by Z. Collins,,27-15,,
1:16.0,Shooting foul by J. Grant (drawn by D. Lillard),,27-15,,
1:16.0,D. Lillard makes free throw 1 of 3,1,28-15,,
1:16.0,D. Lillard makes free throw 2 of 3,1,29-15,,
1:16.0,,,29-15,,P. Patterson enters the game for S. Adams
1:16.0,D. Lillard makes free throw 3 of 3,1,30-15,,
1:10.0,,,30-15,,P. George misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by P. Connaughton,,30-15,,
1:02.0,,,30-15,,Personal foul by P. Patterson (drawn by D. Lillard)
1:02.0,D. Lillard makes free throw 1 of 2,1,31-15,,
1:02.0,D. Lillard makes free throw 2 of 2,1,32-15,,
0:49.0,,,32-17,2,P. George makes 2-pt shot from 1 ft
0:35.0,Turnover by D. Lillard (out of bounds lost ball),,32-17,,
0:30.0,,,32-17,,Turnover by P. George (bad pass; steal by D. Lillard)
0:11.0,D. Lillard misses 2-pt shot from 1 ft,,32-17,,
0:09.0,,,32-17,,Defensive rebound by T. Ferguson
0:04.0,,,32-17,,Turnover by P. George (lost ball; steal by D. Lillard)
0:01.0,D. Lillard makes 2-pt shot from 1 ft,2,34-17,,
0:00.0,,,34-17,,R. Felton misses 3-pt shot from 48 ft
0:00.0,,,34-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,34-17,,Shooting foul by S. Napier (drawn by J. Grant)
11:50.0,,,34-18,1,J. Grant makes free throw 1 of 2
11:50.0,,,34-18,,J. Grant misses free throw 2 of 2
11:47.0,Defensive rebound by S. Napier,,34-18,,
11:33.0,Turnover by E. Davis (lost ball; steal by R. Felton),,34-18,,
11:20.0,,,34-18,,T. Ferguson misses 3-pt shot from 22 ft
11:17.0,Defensive rebound by S. Napier,,34-18,,
10:59.0,S. Napier makes 2-pt shot from 13 ft,2,36-18,,
10:38.0,,,36-20,2,J. Grant makes 2-pt shot from 1 ft
10:22.0,E. Turner makes 2-pt shot at rim (assist by Z. Collins),2,38-20,,
10:22.0,,,38-20,,Oklahoma City full timeout
10:22.0,,,38-20,,A. Abrines enters the game for P. George
10:08.0,,,38-23,3,R. Felton makes 3-pt shot from 26 ft (assist by J. Grant)
9:41.0,Turnover by Z. Collins (bad pass; steal by P. Patterson),,38-23,,
9:29.0,,,38-25,2,R. Felton makes 2-pt shot from 18 ft
9:15.0,C. McCollum makes 2-pt shot from 8 ft,2,40-25,,
8:54.0,,,40-25,,R. Felton misses 2-pt shot from 1 ft (block by Z. Collins)
8:52.0,Defensive rebound by E. Davis,,40-25,,
8:46.0,E. Turner misses 2-pt shot from 7 ft,,40-25,,
8:44.0,,,40-25,,Defensive rebound by P. Patterson
8:33.0,,,40-27,2,J. Grant makes 2-pt shot from 1 ft
8:14.0,C. McCollum misses 3-pt shot from 24 ft,,40-27,,
8:11.0,Offensive rebound by S. Napier,,40-27,,
8:08.0,Z. Collins makes 2-pt shot from 4 ft (assist by S. Napier),2,42-27,,
