time,Memphis,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Gasol (J. Martin gains possession),,,,Jump ball: J. Henson vs. M. Gasol (J. Martin gains possession)
11:40.0,J. Ennis misses 3-pt shot from 26 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Henson
11:31.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 2 ft
11:27.0,Defensive rebound by J. Ennis,,0-0,,
11:16.0,M. Conley misses 2-pt shot from 14 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:04.0,,,0-2,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:42.0,J. Ennis makes 2-pt shot at rim (assist by M. Gasol),2,2-2,,
10:17.0,,,2-2,,G. Antetokounmpo misses 2-pt shot from 9 ft
10:17.0,,,2-2,,Offensive rebound by Team
9:51.0,M. Gasol makes 2-pt shot from 1 ft,2,4-2,,
9:44.0,,,4-2,,Turnover by T. Snell (bad pass; steal by D. Brooks)
9:44.0,,,4-2,,Violation by G. Antetokounmpo (def goaltending)
9:44.0,D. Brooks makes 2-pt shot from 1 ft,2,6-2,,
9:26.0,,,6-2,,K. Middleton misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by M. Gasol,,6-2,,
9:13.0,J. Martin misses 3-pt shot from 23 ft,,6-2,,
9:10.0,Offensive rebound by D. Brooks,,6-2,,
9:03.0,D. Brooks makes 3-pt shot from 27 ft (assist by M. Gasol),3,9-2,,
8:49.0,,,9-5,3,K. Middleton makes 3-pt shot from 22 ft (assist by T. Snell)
8:24.0,J. Martin misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,9-5,,
8:24.0,Offensive rebound by Team,,9-5,,
8:24.0,Turnover by Team (shot clock),,9-5,,
8:11.0,,,9-8,3,K. Middleton makes 3-pt shot from 25 ft (assist by T. Snell)
7:56.0,Turnover by M. Gasol (bad pass; steal by G. Antetokounmpo),,9-8,,
7:52.0,,,9-10,2,G. Antetokounmpo makes 2-pt shot at rim
7:38.0,Shooting foul by J. Henson (drawn by D. Brooks),,9-10,,
7:38.0,D. Brooks makes free throw 1 of 2,1,10-10,,
7:38.0,D. Brooks makes free throw 2 of 2,1,11-10,,
7:24.0,,,11-13,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by J. Henson)
7:17.0,,,11-13,,Personal foul by E. Bledsoe (drawn by M. Conley)
7:07.0,M. Conley misses 3-pt shot from 28 ft,,11-13,,
7:05.0,Offensive rebound by M. Gasol,,11-13,,
7:02.0,M. Gasol makes 2-pt shot from 1 ft,2,13-13,,
6:59.0,,,13-13,,Shooting foul by J. Martin (drawn by J. Henson)
6:59.0,,,13-13,,Milwaukee full timeout
6:59.0,,,13-13,,M. Brogdon enters the game for E. Bledsoe
6:51.0,,,13-13,,Turnover by K. Middleton (bad pass; steal by J. Martin)
6:46.0,M. Conley makes 3-pt shot from 27 ft,3,16-13,,
6:24.0,,,16-15,2,G. Antetokounmpo makes 2-pt shot from 18 ft
5:54.0,J. Martin makes 2-pt shot from 20 ft (assist by M. Conley),2,18-15,,
5:44.0,,,18-15,,K. Middleton misses 2-pt shot from 18 ft
5:41.0,Defensive rebound by M. Gasol,,18-15,,
5:33.0,M. Gasol misses 3-pt shot from 28 ft,,18-15,,
5:30.0,Offensive rebound by J. Ennis,,18-15,,
5:29.0,Turnover by M. Gasol (bad pass),,18-15,,
5:13.0,Personal foul by D. Brooks (drawn by M. Brogdon),,18-15,,
5:13.0,,,18-15,,T. Maker enters the game for J. Henson
5:13.0,M. Chalmers enters the game for M. Conley,,18-15,,
5:01.0,,,18-15,,Turnover by M. Brogdon (bad pass; steal by J. Ennis)
4:54.0,J. Ennis misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,18-15,,
4:47.0,,,18-15,,Defensive rebound by T. Maker
4:44.0,,,18-18,3,K. Middleton makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
4:32.0,D. Brooks misses 2-pt shot from 14 ft,,18-18,,
4:30.0,,,18-18,,Defensive rebound by K. Middleton
4:24.0,,,18-20,2,T. Snell makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:20.0,Memphis full timeout,,18-20,,
4:20.0,,,18-20,,D. Liggins enters the game for T. Snell
4:20.0,T. Evans enters the game for J. Ennis,,18-20,,
4:17.0,,,18-20,,Personal foul by M. Brogdon (drawn by M. Chalmers)
4:17.0,C. Parsons enters the game for J. Martin,,18-20,,
4:17.0,B. McLemore enters the game for D. Brooks,,18-20,,
4:03.0,Shooting foul by M. Brogdon (drawn by M. Chalmers),,18-20,,
4:03.0,M. Chalmers makes free throw 1 of 2,1,19-20,,
4:03.0,M. Chalmers makes free throw 2 of 2,1,20-20,,
3:53.0,,,20-23,3,M. Brogdon makes 3-pt shot from 26 ft
3:42.0,T. Evans misses 3-pt shot from 27 ft,,20-23,,
3:37.0,,,20-23,,Defensive rebound by G. Antetokounmpo
3:23.0,,,20-23,,G. Antetokounmpo misses 2-pt shot from 5 ft
3:20.0,Defensive rebound by M. Gasol,,20-23,,
3:04.0,M. Gasol makes 2-pt shot from 7 ft (assist by C. Parsons),2,22-23,,
2:53.0,,,22-25,2,M. Brogdon makes 2-pt shot from 15 ft
