time,Dallas,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Kleber (K. Bazemore gains possession),,,,Jump ball: M. Plumlee vs. M. Kleber (K. Bazemore gains possession)
11:45.0,,,0-2,2,E. Ilyasova makes 2-pt shot at rim (assist by K. Bazemore)
11:27.0,M. Kleber makes 2-pt shot at rim (assist by D. Smith),2,2-2,,
11:13.0,,,2-2,,Turnover by T. Waller-Prince (bad pass)
11:06.0,Shooting foul by M. Plumlee (drawn by M. Kleber),,2-2,,
11:06.0,M. Kleber makes free throw 1 of 2,1,3-2,,
11:06.0,M. Kleber makes free throw 2 of 2,1,4-2,,
10:52.0,,,4-4,2,T. Waller-Prince makes 2-pt shot from 7 ft
10:52.0,,,4-4,,Shooting foul by H. Barnes (drawn by T. Waller-Prince)
10:52.0,,,4-5,1,T. Waller-Prince makes free throw 1 of 1
10:33.0,D. Smith misses 2-pt shot from 17 ft,,4-5,,
10:29.0,,,4-5,,Defensive rebound by T. Waller-Prince
10:23.0,,,4-5,,D. Schroder misses 2-pt shot from 10 ft
10:19.0,Defensive rebound by D. Nowitzki,,4-5,,
10:10.0,Turnover by M. Kleber (bad pass; steal by E. Ilyasova),,4-5,,
10:05.0,,,4-7,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by D. Schroder)
9:46.0,W. Matthews misses 3-pt shot from 24 ft,,4-7,,
9:42.0,,,4-7,,Defensive rebound by E. Ilyasova
9:37.0,,,4-9,2,T. Waller-Prince makes 2-pt shot from 3 ft (assist by D. Schroder)
9:23.0,Dallas full timeout,,4-9,,
9:14.0,M. Kleber makes 2-pt shot at rim (assist by D. Smith),2,6-9,,
8:56.0,,,6-9,,D. Schroder misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by D. Nowitzki,,6-9,,
8:47.0,H. Barnes makes 2-pt shot from 19 ft (assist by D. Nowitzki),2,8-9,,
8:27.0,,,8-9,,T. Waller-Prince misses 2-pt shot from 18 ft
8:26.0,Defensive rebound by Team,,8-9,,
8:26.0,,,8-9,,Loose ball foul by M. Plumlee (drawn by D. Nowitzki)
8:13.0,,,8-9,,Personal foul by E. Ilyasova (drawn by W. Matthews)
8:01.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews),3,11-9,,
7:46.0,,,11-9,,Offensive charge foul by T. Waller-Prince (drawn by M. Kleber)
7:46.0,,,11-9,,Turnover by T. Waller-Prince (offensive foul)
7:35.0,D. Smith misses 2-pt shot at rim,,11-9,,
7:28.0,,,11-9,,Defensive rebound by T. Waller-Prince
7:27.0,,,11-12,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
7:06.0,D. Nowitzki misses 2-pt shot from 20 ft,,11-12,,
7:04.0,,,11-12,,Defensive rebound by K. Bazemore
6:58.0,,,11-12,,T. Waller-Prince misses 2-pt shot from 3 ft (block by M. Kleber)
6:54.0,Defensive rebound by H. Barnes,,11-12,,
6:47.0,D. Smith misses 3-pt shot from 26 ft,,11-12,,
6:42.0,,,11-12,,Defensive rebound by E. Ilyasova
6:28.0,,,11-14,2,E. Ilyasova makes 2-pt shot from 3 ft (assist by K. Bazemore)
6:28.0,,,11-14,,Shooting foul by W. Matthews (drawn by E. Ilyasova)
6:28.0,,,11-14,,J. Collins enters the game for M. Plumlee
6:28.0,Y. Ferrell enters the game for D. Nowitzki,,11-14,,
6:28.0,S. Mejri enters the game for D. Smith,,11-14,,
6:28.0,,,11-15,1,E. Ilyasova makes free throw 1 of 1
6:09.0,H. Barnes makes 2-pt shot from 1 ft,2,13-15,,
5:55.0,,,13-17,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
5:37.0,H. Barnes misses 2-pt shot from 12 ft,,13-17,,
5:33.0,,,13-17,,Defensive rebound by K. Bazemore
5:28.0,,,13-17,,K. Bazemore misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by S. Mejri,,13-17,,
5:19.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by S. Mejri),3,16-17,,
5:17.0,,,16-17,,Atlanta full timeout
5:17.0,,,16-17,,M. Belinelli enters the game for K. Bazemore
5:02.0,,,16-17,,M. Belinelli misses 2-pt shot from 17 ft
5:00.0,Defensive rebound by S. Mejri,,16-17,,
4:45.0,Y. Ferrell makes 2-pt shot from 14 ft (assist by H. Barnes),2,18-17,,
4:26.0,,,18-19,2,D. Schroder makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
4:10.0,Y. Ferrell misses 2-pt shot from 20 ft,,18-19,,
4:06.0,Offensive rebound by S. Mejri,,18-19,,
4:02.0,W. Matthews misses 3-pt shot from 22 ft,,18-19,,
3:56.0,,,18-19,,Defensive rebound by D. Schroder
3:40.0,,,18-19,,Turnover by T. Waller-Prince (bad pass; steal by W. Matthews)
3:33.0,H. Barnes misses 2-pt shot from 3 ft,,18-19,,
