time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. A. Drummond (T. Harris gains possession),,,,Jump ball: M. Turner vs. A. Drummond (T. Harris gains possession)
11:42.0,R. Jackson misses 3-pt shot from 26 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by T. Young
11:22.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 1 ft (block by L. Kennard)
11:22.0,,,0-0,,Offensive rebound by Team
11:16.0,,,0-2,2,D. Collison makes 2-pt shot from 1 ft
10:50.0,T. Harris misses 3-pt shot from 29 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by D. Collison
10:41.0,,,0-2,,V. Oladipo misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by A. Drummond,,0-2,,
10:33.0,Turnover by T. Harris (offensive foul),,0-2,,
10:23.0,,,0-2,,Turnover by D. Collison (step out of bounds)
9:58.0,A. Drummond makes 2-pt shot from 1 ft,2,2-2,,
9:35.0,,,2-2,,T. Young misses 2-pt shot from 6 ft
9:32.0,Defensive rebound by T. Harris,,2-2,,
9:18.0,T. Harris makes 3-pt shot from 23 ft (assist by L. Kennard),3,5-2,,
8:57.0,,,5-2,,Turnover by B. Bogdanovic (traveling)
8:47.0,L. Kennard misses 2-pt shot from 11 ft,,5-2,,
8:43.0,Offensive rebound by L. Kennard,,5-2,,
8:37.0,T. Harris misses 2-pt shot from 5 ft,,5-2,,
8:35.0,,,5-2,,Defensive rebound by V. Oladipo
8:31.0,,,5-2,,V. Oladipo misses 2-pt shot from 13 ft (block by R. Jackson)
8:31.0,Defensive rebound by Team,,5-2,,
8:17.0,T. Harris misses 3-pt shot from 21 ft,,5-2,,
8:13.0,,,5-2,,Defensive rebound by T. Young
8:05.0,,,5-2,,B. Bogdanovic misses 2-pt shot from 18 ft
8:03.0,Defensive rebound by A. Drummond,,5-2,,
7:53.0,A. Drummond misses 2-pt shot at rim,,5-2,,
7:52.0,Offensive rebound by Team,,5-2,,
7:51.0,L. Kennard makes 2-pt shot from 15 ft (assist by R. Jackson),2,7-2,,
7:25.0,,,7-2,,V. Oladipo misses 2-pt shot from 17 ft (block by R. Bullock)
7:22.0,Defensive rebound by A. Drummond,,7-2,,
7:16.0,R. Jackson misses 2-pt shot from 20 ft,,7-2,,
7:09.0,Jump ball: M. Turner vs. A. Drummond (B. Bogdanovic gains possession),,,,Jump ball: M. Turner vs. A. Drummond (B. Bogdanovic gains possession)
7:09.0,,,7-2,,Offensive rebound by M. Turner
7:00.0,,,7-4,2,M. Turner makes 2-pt shot from 1 ft (assist by T. Young)
6:48.0,T. Harris makes 3-pt shot from 25 ft,3,10-4,,
6:30.0,,,10-4,,Turnover by B. Bogdanovic (bad pass)
6:30.0,,,10-4,,Indiana full timeout
6:18.0,R. Bullock misses 2-pt shot from 3 ft,,10-4,,
6:16.0,,,10-4,,Defensive rebound by M. Turner
6:07.0,Personal foul by R. Jackson (drawn by V. Oladipo),,10-4,,
6:01.0,,,10-4,,T. Young misses 3-pt shot from 26 ft
5:56.0,,,10-4,,Offensive rebound by T. Young
5:50.0,,,10-6,2,V. Oladipo makes 2-pt shot at rim
5:35.0,T. Harris misses 2-pt shot from 20 ft,,10-6,,
5:31.0,Offensive rebound by A. Drummond,,10-6,,
5:29.0,A. Drummond misses 2-pt shot at rim (block by M. Turner),,10-6,,
5:27.0,,,10-6,,Defensive rebound by D. Collison
5:15.0,,,10-8,2,M. Turner makes 2-pt shot from 6 ft
5:04.0,Detroit full timeout,,10-8,,
5:04.0,I. Smith enters the game for R. Jackson,,10-8,,
4:58.0,T. Harris misses 3-pt shot from 27 ft,,10-8,,
4:54.0,,,10-8,,Defensive rebound by V. Oladipo
4:36.0,,,10-11,3,V. Oladipo makes 3-pt shot from 24 ft (assist by D. Collison)
4:11.0,L. Kennard makes 3-pt shot from 26 ft (assist by T. Harris),3,13-11,,
3:50.0,,,13-11,,M. Turner misses 3-pt shot from 28 ft
3:47.0,Defensive rebound by I. Smith,,13-11,,
3:33.0,I. Smith makes 2-pt shot from 12 ft,2,15-11,,
3:25.0,,,15-11,,Turnover by V. Oladipo (lost ball; steal by R. Bullock)
3:20.0,R. Bullock misses 3-pt shot from 22 ft,,15-11,,
3:17.0,Offensive rebound by T. Harris,,15-11,,
3:16.0,R. Bullock makes 3-pt shot from 27 ft (assist by T. Harris),3,18-11,,
3:01.0,,,18-11,,B. Bogdanovic misses 3-pt shot from 29 ft
2:58.0,Defensive rebound by A. Drummond,,18-11,,
2:49.0,Turnover by I. Smith (bad pass; steal by D. Collison),,18-11,,
2:44.0,,,18-13,2,T. Young makes 2-pt shot at rim (assist by D. Collison)
2:29.0,I. Smith misses 2-pt shot from 1 ft,,18-13,,
2:25.0,Offensive rebound by A. Drummond,,18-13,,
2:25.0,A. Drummond makes 2-pt shot at rim,2,20-13,,
2:15.0,,,20-15,2,M. Turner makes 2-pt shot from 18 ft (assist by V. Oladipo)
1:56.0,I. Smith misses 2-pt shot from 16 ft,,20-15,,
1:52.0,Offensive rebound by A. Drummond,,20-15,,
1:51.0,A. Drummond makes 2-pt shot from 5 ft,2,22-15,,
1:37.0,,,22-15,,B. Bogdanovic misses 2-pt shot from 16 ft
1:33.0,Defensive rebound by L. Kennard,,22-15,,
1:27.0,I. Smith misses 2-pt shot from 16 ft,,22-15,,
1:25.0,Offensive rebound by A. Drummond,,22-15,,
1:24.0,A. Drummond makes 2-pt shot from 7 ft,2,24-15,,
1:12.0,Personal foul by A. Drummond (drawn by V. Oladipo),,24-15,,
1:12.0,,,24-15,,D. Sabonis enters the game for D. Collison
1:12.0,,,24-15,,T. Leaf enters the game for T. Young
1:12.0,,,24-15,,C. Joseph enters the game for M. Turner
1:12.0,,,24-15,,L. Stephenson enters the game for B. Bogdanovic
1:12.0,S. Johnson enters the game for A. Drummond,,24-15,,
1:12.0,L. Galloway enters the game for L. Kennard,,24-15,,
1:12.0,E. Moreland enters the game for R. Bullock,,24-15,,
1:08.0,,,24-15,,V. Oladipo misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by E. Moreland,,24-15,,
0:54.0,T. Harris misses 2-pt shot at rim,,24-15,,
0:53.0,,,24-15,,Defensive rebound by D. Sabonis
0:48.0,,,24-17,2,L. Stephenson makes 2-pt shot from 21 ft
0:38.0,L. Galloway makes 3-pt shot from 25 ft (assist by I. Smith),3,27-17,,
0:23.0,,,27-17,,T. Leaf misses 2-pt shot from 16 ft (block by E. Moreland)
0:19.0,,,27-17,,Offensive rebound by T. Leaf
0:14.0,,,27-17,,C. Joseph misses 2-pt shot from 18 ft
0:12.0,,,27-17,,Offensive rebound by T. Leaf
0:12.0,,,27-19,2,T. Leaf makes 2-pt shot at rim
0:00.0,I. Smith misses 2-pt shot from 15 ft,,27-19,,
0:00.0,Offensive rebound by Team,,27-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,27-19,,L. Stephenson misses 2-pt shot from 18 ft
11:41.0,Defensive rebound by S. Johnson,,27-19,,
11:33.0,S. Johnson makes 2-pt shot from 18 ft,2,29-19,,
11:23.0,Personal foul by S. Johnson (drawn by L. Stephenson),,29-19,,
11:18.0,,,29-19,,C. Joseph misses 2-pt shot from 18 ft
11:14.0,,,29-19,,Offensive rebound by D. Sabonis
11:05.0,,,29-19,,L. Stephenson misses 3-pt shot from 28 ft
11:03.0,,,29-19,,Offensive rebound by D. Sabonis
11:00.0,,,29-19,,B. Bogdanovic misses 3-pt shot from 29 ft
11:00.0,,,29-19,,Offensive rebound by D. Sabonis
10:55.0,,,29-19,,Turnover by B. Bogdanovic (traveling)
10:45.0,L. Galloway misses 3-pt shot from 27 ft,,29-19,,
10:42.0,,,29-19,,Defensive rebound by B. Bogdanovic
10:36.0,,,29-21,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by C. Joseph)
10:17.0,L. Galloway misses 2-pt shot from 19 ft,,29-21,,
10:15.0,,,29-21,,Defensive rebound by L. Stephenson
10:11.0,,,29-23,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
10:11.0,Violation by E. Moreland (def goaltending),,29-23,,
9:57.0,S. Johnson makes 2-pt shot from 20 ft (assist by A. Tolliver),2,31-23,,
9:44.0,,,31-23,,B. Bogdanovic misses 2-pt shot from 6 ft (block by E. Moreland)
9:40.0,Defensive rebound by A. Tolliver,,31-23,,
9:32.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson),3,34-23,,
9:25.0,,,34-23,,Indiana full timeout
9:25.0,,,34-23,,T. Young enters the game for T. Leaf
9:25.0,R. Jackson enters the game for I. Smith,,34-23,,
9:05.0,,,34-23,,C. Joseph misses 2-pt shot from 10 ft
9:05.0,,,34-23,,Offensive rebound by Team
9:05.0,,,34-23,,Turnover by Team (shot clock)
8:54.0,R. Jackson makes 2-pt shot from 19 ft,2,36-23,,
8:34.0,,,36-25,2,D. Sabonis makes 2-pt shot from 8 ft (assist by L. Stephenson)
8:17.0,S. Johnson makes 3-pt shot from 27 ft (assist by R. Jackson),3,39-25,,
8:01.0,,,39-25,,Turnover by D. Sabonis (bad pass)
7:53.0,Turnover by R. Jackson (lost ball; steal by C. Joseph),,39-25,,
7:49.0,,,39-27,2,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph)
7:36.0,A. Tolliver misses 3-pt shot from 27 ft,,39-27,,
7:33.0,,,39-27,,Defensive rebound by B. Bogdanovic
7:27.0,,,39-29,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
7:17.0,Detroit full timeout,,39-29,,
7:17.0,,,39-29,,D. Collison enters the game for B. Bogdanovic
7:07.0,A. Tolliver misses 3-pt shot from 26 ft,,39-29,,
7:04.0,,,39-29,,Defensive rebound by D. Collison
6:49.0,,,39-29,,D. Collison misses 3-pt shot from 23 ft
6:44.0,Defensive rebound by S. Johnson,,39-29,,
6:22.0,R. Jackson makes 2-pt shot from 5 ft,2,41-29,,
6:03.0,,,41-31,2,T. Young makes 2-pt shot from 7 ft
5:47.0,L. Galloway misses 3-pt shot from 22 ft,,41-31,,
5:44.0,,,41-31,,Defensive rebound by L. Stephenson
