time,Brooklyn,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. J. Allen (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. J. Allen (E. Kanter gains possession)
11:40.0,,,0-0,,J. Jack misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by D. Carroll,,0-0,,
11:21.0,Q. Acy makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,3-0,,
11:08.0,,,3-0,,T. Hardaway misses 2-pt shot from 1 ft
11:06.0,,,3-0,,Offensive rebound by K. Porzingis
10:54.0,,,3-3,3,K. Porzingis makes 3-pt shot from 22 ft (assist by J. Jack)
10:39.0,,,3-3,,Personal take foul by J. Jack (drawn by A. Crabbe)
10:26.0,S. Dinwiddie misses 3-pt shot from 26 ft,,3-3,,
10:24.0,,,3-3,,Defensive rebound by J. Jack
10:17.0,,,3-6,3,T. Hardaway makes 3-pt shot from 26 ft (assist by C. Lee)
10:07.0,Offensive foul by D. Carroll (drawn by T. Hardaway),,3-6,,
10:07.0,Turnover by D. Carroll (offensive foul),,3-6,,
9:57.0,,,3-8,2,E. Kanter makes 2-pt shot from 1 ft (assist by K. Porzingis)
9:45.0,A. Crabbe makes 3-pt shot from 25 ft (assist by Q. Acy),3,6-8,,
9:29.0,,,6-11,3,K. Porzingis makes 3-pt shot from 25 ft (assist by E. Kanter)
9:14.0,J. Allen makes 2-pt shot from 6 ft (assist by D. Carroll),2,8-11,,
9:07.0,,,8-11,,C. Lee misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by A. Crabbe,,8-11,,
8:56.0,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,11-11,,
8:46.0,,,11-13,2,K. Porzingis makes 2-pt shot from 21 ft (assist by J. Jack)
8:31.0,A. Crabbe makes 2-pt shot from 9 ft,2,13-13,,
8:13.0,,,13-15,2,C. Lee makes 2-pt shot from 1 ft (assist by K. Porzingis)
8:13.0,Brooklyn full timeout,,13-15,,
7:57.0,Q. Acy misses 3-pt shot from 26 ft,,13-15,,
7:54.0,,,13-15,,Defensive rebound by K. Porzingis
7:35.0,,,13-17,2,E. Kanter makes 2-pt shot from 5 ft
7:14.0,A. Crabbe misses 2-pt shot from 22 ft,,13-17,,
7:12.0,,,13-17,,Defensive rebound by E. Kanter
7:05.0,,,13-17,,K. Porzingis misses 2-pt shot from 12 ft
7:03.0,Defensive rebound by Q. Acy,,13-17,,
6:58.0,Offensive foul by J. Allen (drawn by J. Jack),,13-17,,
6:58.0,Turnover by J. Allen (offensive foul),,13-17,,
6:45.0,,,13-17,,Turnover by T. Hardaway (bad pass; steal by D. Carroll)
6:42.0,D. Carroll makes 2-pt shot at rim,2,15-17,,
6:29.0,,,15-19,2,T. Hardaway makes 2-pt shot from 1 ft
6:07.0,Turnover by S. Dinwiddie (bad pass; steal by T. Hardaway),,15-19,,
5:54.0,,,15-19,,T. Hardaway misses 3-pt shot from 28 ft
5:52.0,,,15-19,,Offensive rebound by K. Porzingis
5:39.0,,,15-21,2,E. Kanter makes 2-pt shot from 6 ft
5:25.0,J. Allen makes 2-pt shot from 1 ft (assist by A. Crabbe),2,17-21,,
5:10.0,,,17-21,,Turnover by T. Hardaway (bad pass)
5:10.0,J. Harris enters the game for Q. Acy,,17-21,,
5:10.0,J. Okafor enters the game for J. Allen,,17-21,,
4:48.0,D. Carroll misses 3-pt shot from 26 ft,,17-21,,
4:46.0,,,17-21,,Defensive rebound by E. Kanter
4:27.0,,,17-21,,Turnover by E. Kanter (traveling)
4:27.0,,,17-21,,L. Thomas enters the game for T. Hardaway
4:13.0,J. Okafor misses 2-pt shot from 13 ft,,17-21,,
4:11.0,Offensive rebound by D. Carroll,,17-21,,
4:05.0,S. Dinwiddie misses 3-pt shot from 23 ft,,17-21,,
4:03.0,,,17-21,,Defensive rebound by E. Kanter
3:47.0,,,17-21,,K. Porzingis misses 2-pt shot from 17 ft
3:45.0,Defensive rebound by J. Okafor,,17-21,,
3:25.0,A. Crabbe misses 3-pt shot from 25 ft,,17-21,,
3:24.0,,,17-21,,Defensive rebound by E. Kanter
3:24.0,,,17-21,,New York full timeout
3:24.0,,,17-21,,R. Baker enters the game for K. Porzingis
3:24.0,,,17-21,,M. Beasley enters the game for J. Jack
3:24.0,,,17-21,,F. Ntilikina enters the game for C. Lee
3:24.0,N. Stauskas enters the game for A. Crabbe,,17-21,,
3:24.0,D. Russell enters the game for S. Dinwiddie,,17-21,,
3:10.0,,,17-21,,R. Baker misses 3-pt shot from 23 ft
3:08.0,Defensive rebound by Team,,17-21,,
2:46.0,Turnover by Team (shot clock),,17-21,,
2:46.0,,,17-21,,C. Lee enters the game for R. Baker
2:46.0,,,17-21,,New York full timeout
2:46.0,J. Webb enters the game for D. Carroll,,17-21,,
2:31.0,,,17-21,,Turnover by E. Kanter (bad pass; steal by D. Russell)
2:25.0,J. Harris misses 3-pt shot from 25 ft,,17-21,,
2:24.0,,,17-21,,Defensive rebound by E. Kanter
2:10.0,,,17-23,2,M. Beasley makes 2-pt shot from 4 ft
2:10.0,,,17-23,,Shooting foul by J. Webb (drawn by M. Beasley)
2:10.0,,,17-23,,K. O'Quinn enters the game for E. Kanter
2:10.0,,,17-24,1,M. Beasley makes free throw 1 of 1
1:50.0,N. Stauskas misses 3-pt shot from 25 ft,,17-24,,
1:48.0,Offensive rebound by J. Okafor,,17-24,,
1:48.0,J. Harris makes 3-pt shot from 25 ft (assist by J. Okafor),3,20-24,,
1:36.0,,,20-24,,Shooting foul by N. Stauskas (drawn by C. Lee)
1:36.0,,,20-25,1,C. Lee makes free throw 1 of 2
1:36.0,,,20-26,1,C. Lee makes free throw 2 of 2
1:21.0,N. Stauskas makes 2-pt shot at rim,2,22-26,,
1:09.0,,,22-28,2,K. O'Quinn makes 2-pt shot from 6 ft (assist by C. Lee)
0:52.0,D. Russell misses 2-pt shot from 3 ft,,22-28,,
0:49.0,Offensive rebound by J. Okafor,,22-28,,
0:49.0,J. Okafor misses 2-pt shot at rim,,22-28,,
0:48.0,,,22-28,,Defensive rebound by K. O'Quinn
0:40.0,,,22-28,,M. Beasley misses 2-pt shot from 10 ft
0:38.0,,,22-28,,Offensive rebound by Team
0:33.0,,,22-28,,C. Lee misses 2-pt shot from 22 ft
0:30.0,,,22-28,,Offensive rebound by M. Beasley
0:28.0,,,22-28,,Shooting foul by J. Webb (drawn by M. Beasley)
0:28.0,,,22-29,1,M. Beasley makes free throw 1 of 2
0:28.0,,,22-30,1,M. Beasley makes free throw 2 of 2
0:02.0,N. Stauskas misses 3-pt shot from 30 ft,,22-30,,
0:01.0,,,22-30,,Defensive rebound by M. Beasley
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Russell misses 2-pt shot from 9 ft,,22-30,,
11:44.0,Offensive rebound by D. Russell,,22-30,,
11:39.0,J. Webb misses 3-pt shot from 23 ft,,22-30,,
11:37.0,,,22-30,,Defensive rebound by M. Beasley
11:20.0,,,22-30,,M. Beasley misses 2-pt shot from 9 ft (block by D. Russell)
11:19.0,,,22-30,,Offensive rebound by Team
11:14.0,,,22-30,,K. O'Quinn misses 2-pt shot from 21 ft
11:12.0,Defensive rebound by N. Stauskas,,22-30,,
11:08.0,J. Okafor misses 2-pt shot from 1 ft (block by L. Thomas),,22-30,,
11:06.0,Offensive rebound by J. Okafor,,22-30,,
11:06.0,Turnover by J. Okafor (out of bounds lost ball),,22-30,,
10:49.0,,,22-33,3,C. Lee makes 3-pt shot from 25 ft
10:42.0,,,22-33,,D. McDermott enters the game for L. Thomas
10:31.0,N. Stauskas makes 2-pt shot from 1 ft,2,24-33,,
10:12.0,,,24-33,,F. Ntilikina misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by D. Russell,,24-33,,
10:06.0,D. Russell misses 2-pt shot from 1 ft,,24-33,,
10:04.0,,,24-33,,Defensive rebound by K. O'Quinn
9:52.0,,,24-33,,Shooting foul by J. Okafor (drawn by K. O'Quinn)
9:52.0,,,24-33,,T. Burke enters the game for C. Lee
9:52.0,,,24-34,1,K. O'Quinn makes free throw 1 of 2
9:52.0,,,24-35,1,K. O'Quinn makes free throw 2 of 2
9:38.0,Turnover by J. Okafor (bad pass),,24-35,,
9:24.0,,,24-38,3,F. Ntilikina makes 3-pt shot from 22 ft (assist by T. Burke)
9:22.0,Brooklyn full timeout,,24-38,,
8:57.0,N. Stauskas misses 2-pt shot from 18 ft,,24-38,,
8:55.0,,,24-38,,Defensive rebound by K. O'Quinn
8:37.0,Personal foul by J. Okafor (drawn by K. O'Quinn),,24-38,,
8:37.0,S. Dinwiddie enters the game for J. Harris,,24-38,,
8:37.0,J. Allen enters the game for J. Okafor,,24-38,,
8:37.0,Q. Acy enters the game for J. Webb,,24-38,,
8:35.0,Personal foul by S. Dinwiddie (drawn by D. McDermott),,24-38,,
8:30.0,,,24-38,,D. McDermott misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by J. Allen,,24-38,,
8:20.0,D. Russell misses 2-pt shot from 5 ft,,24-38,,
8:18.0,,,24-38,,Defensive rebound by M. Beasley
8:11.0,,,24-40,2,M. Beasley makes 2-pt shot at rim
7:59.0,N. Stauskas misses 2-pt shot from 21 ft,,24-40,,
7:55.0,,,24-40,,Defensive rebound by K. O'Quinn
7:48.0,,,24-42,2,T. Burke makes 2-pt shot from 12 ft
7:48.0,Brooklyn full timeout,,24-42,,
7:48.0,A. Crabbe enters the game for D. Russell,,24-42,,
7:30.0,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,26-42,,
7:07.0,,,26-42,,M. Beasley misses 2-pt shot from 15 ft
7:05.0,Defensive rebound by S. Dinwiddie,,26-42,,
6:54.0,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,28-42,,
6:45.0,,,28-42,,D. McDermott misses 3-pt shot from 26 ft
6:43.0,,,28-42,,Offensive rebound by K. O'Quinn
6:38.0,,,28-42,,D. McDermott misses 2-pt shot from 2 ft
6:36.0,,,28-42,,Offensive rebound by M. Beasley
6:33.0,,,28-42,,T. Burke misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by Q. Acy,,28-42,,
6:23.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,31-42,,
6:07.0,Personal foul by S. Dinwiddie (drawn by T. Burke),,31-42,,
6:07.0,,,31-42,,T. Hardaway enters the game for M. Beasley
6:07.0,,,31-42,,K. Porzingis enters the game for K. O'Quinn
6:07.0,D. Carroll enters the game for N. Stauskas,,31-42,,
6:07.0,,,31-42,,E. Kanter enters the game for F. Ntilikina
5:59.0,,,31-42,,K. Porzingis misses 2-pt shot from 10 ft
5:57.0,,,31-42,,Offensive rebound by E. Kanter
5:51.0,,,31-42,,D. McDermott misses 2-pt shot from 15 ft
5:49.0,Defensive rebound by Q. Acy,,31-42,,
5:40.0,Turnover by A. Crabbe (lost ball; steal by T. Hardaway),,31-42,,
5:37.0,,,31-42,,Offensive charge foul by T. Hardaway (drawn by Q. Acy)
5:37.0,,,31-42,,Turnover by T. Hardaway (offensive foul)
5:17.0,Q. Acy makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,34-42,,
5:03.0,,,34-42,,Shooting foul by J. Allen (drawn by K. Porzingis)
5:03.0,,,34-43,1,K. Porzingis makes free throw 1 of 2
5:03.0,,,34-44,1,K. Porzingis makes free throw 2 of 2
4:54.0,S. Dinwiddie makes 2-pt shot at rim,2,36-44,,
4:54.0,,,36-44,,New York full timeout
4:39.0,,,36-46,2,T. Hardaway makes 2-pt shot from 12 ft
4:18.0,S. Dinwiddie misses 2-pt shot from 19 ft,,36-46,,
4:16.0,,,36-46,,Defensive rebound by K. Porzingis
4:08.0,,,36-46,,K. Porzingis misses 2-pt shot from 21 ft
4:07.0,,,36-46,,Offensive rebound by E. Kanter
4:04.0,,,36-46,,Shooting foul by Q. Acy (drawn by D. McDermott)
4:04.0,,,36-47,1,D. McDermott makes free throw 1 of 2
4:04.0,,,36-47,,D. McDermott misses free throw 2 of 2
4:02.0,Defensive rebound by Q. Acy,,36-47,,
3:51.0,Turnover by J. Allen (out of bounds lost ball),,36-47,,
3:51.0,,,36-47,,C. Lee enters the game for D. McDermott
3:34.0,,,36-47,,K. Porzingis misses 2-pt shot from 16 ft
3:32.0,,,36-47,,Offensive rebound by E. Kanter
3:31.0,,,36-49,2,E. Kanter makes 2-pt shot from 1 ft
3:21.0,,,36-49,,Personal foul by T. Hardaway (drawn by J. Allen)
3:21.0,J. Harris enters the game for J. Allen,,36-49,,
3:18.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,38-49,,
3:18.0,Shooting foul by E. Kanter (drawn by S. Dinwiddie),,38-49,,
3:18.0,,,38-49,,J. Jack enters the game for T. Burke
3:18.0,S. Dinwiddie makes free throw 1 of 1,1,39-49,,
3:04.0,,,39-49,,E. Kanter misses 2-pt shot from 17 ft
3:02.0,Defensive rebound by S. Dinwiddie,,39-49,,
2:56.0,D. Carroll misses 3-pt shot from 24 ft,,39-49,,
2:54.0,,,39-49,,Defensive rebound by E. Kanter
2:39.0,,,39-52,3,K. Porzingis makes 3-pt shot from 27 ft (assist by E. Kanter)
2:23.0,Turnover by D. Carroll (out of bounds lost ball),,39-52,,
2:06.0,,,39-52,,Shooting foul by Q. Acy (drawn by E. Kanter)
2:06.0,,,39-53,1,E. Kanter makes free throw 1 of 2
2:06.0,,,39-54,1,E. Kanter makes free throw 2 of 2
1:50.0,A. Crabbe misses 3-pt shot from 25 ft,,39-54,,
1:48.0,Offensive rebound by D. Carroll,,39-54,,
1:47.0,Shooting foul by K. Porzingis (drawn by D. Carroll),,39-54,,
1:47.0,D. Carroll makes free throw 1 of 2,1,40-54,,
1:47.0,D. Carroll makes free throw 2 of 2,1,41-54,,
1:34.0,,,41-57,3,K. Porzingis makes 3-pt shot from 28 ft (assist by E. Kanter)
1:20.0,D. Carroll misses 3-pt shot from 25 ft,,41-57,,
1:18.0,,,41-57,,Defensive rebound by T. Hardaway
1:02.0,,,41-57,,K. Porzingis misses 2-pt shot from 7 ft
0:59.0,Defensive rebound by Q. Acy,,41-57,,
0:48.0,A. Crabbe misses 2-pt shot from 2 ft,,41-57,,
0:46.0,,,41-57,,Defensive rebound by E. Kanter
0:37.0,Personal foul by D. Carroll (drawn by K. Porzingis),,41-57,,
0:37.0,,,41-57,,F. Ntilikina enters the game for T. Hardaway
0:37.0,,,41-58,1,K. Porzingis makes free throw 1 of 2
0:37.0,,,41-59,1,K. Porzingis makes free throw 2 of 2
0:28.0,S. Dinwiddie misses 3-pt shot from 25 ft,,41-59,,
0:26.0,,,41-59,,Defensive rebound by E. Kanter
0:08.0,,,41-61,2,J. Jack makes 2-pt shot from 21 ft
0:01.0,Q. Acy misses 2-pt shot from 20 ft (block by E. Kanter),,41-61,,
0:01.0,Offensive rebound by Team,,41-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,A. Crabbe misses 2-pt shot from 9 ft (block by E. Kanter),,41-61,,
11:37.0,,,41-61,,Defensive rebound by E. Kanter
11:34.0,,,41-63,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
11:19.0,A. Crabbe misses 2-pt shot from 11 ft,,41-63,,
11:16.0,Offensive rebound by J. Allen,,41-63,,
11:11.0,S. Dinwiddie misses 3-pt shot from 28 ft,,41-63,,
11:07.0,,,41-63,,Defensive rebound by C. Lee
11:01.0,,,41-63,,C. Lee misses 2-pt shot from 8 ft
10:58.0,Defensive rebound by A. Crabbe,,41-63,,
10:52.0,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,44-63,,
10:35.0,,,44-66,3,T. Hardaway makes 3-pt shot from 26 ft (assist by E. Kanter)
10:20.0,Turnover by D. Carroll (lost ball; steal by K. Porzingis),,44-66,,
10:15.0,,,44-69,3,T. Hardaway makes 3-pt shot from 25 ft
10:00.0,A. Crabbe makes 2-pt shot from 17 ft,2,46-69,,
9:46.0,,,46-69,,K. Porzingis misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by D. Carroll,,46-69,,
