time,New Orleans,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Davis (D. Cousins gains possession),,,,Jump ball: A. Horford vs. A. Davis (D. Cousins gains possession)
11:48.0,Shooting foul by J. Brown (drawn by J. Holiday),,0-0,,
11:48.0,J. Holiday makes free throw 1 of 2,1,1-0,,
11:48.0,J. Holiday misses free throw 2 of 2,,1-0,,
11:48.0,,,1-0,,Defensive rebound by A. Baynes
11:30.0,,,1-0,,A. Baynes misses 2-pt shot from 2 ft (block by A. Davis)
11:28.0,,,1-0,,Offensive rebound by A. Baynes
11:26.0,,,1-2,2,A. Baynes makes 2-pt shot from 1 ft
11:11.0,Turnover by D. Cousins (out of bounds lost ball),,1-2,,
10:54.0,,,1-2,,Turnover by J. Brown (out of bounds lost ball)
10:41.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,4-2,,
10:41.0,Shooting foul by A. Baynes (drawn by D. Cousins),,4-2,,
10:41.0,D. Cousins misses free throw 1 of 1,,4-2,,
10:39.0,,,4-2,,Defensive rebound by A. Horford
10:16.0,,,4-5,3,A. Horford makes 3-pt shot from 23 ft (assist by J. Brown)
10:03.0,D. Cousins misses 2-pt shot from 3 ft,,4-5,,
10:02.0,Offensive rebound by D. Cousins,,4-5,,
10:02.0,Shooting foul by A. Horford (drawn by D. Cousins),,4-5,,
10:02.0,D. Cousins makes free throw 1 of 2,1,5-5,,
10:02.0,D. Cousins misses free throw 2 of 2,,5-5,,
10:02.0,,,5-5,,Defensive rebound by A. Baynes
9:49.0,,,5-5,,Turnover by K. Irving (lost ball; steal by A. Davis)
9:45.0,A. Davis misses 2-pt shot from 2 ft,,5-5,,
9:43.0,,,5-5,,Defensive rebound by J. Tatum
9:39.0,,,5-5,,J. Brown misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by E. Moore,,5-5,,
9:32.0,Offensive foul by D. Cousins (drawn by A. Baynes),,5-5,,
9:32.0,Turnover by D. Cousins (offensive foul),,5-5,,
9:15.0,,,5-5,,Turnover by A. Horford (bad pass; steal by R. Rondo)
9:08.0,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday),2,7-5,,
8:55.0,,,7-5,,Turnover by A. Horford (bad pass; steal by D. Cousins)
8:52.0,D. Cousins makes 2-pt shot from 1 ft,2,9-5,,
8:52.0,,,9-5,,Boston full timeout
8:39.0,,,9-7,2,J. Brown makes 2-pt shot at rim (assist by A. Horford)
8:24.0,R. Rondo makes 2-pt shot from 7 ft,2,11-7,,
8:11.0,,,11-7,,K. Irving misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by J. Holiday,,11-7,,
8:04.0,E. Moore misses 2-pt shot from 1 ft,,11-7,,
8:01.0,,,11-7,,Defensive rebound by A. Baynes
7:56.0,,,11-7,,Offensive foul by K. Irving (drawn by R. Rondo)
7:56.0,,,11-7,,Turnover by K. Irving (offensive foul)
7:56.0,,,11-7,,M. Smart enters the game for J. Tatum
7:41.0,D. Cousins misses 2-pt shot from 3 ft,,11-7,,
7:38.0,,,11-7,,Defensive rebound by A. Horford
