time,LA Lakers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. B. Lopez (T. Ennis gains possession),,,,Jump ball: R. Lopez vs. B. Lopez (T. Ennis gains possession)
11:40.0,Turnover by J. Randle (lost ball; steal by J. Grant),,0-0,,
11:25.0,,,0-0,,J. Grant misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by B. Ingram,,0-0,,
11:21.0,,,0-0,,Personal foul by L. Markkanen (drawn by B. Lopez)
11:13.0,J. Randle misses 2-pt shot from 2 ft (block by L. Markkanen),,0-0,,
11:07.0,,,0-0,,Defensive rebound by J. Holiday
11:02.0,,,0-0,,Turnover by R. Lopez (bad pass)
10:52.0,B. Lopez misses 3-pt shot from 25 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by L. Markkanen
10:32.0,,,0-0,,J. Grant misses 2-pt shot from 13 ft
10:28.0,,,0-0,,Offensive rebound by R. Lopez
10:25.0,,,0-0,,Z. LaVine misses 2-pt shot from 22 ft
10:21.0,Defensive rebound by K. Caldwell-Pope,,0-0,,
10:15.0,B. Ingram misses 2-pt shot from 21 ft,,0-0,,
10:12.0,,,0-0,,Defensive rebound by Z. LaVine
10:07.0,,,0-3,3,Z. LaVine makes 3-pt shot from 24 ft
9:56.0,B. Ingram misses 3-pt shot from 22 ft,,0-3,,
9:46.0,Offensive rebound by K. Caldwell-Pope,,0-3,,
9:46.0,K. Caldwell-Pope makes 2-pt shot at rim,2,2-3,,
9:36.0,,,2-3,,L. Markkanen misses 2-pt shot from 2 ft
9:35.0,,,2-3,,Offensive rebound by R. Lopez
9:35.0,,,2-3,,R. Lopez misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by Team,,2-3,,
9:10.0,T. Ennis makes 2-pt shot from 1 ft (assist by B. Lopez),2,4-3,,
8:59.0,,,4-3,,R. Lopez misses 2-pt shot from 5 ft
8:57.0,Defensive rebound by B. Lopez,,4-3,,
8:51.0,B. Ingram makes 2-pt shot from 1 ft (assist by T. Ennis),2,6-3,,
8:41.0,,,6-3,,Shooting foul by B. Ingram (drawn by J. Holiday)
8:41.0,,,6-3,,J. Holiday misses free throw 1 of 2
8:41.0,,,6-3,,Offensive rebound by Team
8:41.0,,,6-3,,J. Holiday misses free throw 2 of 2
8:38.0,Defensive rebound by B. Lopez,,6-3,,
8:32.0,B. Ingram misses 2-pt shot from 1 ft,,6-3,,
8:30.0,,,6-3,,Defensive rebound by J. Holiday
8:23.0,,,6-5,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Grant)
8:04.0,B. Lopez makes 2-pt shot from 9 ft (assist by B. Ingram),2,8-5,,
7:54.0,,,8-8,3,J. Grant makes 3-pt shot from 25 ft (assist by J. Holiday)
7:35.0,B. Lopez makes 2-pt shot at rim,2,10-8,,
7:24.0,,,10-8,,Z. LaVine misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by K. Caldwell-Pope,,10-8,,
7:09.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle),3,13-8,,
6:59.0,Shooting block foul by T. Ennis (drawn by Z. LaVine),,13-8,,
6:59.0,,,13-8,,Chicago full timeout
6:59.0,,,13-9,1,Z. LaVine makes free throw 1 of 2
6:59.0,,,13-10,1,Z. LaVine makes free throw 2 of 2
6:42.0,B. Lopez misses 2-pt shot from 5 ft,,13-10,,
6:40.0,Offensive rebound by K. Caldwell-Pope,,13-10,,
6:40.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,13-10,,
6:40.0,Offensive rebound by Team,,13-10,,
6:35.0,B. Ingram makes 2-pt shot from 17 ft,2,15-10,,
6:15.0,,,15-10,,Shooting foul by T. Ennis (drawn by J. Grant)
6:15.0,,,15-10,,J. Grant misses free throw 1 of 3
6:15.0,,,15-10,,Offensive rebound by Team
6:15.0,,,15-11,1,J. Grant makes free throw 2 of 3
6:15.0,,,15-11,,J. Grant misses free throw 3 of 3
6:10.0,,,15-11,,Offensive rebound by R. Lopez
6:09.0,,,15-11,,R. Lopez misses 2-pt shot from 1 ft
6:04.0,,,15-11,,Offensive rebound by R. Lopez
6:04.0,,,15-11,,R. Lopez misses 2-pt shot at rim
6:03.0,Defensive rebound by K. Caldwell-Pope,,15-11,,
6:00.0,J. Randle misses 2-pt shot from 20 ft,,15-11,,
6:00.0,,,15-11,,Defensive rebound by Team
5:59.0,Loose ball foul by B. Lopez (drawn by R. Lopez),,15-11,,
5:46.0,,,15-11,,Z. LaVine misses 2-pt shot from 1 ft (block by B. Lopez)
5:44.0,Defensive rebound by J. Randle,,15-11,,
5:44.0,J. Randle makes 2-pt shot from 2 ft,2,17-11,,
5:44.0,Shooting foul by J. Holiday (drawn by J. Randle),,17-11,,
5:44.0,,,17-11,,D. Valentine enters the game for Z. LaVine
5:44.0,J. Randle makes free throw 1 of 1,1,18-11,,
5:22.0,,,18-13,2,R. Lopez makes 2-pt shot from 7 ft (assist by D. Valentine)
5:09.0,Shooting foul by J. Holiday (drawn by B. Ingram),,18-13,,
5:09.0,B. Ingram makes free throw 1 of 2,1,19-13,,
