time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. D. Jordan (M. Harrell gains possession),,,,Jump ball: N. Hilario vs. D. Jordan (M. Harrell gains possession)
11:44.0,J. Wilson misses 3-pt shot from 25 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by E. Gordon
11:36.0,,,0-3,3,J. Harden makes 3-pt shot from 25 ft
11:20.0,C. Williams misses 3-pt shot from 25 ft,,0-3,,
11:19.0,Offensive rebound by Team,,0-3,,
11:17.0,A. Rivers misses 3-pt shot from 25 ft,,0-3,,
11:13.0,,,0-3,,Defensive rebound by J. Harden
11:04.0,,,0-3,,E. Gordon misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by D. Jordan,,0-3,,
10:53.0,M. Harrell misses 2-pt shot from 7 ft,,0-3,,
10:49.0,,,0-3,,Defensive rebound by R. Anderson
10:43.0,,,0-3,,J. Harden misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by D. Jordan,,0-3,,
10:33.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,2-3,,
10:20.0,,,2-6,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
9:53.0,C. Williams misses 2-pt shot from 16 ft,,2-6,,
9:51.0,,,2-6,,Defensive rebound by N. Hilario
9:39.0,,,2-6,,Turnover by R. Anderson (bad pass; steal by M. Harrell)
9:20.0,M. Harrell misses 2-pt shot from 5 ft,,2-6,,
9:17.0,,,2-6,,Defensive rebound by R. Anderson
9:06.0,,,2-8,2,J. Harden makes 2-pt shot from 1 ft
8:42.0,M. Harrell makes 2-pt shot at rim (assist by A. Rivers),2,4-8,,
8:32.0,,,4-10,2,E. Gordon makes 2-pt shot from 1 ft
8:10.0,Turnover by A. Rivers (bad pass),,4-10,,
8:00.0,,,4-10,,Shooting foul by A. Rivers (drawn by R. Anderson)
8:00.0,,,4-11,1,R. Anderson makes free throw 1 of 2
8:00.0,J. Evans enters the game for M. Harrell,,4-11,,
8:00.0,,,4-12,1,R. Anderson makes free throw 2 of 2
8:00.0,LA Clippers full timeout,,4-12,,
8:00.0,L. Williams enters the game for C. Williams,,4-12,,
7:43.0,Turnover by L. Williams (bad pass; steal by J. Harden),,4-12,,
7:39.0,,,4-14,2,J. Harden makes 2-pt shot at rim
7:26.0,Shooting foul by N. Hilario (drawn by A. Rivers),,4-14,,
7:26.0,A. Rivers misses free throw 1 of 2,,4-14,,
7:26.0,Offensive rebound by Team,,4-14,,
7:26.0,A. Rivers makes free throw 2 of 2,1,5-14,,
7:09.0,,,5-14,,E. Gordon misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by D. Jordan,,5-14,,
7:01.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Evans),2,7-14,,
6:39.0,,,7-16,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
6:27.0,L. Williams misses 3-pt shot from 26 ft,,7-16,,
6:24.0,,,7-16,,Defensive rebound by E. Gordon
6:18.0,,,7-16,,N. Hilario misses 2-pt shot from 15 ft
6:16.0,Defensive rebound by D. Jordan,,7-16,,
6:07.0,J. Evans misses 2-pt shot from 10 ft,,7-16,,
6:04.0,Offensive rebound by D. Jordan,,7-16,,
6:03.0,D. Jordan misses 2-pt shot from 8 ft,,7-16,,
6:03.0,,,7-16,,Defensive rebound by N. Hilario
5:52.0,,,7-16,,E. Gordon misses 2-pt shot from 14 ft
5:50.0,Defensive rebound by D. Jordan,,7-16,,
5:50.0,Turnover by J. Evans (traveling),,7-16,,
5:50.0,,,7-16,,P. Tucker enters the game for R. Anderson
5:50.0,,,7-16,,T. Black enters the game for N. Hilario
5:50.0,C. Williams enters the game for A. Rivers,,7-16,,
5:46.0,,,7-16,,T. Ariza misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by D. Jordan,,7-16,,
5:37.0,J. Wilson misses 3-pt shot from 25 ft,,7-16,,
5:33.0,,,7-16,,Defensive rebound by P. Tucker
5:29.0,Personal foul by C. Williams (drawn by J. Harden),,7-16,,
5:29.0,,,7-16,,B. Weber enters the game for E. Gordon
5:23.0,,,7-19,3,J. Harden makes 3-pt shot from 25 ft
5:07.0,L. Williams misses 2-pt shot from 9 ft,,7-19,,
5:05.0,D. Jordan misses 2-pt shot from 1 ft,,7-19,,
5:05.0,Offensive rebound by C. Williams,,7-19,,
5:05.0,Offensive rebound by D. Jordan,,7-19,,
4:59.0,J. Evans misses 3-pt shot from 25 ft,,7-19,,
4:56.0,,,7-19,,Defensive rebound by B. Weber
4:51.0,,,7-19,,J. Harden misses 2-pt shot from 2 ft (block by D. Jordan)
4:51.0,Defensive rebound by Team,,7-19,,
4:29.0,L. Williams makes 2-pt shot from 21 ft,2,9-19,,
4:15.0,,,9-21,2,T. Ariza makes 2-pt shot from 2 ft
4:15.0,,,9-21,,Shooting foul by D. Jordan (drawn by T. Ariza)
4:15.0,S. Dekker enters the game for J. Wilson,,9-21,,
4:15.0,,,9-21,,T. Ariza misses free throw 1 of 1
4:15.0,Defensive rebound by D. Jordan,,9-21,,
4:00.0,D. Jordan makes 2-pt shot from 3 ft (assist by L. Williams),2,11-21,,
3:46.0,,,11-21,,Shooting foul by J. Evans (drawn by J. Harden)
3:46.0,,,11-21,,J. Harden misses free throw 1 of 2
3:46.0,,,11-21,,Offensive rebound by Team
3:46.0,,,11-22,1,J. Harden makes free throw 2 of 2
3:38.0,J. Evans misses 2-pt shot from 1 ft (block by T. Black),,11-22,,
3:37.0,,,11-22,,Defensive rebound by P. Tucker
3:25.0,,,11-24,2,T. Black makes 2-pt shot from 2 ft (assist by B. Weber)
3:10.0,,,11-24,,Personal foul by P. Tucker (drawn by D. Jordan)
3:10.0,A. Rivers enters the game for D. Jordan,,11-24,,
3:10.0,W. Reed enters the game for C. Williams,,11-24,,
2:58.0,W. Reed makes 2-pt shot from 10 ft (assist by S. Dekker),2,13-24,,
2:44.0,,,13-24,,Shooting foul by A. Rivers (drawn by J. Harden)
2:44.0,,,13-24,,Houston full timeout
2:44.0,,,13-25,1,J. Harden makes free throw 1 of 2
2:44.0,,,13-26,1,J. Harden makes free throw 2 of 2
2:22.0,A. Rivers misses 2-pt shot from 2 ft,,13-26,,
2:20.0,,,13-26,,Defensive rebound by T. Black
2:12.0,,,13-26,,Offensive foul by T. Black (drawn by J. Evans)
2:12.0,,,13-26,,Turnover by T. Black (offensive foul)
2:12.0,,,13-26,,R. Anderson enters the game for T. Ariza
2:00.0,L. Williams misses 2-pt shot from 17 ft,,13-26,,
1:59.0,Offensive rebound by W. Reed,,13-26,,
1:51.0,L. Williams makes 2-pt shot from 1 ft,2,15-26,,
1:51.0,,,15-26,,Shooting block foul by B. Weber (drawn by L. Williams)
1:51.0,L. Williams makes free throw 1 of 1,1,16-26,,
1:40.0,,,16-26,,J. Harden misses 2-pt shot from 3 ft (block by W. Reed)
1:37.0,,,16-26,,Offensive rebound by T. Black
1:36.0,,,16-26,,Turnover by T. Black (bad pass; steal by L. Williams)
1:36.0,,,16-26,,Personal foul by P. Tucker (drawn by L. Williams)
1:36.0,L. Williams makes free throw 1 of 2,1,17-26,,
1:36.0,L. Williams makes free throw 2 of 2,1,18-26,,
1:20.0,,,18-26,,R. Anderson misses 3-pt shot from 28 ft
1:14.0,,,18-26,,Offensive rebound by T. Black
1:03.0,,,18-29,3,J. Harden makes 3-pt shot from 25 ft
0:53.0,L. Williams misses 2-pt shot from 2 ft,,18-29,,
0:51.0,,,18-29,,Defensive rebound by P. Tucker
0:43.0,,,18-29,,Turnover by J. Harden (bad pass; steal by S. Dekker)
0:39.0,S. Dekker makes 2-pt shot at rim (assist by J. Evans),2,20-29,,
0:31.0,,,20-32,3,J. Harden makes 3-pt shot from 25 ft
0:31.0,,,20-32,,Shooting foul by J. Evans (drawn by J. Harden)
0:31.0,,,20-32,,E. Gordon enters the game for B. Weber
0:31.0,,,20-33,1,J. Harden makes free throw 1 of 1
0:19.0,J. Evans makes 3-pt shot from 24 ft (assist by A. Rivers),3,23-33,,
0:00.0,,,23-33,,J. Harden misses 3-pt shot from 25 ft
0:00.0,,,23-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,23-33,,E. Gordon misses 3-pt shot from 25 ft
11:46.0,,,23-33,,Offensive rebound by Team
11:41.0,,,23-33,,E. Gordon misses 2-pt shot from 2 ft (block by W. Reed)
11:39.0,,,23-33,,Offensive rebound by P. Tucker
11:34.0,,,23-33,,Turnover by T. Black (turnover)
11:13.0,W. Reed misses 2-pt shot from 13 ft,,23-33,,
11:09.0,,,23-33,,Defensive rebound by R. Anderson
10:58.0,,,23-35,2,E. Gordon makes 2-pt shot from 1 ft (assist by R. Anderson)
10:43.0,,,23-35,,Personal foul by B. Weber (drawn by A. Rivers)
10:43.0,,,23-35,,T. Ariza enters the game for T. Black
10:43.0,C. Williams enters the game for J. Evans,,23-35,,
