time,Dallas,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. M. Kleber (T. Johnson gains possession),,,,Jump ball: B. Adebayo vs. M. Kleber (T. Johnson gains possession)
11:40.0,,,0-2,2,J. Richardson makes 2-pt shot from 1 ft
11:21.0,D. Nowitzki misses 3-pt shot from 25 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by D. Waiters
11:09.0,,,0-4,2,D. Waiters makes 2-pt shot from 1 ft
11:04.0,Turnover by D. Smith (bad pass; steal by D. Waiters),,0-4,,
11:04.0,,,0-4,,Turnover by D. Waiters (bad pass)
10:50.0,W. Matthews misses 3-pt shot from 26 ft,,0-4,,
10:48.0,,,0-4,,Defensive rebound by B. Adebayo
10:41.0,,,0-4,,Shooting foul by D. Smith (drawn by T. Johnson)
10:41.0,,,0-4,,T. Johnson misses free throw 1 of 2
10:41.0,,,0-4,,Offensive rebound by Team
10:41.0,,,0-5,1,T. Johnson makes free throw 2 of 2
10:24.0,H. Barnes misses 2-pt shot from 19 ft,,0-5,,
10:17.0,,,0-5,,Defensive rebound by K. Olynyk
10:16.0,,,0-5,,Offensive foul by B. Adebayo (drawn by W. Matthews)
10:16.0,,,0-5,,Turnover by B. Adebayo (offensive foul)
9:59.0,D. Smith misses 2-pt shot from 15 ft,,0-5,,
9:55.0,,,0-5,,Defensive rebound by B. Adebayo
9:49.0,,,0-7,2,D. Waiters makes 2-pt shot from 1 ft
9:49.0,Dallas full timeout,,0-7,,
9:49.0,Y. Ferrell enters the game for D. Smith,,0-7,,
9:24.0,Turnover by Y. Ferrell (lost ball; steal by J. Richardson),,0-7,,
9:11.0,,,0-9,2,J. Richardson makes 2-pt shot from 14 ft
8:56.0,D. Nowitzki misses 2-pt shot from 19 ft,,0-9,,
8:53.0,,,0-9,,Defensive rebound by K. Olynyk
8:37.0,,,0-12,3,K. Olynyk makes 3-pt shot from 23 ft (assist by J. Richardson)
8:18.0,Y. Ferrell makes 2-pt shot from 10 ft,2,2-12,,
7:50.0,,,2-15,3,T. Johnson makes 3-pt shot from 25 ft
7:30.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews),3,5-15,,
7:18.0,Personal foul by M. Kleber (drawn by K. Olynyk),,5-15,,
7:18.0,D. Smith enters the game for M. Kleber,,5-15,,
7:18.0,S. Mejri enters the game for D. Nowitzki,,5-15,,
7:04.0,,,5-15,,Turnover by K. Olynyk (bad pass; steal by Y. Ferrell)
6:55.0,H. Barnes makes 2-pt shot at rim (assist by Y. Ferrell),2,7-15,,
6:50.0,Personal foul by H. Barnes (drawn by B. Adebayo),,7-15,,
6:50.0,,,7-15,,W. Ellington enters the game for J. Richardson
6:50.0,,,7-15,,J. Mickey enters the game for B. Adebayo
6:40.0,,,7-15,,J. Mickey misses 2-pt shot from 12 ft
6:37.0,Defensive rebound by S. Mejri,,7-15,,
6:29.0,Shooting foul by K. Olynyk (drawn by H. Barnes),,7-15,,
6:29.0,H. Barnes makes free throw 1 of 2,1,8-15,,
6:29.0,H. Barnes makes free throw 2 of 2,1,9-15,,
6:16.0,,,9-15,,J. Mickey misses 2-pt shot from 3 ft
6:16.0,Defensive rebound by Team,,9-15,,
5:57.0,H. Barnes misses 2-pt shot from 9 ft,,9-15,,
5:54.0,Offensive rebound by S. Mejri,,9-15,,
5:50.0,S. Mejri makes 2-pt shot from 5 ft,2,11-15,,
5:48.0,,,11-15,,Miami full timeout
5:34.0,,,11-18,3,W. Ellington makes 3-pt shot from 25 ft (assist by K. Olynyk)
5:18.0,W. Matthews misses 2-pt shot from 8 ft,,11-18,,
5:14.0,,,11-18,,Defensive rebound by K. Olynyk
5:07.0,,,11-21,3,T. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters)
4:47.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. Smith),3,14-21,,
4:28.0,,,14-21,,T. Johnson misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by D. Smith,,14-21,,
4:19.0,,,14-21,,Personal foul by J. Mickey (drawn by H. Barnes)
4:07.0,H. Barnes misses 2-pt shot from 1 ft,,14-21,,
4:05.0,,,14-21,,Defensive rebound by T. Johnson
3:57.0,,,14-24,3,K. Olynyk makes 3-pt shot from 24 ft (assist by D. Waiters)
3:44.0,Y. Ferrell makes 3-pt shot from 27 ft (assist by D. Smith),3,17-24,,
3:28.0,,,17-26,2,J. Mickey makes 2-pt shot from 2 ft
3:26.0,,,17-26,,Personal foul by D. Waiters (drawn by W. Matthews)
3:26.0,,,17-26,,B. Adebayo enters the game for D. Waiters
3:26.0,D. Nowitzki enters the game for D. Smith,,17-26,,
3:26.0,D. Harris enters the game for W. Matthews,,17-26,,
3:26.0,D. Powell enters the game for H. Barnes,,17-26,,
3:26.0,J. Barea enters the game for S. Mejri,,17-26,,
3:26.0,,,17-26,,J. Richardson enters the game for K. Olynyk
3:08.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,19-26,,
2:44.0,,,19-28,2,B. Adebayo makes 2-pt shot from 1 ft (assist by T. Johnson)
2:28.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea),2,21-28,,
2:12.0,,,21-28,,Turnover by J. Mickey (bad pass)
1:56.0,Turnover by D. Harris (bad pass),,21-28,,
1:43.0,,,21-30,2,T. Johnson makes 2-pt shot at rim (assist by B. Adebayo)
1:42.0,Dallas full timeout,,21-30,,
1:22.0,D. Nowitzki misses 3-pt shot from 25 ft,,21-30,,
1:22.0,Offensive rebound by Team,,21-30,,
1:22.0,,,21-30,,Loose ball foul by J. Mickey (drawn by D. Powell)
1:22.0,,,21-30,,U. Haslem enters the game for J. Mickey
1:17.0,Y. Ferrell makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,23-30,,
0:56.0,,,23-32,2,B. Adebayo makes 2-pt shot at rim
0:32.0,D. Nowitzki misses 3-pt shot from 28 ft,,23-32,,
0:27.0,,,23-32,,Defensive rebound by T. Johnson
0:15.0,Personal foul by J. Barea (drawn by T. Johnson),,23-32,,
0:03.0,,,23-32,,W. Ellington misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by D. Nowitzki,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Smith misses 2-pt shot at rim (block by J. Richardson),,23-32,,
11:38.0,,,23-32,,Defensive rebound by D. Walton
11:26.0,,,23-34,2,W. Ellington makes 2-pt shot from 15 ft
11:05.0,D. Harris makes 2-pt shot at rim (assist by D. Nowitzki),2,25-34,,
10:49.0,,,25-34,,J. Richardson misses 2-pt shot from 18 ft
