time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. M. Gortat (J. Wall gains possession),,,,Jump ball: H. Whiteside vs. M. Gortat (J. Wall gains possession)
11:42.0,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal),3,3-0,,
11:24.0,,,3-0,,D. Waiters misses 2-pt shot from 11 ft
11:21.0,Defensive rebound by M. Morris,,3-0,,
11:05.0,M. Morris makes 2-pt shot from 10 ft,2,5-0,,
10:45.0,,,5-0,,H. Whiteside misses 2-pt shot from 4 ft
10:41.0,,,5-0,,Offensive rebound by D. Waiters
10:36.0,,,5-0,,Offensive foul by H. Whiteside (drawn by O. Porter)
10:36.0,,,5-0,,Turnover by H. Whiteside (offensive foul)
10:23.0,M. Gortat misses 2-pt shot from 8 ft,,5-0,,
10:22.0,,,5-0,,Defensive rebound by H. Whiteside
10:13.0,,,5-2,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Winslow)
9:56.0,Shooting foul by D. Waiters (drawn by B. Beal),,5-2,,
9:56.0,B. Beal makes free throw 1 of 2,1,6-2,,
9:56.0,B. Beal makes free throw 2 of 2,1,7-2,,
9:38.0,,,7-4,2,D. Waiters makes 2-pt shot from 15 ft
9:22.0,M. Morris misses 2-pt shot from 4 ft,,7-4,,
9:21.0,,,7-4,,Defensive rebound by H. Whiteside
9:13.0,,,7-4,,J. Winslow misses 2-pt shot from 7 ft
9:10.0,Defensive rebound by O. Porter,,7-4,,
8:51.0,O. Porter makes 2-pt shot from 6 ft,2,9-4,,
8:37.0,,,9-4,,Shooting foul by M. Morris (drawn by J. Winslow)
8:37.0,,,9-5,1,J. Winslow makes free throw 1 of 2
8:37.0,,,9-6,1,J. Winslow makes free throw 2 of 2
8:24.0,B. Beal misses 3-pt shot from 25 ft,,9-6,,
8:20.0,,,9-6,,Defensive rebound by J. Winslow
8:08.0,,,9-8,2,J. Richardson makes 2-pt shot from 10 ft
7:59.0,J. Wall misses 2-pt shot from 20 ft,,9-8,,
7:56.0,,,9-8,,Defensive rebound by J. Richardson
7:42.0,,,9-8,,H. Whiteside misses 2-pt shot from 12 ft
7:38.0,Defensive rebound by J. Wall,,9-8,,
7:31.0,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall),3,12-8,,
7:16.0,,,12-8,,G. Dragic misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by M. Gortat,,12-8,,
7:05.0,J. Wall misses 2-pt shot from 11 ft,,12-8,,
7:01.0,,,12-8,,Defensive rebound by H. Whiteside
6:46.0,,,12-8,,Miami full timeout
6:40.0,,,12-8,,J. Winslow misses 2-pt shot from 21 ft
6:38.0,Defensive rebound by M. Gortat,,12-8,,
6:27.0,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall),3,15-8,,
6:14.0,,,15-8,,G. Dragic misses 2-pt shot from 1 ft (block by J. Wall)
6:05.0,,,15-8,,Offensive rebound by H. Whiteside
6:05.0,,,15-10,2,H. Whiteside makes 2-pt shot at rim
5:53.0,B. Beal misses 3-pt shot from 25 ft,,15-10,,
5:51.0,,,15-10,,Defensive rebound by H. Whiteside
5:40.0,,,15-10,,H. Whiteside misses 2-pt shot from 4 ft
5:38.0,Defensive rebound by O. Porter,,15-10,,
5:32.0,M. Gortat misses 2-pt shot from 1 ft,,15-10,,
5:31.0,Offensive rebound by M. Gortat,,15-10,,
5:30.0,Shooting foul by J. Winslow (drawn by M. Gortat),,15-10,,
5:30.0,M. Gortat makes free throw 1 of 2,1,16-10,,
5:30.0,,,16-10,,T. Johnson enters the game for J. Richardson
5:30.0,,,16-10,,J. Johnson enters the game for J. Winslow
