time,Detroit,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Drummond (J. Ingles gains possession),,,,Jump ball: R. Gobert vs. A. Drummond (J. Ingles gains possession)
11:42.0,,,0-2,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
11:25.0,S. Johnson misses 2-pt shot from 13 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by J. Ingles
11:11.0,,,0-2,,R. Rubio misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by A. Drummond,,0-2,,
10:58.0,Offensive foul by S. Johnson (drawn by D. Mitchell),,0-2,,
10:58.0,Turnover by S. Johnson (offensive foul),,0-2,,
10:40.0,,,0-4,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
10:28.0,Shooting foul by D. Mitchell (drawn by J. Ennis),,0-4,,
10:28.0,J. Ennis misses free throw 1 of 2,,0-4,,
10:28.0,Offensive rebound by Team,,0-4,,
10:28.0,J. Ennis makes free throw 2 of 2,1,1-4,,
10:06.0,,,1-4,,Turnover by D. Favors (bad pass; steal by I. Smith)
9:54.0,A. Drummond makes 2-pt shot from 3 ft,2,3-4,,
9:31.0,,,3-6,2,J. Ingles makes 2-pt shot from 20 ft
9:08.0,B. Griffin misses 3-pt shot from 26 ft,,3-6,,
9:04.0,,,3-6,,Defensive rebound by D. Mitchell
8:52.0,,,3-9,3,D. Favors makes 3-pt shot from 22 ft (assist by R. Rubio)
8:42.0,Offensive foul by A. Drummond (drawn by D. Favors),,3-9,,
8:42.0,Turnover by A. Drummond (offensive foul),,3-9,,
8:28.0,,,3-9,,D. Mitchell misses 3-pt shot from 25 ft
8:24.0,,,3-9,,Offensive rebound by D. Favors
8:22.0,,,3-11,2,D. Favors makes 2-pt shot at rim
8:17.0,Detroit full timeout,,3-11,,
8:09.0,B. Griffin makes 2-pt shot from 20 ft (assist by I. Smith),2,5-11,,
7:53.0,Personal foul by I. Smith (drawn by R. Gobert),,5-11,,
7:39.0,,,5-11,,R. Rubio misses 3-pt shot from 39 ft
7:38.0,,,5-11,,Offensive rebound by Team
7:38.0,,,5-11,,Turnover by Team (shot clock)
7:27.0,B. Griffin makes 2-pt shot from 17 ft,2,7-11,,
7:08.0,,,7-13,2,D. Favors makes 2-pt shot from 13 ft (assist by J. Ingles)
6:53.0,S. Johnson makes 2-pt shot from 19 ft (assist by B. Griffin),2,9-13,,
6:40.0,,,9-15,2,J. Ingles makes 2-pt shot from 3 ft
6:26.0,I. Smith misses 3-pt shot from 24 ft,,9-15,,
6:24.0,,,9-15,,Defensive rebound by D. Favors
6:14.0,,,9-18,3,D. Mitchell makes 3-pt shot from 24 ft (assist by D. Favors)
5:54.0,B. Griffin misses 2-pt shot from 20 ft,,9-18,,
5:51.0,,,9-18,,Defensive rebound by J. Ingles
5:44.0,,,9-18,,J. Ingles misses 2-pt shot from 4 ft
5:40.0,Defensive rebound by A. Drummond,,9-18,,
5:35.0,B. Griffin misses 3-pt shot from 25 ft,,9-18,,
5:31.0,,,9-18,,Defensive rebound by D. Mitchell
