time,San Antonio,pts.away,score,pts.home,Chicago
2:08.0,K. Anderson misses 2-pt shot from 10 ft,,85-71,,
2:06.0,,,85-71,,Defensive rebound by L. Markkanen
2:00.0,,,85-73,2,J. Grant makes 2-pt shot from 1 ft (assist by J. Holiday)
2:00.0,,,85-73,,Shooting foul by R. Gay (drawn by J. Grant)
2:00.0,M. Ginobili enters the game for R. Gay,,85-73,,
2:00.0,,,85-74,1,J. Grant makes free throw 1 of 1
1:42.0,D. Green misses 2-pt shot from 20 ft,,85-74,,
1:37.0,,,85-74,,Defensive rebound by D. Nwaba
1:32.0,,,85-74,,Offensive charge foul by J. Grant (drawn by M. Ginobili)
1:32.0,,,85-74,,Turnover by J. Grant (offensive foul)
1:13.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by D. Green),2,87-74,,
1:03.0,,,87-74,,Turnover by J. Grant (lost ball; steal by M. Ginobili)
1:00.0,D. Green misses 3-pt shot from 25 ft,,87-74,,
0:56.0,,,87-74,,Defensive rebound by J. Holiday
0:49.0,,,87-74,,J. Holiday misses 2-pt shot from 3 ft (block by M. Ginobili)
0:46.0,Defensive rebound by J. Lauvergne,,87-74,,
0:43.0,J. Lauvergne misses 2-pt shot from 1 ft,,87-74,,
0:43.0,,,87-74,,Defensive rebound by D. Nwaba
0:38.0,,,87-77,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Nwaba)
0:17.0,J. Lauvergne misses 2-pt shot from 19 ft,,87-77,,
0:14.0,,,87-77,,Defensive rebound by L. Markkanen
0:06.0,,,87-77,,R. Lopez misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by Team,,87-77,,
0:05.0,B. Paul enters the game for M. Ginobili,,87-77,,
