time,San Antonio,pts.away,score,pts.home,Chicago
0:57.0,,,19-19,,J. Holiday misses 2-pt shot from 10 ft
0:54.0,Defensive rebound by J. Lauvergne,,19-19,,
0:46.0,J. Lauvergne misses 2-pt shot from 1 ft (block by R. Lopez),,19-19,,
0:46.0,,,19-19,,Defensive rebound by P. Zipser
0:32.0,,,19-19,,J. Holiday misses 3-pt shot from 26 ft
0:28.0,,,19-19,,Offensive rebound by R. Lopez
0:28.0,,,19-21,2,R. Lopez makes 2-pt shot from 1 ft
0:11.0,Turnover by P. Mills (bad pass),,19-21,,
0:08.0,Personal take foul by P. Mills (drawn by K. Felder),,19-21,,
0:00.0,,,19-21,,K. Felder misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by R. Gay,,19-21,,
0:00.0,R. Gay misses 3-pt shot from 51 ft,,19-21,,
0:00.0,Offensive rebound by Team,,19-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by D. Nwaba (drawn by M. Ginobili),,19-21,,
11:47.0,M. Ginobili misses free throw 1 of 2,,19-21,,
11:47.0,Offensive rebound by Team,,19-21,,
11:47.0,M. Ginobili makes free throw 2 of 2,1,20-21,,
11:34.0,,,20-23,2,K. Felder makes 2-pt shot from 20 ft
11:18.0,Offensive foul by P. Mills (drawn by K. Felder),,20-23,,
11:18.0,Turnover by P. Mills (offensive foul),,20-23,,
11:18.0,D. Green enters the game for P. Mills,,20-23,,
11:18.0,D. Murray enters the game for M. Ginobili,,20-23,,
11:07.0,,,20-23,,Turnover by K. Felder (bad pass; steal by D. Murray)
11:01.0,D. Green makes 2-pt shot at rim (assist by D. Murray),2,22-23,,
10:44.0,,,22-23,,Turnover by D. Valentine (bad pass; steal by R. Gay)
10:38.0,B. Forbes misses 2-pt shot from 1 ft,,22-23,,
10:30.0,Offensive rebound by D. Murray,,22-23,,
10:30.0,R. Gay makes 2-pt shot at rim,2,24-23,,
10:21.0,,,24-23,,Turnover by P. Zipser (traveling)
10:21.0,K. Anderson enters the game for R. Gay,,24-23,,
10:04.0,D. Murray makes 2-pt shot from 19 ft (assist by J. Lauvergne),2,26-23,,
10:04.0,,,26-23,,Chicago full timeout
10:04.0,,,26-23,,L. Markkanen enters the game for P. Zipser
9:50.0,,,26-23,,Turnover by K. Felder (bad pass)
9:33.0,D. Murray misses 2-pt shot from 19 ft,,26-23,,
9:28.0,,,26-23,,Defensive rebound by K. Felder
9:26.0,,,26-25,2,K. Felder makes 2-pt shot from 2 ft
9:26.0,Violation by D. Green (def goaltending),,26-25,,
9:03.0,B. Forbes misses 2-pt shot from 20 ft,,26-25,,
8:54.0,,,26-25,,Defensive rebound by L. Markkanen
8:52.0,,,26-28,3,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Felder)
8:33.0,K. Anderson misses 2-pt shot from 19 ft,,26-28,,
8:29.0,,,26-28,,Defensive rebound by L. Markkanen
8:24.0,L. Aldridge enters the game for B. Forbes,,26-28,,
8:24.0,P. Gasol enters the game for J. Lauvergne,,26-28,,
8:11.0,,,26-28,,D. Valentine misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by K. Anderson,,26-28,,
8:07.0,Turnover by K. Anderson (step out of bounds),,26-28,,
7:54.0,,,26-28,,K. Felder misses 2-pt shot from 21 ft
7:50.0,Defensive rebound by P. Gasol,,26-28,,
7:44.0,D. Murray misses 2-pt shot from 12 ft,,26-28,,
7:41.0,,,26-28,,Defensive rebound by L. Markkanen
7:30.0,,,26-28,,L. Markkanen misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by D. Murray,,26-28,,
7:19.0,L. Aldridge makes 2-pt shot from 11 ft,2,28-28,,
7:04.0,,,28-28,,D. Nwaba misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by L. Aldridge,,28-28,,
6:53.0,L. Aldridge misses 3-pt shot from 25 ft,,28-28,,
6:53.0,,,28-28,,Defensive rebound by D. Nwaba
6:41.0,,,28-28,,L. Markkanen misses 2-pt shot from 4 ft
6:41.0,,,28-28,,Offensive rebound by C. Felicio
6:37.0,,,28-28,,C. Felicio misses 2-pt shot at rim
6:35.0,Defensive rebound by L. Aldridge,,28-28,,
6:24.0,P. Gasol makes 2-pt shot at rim (assist by K. Anderson),2,30-28,,
6:08.0,,,30-30,2,D. Valentine makes 2-pt shot from 9 ft (assist by C. Felicio)
5:57.0,,,30-30,,Personal foul by C. Felicio (drawn by L. Aldridge)
5:57.0,,,30-30,,J. Grant enters the game for K. Felder
5:57.0,,,30-30,,J. Holiday enters the game for D. Nwaba
5:57.0,P. Mills enters the game for D. Murray,,30-30,,
5:43.0,D. Green misses 2-pt shot from 17 ft,,30-30,,
5:39.0,,,30-30,,Defensive rebound by L. Markkanen
5:37.0,,,30-30,,L. Markkanen misses 2-pt shot from 7 ft
5:37.0,Defensive rebound by Team,,30-30,,
5:37.0,M. Ginobili enters the game for D. Green,,30-30,,
5:27.0,,,30-30,,Personal foul by C. Felicio (drawn by L. Aldridge)
5:14.0,K. Anderson makes 2-pt shot from 8 ft (assist by M. Ginobili),2,32-30,,
5:02.0,,,32-32,2,J. Grant makes 2-pt shot from 9 ft
4:50.0,,,32-32,,Violation by J. Grant (kicked ball)
4:50.0,,,32-32,,R. Lopez enters the game for C. Felicio
4:41.0,M. Ginobili misses 2-pt shot from 6 ft,,32-32,,
4:37.0,,,32-32,,Defensive rebound by L. Markkanen
4:22.0,,,32-32,,Turnover by J. Grant (turnover)
4:11.0,Turnover by P. Gasol (traveling),,32-32,,
3:55.0,,,32-32,,D. Valentine misses 2-pt shot from 14 ft
3:51.0,Defensive rebound by K. Anderson,,32-32,,
3:43.0,L. Aldridge misses 2-pt shot from 1 ft,,32-32,,
3:40.0,,,32-32,,Defensive rebound by D. Valentine
3:22.0,,,32-32,,Shooting foul by M. Ginobili (drawn by R. Lopez)
3:22.0,,,32-33,1,R. Lopez makes free throw 1 of 2
3:22.0,San Antonio full timeout,,32-33,,
3:22.0,,,32-33,,P. Zipser enters the game for D. Valentine
3:22.0,R. Gay enters the game for K. Anderson,,32-33,,
3:22.0,,,32-33,,R. Lopez misses free throw 2 of 2
3:18.0,,,32-33,,Offensive rebound by R. Lopez
3:13.0,,,32-33,,L. Markkanen misses 2-pt shot from 2 ft
3:11.0,Defensive rebound by P. Gasol,,32-33,,
2:59.0,L. Aldridge makes 2-pt shot from 16 ft (assist by P. Gasol),2,34-33,,
2:35.0,,,34-33,,P. Zipser misses 2-pt shot from 14 ft
2:31.0,Defensive rebound by P. Gasol,,34-33,,
2:28.0,Turnover by P. Mills (discontinued dribble),,34-33,,
2:13.0,,,34-33,,J. Grant misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by R. Gay,,34-33,,
2:04.0,Turnover by R. Gay (bad pass; steal by J. Holiday),,34-33,,
1:50.0,,,34-35,2,L. Markkanen makes 2-pt shot from 1 ft
1:42.0,R. Gay makes 2-pt shot from 1 ft (assist by P. Gasol),2,36-35,,
1:42.0,Shooting foul by J. Grant (drawn by R. Gay),,36-35,,
1:42.0,R. Gay misses free throw 1 of 1,,36-35,,
1:40.0,Offensive rebound by Team,,36-35,,
1:25.0,R. Gay makes 2-pt shot from 2 ft (assist by M. Ginobili),2,38-35,,
1:16.0,,,38-35,,Turnover by L. Markkanen (bad pass; steal by M. Ginobili)
1:11.0,M. Ginobili makes 2-pt shot at rim,2,40-35,,
0:51.0,,,40-38,3,P. Zipser makes 3-pt shot from 25 ft (assist by J. Grant)
0:31.0,Turnover by P. Gasol (lost ball; steal by L. Markkanen),,40-38,,
0:27.0,,,40-38,,Turnover by L. Markkanen (out of bounds lost ball)
0:06.0,Shooting foul by P. Zipser (drawn by P. Gasol),,40-38,,
0:06.0,P. Gasol misses free throw 1 of 2,,40-38,,
0:06.0,Offensive rebound by Team,,40-38,,
0:06.0,B. Paul enters the game for L. Aldridge,,40-38,,
0:06.0,B. Forbes enters the game for R. Gay,,40-38,,
0:06.0,P. Gasol makes free throw 2 of 2,1,41-38,,
0:03.0,Personal take foul by P. Mills (drawn by J. Grant),,41-38,,
0:03.0,L. Aldridge enters the game for P. Mills,,41-38,,
0:03.0,D. Green enters the game for P. Gasol,,41-38,,
0:00.0,,,41-38,,Turnover by L. Markkanen (out of bounds lost ball)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,P. Gasol misses 2-pt shot from 1 ft,,41-38,,
11:32.0,Offensive rebound by P. Gasol,,41-38,,
11:21.0,P. Gasol makes 2-pt shot at rim (assist by D. Murray),2,43-38,,
11:21.0,Shooting foul by J. Holiday (drawn by P. Gasol),,43-38,,
11:21.0,P. Gasol makes free throw 1 of 1,1,44-38,,
11:04.0,,,44-41,3,R. Lopez makes 3-pt shot from 24 ft
10:51.0,Turnover by P. Gasol (traveling),,44-41,,
10:41.0,,,44-43,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Lopez)
10:22.0,D. Green misses 2-pt shot from 8 ft,,44-43,,
10:22.0,Offensive rebound by P. Gasol,,44-43,,
10:21.0,P. Gasol misses 2-pt shot from 6 ft,,44-43,,
