time,Cleveland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Randolph vs. K. Love (J. Smith gains possession),,,,Jump ball: Z. Randolph vs. K. Love (J. Smith gains possession)
11:47.0,Turnover by L. James (bad pass),,0-0,,
11:26.0,,,0-0,,Z. Randolph misses 2-pt shot from 13 ft
11:24.0,Defensive rebound by K. Love,,0-0,,
11:15.0,J. Smith misses 2-pt shot from 23 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by F. Mason
10:53.0,,,0-3,3,G. Temple makes 3-pt shot from 26 ft
10:31.0,K. Love misses 3-pt shot from 22 ft,,0-3,,
10:28.0,,,0-3,,Defensive rebound by G. Temple
10:18.0,,,0-3,,Turnover by F. Mason (lost ball; steal by J. Crowder)
10:11.0,J. Smith misses 3-pt shot from 23 ft,,0-3,,
10:09.0,Offensive rebound by J. Crowder,,0-3,,
10:07.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Crowder),3,3-3,,
9:50.0,,,3-3,,F. Mason misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by J. Crowder,,3-3,,
9:39.0,K. Love makes 2-pt shot from 2 ft (assist by J. Calderon),2,5-3,,
9:19.0,,,5-3,,G. Temple misses 3-pt shot from 24 ft
9:17.0,,,5-3,,Offensive rebound by Z. Randolph
9:12.0,,,5-3,,Z. Randolph misses 2-pt shot from 4 ft
9:09.0,Defensive rebound by K. Love,,5-3,,
9:05.0,L. James makes 2-pt shot from 1 ft,2,7-3,,
8:45.0,Violation by J. Smith (kicked ball),,7-3,,
8:37.0,,,7-3,,Shooting foul by J. Crowder (drawn by G. Temple)
8:37.0,,,7-3,,G. Temple misses free throw 1 of 2
8:37.0,,,7-3,,Offensive rebound by Team
8:37.0,,,7-4,1,G. Temple makes free throw 2 of 2
8:28.0,Shooting foul by G. Hill (drawn by K. Love),,7-4,,
8:28.0,K. Love makes free throw 1 of 2,1,8-4,,
8:28.0,K. Love makes free throw 2 of 2,1,9-4,,
8:13.0,,,9-4,,Z. Randolph misses 2-pt shot from 2 ft (block by J. Crowder)
8:09.0,Defensive rebound by J. Smith,,9-4,,
8:08.0,L. James makes 2-pt shot at rim,2,11-4,,
8:08.0,Shooting foul by G. Hill (drawn by L. James),,11-4,,
8:08.0,L. James makes free throw 1 of 1,1,12-4,,
7:47.0,,,12-6,2,Z. Randolph makes 2-pt shot from 3 ft (assist by F. Mason)
7:35.0,Shooting foul by G. Temple (drawn by J. Calderon),,12-6,,
7:35.0,J. Calderon misses free throw 1 of 2,,12-6,,
7:35.0,Offensive rebound by Team,,12-6,,
7:35.0,J. Calderon makes free throw 2 of 2,1,13-6,,
7:17.0,,,13-8,2,M. Richardson makes 2-pt shot from 22 ft
7:04.0,Shooting foul by M. Richardson (drawn by J. Crowder),,13-8,,
7:04.0,J. Crowder makes free throw 1 of 2,1,14-8,,
7:04.0,J. Crowder makes free throw 2 of 2,1,15-8,,
6:52.0,,,15-8,,Sacramento full timeout
6:37.0,,,15-8,,M. Richardson misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by K. Love,,15-8,,
6:31.0,L. James misses 2-pt shot from 17 ft,,15-8,,
6:28.0,,,15-8,,Defensive rebound by G. Hill
6:21.0,,,15-8,,B. Bogdanovic enters the game for G. Hill
6:21.0,,,15-8,,W. Cauley-Stein enters the game for F. Mason
6:21.0,T. Thompson enters the game for J. Crowder,,15-8,,
6:14.0,,,15-10,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
5:53.0,J. Calderon misses 2-pt shot from 19 ft,,15-10,,
5:53.0,,,15-10,,Defensive rebound by W. Cauley-Stein
5:44.0,,,15-12,2,Z. Randolph makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
5:22.0,L. James misses 2-pt shot from 13 ft (block by G. Temple),,15-12,,
5:18.0,Offensive rebound by L. James,,15-12,,
5:17.0,L. James misses 2-pt shot from 13 ft,,15-12,,
5:17.0,,,15-12,,Defensive rebound by Team
5:04.0,,,15-12,,G. Temple misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by T. Thompson,,15-12,,
4:56.0,,,15-12,,Personal foul by Z. Randolph (drawn by J. Smith)
4:56.0,J. Smith misses free throw 1 of 2,,15-12,,
4:56.0,Offensive rebound by Team,,15-12,,
4:56.0,J. Smith misses free throw 2 of 2,,15-12,,
4:53.0,,,15-12,,Defensive rebound by W. Cauley-Stein
4:48.0,Personal foul by T. Thompson (drawn by Z. Randolph),,15-12,,
4:42.0,,,15-12,,Shooting foul by L. James (drawn by M. Richardson)
4:42.0,,,15-13,1,M. Richardson makes free throw 1 of 2
4:42.0,,,15-14,1,M. Richardson makes free throw 2 of 2
4:27.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,18-14,,
4:03.0,,,18-16,2,Z. Randolph makes 2-pt shot from 1 ft
3:47.0,Shooting foul by W. Cauley-Stein (drawn by K. Love),,18-16,,
3:47.0,K. Love makes free throw 1 of 2,1,19-16,,
3:47.0,D. Wade enters the game for J. Calderon,,19-16,,
3:47.0,K. Love makes free throw 2 of 2,1,20-16,,
3:24.0,,,20-16,,G. Temple misses 3-pt shot from 22 ft
3:23.0,Defensive rebound by Team,,20-16,,
3:15.0,Shooting foul by G. Temple (drawn by L. James),,20-16,,
3:15.0,L. James misses free throw 1 of 2,,20-16,,
3:15.0,Offensive rebound by Team,,20-16,,
3:15.0,L. James makes free throw 2 of 2,1,21-16,,
3:00.0,,,21-18,2,G. Temple makes 2-pt shot from 15 ft
2:54.0,Cleveland full timeout,,21-18,,
2:54.0,,,21-18,,V. Carter enters the game for M. Richardson
2:46.0,J. Smith misses 3-pt shot from 25 ft,,21-18,,
2:41.0,,,21-18,,Defensive rebound by Z. Randolph
2:24.0,,,21-18,,W. Cauley-Stein misses 2-pt shot from 1 ft (block by D. Wade)
2:21.0,Defensive rebound by J. Smith,,21-18,,
2:13.0,K. Love makes 2-pt shot from 2 ft,2,23-18,,
1:53.0,,,23-18,,Shooting foul by T. Thompson (drawn by Z. Randolph)
1:53.0,,,23-18,,Z. Randolph misses free throw 1 of 2
1:53.0,,,23-18,,Offensive rebound by Team
1:53.0,,,23-18,,B. Hield enters the game for G. Temple
1:53.0,K. Korver enters the game for J. Smith,,23-18,,
1:53.0,,,23-19,1,Z. Randolph makes free throw 2 of 2
1:38.0,T. Thompson misses 2-pt shot from 6 ft,,23-19,,
1:36.0,,,23-19,,Defensive rebound by Z. Randolph
1:27.0,,,23-22,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by Z. Randolph)
1:09.0,,,23-22,,J. Jackson enters the game for Z. Randolph
1:09.0,J. Green enters the game for K. Love,,23-22,,
1:01.0,D. Wade makes 2-pt shot from 20 ft,2,25-22,,
0:48.0,,,25-24,2,V. Carter makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
0:33.0,Turnover by L. James (bad pass; steal by B. Bogdanovic),,25-24,,
0:30.0,,,25-26,2,B. Hield makes 2-pt shot at rim (assist by B. Bogdanovic)
0:08.0,L. James makes 2-pt shot from 23 ft,2,27-26,,
0:00.0,,,27-28,2,B. Bogdanovic makes 2-pt shot from 22 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,27-30,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by V. Carter)
11:30.0,D. Wade misses 2-pt shot from 1 ft (block by W. Cauley-Stein),,27-30,,
11:29.0,J. Green misses 2-pt shot from 1 ft,,27-30,,
11:29.0,Offensive rebound by J. Green,,27-30,,
11:28.0,Offensive rebound by C. Frye,,27-30,,
11:26.0,C. Frye makes 2-pt shot from 1 ft,2,29-30,,
11:11.0,,,29-32,2,B. Bogdanovic makes 2-pt shot from 3 ft
11:11.0,,,29-32,,Shooting foul by D. Wade (drawn by B. Bogdanovic)
11:11.0,,,29-33,1,B. Bogdanovic makes free throw 1 of 1
10:49.0,K. Korver misses 2-pt shot from 17 ft (block by B. Bogdanovic),,29-33,,
10:49.0,,,29-33,,Defensive rebound by Team
10:38.0,,,29-35,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by B. Bogdanovic)
