time,Brooklyn,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Zeller (R. Rondo gains possession),,,,Jump ball: A. Davis vs. T. Zeller (R. Rondo gains possession)
11:37.0,,,0-0,,R. Rondo misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by A. Crabbe,,0-0,,
11:21.0,R. Hollis-Jefferson makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,3-0,,
10:53.0,,,3-3,3,A. Davis makes 3-pt shot from 23 ft (assist by R. Rondo)
10:33.0,A. Crabbe makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,6-3,,
10:17.0,,,6-5,2,D. Cousins makes 2-pt shot from 1 ft (assist by E. Moore)
10:05.0,R. Hollis-Jefferson makes 2-pt shot from 14 ft,2,8-5,,
9:53.0,,,8-5,,R. Rondo misses 2-pt shot from 1 ft
9:49.0,Defensive rebound by T. Zeller,,8-5,,
9:40.0,A. Crabbe misses 3-pt shot from 25 ft,,8-5,,
9:35.0,,,8-5,,Defensive rebound by R. Rondo
9:30.0,,,8-5,,A. Davis misses 2-pt shot from 1 ft (block by S. Dinwiddie)
9:30.0,,,8-5,,Offensive rebound by A. Davis
9:30.0,,,8-5,,Shooting foul by T. Zeller (drawn by A. Davis)
9:30.0,,,8-6,1,A. Davis makes free throw 1 of 2
9:30.0,,,8-7,1,A. Davis makes free throw 2 of 2
9:05.0,Turnover by Team (shot clock),,8-7,,
8:58.0,,,8-7,,J. Holiday misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by R. Hollis-Jefferson,,8-7,,
8:47.0,R. Hollis-Jefferson misses 2-pt shot from 15 ft,,8-7,,
8:43.0,,,8-7,,Defensive rebound by A. Davis
8:40.0,,,8-10,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday)
8:14.0,S. Dinwiddie makes 3-pt shot from 26 ft,3,11-10,,
8:02.0,,,11-12,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo)
7:38.0,T. Zeller misses 3-pt shot from 22 ft,,11-12,,
7:35.0,,,11-12,,Defensive rebound by R. Rondo
7:31.0,,,11-12,,R. Rondo misses 2-pt shot from 1 ft
7:28.0,Defensive rebound by T. Zeller,,11-12,,
7:19.0,Offensive foul by T. Zeller (drawn by D. Cousins),,11-12,,
7:19.0,Turnover by T. Zeller (offensive foul),,11-12,,
