time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. J. Embiid (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. J. Embiid (E. Kanter gains possession)
11:32.0,,,0-0,,K. Porzingis misses 2-pt shot from 22 ft
11:29.0,Defensive rebound by R. Covington,,0-0,,
11:12.0,J. Embiid makes 2-pt shot from 13 ft,2,2-0,,
10:50.0,,,2-0,,K. Porzingis misses 2-pt shot from 14 ft
10:48.0,Defensive rebound by J. Redick,,2-0,,
10:36.0,D. Saric misses 2-pt shot from 22 ft,,2-0,,
10:34.0,,,2-0,,Defensive rebound by E. Kanter
10:23.0,,,2-0,,E. Kanter misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by B. Simmons,,2-0,,
10:15.0,R. Covington makes 3-pt shot from 24 ft (assist by D. Saric),3,5-0,,
9:59.0,,,5-0,,K. Porzingis misses 2-pt shot from 12 ft
9:54.0,Defensive rebound by R. Covington,,5-0,,
9:49.0,Offensive foul by J. Embiid (drawn by L. Thomas),,5-0,,
9:49.0,Turnover by J. Embiid (offensive foul),,5-0,,
9:37.0,,,5-2,2,C. Lee makes 2-pt shot from 20 ft (assist by E. Kanter)
9:13.0,J. Redick makes 2-pt shot from 15 ft,2,7-2,,
8:58.0,,,7-2,,J. Jack misses 2-pt shot from 10 ft
8:56.0,,,7-2,,Offensive rebound by E. Kanter
8:55.0,,,7-2,,E. Kanter misses 2-pt shot from 2 ft (block by J. Embiid)
8:55.0,,,7-2,,Offensive rebound by Team
8:48.0,,,7-2,,Turnover by J. Jack (bad pass; steal by J. Redick)
8:45.0,Turnover by J. Embiid (lost ball; steal by J. Jack),,7-2,,
8:42.0,,,7-2,,Shooting foul by B. Simmons (drawn by K. Porzingis)
8:42.0,,,7-3,1,K. Porzingis makes free throw 1 of 2
8:42.0,,,7-4,1,K. Porzingis makes free throw 2 of 2
8:26.0,R. Covington misses 3-pt shot from 25 ft,,7-4,,
8:22.0,,,7-4,,Defensive rebound by L. Thomas
8:09.0,,,7-6,2,E. Kanter makes 2-pt shot from 6 ft
8:00.0,D. Saric misses 3-pt shot from 25 ft,,7-6,,
8:00.0,,,7-6,,Defensive rebound by J. Jack
7:54.0,,,7-8,2,K. Porzingis makes 2-pt shot at rim (assist by J. Jack)
7:29.0,D. Saric misses 2-pt shot from 12 ft,,7-8,,
7:27.0,,,7-8,,Defensive rebound by E. Kanter
7:18.0,,,7-8,,Turnover by E. Kanter (out of bounds lost ball)
7:08.0,J. Redick makes 2-pt shot from 21 ft,2,9-8,,
6:52.0,,,9-10,2,C. Lee makes 2-pt shot from 8 ft (assist by J. Jack)
6:29.0,Turnover by D. Saric (turnover),,9-10,,
6:29.0,,,9-10,,New York full timeout
6:29.0,T. McConnell enters the game for J. Embiid,,9-10,,
6:29.0,A. Johnson enters the game for J. Redick,,9-10,,
6:09.0,,,9-12,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
5:58.0,R. Covington misses 2-pt shot from 2 ft (block by K. Porzingis),,9-12,,
5:55.0,Offensive rebound by B. Simmons,,9-12,,
5:45.0,A. Johnson makes 2-pt shot from 6 ft,2,11-12,,
5:27.0,,,11-12,,F. Ntilikina enters the game for J. Jack
5:21.0,,,11-14,2,C. Lee makes 2-pt shot from 21 ft
5:10.0,B. Simmons misses 2-pt shot from 16 ft,,11-14,,
5:07.0,,,11-14,,Defensive rebound by E. Kanter
4:58.0,,,11-14,,F. Ntilikina misses 2-pt shot from 19 ft
4:54.0,Defensive rebound by R. Covington,,11-14,,
4:40.0,T. McConnell misses 2-pt shot from 1 ft,,11-14,,
4:40.0,,,11-14,,Defensive rebound by Team
4:40.0,,,11-14,,K. O'Quinn enters the game for E. Kanter
4:40.0,J. Bayless enters the game for B. Simmons,,11-14,,
4:25.0,,,11-14,,C. Lee misses 2-pt shot from 16 ft
4:21.0,,,11-14,,Offensive rebound by C. Lee
4:09.0,,,11-16,2,F. Ntilikina makes 2-pt shot from 1 ft
3:49.0,R. Covington misses 2-pt shot from 1 ft,,11-16,,
3:45.0,Offensive rebound by D. Saric,,11-16,,
3:45.0,D. Saric misses 2-pt shot at rim,,11-16,,
3:44.0,,,11-16,,Defensive rebound by K. O'Quinn
3:35.0,,,11-18,2,K. Porzingis makes 2-pt shot from 8 ft (assist by F. Ntilikina)
3:35.0,Philadelphia full timeout,,11-18,,
3:35.0,,,11-18,,D. McDermott enters the game for L. Thomas
3:35.0,J. Embiid enters the game for A. Johnson,,11-18,,
3:35.0,T. Booker enters the game for D. Saric,,11-18,,
3:18.0,,,11-18,,Personal foul by C. Lee (drawn by J. Embiid)
3:07.0,T. McConnell makes 2-pt shot from 7 ft,2,13-18,,
2:48.0,,,13-20,2,C. Lee makes 2-pt shot from 16 ft
2:31.0,J. Embiid misses 2-pt shot from 5 ft,,13-20,,
2:28.0,Offensive rebound by T. Booker,,13-20,,
2:23.0,T. Booker misses 2-pt shot from 1 ft (block by K. Porzingis),,13-20,,
2:23.0,Offensive rebound by T. McConnell,,13-20,,
2:22.0,J. Bayless misses 3-pt shot from 26 ft,,13-20,,
2:22.0,Offensive rebound by T. Booker,,13-20,,
2:14.0,R. Covington misses 3-pt shot from 26 ft,,13-20,,
2:14.0,,,13-20,,Defensive rebound by K. O'Quinn
2:06.0,,,13-20,,Turnover by F. Ntilikina (bad pass; steal by T. McConnell)
2:05.0,,,13-20,,R. Baker enters the game for C. Lee
2:05.0,J. Redick enters the game for R. Covington,,13-20,,
1:57.0,J. Embiid misses 2-pt shot from 14 ft,,13-20,,
1:53.0,,,13-20,,Defensive rebound by K. Porzingis
1:39.0,,,13-20,,K. O'Quinn misses 2-pt shot from 3 ft (block by J. Bayless)
1:36.0,Defensive rebound by J. Redick,,13-20,,
1:26.0,Turnover by T. Booker (lost ball; steal by K. O'Quinn),,13-20,,
1:22.0,,,13-20,,F. Ntilikina misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by T. McConnell,,13-20,,
1:14.0,T. Booker makes 2-pt shot from 1 ft (assist by J. Bayless),2,15-20,,
1:14.0,Shooting foul by K. Porzingis (drawn by T. Booker),,15-20,,
1:14.0,,,15-20,,M. Beasley enters the game for K. Porzingis
1:14.0,T. Booker makes free throw 1 of 1,1,16-20,,
1:01.0,,,16-22,2,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn)
0:52.0,J. Embiid makes 2-pt shot at rim (assist by T. McConnell),2,18-22,,
0:31.0,,,18-22,,K. O'Quinn misses 2-pt shot from 4 ft (block by J. Embiid)
0:29.0,Defensive rebound by J. Embiid,,18-22,,
0:25.0,Turnover by T. McConnell (bad pass; steal by M. Beasley),,18-22,,
0:18.0,,,18-22,,R. Baker misses 2-pt shot from 3 ft
0:16.0,Defensive rebound by T. Booker,,18-22,,
0:10.0,T. McConnell makes 3-pt shot from 26 ft (assist by J. Bayless),3,21-22,,
0:01.0,,,21-24,2,K. O'Quinn makes 2-pt shot from 10 ft (assist by F. Ntilikina)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Embiid makes 2-pt shot from 7 ft,2,23-24,,
11:24.0,,,23-24,,M. Beasley misses 2-pt shot from 6 ft
11:22.0,Defensive rebound by J. Embiid,,23-24,,
11:14.0,J. Embiid makes 3-pt shot from 26 ft (assist by J. Redick),3,26-24,,
10:54.0,,,26-26,2,M. Beasley makes 2-pt shot from 6 ft (assist by R. Baker)
10:42.0,J. Redick misses 3-pt shot from 25 ft,,26-26,,
10:39.0,,,26-26,,Defensive rebound by K. O'Quinn
10:27.0,,,26-26,,R. Baker misses 2-pt shot from 2 ft
10:25.0,Defensive rebound by J. Embiid,,26-26,,
10:21.0,J. Redick makes 3-pt shot from 26 ft (assist by T. McConnell),3,29-26,,
10:05.0,,,29-28,2,F. Ntilikina makes 2-pt shot from 15 ft
9:52.0,J. Embiid misses 2-pt shot from 13 ft,,29-28,,
9:50.0,,,29-28,,Defensive rebound by Team
9:50.0,,,29-28,,E. Kanter enters the game for K. O'Quinn
9:36.0,,,29-28,,M. Beasley misses 2-pt shot from 9 ft
9:34.0,,,29-28,,Offensive rebound by E. Kanter
9:33.0,,,29-30,2,E. Kanter makes 2-pt shot at rim
9:18.0,J. Redick misses 3-pt shot from 25 ft,,29-30,,
9:15.0,,,29-30,,Defensive rebound by F. Ntilikina
9:10.0,,,29-30,,F. Ntilikina misses 2-pt shot from 1 ft (block by J. Embiid)
9:08.0,Defensive rebound by T. McConnell,,29-30,,
9:08.0,Shooting foul by R. Baker (drawn by J. Redick),,29-30,,
9:08.0,,,29-30,,C. Lee enters the game for R. Baker
9:08.0,R. Covington enters the game for J. Bayless,,29-30,,
9:08.0,B. Simmons enters the game for T. McConnell,,29-30,,
9:08.0,J. Redick makes free throw 1 of 2,1,30-30,,
9:08.0,J. Redick makes free throw 2 of 2,1,31-30,,
8:54.0,,,31-30,,D. McDermott misses 2-pt shot from 19 ft
8:52.0,Defensive rebound by J. Embiid,,31-30,,
8:35.0,B. Simmons makes 2-pt shot from 6 ft (assist by J. Embiid),2,33-30,,
8:15.0,,,33-30,,M. Beasley misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by J. Embiid,,33-30,,
7:57.0,T. Booker misses 2-pt shot from 7 ft,,33-30,,
7:55.0,,,33-30,,Defensive rebound by M. Beasley
7:47.0,,,33-32,2,E. Kanter makes 2-pt shot from 7 ft
7:46.0,Philadelphia full timeout,,33-32,,
7:46.0,,,33-32,,L. Thomas enters the game for F. Ntilikina
7:46.0,,,33-32,,J. Jack enters the game for D. McDermott
7:46.0,D. Saric enters the game for J. Redick,,33-32,,
7:46.0,J. Bayless enters the game for J. Embiid,,33-32,,
7:46.0,A. Johnson enters the game for T. Booker,,33-32,,
7:35.0,Turnover by B. Simmons (bad pass),,33-32,,
7:13.0,,,33-34,2,M. Beasley makes 2-pt shot from 15 ft
6:59.0,R. Covington misses 3-pt shot from 25 ft,,33-34,,
6:56.0,,,33-34,,Defensive rebound by E. Kanter
6:53.0,,,33-34,,M. Beasley misses 2-pt shot from 3 ft (block by B. Simmons)
6:51.0,Jump ball: M. Beasley vs. B. Simmons (D. Saric gains possession),,,,Jump ball: M. Beasley vs. B. Simmons (D. Saric gains possession)
6:51.0,Defensive rebound by Team,,33-34,,
6:44.0,A. Johnson makes 2-pt shot from 6 ft (assist by B. Simmons),2,35-34,,
6:30.0,,,35-34,,Shooting foul by R. Covington (drawn by C. Lee)
6:30.0,,,35-34,,K. Porzingis enters the game for M. Beasley
6:30.0,,,35-35,1,C. Lee makes free throw 1 of 2
6:30.0,,,35-36,1,C. Lee makes free throw 2 of 2
6:20.0,D. Saric makes 2-pt shot from 21 ft (assist by A. Johnson),2,37-36,,
6:07.0,,,37-36,,K. Porzingis misses 2-pt shot from 7 ft
6:06.0,,,37-36,,Offensive rebound by Team
5:50.0,,,37-36,,Turnover by J. Jack (lost ball; steal by A. Johnson)
5:26.0,D. Saric misses 3-pt shot from 23 ft,,37-36,,
5:24.0,,,37-36,,Defensive rebound by Team
5:24.0,Loose ball foul by A. Johnson (drawn by E. Kanter),,37-36,,
5:10.0,,,37-36,,E. Kanter misses 2-pt shot from 5 ft
5:08.0,Defensive rebound by B. Simmons,,37-36,,
5:02.0,B. Simmons misses 2-pt shot from 9 ft,,37-36,,
4:59.0,,,37-36,,Defensive rebound by E. Kanter
4:50.0,Personal foul by J. Bayless (drawn by K. Porzingis),,37-36,,
4:50.0,T. McConnell enters the game for J. Bayless,,37-36,,
4:40.0,,,37-38,2,C. Lee makes 2-pt shot from 15 ft
