time,Milwaukee,pts.away,score,pts.home,Philadelphia
5:40.0,,,89-101,,Philadelphia full timeout
5:40.0,,,89-101,,J. Embiid enters the game for A. Johnson
5:35.0,,,89-103,2,B. Simmons makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
5:15.0,T. Snell misses 3-pt shot from 25 ft,,89-103,,
5:11.0,,,89-103,,Defensive rebound by B. Simmons
5:02.0,,,89-106,3,D. Saric makes 3-pt shot from 25 ft (assist by T. Luwawu-Cabarrot)
4:46.0,Turnover by K. Middleton (bad pass; steal by T. McConnell),,89-106,,
4:45.0,,,89-108,2,T. McConnell makes 2-pt shot from 1 ft
4:45.0,Milwaukee full timeout,,89-108,,
4:31.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Henson),,89-108,,
4:31.0,J. Henson misses free throw 1 of 2,,89-108,,
4:31.0,Offensive rebound by Team,,89-108,,
4:31.0,J. Henson makes free throw 2 of 2,1,90-108,,
4:16.0,,,90-108,,Turnover by T. McConnell (bad pass; steal by S. Brown)
4:16.0,S. Brown makes 2-pt shot from 2 ft,2,92-108,,
4:16.0,Shooting foul by T. McConnell (drawn by S. Brown),,92-108,,
4:16.0,S. Brown misses free throw 1 of 1,,92-108,,
4:14.0,,,92-108,,Defensive rebound by J. Embiid
4:05.0,Personal foul by K. Middleton (drawn by D. Saric),,92-108,,
3:51.0,,,92-110,2,J. Embiid makes 2-pt shot from 1 ft (assist by D. Saric)
3:32.0,K. Middleton misses 3-pt shot from 23 ft,,92-110,,
3:31.0,,,92-110,,Defensive rebound by Team
3:16.0,,,92-110,,J. Embiid misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by K. Middleton,,92-110,,
3:07.0,E. Bledsoe misses 2-pt shot from 5 ft,,92-110,,
3:04.0,Offensive rebound by K. Middleton,,92-110,,
3:02.0,E. Bledsoe misses 3-pt shot from 23 ft,,92-110,,
2:59.0,,,92-110,,Defensive rebound by D. Saric
2:42.0,,,92-110,,J. Embiid misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by T. Snell,,92-110,,
2:30.0,J. Henson makes 2-pt shot from 4 ft (assist by K. Middleton),2,94-110,,
2:03.0,,,94-112,2,J. Embiid makes 2-pt shot from 19 ft
1:55.0,S. Brown misses 3-pt shot from 22 ft,,94-112,,
1:52.0,,,94-112,,Defensive rebound by J. Embiid
1:52.0,,,94-112,,Turnover by J. Embiid (palming)
1:50.0,E. Bledsoe misses 2-pt shot from 5 ft (block by J. Embiid),,94-112,,
1:48.0,,,94-112,,Defensive rebound by Team
1:48.0,,,94-112,,Philadelphia full timeout
1:48.0,,,94-112,,A. Johnson enters the game for J. Embiid
1:48.0,X. Munford enters the game for E. Bledsoe,,94-112,,
1:48.0,D. Wilson enters the game for T. Snell,,94-112,,
1:48.0,S. Kilpatrick enters the game for K. Middleton,,94-112,,
1:48.0,R. Vaughn enters the game for S. Brown,,94-112,,
1:48.0,M. Plumlee enters the game for J. Henson,,94-112,,
1:36.0,,,94-114,2,B. Simmons makes 2-pt shot from 1 ft
1:23.0,X. Munford misses 2-pt shot from 18 ft,,94-114,,
1:19.0,,,94-114,,Defensive rebound by B. Simmons
1:17.0,,,94-114,,Philadelphia full timeout
1:17.0,,,94-114,,J. Anderson enters the game for T. Luwawu-Cabarrot
1:17.0,,,94-114,,J. Young enters the game for D. Saric
1:17.0,,,94-114,,T. Booker enters the game for B. Simmons
0:59.0,,,94-114,,T. Booker misses 2-pt shot from 15 ft
0:56.0,Defensive rebound by M. Plumlee,,94-114,,
0:33.0,Turnover by R. Vaughn (bad pass),,94-114,,
0:16.0,,,94-114,,T. McConnell misses 2-pt shot from 16 ft
0:12.0,,,94-114,,Offensive rebound by A. Johnson
0:12.0,,,94-116,2,A. Johnson makes 2-pt shot at rim
0:06.0,S. Kilpatrick misses 2-pt shot from 9 ft,,94-116,,
0:06.0,Offensive rebound by X. Munford,,94-116,,
0:00.0,X. Munford misses 2-pt shot from 5 ft,,94-116,,
0:00.0,,,94-116,,Defensive rebound by A. Johnson
