time,Milwaukee,pts.away,score,pts.home,Philadelphia
1:04.0,Turnover by J. Terry (lost ball; steal by R. Covington),,27-32,,
0:59.0,,,27-35,3,R. Covington makes 3-pt shot from 23 ft (assist by T. McConnell)
0:38.0,K. Middleton misses 2-pt shot from 17 ft,,27-35,,
0:34.0,,,27-35,,Defensive rebound by J. Embiid
0:27.0,,,27-35,,Turnover by Team (turnover)
0:27.0,T. Snell enters the game for K. Middleton,,27-35,,
0:27.0,S. Kilpatrick enters the game for S. Brown,,27-35,,
0:08.0,Shooting foul by T. Booker (drawn by M. Dellavedova),,27-35,,
0:08.0,M. Dellavedova makes free throw 1 of 2,1,28-35,,
0:08.0,M. Dellavedova makes free throw 2 of 2,1,29-35,,
0:02.0,,,29-37,2,T. McConnell makes 2-pt shot from 1 ft
0:00.0,M. Dellavedova misses 3-pt shot from 34 ft,,29-37,,
0:00.0,Offensive rebound by Team,,29-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,E. Bledsoe misses 2-pt shot from 17 ft,,29-37,,
11:49.0,Offensive rebound by Team,,29-37,,
11:49.0,,,29-37,,Loose ball foul by T. Booker (drawn by J. Henson)
11:40.0,T. Snell misses 2-pt shot from 7 ft (block by R. Covington),,29-37,,
11:40.0,,,29-37,,Defensive rebound by Team
11:20.0,,,29-39,2,J. Embiid makes 2-pt shot from 13 ft
11:08.0,T. Snell makes 2-pt shot at rim (assist by M. Dellavedova),2,31-39,,
10:51.0,,,31-39,,J. Embiid misses 2-pt shot from 14 ft
10:47.0,Defensive rebound by M. Dellavedova,,31-39,,
10:33.0,E. Bledsoe misses 3-pt shot from 26 ft,,31-39,,
10:31.0,,,31-39,,Defensive rebound by T. Luwawu-Cabarrot
10:16.0,,,31-39,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by J. Henson,,31-39,,
9:54.0,S. Kilpatrick misses 3-pt shot from 26 ft,,31-39,,
9:51.0,,,31-39,,Defensive rebound by T. McConnell
9:49.0,Personal foul by M. Dellavedova (drawn by T. McConnell),,31-39,,
9:38.0,Personal foul by J. Henson (drawn by J. Embiid),,31-39,,
9:32.0,,,31-39,,Shooting foul by S. Kilpatrick (drawn by T. Luwawu-Cabarrot)
9:32.0,,,31-40,1,T. Luwawu-Cabarrot makes free throw 1 of 2
9:32.0,,,31-41,1,T. Luwawu-Cabarrot makes free throw 2 of 2
9:18.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Snell),3,34-41,,
9:01.0,,,34-43,2,T. Booker makes 2-pt shot from 9 ft (assist by R. Covington)
8:43.0,J. Henson misses 2-pt shot from 17 ft,,34-43,,
8:39.0,,,34-43,,Defensive rebound by T. Luwawu-Cabarrot
8:32.0,,,34-46,3,J. Embiid makes 3-pt shot from 25 ft (assist by T. McConnell)
8:32.0,Milwaukee full timeout,,34-46,,
8:32.0,,,34-46,,B. Simmons enters the game for T. McConnell
8:32.0,,,34-46,,A. Johnson enters the game for J. Embiid
8:32.0,,,34-46,,D. Saric enters the game for T. Booker
8:32.0,K. Middleton enters the game for S. Kilpatrick,,34-46,,
8:32.0,S. Brown enters the game for M. Dellavedova,,34-46,,
8:21.0,Turnover by S. Brown (step out of bounds),,34-46,,
8:05.0,,,34-46,,R. Covington misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by K. Middleton,,34-46,,
7:59.0,,,34-46,,Personal block foul by B. Simmons (drawn by K. Middleton)
7:59.0,T. Maker enters the game for J. Henson,,34-46,,
7:51.0,S. Brown misses 3-pt shot from 22 ft,,34-46,,
7:44.0,,,34-46,,Defensive rebound by A. Johnson
7:41.0,Personal foul by T. Maker (drawn by R. Covington),,34-46,,
7:41.0,Away from play foul by E. Bledsoe (drawn by T. Luwawu-Cabarrot),,34-46,,
7:41.0,,,34-47,1,T. Luwawu-Cabarrot makes free throw 1 of 1
7:29.0,,,34-49,2,B. Simmons makes 2-pt shot from 11 ft
7:10.0,K. Middleton makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,37-49,,
6:52.0,,,37-51,2,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric)
6:22.0,Turnover by K. Middleton (bad pass; steal by D. Saric),,37-51,,
6:13.0,,,37-51,,Shooting foul by E. Bledsoe (drawn by D. Saric)
6:13.0,,,37-52,1,D. Saric makes free throw 1 of 2
6:13.0,,,37-52,,J. Anderson enters the game for T. Luwawu-Cabarrot
6:13.0,,,37-53,1,D. Saric makes free throw 2 of 2
5:55.0,Turnover by K. Middleton (out of bounds lost ball),,37-53,,
5:47.0,,,37-53,,D. Saric misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by K. Middleton,,37-53,,
5:25.0,T. Snell misses 3-pt shot from 25 ft,,37-53,,
5:20.0,Offensive rebound by S. Brown,,37-53,,
4:58.0,T. Snell makes 2-pt shot from 3 ft,2,39-53,,
4:48.0,,,39-53,,B. Simmons misses 2-pt shot from 7 ft
4:42.0,,,39-53,,Offensive rebound by A. Johnson
4:42.0,,,39-53,,A. Johnson misses 2-pt shot at rim
4:40.0,,,39-53,,Offensive rebound by A. Johnson
4:40.0,,,39-55,2,A. Johnson makes 2-pt shot at rim
4:29.0,T. Snell makes 3-pt shot from 26 ft (assist by K. Middleton),3,42-55,,
4:28.0,,,42-55,,Philadelphia full timeout
4:28.0,,,42-55,,J. Embiid enters the game for A. Johnson
4:28.0,M. Plumlee enters the game for T. Maker,,42-55,,
4:21.0,Personal foul by M. Plumlee (drawn by J. Embiid),,42-55,,
4:21.0,,,42-56,1,J. Embiid makes free throw 1 of 2
4:21.0,,,42-57,1,J. Embiid makes free throw 2 of 2
4:08.0,E. Bledsoe makes 2-pt shot from 17 ft,2,44-57,,
3:57.0,,,44-57,,T. McConnell enters the game for R. Covington
3:48.0,,,44-57,,B. Simmons misses 2-pt shot from 12 ft
3:45.0,Defensive rebound by K. Middleton,,44-57,,
3:43.0,Shooting foul by B. Simmons (drawn by M. Plumlee),,44-57,,
3:43.0,M. Plumlee makes free throw 1 of 2,1,45-57,,
3:43.0,M. Plumlee makes free throw 2 of 2,1,46-57,,
3:23.0,,,46-57,,D. Saric misses 3-pt shot from 25 ft
3:22.0,,,46-57,,Offensive rebound by Team
3:22.0,Loose ball foul by M. Plumlee (drawn by J. Embiid),,46-57,,
3:22.0,,,46-58,1,J. Embiid makes free throw 1 of 2
3:22.0,,,46-59,1,J. Embiid makes free throw 2 of 2
3:12.0,Turnover by E. Bledsoe (traveling),,46-59,,
3:05.0,,,46-59,,Turnover by B. Simmons (bad pass; steal by E. Bledsoe)
3:02.0,,,46-59,,Personal foul by B. Simmons (drawn by E. Bledsoe)
3:02.0,,,46-59,,T. Luwawu-Cabarrot enters the game for B. Simmons
2:54.0,K. Middleton misses 2-pt shot from 7 ft,,46-59,,
2:52.0,,,46-59,,Defensive rebound by J. Embiid
2:45.0,,,46-59,,Turnover by J. Embiid (traveling)
2:27.0,E. Bledsoe misses 2-pt shot from 13 ft,,46-59,,
2:26.0,Offensive rebound by Team,,46-59,,
2:26.0,,,46-59,,Loose ball foul by J. Embiid (drawn by M. Plumlee)
2:26.0,M. Plumlee makes free throw 1 of 2,1,47-59,,
2:26.0,M. Plumlee makes free throw 2 of 2,1,48-59,,
2:10.0,,,48-61,2,J. Embiid makes 2-pt shot from 1 ft
1:53.0,E. Bledsoe makes 3-pt shot from 26 ft,3,51-61,,
1:33.0,,,51-61,,J. Embiid misses 2-pt shot from 5 ft
1:29.0,Defensive rebound by T. Snell,,51-61,,
1:22.0,E. Bledsoe misses 2-pt shot from 8 ft,,51-61,,
1:20.0,,,51-61,,Defensive rebound by D. Saric
1:14.0,,,51-61,,J. Anderson misses 3-pt shot from 22 ft
1:11.0,Defensive rebound by M. Plumlee,,51-61,,
1:01.0,T. Snell makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,53-61,,
0:45.0,,,53-61,,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft
0:42.0,,,53-61,,Offensive rebound by J. Anderson
0:42.0,,,53-61,,J. Anderson misses 2-pt shot at rim
0:40.0,,,53-61,,Offensive rebound by J. Anderson
0:34.0,,,53-61,,J. Embiid misses 2-pt shot from 13 ft
0:29.0,Defensive rebound by K. Middleton,,53-61,,
0:10.0,K. Middleton makes 2-pt shot from 1 ft,2,55-61,,
0:01.0,,,55-61,,T. McConnell misses 2-pt shot from 7 ft
0:01.0,,,55-61,,Offensive rebound by J. Anderson
0:00.0,,,55-61,,J. Anderson misses 2-pt shot at rim
0:00.0,Defensive rebound by M. Plumlee,,55-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,S. Brown misses 3-pt shot from 23 ft,,55-61,,
11:45.0,,,55-61,,Defensive rebound by J. Embiid
11:34.0,,,55-63,2,D. Saric makes 2-pt shot at rim (assist by B. Simmons)
11:27.0,Turnover by T. Snell (bad pass; steal by B. Simmons),,55-63,,
11:27.0,Personal foul by K. Middleton (drawn by B. Simmons),,55-63,,
11:15.0,,,55-63,,Turnover by D. Saric (bad pass; steal by E. Bledsoe)
11:10.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Henson),,55-63,,
11:10.0,J. Henson makes free throw 1 of 2,1,56-63,,
11:10.0,J. Henson makes free throw 2 of 2,1,57-63,,
10:58.0,,,57-66,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by B. Simmons)
10:46.0,E. Bledsoe misses 2-pt shot from 16 ft,,57-66,,
10:43.0,,,57-66,,Defensive rebound by B. Simmons
10:31.0,,,57-68,2,D. Saric makes 2-pt shot from 2 ft
10:16.0,K. Middleton makes 2-pt shot from 16 ft,2,59-68,,
10:07.0,Personal foul by J. Henson (drawn by J. Embiid),,59-68,,
9:58.0,,,59-70,2,D. Saric makes 2-pt shot at rim (assist by B. Simmons)
9:32.0,K. Middleton misses 2-pt shot from 19 ft,,59-70,,
9:29.0,,,59-70,,Defensive rebound by B. Simmons
9:16.0,,,59-70,,Turnover by J. Embiid (lost ball; steal by K. Middleton)
9:12.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by K. Middleton),2,61-70,,
9:12.0,Shooting foul by R. Covington (drawn by E. Bledsoe),,61-70,,
9:12.0,E. Bledsoe makes free throw 1 of 1,1,62-70,,
8:56.0,,,62-70,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by J. Henson,,62-70,,
8:49.0,E. Bledsoe misses 2-pt shot from 16 ft,,62-70,,
8:44.0,,,62-70,,Defensive rebound by D. Saric
8:38.0,,,62-70,,D. Saric misses 3-pt shot from 25 ft
8:26.0,,,62-70,,Offensive rebound by R. Covington
8:23.0,,,62-73,3,R. Covington makes 3-pt shot from 26 ft
8:14.0,J. Henson misses 2-pt shot from 2 ft,,62-73,,
8:11.0,Offensive rebound by J. Henson,,62-73,,
8:10.0,J. Henson makes 2-pt shot from 1 ft,2,64-73,,
7:56.0,,,64-73,,Turnover by B. Simmons (bad pass; steal by T. Snell)
7:50.0,T. Snell makes 3-pt shot from 25 ft (assist by K. Middleton),3,67-73,,
7:48.0,,,67-73,,Philadelphia full timeout
7:37.0,,,67-73,,B. Simmons misses 2-pt shot from 3 ft (block by J. Henson)
7:34.0,,,67-73,,Offensive rebound by D. Saric
7:30.0,,,67-73,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
7:29.0,Defensive rebound by Team,,67-73,,
7:19.0,K. Middleton makes 2-pt shot from 18 ft (assist by J. Henson),2,69-73,,
6:58.0,,,69-73,,Turnover by J. Embiid (bad pass)
6:58.0,,,69-73,,J. Anderson enters the game for T. Luwawu-Cabarrot
6:58.0,,,69-73,,A. Johnson enters the game for J. Embiid
6:58.0,,,69-73,,T. McConnell enters the game for R. Covington
6:49.0,J. Henson makes 2-pt shot from 5 ft (assist by K. Middleton),2,71-73,,
6:32.0,,,71-73,,J. Anderson misses 3-pt shot from 27 ft
6:28.0,Defensive rebound by K. Middleton,,71-73,,
6:23.0,E. Bledsoe misses 3-pt shot from 26 ft,,71-73,,
6:19.0,,,71-73,,Defensive rebound by B. Simmons
6:13.0,,,71-73,,Turnover by B. Simmons (bad pass; steal by E. Bledsoe)
6:05.0,K. Middleton misses 2-pt shot from 15 ft,,71-73,,
5:56.0,,,71-73,,Defensive rebound by B. Simmons
5:56.0,,,71-73,,J. Anderson misses 2-pt shot from 5 ft
5:56.0,,,71-73,,Offensive rebound by A. Johnson
5:56.0,,,71-73,,Shooting foul by S. Brown (drawn by A. Johnson)
5:56.0,,,71-74,1,A. Johnson makes free throw 1 of 2
5:56.0,T. Maker enters the game for J. Henson,,71-74,,
5:56.0,,,71-75,1,A. Johnson makes free throw 2 of 2
5:40.0,Turnover by E. Bledsoe (bad pass),,71-75,,
5:32.0,,,71-75,,Turnover by A. Johnson (bad pass; steal by T. Snell)
5:19.0,K. Middleton misses 2-pt shot from 1 ft,,71-75,,
5:18.0,,,71-75,,Defensive rebound by Team
5:13.0,,,71-75,,Turnover by B. Simmons (bad pass; steal by E. Bledsoe)
5:04.0,E. Bledsoe makes 2-pt shot from 16 ft (assist by T. Maker),2,73-75,,
4:50.0,,,73-75,,Turnover by D. Saric (out of bounds lost ball)
4:36.0,T. Maker misses 3-pt shot from 22 ft,,73-75,,
4:33.0,,,73-75,,Defensive rebound by B. Simmons
4:25.0,,,73-75,,B. Simmons misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by K. Middleton,,73-75,,
4:22.0,,,73-75,,J. Embiid enters the game for J. Anderson
4:22.0,,,73-75,,R. Covington enters the game for A. Johnson
4:22.0,,,73-75,,T. Booker enters the game for D. Saric
4:09.0,,,73-75,,Personal foul by T. McConnell (drawn by E. Bledsoe)
4:09.0,M. Dellavedova enters the game for T. Snell,,73-75,,
4:07.0,T. Maker makes 2-pt shot from 18 ft (assist by K. Middleton),2,75-75,,
3:47.0,,,75-77,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
3:30.0,Shooting foul by J. Embiid (drawn by T. Maker),,75-77,,
3:30.0,T. Maker makes free throw 1 of 2,1,76-77,,
3:30.0,T. Maker makes free throw 2 of 2,1,77-77,,
3:30.0,,,77-77,,Violation by B. Simmons (lane)
3:15.0,,,77-79,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
3:15.0,,,77-79,,Shooting foul by M. Dellavedova (drawn by J. Embiid)
3:15.0,,,77-79,,J. Young enters the game for B. Simmons
3:15.0,,,77-79,,J. Embiid misses free throw 1 of 1
3:15.0,Defensive rebound by K. Middleton,,77-79,,
3:04.0,,,77-79,,Personal foul by T. McConnell (drawn by E. Bledsoe)
3:04.0,E. Bledsoe misses free throw 1 of 2,,77-79,,
3:04.0,Offensive rebound by Team,,77-79,,
3:04.0,E. Bledsoe makes free throw 2 of 2,1,78-79,,
2:49.0,,,78-79,,T. McConnell misses 2-pt shot from 14 ft (block by E. Bledsoe)
2:45.0,,,78-79,,Offensive rebound by T. McConnell
2:43.0,,,78-81,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell)
2:20.0,E. Bledsoe misses 2-pt shot from 3 ft (block by J. Embiid),,78-81,,
2:20.0,Offensive rebound by Team,,78-81,,
2:20.0,Milwaukee full timeout,,78-81,,
2:18.0,T. Maker makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,80-81,,
1:47.0,,,80-81,,J. Embiid misses 3-pt shot from 26 ft (block by T. Maker)
1:47.0,,,80-81,,Offensive rebound by Team
1:47.0,,,80-81,,Turnover by Team (shot clock)
1:33.0,T. Maker misses 2-pt shot from 8 ft,,80-81,,
1:30.0,Offensive rebound by K. Middleton,,80-81,,
1:29.0,E. Bledsoe misses 3-pt shot from 25 ft,,80-81,,
1:26.0,,,80-81,,Defensive rebound by T. McConnell
1:19.0,J. Terry enters the game for E. Bledsoe,,80-81,,
1:06.0,,,80-83,2,J. Embiid makes 2-pt shot from 2 ft (assist by T. McConnell)
1:06.0,,,80-83,,Shooting foul by M. Dellavedova (drawn by J. Embiid)
1:06.0,,,80-84,1,J. Embiid makes free throw 1 of 1
0:46.0,T. Maker misses 2-pt shot from 15 ft,,80-84,,
0:44.0,,,80-84,,Defensive rebound by J. Embiid
0:40.0,,,80-84,,J. Young misses 3-pt shot from 22 ft
0:37.0,Defensive rebound by M. Dellavedova,,80-84,,
0:32.0,J. Terry misses 3-pt shot from 22 ft,,80-84,,
0:28.0,,,80-84,,Defensive rebound by R. Covington
0:07.0,,,80-84,,Turnover by J. Embiid (bad pass)
0:07.0,T. Snell enters the game for K. Middleton,,80-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,80-84,,Turnover by R. Covington (traveling)
11:34.0,M. Dellavedova misses 3-pt shot from 25 ft,,80-84,,
11:30.0,,,80-84,,Defensive rebound by J. Embiid
11:25.0,,,80-84,,R. Covington misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by M. Plumlee,,80-84,,
11:12.0,Turnover by M. Plumlee (lost ball; steal by R. Covington),,80-84,,
11:06.0,,,80-84,,T. McConnell misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by T. Snell,,80-84,,
11:02.0,M. Plumlee makes 2-pt shot at rim (assist by M. Dellavedova),2,82-84,,
10:47.0,,,82-87,3,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by T. McConnell)
10:23.0,M. Dellavedova misses 2-pt shot from 3 ft,,82-87,,
10:21.0,Offensive rebound by M. Plumlee,,82-87,,
10:18.0,J. Terry misses 3-pt shot from 26 ft,,82-87,,
10:18.0,,,82-87,,Defensive rebound by T. Booker
10:05.0,,,82-89,2,T. Booker makes 2-pt shot from 1 ft (assist by R. Covington)
10:05.0,,,82-89,,Shooting foul by J. Terry (drawn by T. Booker)
10:05.0,,,82-89,,A. Johnson enters the game for J. Embiid
10:05.0,K. Middleton enters the game for J. Terry,,82-89,,
10:05.0,,,82-89,,T. Booker misses free throw 1 of 1
10:03.0,Defensive rebound by M. Plumlee,,82-89,,
9:53.0,Turnover by M. Dellavedova (bad pass),,82-89,,
