time,Atlanta,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Dedmon (T. Harris gains possession),,,,Jump ball: A. Drummond vs. D. Dedmon (T. Harris gains possession)
11:41.0,,,0-0,,R. Jackson misses 2-pt shot from 7 ft
11:40.0,,,0-0,,Offensive rebound by R. Jackson
11:38.0,,,0-0,,Shooting foul by D. Dedmon (drawn by A. Drummond)
11:38.0,,,0-1,1,A. Drummond makes free throw 1 of 2
11:38.0,,,0-1,,A. Drummond misses free throw 2 of 2
11:36.0,Defensive rebound by D. Dedmon,,0-1,,
11:20.0,K. Bazemore makes 2-pt shot from 2 ft (assist by L. Babbitt),2,2-1,,
11:20.0,Shooting foul by A. Drummond (drawn by K. Bazemore),,2-1,,
11:20.0,K. Bazemore makes free throw 1 of 1,1,3-1,,
11:05.0,,,3-3,2,A. Bradley makes 2-pt shot from 7 ft (assist by A. Drummond)
10:49.0,D. Schroder makes 2-pt shot from 3 ft,2,5-3,,
10:32.0,,,5-6,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Drummond)
10:19.0,Turnover by K. Bazemore (bad pass),,5-6,,
10:05.0,,,5-6,,Turnover by A. Bradley (bad pass; steal by D. Dedmon)
9:56.0,T. Waller-Prince makes 2-pt shot from 7 ft,2,7-6,,
9:43.0,,,7-6,,R. Bullock misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by D. Dedmon,,7-6,,
9:24.0,,,7-6,,Personal foul by R. Jackson (drawn by T. Waller-Prince)
9:17.0,K. Bazemore misses 2-pt shot from 12 ft,,7-6,,
9:13.0,Offensive rebound by T. Waller-Prince,,7-6,,
8:59.0,K. Bazemore misses 3-pt shot from 23 ft,,7-6,,
8:55.0,Offensive rebound by L. Babbitt,,7-6,,
8:53.0,D. Schroder misses 3-pt shot from 25 ft,,7-6,,
8:51.0,,,7-6,,Defensive rebound by R. Jackson
8:40.0,,,7-6,,Shooting foul by L. Babbitt (drawn by A. Drummond)
8:40.0,,,7-7,1,A. Drummond makes free throw 1 of 2
8:40.0,,,7-7,,A. Drummond misses free throw 2 of 2
8:38.0,Defensive rebound by D. Dedmon,,7-7,,
8:27.0,,,7-7,,Personal foul by A. Bradley (drawn by D. Schroder)
8:19.0,K. Bazemore makes 2-pt shot from 4 ft (assist by T. Waller-Prince),2,9-7,,
8:19.0,,,9-7,,Detroit full timeout
8:07.0,,,9-9,2,T. Harris makes 2-pt shot from 12 ft (assist by R. Jackson)
7:43.0,Turnover by T. Waller-Prince (bad pass),,9-9,,
7:34.0,,,9-12,3,R. Jackson makes 3-pt shot from 23 ft (assist by A. Drummond)
7:23.0,L. Babbitt makes 3-pt shot from 26 ft (assist by D. Schroder),3,12-12,,
7:08.0,,,12-12,,R. Bullock misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by K. Bazemore,,12-12,,
7:00.0,K. Bazemore misses 3-pt shot from 25 ft,,12-12,,
6:58.0,,,12-12,,Defensive rebound by Team
6:58.0,Loose ball foul by D. Dedmon (drawn by A. Bradley),,12-12,,
6:58.0,J. Collins enters the game for L. Babbitt,,12-12,,
6:58.0,M. Belinelli enters the game for D. Dedmon,,12-12,,
6:44.0,,,12-12,,R. Jackson misses 2-pt shot from 5 ft
6:40.0,,,12-12,,Offensive rebound by A. Drummond
6:40.0,,,12-14,2,A. Drummond makes 2-pt shot at rim
6:29.0,T. Waller-Prince misses 2-pt shot from 9 ft,,12-14,,
6:27.0,,,12-14,,Defensive rebound by A. Drummond
6:12.0,,,12-14,,Turnover by T. Harris (bad pass)
6:00.0,Turnover by J. Collins (traveling),,12-14,,
5:45.0,,,12-14,,Shooting foul by K. Bazemore (drawn by T. Harris)
5:45.0,,,12-14,,A. Bradley misses free throw 2 of 2
5:45.0,,,12-14,,Offensive rebound by A. Drummond
5:45.0,,,12-14,,A. Bradley misses free throw 1 of 2
5:45.0,,,12-14,,Offensive rebound by Team
5:45.0,,,12-16,2,A. Drummond makes 2-pt shot from 2 ft
5:45.0,Turnover by J. Collins (lost ball; steal by R. Jackson),,12-16,,
5:20.0,,,12-19,3,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson)
5:20.0,Atlanta full timeout,,12-19,,
5:02.0,M. Belinelli misses 2-pt shot from 15 ft,,12-19,,
5:00.0,Offensive rebound by T. Waller-Prince,,12-19,,
4:58.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by A. Drummond),,12-19,,
4:58.0,Offensive rebound by D. Schroder,,12-19,,
4:47.0,T. Waller-Prince misses 3-pt shot from 25 ft,,12-19,,
4:45.0,,,12-19,,Defensive rebound by R. Bullock
4:35.0,,,12-19,,A. Drummond misses 2-pt shot from 2 ft
4:33.0,,,12-19,,Offensive rebound by A. Drummond
4:32.0,,,12-19,,A. Drummond misses 2-pt shot from 2 ft
4:32.0,,,12-19,,Offensive rebound by A. Drummond
4:28.0,,,12-19,,A. Drummond misses 2-pt shot at rim
4:24.0,Defensive rebound by D. Schroder,,12-19,,
4:19.0,,,12-19,,Personal foul by T. Harris (drawn by M. Belinelli)
4:05.0,K. Bazemore misses 3-pt shot from 25 ft,,12-19,,
4:02.0,,,12-19,,Defensive rebound by T. Harris
3:47.0,,,12-19,,Turnover by A. Drummond (bad pass; steal by K. Bazemore)
3:45.0,K. Bazemore makes 2-pt shot from 1 ft,2,14-19,,
3:24.0,,,14-19,,A. Bradley misses 2-pt shot from 22 ft
3:22.0,,,14-19,,Offensive rebound by A. Bradley
3:19.0,,,14-19,,A. Bradley misses 2-pt shot from 18 ft
3:17.0,Defensive rebound by K. Bazemore,,14-19,,
3:02.0,K. Bazemore misses 2-pt shot from 3 ft,,14-19,,
3:00.0,,,14-19,,Defensive rebound by A. Drummond
2:52.0,,,14-19,,R. Jackson misses 2-pt shot from 5 ft (block by J. Collins)
2:50.0,,,14-19,,Offensive rebound by A. Drummond
2:49.0,,,14-19,,A. Drummond misses 2-pt shot from 2 ft (block by T. Waller-Prince)
2:49.0,,,14-19,,Offensive rebound by R. Bullock
2:41.0,,,14-19,,R. Jackson misses 3-pt shot from 24 ft
2:38.0,,,14-19,,Offensive rebound by T. Harris
2:28.0,,,14-19,,R. Jackson misses 3-pt shot from 22 ft
2:24.0,Defensive rebound by K. Bazemore,,14-19,,
2:22.0,D. Schroder makes 2-pt shot at rim (assist by K. Bazemore),2,16-19,,
2:07.0,,,16-21,2,R. Jackson makes 2-pt shot from 2 ft
1:48.0,D. Schroder misses 2-pt shot from 21 ft,,16-21,,
1:47.0,Offensive rebound by Team,,16-21,,
1:47.0,,,16-21,,L. Galloway enters the game for R. Jackson
1:47.0,,,16-21,,I. Smith enters the game for R. Bullock
1:47.0,L. Babbitt enters the game for D. Schroder,,16-21,,
