time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. E. Kanter (D. Saric gains possession),,,,Jump ball: J. Embiid vs. E. Kanter (D. Saric gains possession)
11:44.0,,,0-2,2,B. Simmons makes 2-pt shot from 9 ft
11:25.0,Shooting foul by R. Covington (drawn by T. Hardaway),,0-2,,
11:25.0,T. Hardaway misses free throw 1 of 2,,0-2,,
11:25.0,Offensive rebound by Team,,0-2,,
11:25.0,T. Hardaway makes free throw 2 of 2,1,1-2,,
11:13.0,,,1-2,,Shooting foul by E. Kanter (drawn by J. Embiid)
11:13.0,,,1-3,1,J. Embiid makes free throw 1 of 2
11:13.0,,,1-3,,J. Embiid misses free throw 2 of 2
11:10.0,Defensive rebound by T. Hardaway,,1-3,,
10:56.0,M. Beasley makes 2-pt shot from 1 ft,2,3-3,,
10:46.0,,,3-6,3,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric)
10:32.0,T. Hardaway misses 2-pt shot from 16 ft,,3-6,,
10:29.0,,,3-6,,Defensive rebound by J. Embiid
10:19.0,,,3-6,,Turnover by J. Embiid (bad pass; steal by T. Hardaway)
10:15.0,Turnover by T. Hardaway (bad pass; steal by B. Simmons),,3-6,,
10:09.0,Personal foul by T. Hardaway (drawn by J. Redick),,3-6,,
10:01.0,,,3-8,2,B. Simmons makes 2-pt shot from 1 ft (assist by R. Covington)
9:42.0,M. Beasley misses 2-pt shot from 7 ft (block by B. Simmons),,3-8,,
9:42.0,Offensive rebound by Team,,3-8,,
9:37.0,Turnover by J. Jack (lost ball; steal by J. Embiid),,3-8,,
9:33.0,,,3-8,,Shooting foul by E. Kanter (drawn by D. Saric)
9:33.0,K. O'Quinn enters the game for E. Kanter,,3-8,,
9:33.0,,,3-8,,D. Saric misses free throw 1 of 2
9:33.0,,,3-8,,Offensive rebound by Team
9:33.0,,,3-9,1,D. Saric makes free throw 2 of 2
9:21.0,M. Beasley makes 2-pt shot from 14 ft,2,5-9,,
9:12.0,,,5-9,,Turnover by B. Simmons (lost ball; steal by K. O'Quinn)
9:05.0,M. Beasley misses 2-pt shot from 8 ft,,5-9,,
9:05.0,Offensive rebound by M. Beasley,,5-9,,
8:48.0,K. O'Quinn makes 2-pt shot from 4 ft,2,7-9,,
8:41.0,,,7-9,,J. Embiid misses 3-pt shot from 26 ft
8:35.0,,,7-9,,Offensive rebound by B. Simmons
8:30.0,,,7-9,,Offensive charge foul by J. Embiid (drawn by T. Hardaway)
8:30.0,,,7-9,,Turnover by J. Embiid (offensive foul)
8:17.0,J. Jack makes 2-pt shot from 8 ft,2,9-9,,
8:17.0,,,9-9,,Philadelphia full timeout
7:52.0,,,9-11,2,J. Embiid makes 2-pt shot from 5 ft
7:28.0,T. Hardaway misses 3-pt shot from 26 ft,,9-11,,
7:25.0,,,9-11,,Defensive rebound by B. Simmons
7:11.0,,,9-11,,J. Redick misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by J. Jack,,9-11,,
7:03.0,Turnover by K. O'Quinn (lost ball; steal by B. Simmons),,9-11,,
6:57.0,,,9-13,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
6:42.0,Offensive foul by K. O'Quinn (drawn by J. Redick),,9-13,,
6:42.0,Turnover by K. O'Quinn (offensive foul),,9-13,,
6:42.0,,,9-13,,T. McConnell enters the game for J. Embiid
6:42.0,,,9-13,,A. Johnson enters the game for J. Redick
6:42.0,E. Mudiay enters the game for L. Thomas,,9-13,,
6:42.0,C. Lee enters the game for J. Jack,,9-13,,
6:33.0,,,9-13,,D. Saric misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by M. Beasley,,9-13,,
6:19.0,Jump ball: B. Simmons vs. C. Lee (T. McConnell gains possession),,,,Jump ball: B. Simmons vs. C. Lee (T. McConnell gains possession)
6:19.0,Turnover by C. Lee (turnover; steal by B. Simmons),,9-13,,
6:14.0,,,9-13,,T. McConnell misses 2-pt shot from 11 ft (block by K. O'Quinn)
6:11.0,Defensive rebound by E. Mudiay,,9-13,,
6:08.0,T. Hardaway misses 3-pt shot from 27 ft,,9-13,,
6:04.0,,,9-13,,Defensive rebound by R. Covington
5:54.0,,,9-16,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
5:41.0,K. O'Quinn misses 2-pt shot from 11 ft,,9-16,,
5:39.0,,,9-16,,Defensive rebound by R. Covington
5:28.0,,,9-18,2,D. Saric makes 2-pt shot from 3 ft (assist by T. McConnell)
5:27.0,New York full timeout,,9-18,,
5:27.0,F. Ntilikina enters the game for T. Hardaway,,9-18,,
5:09.0,E. Mudiay makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,11-18,,
4:58.0,,,11-18,,D. Saric misses 3-pt shot from 26 ft
