time,San Antonio,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. P. Gasol (D. Murray gains possession),,,,Jump ball: N. Vucevic vs. P. Gasol (D. Murray gains possession)
11:39.0,D. Murray misses 2-pt shot from 10 ft,,0-0,,
11:35.0,Offensive rebound by D. Murray,,0-0,,
11:35.0,D. Murray misses 2-pt shot from 2 ft (block by N. Vucevic),,0-0,,
11:35.0,,,0-0,,Defensive rebound by T. Ross
11:14.0,,,0-2,2,E. Fournier makes 2-pt shot from 8 ft
11:00.0,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Anderson),2,2-2,,
10:46.0,,,2-2,,Turnover by E. Fournier (lost ball; steal by D. Green)
10:30.0,Turnover by D. Green (out of bounds lost ball),,2-2,,
10:12.0,,,2-4,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
10:11.0,San Antonio full timeout,,2-4,,
9:59.0,D. Green makes 2-pt shot from 2 ft (assist by D. Murray),2,4-4,,
9:42.0,,,4-4,,Turnover by E. Fournier (lost ball; steal by D. Murray)
9:38.0,D. Green misses 2-pt shot from 17 ft,,4-4,,
9:34.0,,,4-4,,Defensive rebound by T. Ross
9:29.0,,,4-4,,T. Ross misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by P. Gasol,,4-4,,
9:18.0,L. Aldridge misses 2-pt shot from 1 ft,,4-4,,
9:16.0,,,4-4,,Defensive rebound by A. Gordon
9:07.0,,,4-4,,T. Ross misses 2-pt shot from 14 ft
9:01.0,Defensive rebound by P. Gasol,,4-4,,
8:55.0,P. Gasol makes 2-pt shot from 20 ft (assist by D. Murray),2,6-4,,
8:41.0,,,6-6,2,E. Fournier makes 2-pt shot from 1 ft (assist by D. Augustin)
8:28.0,,,6-6,,Personal foul by T. Ross (drawn by D. Green)
8:16.0,D. Murray misses 2-pt shot from 21 ft,,6-6,,
8:14.0,,,6-6,,Defensive rebound by A. Gordon
8:07.0,,,6-8,2,A. Gordon makes 2-pt shot from 10 ft
7:54.0,,,6-8,,Def 3 sec tech foul by T. Ross
7:54.0,L. Aldridge makes technical free throw,1,7-8,,
7:41.0,K. Anderson misses 2-pt shot from 17 ft,,7-8,,
7:39.0,,,7-8,,Defensive rebound by T. Ross
7:29.0,,,7-8,,D. Augustin misses 3-pt shot from 26 ft
7:29.0,,,7-8,,Offensive rebound by N. Vucevic
7:25.0,,,7-8,,N. Vucevic misses 2-pt shot from 8 ft
7:25.0,Defensive rebound by K. Anderson,,7-8,,
7:06.0,Turnover by K. Anderson (out of bounds lost ball),,7-8,,
6:52.0,,,7-11,3,D. Augustin makes 3-pt shot from 22 ft (assist by N. Vucevic)
6:28.0,L. Aldridge makes 2-pt shot from 14 ft,2,9-11,,
6:17.0,,,9-13,2,N. Vucevic makes 2-pt shot from 2 ft (assist by A. Gordon)
6:04.0,Turnover by D. Murray (turnover),,9-13,,
6:04.0,R. Gay enters the game for P. Gasol,,9-13,,
5:49.0,,,9-13,,T. Ross misses 3-pt shot from 27 ft
5:45.0,Defensive rebound by K. Anderson,,9-13,,
5:39.0,D. Murray misses 2-pt shot from 2 ft (block by A. Gordon),,9-13,,
5:35.0,,,9-13,,Defensive rebound by E. Fournier
5:32.0,,,9-13,,E. Fournier misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by R. Gay,,9-13,,
5:19.0,L. Aldridge makes 2-pt shot from 4 ft (assist by K. Anderson),2,11-13,,
5:12.0,M. Ginobili enters the game for D. Murray,,11-13,,
5:12.0,P. Mills enters the game for D. Green,,11-13,,
5:03.0,,,11-13,,Turnover by N. Vucevic (bad pass; steal by M. Ginobili)
5:01.0,M. Ginobili misses 2-pt shot from 4 ft (block by T. Ross),,11-13,,
5:01.0,,,11-13,,Defensive rebound by D. Augustin
4:56.0,M. Ginobili misses 2-pt shot from 12 ft,,11-13,,
4:53.0,,,11-13,,Defensive rebound by T. Ross
4:51.0,,,11-13,,D. Augustin misses 2-pt shot from 3 ft
4:51.0,,,11-13,,Offensive rebound by E. Fournier
4:51.0,,,11-13,,J. Simmons enters the game for T. Ross
4:44.0,,,11-15,2,J. Simmons makes 2-pt shot from 1 ft (assist by A. Gordon)
4:23.0,M. Ginobili misses 3-pt shot from 23 ft,,11-15,,
4:20.0,,,11-15,,Defensive rebound by D. Augustin
4:06.0,,,11-18,3,E. Fournier makes 3-pt shot from 25 ft (assist by D. Augustin)
3:47.0,,,11-18,,Personal foul by J. Simmons (drawn by R. Gay)
3:47.0,B. Forbes enters the game for K. Anderson,,11-18,,
3:36.0,L. Aldridge makes 3-pt shot from 26 ft (assist by R. Gay),3,14-18,,
3:15.0,,,14-20,2,E. Fournier makes 2-pt shot from 19 ft (assist by N. Vucevic)
3:15.0,,,14-20,,Shooting foul by M. Ginobili (drawn by E. Fournier)
3:15.0,,,14-20,,E. Fournier misses free throw 1 of 1
3:15.0,Defensive rebound by L. Aldridge,,14-20,,
3:15.0,,,14-20,,S. Mack enters the game for D. Augustin
2:59.0,L. Aldridge misses 2-pt shot from 8 ft,,14-20,,
2:46.0,,,14-20,,Defensive rebound by S. Mack
2:44.0,,,14-22,2,A. Gordon makes 2-pt shot from 2 ft (assist by S. Mack)
2:30.0,P. Mills makes 2-pt shot from 2 ft (assist by R. Gay),2,16-22,,
2:21.0,,,16-25,3,N. Vucevic makes 3-pt shot from 25 ft (assist by S. Mack)
2:11.0,Shooting foul by S. Mack (drawn by P. Mills),,16-25,,
2:11.0,,,16-25,,Orlando full timeout
2:11.0,,,16-25,,B. Biyombo enters the game for A. Gordon
2:11.0,,,16-25,,J. Isaac enters the game for N. Vucevic
2:11.0,P. Gasol enters the game for L. Aldridge,,16-25,,
2:11.0,P. Mills makes free throw 1 of 2,1,17-25,,
2:11.0,P. Mills makes free throw 2 of 2,1,18-25,,
1:46.0,,,18-28,3,E. Fournier makes 3-pt shot from 26 ft (assist by S. Mack)
1:33.0,P. Mills misses 2-pt shot from 21 ft,,18-28,,
1:30.0,,,18-28,,Defensive rebound by J. Simmons
1:12.0,,,18-28,,Shooting foul by B. Forbes (drawn by J. Simmons)
1:12.0,,,18-28,,J. Simmons misses free throw 2 of 2
1:12.0,Defensive rebound by R. Gay,,18-28,,
1:12.0,,,18-28,,J. Simmons misses free throw 1 of 2
1:12.0,,,18-28,,Offensive rebound by Team
0:57.0,M. Ginobili misses 3-pt shot from 26 ft,,18-28,,
0:55.0,,,18-28,,Defensive rebound by J. Simmons
0:42.0,,,18-30,2,J. Simmons makes 2-pt shot from 18 ft
0:27.0,R. Gay misses 2-pt shot from 7 ft (block by B. Biyombo),,18-30,,
0:27.0,Offensive rebound by Team,,18-30,,
0:24.0,M. Ginobili misses 3-pt shot from 24 ft,,18-30,,
0:24.0,,,18-30,,Defensive rebound by B. Biyombo
0:03.0,,,18-32,2,J. Simmons makes 2-pt shot from 1 ft
0:00.0,M. Ginobili misses 3-pt shot from 25 ft,,18-32,,
0:00.0,Offensive rebound by Team,,18-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by B. Forbes (drawn by J. Simmons),,18-32,,
11:41.0,,,18-34,2,J. Simmons makes 2-pt shot from 8 ft
11:24.0,B. Forbes misses 2-pt shot from 18 ft,,18-34,,
11:22.0,Offensive rebound by R. Gay,,18-34,,
11:21.0,Offensive charge foul by R. Gay (drawn by J. Isaac),,18-34,,
11:21.0,Turnover by R. Gay (offensive foul),,18-34,,
11:21.0,D. Green enters the game for B. Forbes,,18-34,,
11:03.0,,,18-34,,Turnover by B. Biyombo (offensive goaltending)
10:55.0,Shooting foul by B. Biyombo (drawn by P. Gasol),,18-34,,
10:55.0,P. Gasol makes free throw 1 of 2,1,19-34,,
10:55.0,D. Murray enters the game for P. Mills,,19-34,,
10:55.0,D. Bertans enters the game for R. Gay,,19-34,,
10:55.0,P. Gasol makes free throw 2 of 2,1,20-34,,
10:44.0,,,20-34,,J. Simmons misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by D. Green,,20-34,,
10:29.0,Turnover by D. Green (lost ball; steal by S. Mack),,20-34,,
10:29.0,Personal foul by M. Ginobili (drawn by J. Isaac),,20-34,,
10:29.0,,,20-35,1,J. Isaac makes clear path free throw 2 of 2
10:29.0,,,20-36,1,J. Isaac makes clear path free throw 1 of 2
10:16.0,,,20-38,2,T. Ross makes 2-pt shot from 1 ft (assist by J. Simmons)
10:02.0,,,20-38,,Personal foul by J. Simmons (drawn by M. Ginobili)
10:02.0,M. Ginobili makes free throw 2 of 2,1,23-38,,
10:02.0,M. Ginobili makes free throw 1 of 2,1,24-38,,
9:46.0,,,24-38,,J. Simmons misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by D. Bertans,,24-38,,
9:34.0,M. Ginobili makes 2-pt shot from 2 ft (assist by D. Murray),2,22-38,,
9:30.0,,,22-38,,Turnover by S. Mack (bad pass)
9:15.0,Turnover by D. Green (traveling),,22-38,,
9:14.0,B. Paul enters the game for M. Ginobili,,22-38,,
9:03.0,,,24-40,2,S. Mack makes 2-pt shot from 17 ft
8:48.0,D. Green misses 3-pt shot from 25 ft,,24-40,,
8:48.0,,,24-40,,Defensive rebound by J. Isaac
8:36.0,,,24-40,,Turnover by T. Ross (lost ball; steal by B. Paul)
