time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: T. Thompson vs. K. Porzingis (E. Kanter gains possession)
11:47.0,Turnover by E. Kanter (turnover),,0-0,,
11:37.0,,,0-2,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
11:19.0,K. Porzingis makes 2-pt shot from 19 ft (assist by J. Jack),2,2-2,,
11:02.0,,,2-2,,K. Love misses 2-pt shot from 12 ft
10:59.0,Defensive rebound by E. Kanter,,2-2,,
10:55.0,C. Lee makes 2-pt shot from 3 ft (assist by J. Jack),2,4-2,,
10:34.0,,,4-2,,D. Rose misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by C. Lee,,4-2,,
10:16.0,J. Jack misses 3-pt shot from 27 ft,,4-2,,
10:12.0,,,4-2,,Defensive rebound by K. Love
10:07.0,,,4-2,,Turnover by D. Rose (lost ball; steal by J. Jack)
9:59.0,K. Porzingis misses 2-pt shot from 19 ft,,4-2,,
9:56.0,,,4-2,,Defensive rebound by L. James
9:42.0,Personal foul by T. Hardaway (drawn by L. James),,4-2,,
9:35.0,,,4-2,,Offensive foul by K. Love (drawn by K. Porzingis)
9:35.0,,,4-2,,Turnover by K. Love (offensive foul)
9:23.0,Turnover by J. Jack (bad pass; steal by K. Love),,4-2,,
9:11.0,,,4-2,,Shooting foul by J. Jack (drawn by D. Rose)
9:11.0,,,4-3,1,D. Rose makes free throw 1 of 2
9:11.0,,,4-4,1,D. Rose makes free throw 2 of 2
9:02.0,,,4-4,,Personal foul by J. Smith (drawn by T. Hardaway)
8:53.0,K. Porzingis makes 2-pt shot from 18 ft,2,6-4,,
8:39.0,,,6-4,,K. Love misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by T. Hardaway,,6-4,,
8:33.0,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway),2,8-4,,
8:10.0,,,8-7,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
7:58.0,E. Kanter makes 2-pt shot from 14 ft (assist by J. Jack),2,10-7,,
7:38.0,,,10-10,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
7:14.0,T. Hardaway misses 2-pt shot from 2 ft,,10-10,,
7:10.0,,,10-10,,Defensive rebound by K. Love
7:04.0,,,10-13,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
6:57.0,New York full timeout,,10-13,,
6:51.0,T. Hardaway misses 3-pt shot from 26 ft (block by J. Smith),,10-13,,
6:47.0,,,10-13,,Defensive rebound by L. James
6:37.0,,,10-13,,K. Love misses 2-pt shot from 15 ft
6:35.0,Defensive rebound by E. Kanter,,10-13,,
6:23.0,E. Kanter misses 2-pt shot from 3 ft,,10-13,,
6:23.0,Offensive rebound by Team,,10-13,,
6:21.0,C. Lee misses 2-pt shot from 19 ft,,10-13,,
6:18.0,,,10-13,,Defensive rebound by K. Love
6:14.0,,,10-13,,Turnover by L. James (bad pass; steal by E. Kanter)
6:02.0,C. Lee makes 3-pt shot from 28 ft (assist by J. Jack),3,13-13,,
5:47.0,,,13-13,,L. James misses 2-pt shot from 13 ft
5:43.0,Defensive rebound by J. Jack,,13-13,,
5:39.0,C. Lee misses 3-pt shot from 24 ft,,13-13,,
5:39.0,Offensive rebound by T. Hardaway,,13-13,,
5:33.0,T. Hardaway makes 2-pt shot from 12 ft,2,15-13,,
5:22.0,,,15-13,,Turnover by D. Rose (lost ball; steal by C. Lee)
5:19.0,T. Hardaway makes 2-pt shot from 1 ft (assist by J. Jack),2,17-13,,
5:19.0,,,17-13,,Cleveland full timeout
5:19.0,,,17-13,,J. Green enters the game for L. James
5:04.0,,,17-13,,J. Smith misses 3-pt shot from 25 ft
5:01.0,,,17-13,,Offensive rebound by K. Love
4:55.0,,,17-13,,D. Rose misses 2-pt shot from 18 ft
