time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. K. Love (D. Collison gains possession),,,,Jump ball: M. Turner vs. K. Love (D. Collison gains possession)
11:43.0,,,0-2,2,M. Turner makes 2-pt shot from 17 ft (assist by D. Collison)
11:23.0,Offensive charge foul by K. Love (drawn by T. Young),,0-2,,
11:23.0,Turnover by K. Love (offensive foul),,0-2,,
11:02.0,,,0-2,,T. Young misses 2-pt shot from 4 ft
11:00.0,Defensive rebound by K. Love,,0-2,,
10:41.0,L. James misses 3-pt shot from 24 ft,,0-2,,
10:37.0,,,0-2,,Defensive rebound by B. Bogdanovic
10:30.0,,,0-2,,T. Young misses 2-pt shot at rim
10:30.0,,,0-2,,Offensive rebound by T. Young
10:30.0,,,0-2,,Shooting foul by K. Love (drawn by T. Young)
10:30.0,,,0-2,,T. Young misses free throw 1 of 2
10:30.0,,,0-2,,Offensive rebound by Team
10:30.0,,,0-3,1,T. Young makes free throw 2 of 2
10:12.0,K. Love misses 3-pt shot from 27 ft,,0-3,,
10:09.0,,,0-3,,Defensive rebound by B. Bogdanovic
10:01.0,,,0-3,,Turnover by V. Oladipo (lost ball; steal by K. Love)
9:55.0,L. James makes 2-pt shot at rim (assist by J. Calderon),2,2-3,,
9:42.0,,,2-3,,B. Bogdanovic misses 2-pt shot from 8 ft (block by K. Korver)
9:42.0,,,2-3,,Offensive rebound by Team
9:42.0,T. Thompson enters the game for K. Love,,2-3,,
9:37.0,,,2-3,,B. Bogdanovic misses 2-pt shot from 17 ft
9:33.0,Defensive rebound by L. James,,2-3,,
9:27.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,5-3,,
9:18.0,,,5-3,,V. Oladipo misses 3-pt shot from 28 ft
9:14.0,Defensive rebound by K. Korver,,5-3,,
9:03.0,K. Korver misses 3-pt shot from 28 ft,,5-3,,
9:00.0,,,5-3,,Defensive rebound by B. Bogdanovic
8:57.0,,,5-3,,D. Collison misses 2-pt shot from 13 ft
8:54.0,,,5-3,,Offensive rebound by V. Oladipo
8:54.0,,,5-3,,V. Oladipo misses 2-pt shot at rim
8:54.0,,,5-3,,Offensive rebound by Team
8:54.0,Loose ball foul by J. Calderon (drawn by T. Young),,5-3,,
8:40.0,,,5-5,2,V. Oladipo makes 2-pt shot from 1 ft
8:32.0,,,5-5,,Personal foul by D. Collison (drawn by J. Calderon)
8:25.0,J. Calderon makes 2-pt shot from 2 ft,2,7-5,,
8:17.0,,,7-5,,B. Bogdanovic misses 3-pt shot from 23 ft (block by K. Korver)
8:13.0,Defensive rebound by J. Smith,,7-5,,
7:54.0,,,7-5,,Personal foul by M. Turner (drawn by T. Thompson)
7:42.0,L. James makes 2-pt shot from 1 ft (assist by T. Thompson),2,9-5,,
7:19.0,,,9-8,3,T. Young makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
7:00.0,J. Smith misses 2-pt shot from 6 ft,,9-8,,
6:56.0,,,9-8,,Defensive rebound by T. Young
6:51.0,,,9-8,,T. Young misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by J. Smith,,9-8,,
6:42.0,L. James makes 2-pt shot from 1 ft,2,11-8,,
6:36.0,,,11-8,,Indiana full timeout
6:28.0,,,11-8,,Turnover by V. Oladipo (bad pass)
6:17.0,Shooting foul by V. Oladipo (drawn by K. Korver),,11-8,,
6:17.0,K. Korver makes free throw 1 of 3,1,12-8,,
6:17.0,K. Korver makes free throw 2 of 3,1,13-8,,
6:17.0,K. Korver misses free throw 3 of 3,,13-8,,
6:17.0,,,13-8,,Defensive rebound by T. Young
6:03.0,,,13-8,,D. Collison misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by J. Calderon,,13-8,,
5:52.0,J. Calderon misses 3-pt shot from 24 ft,,13-8,,
5:49.0,,,13-8,,Defensive rebound by T. Young
5:25.0,,,13-10,2,M. Turner makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
5:09.0,K. Korver misses 3-pt shot from 29 ft,,13-10,,
5:07.0,,,13-10,,Defensive rebound by D. Collison
