time,Toronto,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: K. Towns vs. J. Valanciunas (S. Ibaka gains possession)
11:43.0,K. Lowry makes 3-pt shot from 23 ft (assist by D. DeRozan),3,3-0,,
11:27.0,,,3-0,,A. Wiggins misses 3-pt shot from 24 ft
11:26.0,,,3-0,,Offensive rebound by N. Bjelica
11:26.0,,,3-2,2,N. Bjelica makes 2-pt shot at rim
11:26.0,,,3-2,,Shooting foul by J. Valanciunas (drawn by N. Bjelica)
11:26.0,,,3-3,1,N. Bjelica makes free throw 1 of 1
11:14.0,Turnover by S. Ibaka (bad pass; steal by N. Bjelica),,3-3,,
11:09.0,,,3-3,,N. Bjelica misses 2-pt shot from 2 ft (block by D. DeRozan)
11:04.0,Defensive rebound by O. Anunoby,,3-3,,
10:57.0,D. DeRozan misses 2-pt shot from 20 ft,,3-3,,
10:55.0,,,3-3,,Defensive rebound by J. Teague
10:42.0,,,3-3,,J. Teague misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by J. Valanciunas,,3-3,,
10:29.0,Turnover by D. DeRozan (lost ball; steal by N. Bjelica),,3-3,,
10:25.0,,,3-5,2,N. Bjelica makes 2-pt shot from 2 ft (assist by A. Wiggins)
10:05.0,D. DeRozan makes 2-pt shot from 23 ft (assist by K. Lowry),2,5-5,,
9:46.0,,,5-7,2,A. Wiggins makes 2-pt shot from 21 ft
9:34.0,Turnover by J. Valanciunas (turnover),,5-7,,
9:34.0,Loose ball foul by J. Valanciunas (drawn by A. Wiggins),,5-7,,
9:34.0,L. Nogueira enters the game for J. Valanciunas,,5-7,,
9:19.0,,,5-7,,T. Gibson misses 2-pt shot from 3 ft
9:17.0,Defensive rebound by L. Nogueira,,5-7,,
9:10.0,K. Lowry makes 2-pt shot at rim,2,7-7,,
9:06.0,,,7-7,,Turnover by J. Teague (bad pass; steal by D. DeRozan)
8:59.0,K. Lowry makes 3-pt shot from 23 ft (assist by O. Anunoby),3,10-7,,
8:38.0,,,10-9,2,A. Wiggins makes 2-pt shot from 19 ft
8:13.0,O. Anunoby misses 3-pt shot from 25 ft,,10-9,,
8:10.0,,,10-9,,Defensive rebound by K. Towns
7:57.0,,,10-11,2,T. Gibson makes 2-pt shot from 7 ft
7:41.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,12-11,,
7:19.0,,,12-11,,Turnover by J. Teague (bad pass)
7:11.0,K. Lowry misses 3-pt shot from 28 ft,,12-11,,
7:08.0,,,12-11,,Defensive rebound by T. Gibson
7:02.0,,,12-11,,J. Teague misses 2-pt shot from 14 ft
7:00.0,,,12-11,,Offensive rebound by T. Gibson
7:00.0,,,12-11,,T. Gibson misses 2-pt shot at rim
6:58.0,Defensive rebound by D. DeRozan,,12-11,,
6:52.0,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan),2,14-11,,
6:38.0,,,14-13,2,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns)
6:13.0,,,14-13,,Personal foul by J. Teague (drawn by K. Lowry)
6:13.0,,,14-13,,Minnesota full timeout
6:13.0,,,14-13,,M. Georges-Hunt enters the game for N. Bjelica
6:01.0,S. Ibaka makes 2-pt shot from 21 ft (assist by L. Nogueira),2,16-13,,
