time,Chicago,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. C. Felicio (P. Tucker gains possession),,,,Jump ball: N. Hilario vs. C. Felicio (P. Tucker gains possession)
11:39.0,,,0-0,,N. Hilario misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by D. Nwaba,,0-0,,
11:25.0,,,0-0,,Def 3 sec tech foul by N. Hilario
11:25.0,L. Markkanen misses technical free throw,,0-0,,
11:25.0,Offensive rebound by Team,,0-0,,
11:16.0,C. Payne misses 3-pt shot from 25 ft,,0-0,,
11:14.0,Offensive rebound by D. Nwaba,,0-0,,
11:07.0,D. Nwaba misses 2-pt shot from 4 ft,,0-0,,
11:04.0,Offensive rebound by C. Felicio,,0-0,,
10:54.0,C. Payne misses 2-pt shot from 3 ft,,0-0,,
10:51.0,Offensive rebound by C. Payne,,0-0,,
10:50.0,C. Payne makes 2-pt shot from 4 ft,2,2-0,,
10:37.0,,,2-3,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul)
10:12.0,Turnover by L. Markkanen (lost ball; steal by T. Ariza),,2-3,,
9:56.0,,,2-6,3,C. Paul makes 3-pt shot from 25 ft
9:45.0,L. Markkanen makes 3-pt shot from 27 ft (assist by C. Payne),3,5-6,,
9:26.0,,,5-6,,P. Tucker misses 3-pt shot from 23 ft
9:23.0,,,5-6,,Offensive rebound by N. Hilario
9:22.0,,,5-9,3,T. Ariza makes 3-pt shot from 26 ft (assist by N. Hilario)
8:57.0,Turnover by C. Felicio (lost ball; steal by N. Hilario),,5-9,,
8:52.0,,,5-11,2,P. Tucker makes 2-pt shot from 1 ft (assist by C. Paul)
8:39.0,Turnover by L. Markkanen (bad pass; steal by T. Ariza),,5-11,,
8:35.0,,,5-14,3,P. Tucker makes 3-pt shot from 23 ft (assist by T. Ariza)
8:34.0,Chicago full timeout,,5-14,,
8:18.0,L. Markkanen makes 2-pt shot from 17 ft,2,7-14,,
7:53.0,,,7-14,,T. Ariza misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by C. Payne,,7-14,,
