time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. T. Thompson (A. Horford gains possession),,,,Jump ball: A. Baynes vs. T. Thompson (A. Horford gains possession)
11:45.0,,,0-0,,J. Brown misses 3-pt shot from 27 ft
11:42.0,Defensive rebound by K. Love,,0-0,,
11:24.0,K. Love makes 2-pt shot from 7 ft (assist by L. James),2,2-0,,
11:10.0,,,2-3,3,T. Rozier makes 3-pt shot from 24 ft (assist by A. Horford)
10:48.0,K. Love misses 2-pt shot from 3 ft,,2-3,,
10:47.0,,,2-3,,Defensive rebound by A. Horford
10:32.0,,,2-3,,T. Rozier misses 3-pt shot from 25 ft
10:29.0,,,2-3,,Offensive rebound by Team
10:21.0,,,2-5,2,J. Tatum makes 2-pt shot from 14 ft
10:07.0,,,2-5,,Personal foul by J. Tatum (drawn by T. Thompson)
9:55.0,G. Hill misses 2-pt shot at rim (block by A. Baynes),,2-5,,
9:53.0,,,2-5,,Defensive rebound by J. Brown
9:49.0,,,2-5,,J. Brown misses 2-pt shot from 2 ft
9:48.0,,,2-5,,Offensive rebound by A. Baynes
9:48.0,,,2-7,2,A. Baynes makes 2-pt shot at rim
9:31.0,L. James makes 3-pt shot from 28 ft (assist by T. Thompson),3,5-7,,
9:13.0,,,5-7,,J. Brown misses 3-pt shot from 24 ft
9:11.0,Defensive rebound by K. Love,,5-7,,
9:05.0,L. James misses 3-pt shot from 26 ft,,5-7,,
9:02.0,,,5-7,,Defensive rebound by A. Horford
8:53.0,,,5-9,2,A. Horford makes 2-pt shot from 5 ft (assist by T. Rozier)
8:38.0,K. Love makes 3-pt shot from 27 ft (assist by G. Hill),3,8-9,,
8:20.0,,,8-9,,A. Baynes misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by K. Love,,8-9,,
8:05.0,K. Love makes 3-pt shot from 31 ft (assist by L. James),3,11-9,,
7:48.0,,,11-9,,Offensive foul by A. Horford (drawn by G. Hill)
7:48.0,,,11-9,,Turnover by A. Horford (offensive foul)
7:48.0,,,11-9,,M. Morris enters the game for J. Brown
7:30.0,Shooting foul by T. Rozier (drawn by T. Thompson),,11-9,,
7:30.0,T. Thompson misses free throw 1 of 2,,11-9,,
7:30.0,Offensive rebound by Team,,11-9,,
7:30.0,T. Thompson makes free throw 2 of 2,1,12-9,,
7:06.0,,,12-9,,T. Rozier misses 3-pt shot from 28 ft
7:01.0,Defensive rebound by T. Thompson,,12-9,,
7:00.0,Turnover by L. James (bad pass; steal by M. Morris),,12-9,,
6:49.0,Personal foul by K. Love (drawn by A. Horford),,12-9,,
6:49.0,,,12-9,,Boston full timeout
6:38.0,,,12-9,,A. Horford misses 2-pt shot from 3 ft
6:34.0,Defensive rebound by T. Thompson,,12-9,,
6:19.0,K. Love misses 3-pt shot from 24 ft,,12-9,,
6:18.0,,,12-9,,Defensive rebound by A. Baynes
6:07.0,,,12-9,,Shooting foul by T. Thompson (drawn by A. Horford)
6:07.0,,,12-10,1,A. Horford makes free throw 1 of 2
6:07.0,,,12-11,1,A. Horford makes free throw 2 of 2
5:49.0,T. Thompson misses 2-pt shot from 5 ft,,12-11,,
5:47.0,,,12-11,,Defensive rebound by A. Baynes
5:38.0,,,12-14,3,J. Tatum makes 3-pt shot from 25 ft
5:19.0,L. James misses 2-pt shot from 14 ft,,12-14,,
5:16.0,,,12-14,,Defensive rebound by J. Tatum
5:12.0,,,12-16,2,A. Baynes makes 2-pt shot at rim (assist by J. Tatum)
4:48.0,J. Smith misses 2-pt shot from 18 ft,,12-16,,
4:46.0,,,12-16,,Defensive rebound by T. Rozier
4:37.0,,,12-16,,M. Smart enters the game for T. Rozier
4:37.0,,,12-16,,J. Brown enters the game for A. Baynes
4:29.0,,,12-16,,J. Tatum misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by L. James,,12-16,,
4:14.0,L. James makes 2-pt shot from 2 ft (assist by G. Hill),2,14-16,,
4:14.0,Shooting foul by J. Brown (drawn by L. James),,14-16,,
4:14.0,L. James makes free throw 1 of 1,1,15-16,,
3:59.0,,,15-16,,A. Horford misses 2-pt shot from 5 ft
3:57.0,Defensive rebound by G. Hill,,15-16,,
3:51.0,L. James misses 2-pt shot from 3 ft,,15-16,,
3:49.0,,,15-16,,Defensive rebound by A. Horford
3:41.0,,,15-19,3,M. Smart makes 3-pt shot from 27 ft (assist by J. Brown)
3:38.0,Cleveland full timeout,,15-19,,
3:19.0,Turnover by L. James (out of bounds lost ball),,15-19,,
3:08.0,,,15-19,,J. Tatum misses 2-pt shot at rim
3:06.0,Defensive rebound by K. Love,,15-19,,
2:50.0,T. Thompson misses 2-pt shot from 4 ft,,15-19,,
2:48.0,,,15-19,,Defensive rebound by J. Tatum
2:44.0,,,15-19,,Shooting foul by J. Smith (drawn by J. Tatum)
2:44.0,,,15-20,1,J. Tatum makes free throw 1 of 2
2:44.0,L. Nance enters the game for T. Thompson,,15-20,,
2:44.0,,,15-21,1,J. Tatum makes free throw 2 of 2
2:23.0,Turnover by L. Nance (bad pass; steal by J. Tatum),,15-21,,
2:19.0,,,15-21,,J. Tatum misses 2-pt shot at rim (block by L. Nance)
2:19.0,,,15-21,,Offensive rebound by Team
