time,Memphis,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gasol (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. M. Gasol (B. Griffin gains possession)
11:40.0,,,0-0,,R. Bullock misses 3-pt shot from 23 ft
11:35.0,Defensive rebound by D. Brooks,,0-0,,
11:15.0,A. Harrison misses 2-pt shot from 7 ft,,0-0,,
11:11.0,Offensive rebound by J. Martin,,0-0,,
11:11.0,J. Martin misses 2-pt shot at rim,,0-0,,
11:10.0,,,0-0,,Defensive rebound by B. Griffin
11:05.0,,,0-0,,A. Drummond misses 2-pt shot from 5 ft
11:05.0,Defensive rebound by Team,,0-0,,
10:52.0,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison),3,3-0,,
10:37.0,,,3-2,2,B. Griffin makes 2-pt shot from 6 ft
10:28.0,,,3-2,,Personal foul by S. Johnson
10:28.0,,,3-2,,Technical foul by S. Johnson
10:28.0,M. Gasol makes technical free throw,1,4-2,,
10:15.0,A. Harrison misses 3-pt shot from 24 ft,,4-2,,
10:13.0,Offensive rebound by Team,,4-2,,
10:11.0,D. Brooks makes 2-pt shot from 2 ft (assist by M. Gasol),2,6-2,,
9:55.0,,,6-4,2,R. Bullock makes 2-pt shot from 5 ft (assist by A. Drummond)
9:30.0,J. Martin misses 2-pt shot from 18 ft,,6-4,,
9:28.0,,,6-4,,Defensive rebound by I. Smith
9:16.0,,,6-7,3,R. Bullock makes 3-pt shot from 23 ft (assist by I. Smith)
8:55.0,J. Martin makes 2-pt shot from 3 ft,2,8-7,,
8:33.0,,,8-7,,A. Drummond misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by D. Brooks,,8-7,,
8:15.0,M. Gasol misses 3-pt shot from 24 ft,,8-7,,
8:11.0,,,8-7,,Defensive rebound by B. Griffin
8:02.0,,,8-7,,Shooting foul by D. Brooks (drawn by B. Griffin)
8:02.0,,,8-8,1,B. Griffin makes free throw 1 of 2
8:02.0,,,8-9,1,B. Griffin makes free throw 2 of 2
7:44.0,J. Martin misses 2-pt shot from 9 ft,,8-9,,
7:40.0,,,8-9,,Defensive rebound by A. Drummond
7:34.0,Personal foul by D. Brooks (drawn by A. Drummond),,8-9,,
7:34.0,J. Ennis enters the game for D. Brooks,,8-9,,
7:28.0,,,8-11,2,I. Smith makes 2-pt shot from 2 ft
7:14.0,A. Harrison misses 3-pt shot from 25 ft,,8-11,,
7:12.0,,,8-11,,Defensive rebound by S. Johnson
7:10.0,,,8-11,,Offensive foul by A. Drummond (drawn by W. Selden)
7:10.0,,,8-11,,Turnover by A. Drummond (offensive foul)
7:10.0,Memphis full timeout,,8-11,,
7:10.0,J. Green enters the game for J. Martin,,8-11,,
7:10.0,B. McLemore enters the game for A. Harrison,,8-11,,
6:58.0,W. Selden misses 3-pt shot from 25 ft,,8-11,,
6:54.0,,,8-11,,Defensive rebound by A. Drummond
6:43.0,,,8-11,,A. Drummond misses 2-pt shot from 5 ft (block by J. Ennis)
6:40.0,Defensive rebound by J. Green,,8-11,,
6:34.0,Turnover by J. Ennis (bad pass; steal by A. Drummond),,8-11,,
