time,Portland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. J. Nurkic (A. Aminu gains possession),,,,Jump ball: N. Vucevic vs. J. Nurkic (A. Aminu gains possession)
11:36.0,J. Nurkic misses 2-pt shot from 7 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by N. Vucevic
11:14.0,,,0-0,,Shooting foul by A. Aminu (drawn by A. Gordon)
11:14.0,,,0-0,,A. Gordon misses free throw 1 of 2
11:14.0,,,0-0,,Offensive rebound by Team
11:14.0,,,0-0,,A. Gordon misses free throw 2 of 2
11:13.0,Defensive rebound by J. Nurkic,,0-0,,
11:06.0,A. Aminu misses 3-pt shot from 24 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by E. Payton
10:51.0,,,0-0,,N. Vucevic misses 2-pt shot from 6 ft
10:47.0,Defensive rebound by J. Nurkic,,0-0,,
10:36.0,J. Nurkic misses 2-pt shot from 1 ft,,0-0,,
10:36.0,,,0-0,,Defensive rebound by N. Vucevic
10:28.0,,,0-2,2,E. Payton makes 2-pt shot from 1 ft
10:17.0,Turnover by D. Lillard (lost ball; steal by E. Payton),,0-2,,
10:13.0,,,0-4,2,J. Simmons makes 2-pt shot at rim
9:54.0,J. Nurkic misses 2-pt shot from 9 ft,,0-4,,
9:54.0,,,0-4,,Defensive rebound by A. Gordon
9:47.0,,,0-6,2,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon)
9:26.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,3-6,,
9:17.0,,,3-9,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton)
9:03.0,J. Nurkic makes 2-pt shot from 11 ft (assist by D. Lillard),2,5-9,,
9:03.0,Shooting foul by N. Vucevic (drawn by J. Nurkic),,5-9,,
9:03.0,J. Nurkic makes free throw 1 of 1,1,6-9,,
8:51.0,,,6-9,,M. Hezonja misses 2-pt shot from 2 ft (block by A. Aminu)
8:47.0,Defensive rebound by A. Aminu,,6-9,,
8:44.0,C. McCollum makes 2-pt shot from 1 ft,2,8-9,,
8:30.0,,,8-11,2,A. Gordon makes 2-pt shot at rim
8:03.0,E. Turner misses 2-pt shot from 11 ft,,8-11,,
7:59.0,,,8-11,,Defensive rebound by N. Vucevic
7:46.0,,,8-11,,N. Vucevic misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by J. Nurkic,,8-11,,
7:34.0,J. Nurkic misses 2-pt shot from 21 ft,,8-11,,
7:31.0,,,8-11,,Defensive rebound by M. Hezonja
7:21.0,,,8-13,2,A. Gordon makes 2-pt shot from 18 ft
7:00.0,C. McCollum makes 2-pt shot from 13 ft (assist by J. Nurkic),2,10-13,,
6:52.0,,,10-13,,Turnover by E. Payton (traveling)
6:52.0,,,10-13,,Orlando full timeout
6:35.0,E. Turner makes 2-pt shot from 18 ft,2,12-13,,
6:12.0,,,12-13,,J. Simmons misses 2-pt shot from 14 ft
6:09.0,Defensive rebound by E. Turner,,12-13,,
6:03.0,E. Turner misses 2-pt shot from 14 ft,,12-13,,
6:00.0,,,12-13,,Defensive rebound by N. Vucevic
5:54.0,Personal foul by E. Turner (drawn by J. Simmons),,12-13,,
5:54.0,Z. Collins enters the game for E. Turner,,12-13,,
5:54.0,E. Davis enters the game for J. Nurkic,,12-13,,
5:43.0,,,12-13,,N. Vucevic misses 2-pt shot from 11 ft
5:39.0,Defensive rebound by E. Davis,,12-13,,
5:31.0,D. Lillard misses 2-pt shot from 10 ft,,12-13,,
5:29.0,,,12-13,,Defensive rebound by A. Gordon
5:10.0,,,12-13,,Turnover by A. Gordon (lost ball; steal by D. Lillard)
5:05.0,C. McCollum misses 3-pt shot from 26 ft,,12-13,,
5:03.0,,,12-13,,Defensive rebound by J. Simmons
4:57.0,,,12-13,,N. Vucevic misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by A. Aminu,,12-13,,
4:34.0,A. Aminu makes 3-pt shot from 27 ft (assist by D. Lillard),3,15-13,,
4:26.0,,,15-13,,Offensive charge foul by A. Gordon (drawn by Z. Collins)
4:26.0,,,15-13,,Turnover by A. Gordon (offensive foul)
