time,Chicago,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. R. Lopez (K. Walker gains possession),,,,Jump ball: D. Howard vs. R. Lopez (K. Walker gains possession)
11:46.0,,,0-2,2,D. Howard makes 2-pt shot from 8 ft
11:28.0,L. Markkanen misses 2-pt shot from 2 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by D. Howard
11:15.0,,,0-2,,N. Batum misses 2-pt shot from 13 ft
11:11.0,Defensive rebound by L. Markkanen,,0-2,,
10:51.0,K. Dunn misses 2-pt shot from 12 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by M. Kidd-Gilchrist
10:40.0,,,0-4,2,D. Howard makes 2-pt shot from 5 ft (assist by M. Williams)
10:31.0,Turnover by R. Lopez (bad pass; steal by D. Howard),,0-4,,
10:25.0,,,0-4,,D. Howard misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by K. Dunn,,0-4,,
10:00.0,R. Lopez misses 2-pt shot from 17 ft,,0-4,,
9:58.0,,,0-4,,Defensive rebound by D. Howard
9:49.0,,,0-4,,N. Batum misses 2-pt shot from 3 ft (block by J. Holiday)
9:46.0,Defensive rebound by L. Markkanen,,0-4,,
9:41.0,J. Holiday makes 2-pt shot from 16 ft,2,2-4,,
9:24.0,Personal foul by L. Markkanen (drawn by K. Walker),,2-4,,
9:15.0,,,2-4,,Turnover by M. Kidd-Gilchrist (bad pass; steal by J. Holiday)
9:07.0,K. Dunn makes 2-pt shot from 1 ft,2,4-4,,
8:50.0,,,4-4,,Turnover by N. Batum (bad pass; steal by K. Dunn)
8:39.0,R. Lopez misses 2-pt shot from 1 ft (block by D. Howard),,4-4,,
8:29.0,Offensive rebound by L. Markkanen,,4-4,,
8:29.0,L. Markkanen makes 2-pt shot at rim,2,6-4,,
8:26.0,,,6-4,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
8:23.0,Defensive rebound by K. Dunn,,6-4,,
8:18.0,K. Dunn misses 2-pt shot from 16 ft,,6-4,,
8:14.0,,,6-4,,Defensive rebound by D. Howard
8:09.0,,,6-7,3,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum)
8:09.0,,,6-7,,Shooting foul by R. Lopez (drawn by M. Williams)
8:09.0,,,6-8,1,M. Williams makes free throw 1 of 1
7:54.0,D. Valentine misses 2-pt shot from 17 ft,,6-8,,
7:54.0,,,6-8,,Defensive rebound by M. Kidd-Gilchrist
7:42.0,,,6-8,,K. Walker misses 3-pt shot from 27 ft
7:37.0,,,6-8,,Offensive rebound by M. Williams
7:36.0,,,6-8,,M. Williams misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by L. Markkanen,,6-8,,
7:27.0,D. Valentine misses 3-pt shot from 26 ft,,6-8,,
7:23.0,,,6-8,,Defensive rebound by M. Kidd-Gilchrist
7:04.0,,,6-8,,D. Howard misses 2-pt shot from 6 ft
7:00.0,Defensive rebound by D. Valentine,,6-8,,
6:43.0,R. Lopez misses 2-pt shot from 5 ft (block by D. Howard),,6-8,,
6:40.0,Offensive rebound by D. Valentine,,6-8,,
6:38.0,J. Holiday misses 3-pt shot from 25 ft,,6-8,,
6:33.0,,,6-8,,Defensive rebound by D. Howard
6:33.0,,,6-10,2,D. Howard makes 2-pt shot from 1 ft
6:33.0,Chicago full timeout,,6-10,,
6:10.0,L. Markkanen makes 3-pt shot from 24 ft,3,9-10,,
5:52.0,,,9-10,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
5:48.0,Defensive rebound by L. Markkanen,,9-10,,
5:39.0,J. Holiday misses 2-pt shot from 17 ft,,9-10,,
5:35.0,,,9-10,,Defensive rebound by D. Howard
5:33.0,,,9-10,,Shooting foul by J. Holiday (drawn by M. Kidd-Gilchrist)
5:33.0,,,9-10,,M. Kidd-Gilchrist misses free throw 1 of 2
5:33.0,,,9-10,,Offensive rebound by Team
5:33.0,,,9-10,,M. Kidd-Gilchrist misses free throw 2 of 2
5:30.0,Defensive rebound by R. Lopez,,9-10,,
5:11.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Dunn),,9-10,,
5:11.0,K. Dunn makes free throw 1 of 2,1,10-10,,
5:11.0,D. Nwaba enters the game for D. Valentine,,10-10,,
5:11.0,K. Dunn makes free throw 2 of 2,1,11-10,,
5:00.0,,,11-13,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
4:48.0,K. Dunn misses 2-pt shot from 11 ft,,11-13,,
4:42.0,Offensive rebound by R. Lopez,,11-13,,
4:42.0,R. Lopez makes 2-pt shot at rim,2,13-13,,
4:29.0,,,13-13,,N. Batum misses 2-pt shot from 2 ft
4:24.0,,,13-13,,Offensive rebound by N. Batum
4:24.0,,,13-15,2,N. Batum makes 2-pt shot at rim
4:15.0,R. Lopez misses 2-pt shot from 11 ft,,13-15,,
4:12.0,,,13-15,,Defensive rebound by M. Williams
4:02.0,,,13-17,2,D. Howard makes 2-pt shot from 19 ft (assist by N. Batum)
3:51.0,K. Dunn makes 2-pt shot from 11 ft,2,15-17,,
3:32.0,,,15-17,,M. Williams misses 2-pt shot at rim
3:31.0,,,15-17,,Offensive rebound by M. Williams
3:31.0,,,15-19,2,M. Williams makes 2-pt shot at rim
3:31.0,,,15-19,,Shooting foul by D. Nwaba (drawn by M. Williams)
3:31.0,N. Mirotic enters the game for L. Markkanen,,15-19,,
3:31.0,,,15-20,1,M. Williams makes free throw 1 of 1
3:31.0,,,15-20,,J. Lamb enters the game for M. Kidd-Gilchrist
3:19.0,J. Holiday misses 2-pt shot from 17 ft,,15-20,,
3:15.0,,,15-20,,Defensive rebound by D. Howard
3:07.0,,,15-23,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
