time,Philadelphia,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. J. Embiid (D. Saric gains possession),,,,Jump ball: W. Cauley-Stein vs. J. Embiid (D. Saric gains possession)
11:47.0,Shooting foul by W. Cauley-Stein (drawn by J. Embiid),,0-0,,
11:47.0,J. Embiid makes free throw 1 of 2,1,1-0,,
11:47.0,J. Embiid makes free throw 2 of 2,1,2-0,,
11:27.0,,,2-0,,B. Bogdanovic misses 3-pt shot from 22 ft
11:24.0,Defensive rebound by D. Saric,,2-0,,
11:19.0,Turnover by D. Saric (out of bounds lost ball),,2-0,,
11:08.0,,,2-0,,Z. Randolph misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by B. Simmons,,2-0,,
11:01.0,J. Embiid misses 3-pt shot from 25 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by Z. Randolph
10:44.0,,,2-0,,G. Hill misses 2-pt shot from 2 ft
10:44.0,,,2-0,,W. Cauley-Stein misses 2-pt shot from 1 ft
10:44.0,,,2-0,,Offensive rebound by Team
10:42.0,,,2-0,,Offensive rebound by W. Cauley-Stein
10:24.0,,,2-0,,Z. Randolph misses 2-pt shot from 3 ft
10:21.0,Defensive rebound by J. Embiid,,2-0,,
10:15.0,Turnover by D. Saric (step out of bounds),,2-0,,
10:10.0,Personal foul by B. Simmons (drawn by W. Cauley-Stein),,2-0,,
9:57.0,,,2-0,,B. Bogdanovic misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by J. Redick,,2-0,,
9:49.0,R. Covington misses 3-pt shot from 24 ft,,2-0,,
9:44.0,,,2-0,,Defensive rebound by G. Temple
9:37.0,,,2-2,2,W. Cauley-Stein makes 2-pt shot from 13 ft
9:28.0,Shooting foul by B. Bogdanovic (drawn by R. Covington),,2-2,,
9:28.0,R. Covington makes free throw 1 of 3,1,3-2,,
9:28.0,R. Covington makes free throw 2 of 3,1,4-2,,
9:28.0,R. Covington makes free throw 3 of 3,1,5-2,,
9:12.0,,,5-2,,B. Bogdanovic misses 2-pt shot from 9 ft
9:08.0,Defensive rebound by D. Saric,,5-2,,
8:58.0,D. Saric makes 2-pt shot from 1 ft (assist by J. Embiid),2,7-2,,
8:37.0,,,7-4,2,Z. Randolph makes 2-pt shot from 2 ft (assist by G. Hill)
8:25.0,B. Simmons misses 2-pt shot from 13 ft,,7-4,,
8:22.0,,,7-4,,Defensive rebound by W. Cauley-Stein
8:15.0,,,7-4,,Turnover by G. Hill (bad pass; steal by R. Covington)
