time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (O. Anunoby gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (O. Anunoby gains possession)
11:43.0,,,0-0,,D. Wright misses 2-pt shot from 4 ft
11:41.0,Defensive rebound by H. Whiteside,,0-0,,
11:34.0,D. Jones misses 3-pt shot from 24 ft,,0-0,,
11:32.0,Offensive rebound by H. Whiteside,,0-0,,
11:30.0,H. Whiteside misses 2-pt shot from 1 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. DeRozan
11:15.0,,,0-0,,D. DeRozan misses 2-pt shot from 5 ft (block by J. Richardson)
11:13.0,Defensive rebound by D. Jones,,0-0,,
11:12.0,,,0-0,,Shooting block foul by O. Anunoby (drawn by D. Jones)
11:12.0,D. Jones makes free throw 1 of 2,1,1-0,,
11:12.0,D. Jones makes free throw 2 of 2,1,2-0,,
10:55.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 8 ft (assist by D. DeRozan)
10:37.0,H. Whiteside misses 2-pt shot from 15 ft,,2-2,,
10:34.0,,,2-2,,Defensive rebound by S. Ibaka
10:20.0,,,2-2,,S. Ibaka misses 2-pt shot from 11 ft
10:14.0,Defensive rebound by H. Whiteside,,2-2,,
10:07.0,J. Richardson misses 2-pt shot from 7 ft,,2-2,,
10:01.0,Offensive rebound by J. Richardson,,2-2,,
10:01.0,J. Richardson misses 2-pt shot at rim,,2-2,,
10:00.0,Offensive rebound by H. Whiteside,,2-2,,
10:00.0,H. Whiteside misses 2-pt shot at rim,,2-2,,
9:59.0,,,2-2,,Defensive rebound by O. Anunoby
9:47.0,,,2-4,2,O. Anunoby makes 2-pt shot from 1 ft
9:32.0,K. Olynyk misses 2-pt shot from 20 ft,,2-4,,
9:30.0,,,2-4,,Defensive rebound by S. Ibaka
9:20.0,,,2-4,,J. Valanciunas misses 2-pt shot from 5 ft
9:17.0,,,2-4,,Offensive rebound by J. Valanciunas
9:17.0,,,2-6,2,J. Valanciunas makes 2-pt shot from 2 ft
9:02.0,H. Whiteside makes 2-pt shot from 17 ft (assist by J. Richardson),2,4-6,,
8:38.0,,,4-8,2,S. Ibaka makes 2-pt shot from 2 ft (assist by D. DeRozan)
8:38.0,,,4-8,,Shooting foul by H. Whiteside (drawn by S. Ibaka)
8:38.0,,,4-9,1,S. Ibaka makes free throw 1 of 1
8:31.0,G. Dragic misses 2-pt shot from 13 ft,,4-9,,
8:27.0,,,4-9,,Defensive rebound by J. Valanciunas
8:19.0,,,4-9,,J. Valanciunas misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by G. Dragic,,4-9,,
8:11.0,K. Olynyk makes 2-pt shot at rim,2,6-9,,
7:54.0,,,6-9,,S. Ibaka misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by H. Whiteside,,6-9,,
7:45.0,G. Dragic misses 2-pt shot from 1 ft,,6-9,,
7:43.0,,,6-9,,Defensive rebound by O. Anunoby
7:35.0,,,6-11,2,D. DeRozan makes 2-pt shot from 15 ft
7:14.0,K. Olynyk makes 2-pt shot from 4 ft,2,8-11,,
6:58.0,,,8-11,,D. DeRozan misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by H. Whiteside,,8-11,,
6:47.0,G. Dragic makes 2-pt shot from 15 ft,2,10-11,,
6:38.0,,,10-11,,Toronto full timeout
6:29.0,,,10-11,,D. DeRozan misses 2-pt shot from 1 ft
6:26.0,,,10-11,,Offensive rebound by S. Ibaka
6:23.0,,,10-11,,S. Ibaka misses 2-pt shot from 8 ft
6:23.0,Defensive rebound by K. Olynyk,,10-11,,
6:04.0,H. Whiteside makes 2-pt shot at rim (assist by K. Olynyk),2,12-11,,
5:37.0,,,12-13,2,S. Ibaka makes 2-pt shot from 3 ft (assist by D. Wright)
5:29.0,,,12-13,,Personal foul by S. Ibaka (drawn by K. Olynyk)
5:29.0,J. Johnson enters the game for J. Richardson,,12-13,,
5:29.0,W. Ellington enters the game for K. Olynyk,,12-13,,
5:20.0,H. Whiteside misses 2-pt shot from 3 ft (block by D. Wright),,12-13,,
5:17.0,,,12-13,,Defensive rebound by O. Anunoby
5:15.0,,,12-13,,D. DeRozan misses 2-pt shot from 4 ft
5:13.0,Defensive rebound by H. Whiteside,,12-13,,
5:04.0,W. Ellington misses 3-pt shot from 27 ft,,12-13,,
5:01.0,,,12-13,,Defensive rebound by J. Valanciunas
4:52.0,,,12-15,2,J. Valanciunas makes 2-pt shot from 9 ft (assist by D. Wright)
4:32.0,H. Whiteside makes 2-pt shot from 14 ft,2,14-15,,
4:19.0,,,14-17,2,D. Wright makes 2-pt shot from 1 ft
4:14.0,Miami full timeout,,14-17,,
4:14.0,,,14-17,,L. Nogueira enters the game for O. Anunoby
4:14.0,,,14-17,,C. Miles enters the game for J. Valanciunas
3:58.0,G. Dragic misses 2-pt shot from 2 ft (block by L. Nogueira),,14-17,,
3:55.0,Offensive rebound by H. Whiteside,,14-17,,
3:54.0,H. Whiteside misses 2-pt shot from 2 ft (block by L. Nogueira),,14-17,,
3:54.0,,,14-17,,Defensive rebound by D. Wright
3:44.0,,,14-17,,D. DeRozan misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by D. Jones,,14-17,,
3:38.0,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic),3,17-17,,
3:20.0,,,17-17,,D. DeRozan misses 2-pt shot from 8 ft
3:20.0,Defensive rebound by W. Ellington,,17-17,,
3:07.0,H. Whiteside misses 2-pt shot from 11 ft,,17-17,,
3:04.0,,,17-17,,Defensive rebound by S. Ibaka
3:01.0,,,17-17,,Shooting foul by J. Johnson (drawn by L. Nogueira)
3:01.0,,,17-18,1,L. Nogueira makes free throw 1 of 2
3:01.0,,,17-18,,F. VanVleet enters the game for D. DeRozan
3:01.0,,,17-18,,N. Powell enters the game for D. Wright
3:01.0,B. Adebayo enters the game for D. Jones,,17-18,,
3:01.0,K. Olynyk enters the game for H. Whiteside,,17-18,,
3:01.0,,,17-19,1,L. Nogueira makes free throw 2 of 2
2:47.0,K. Olynyk misses 2-pt shot from 2 ft (block by S. Ibaka),,17-19,,
2:45.0,,,17-19,,Defensive rebound by N. Powell
2:43.0,,,17-21,2,N. Powell makes 2-pt shot from 1 ft (assist by C. Miles)
2:25.0,,,17-21,,Personal foul by F. VanVleet (drawn by K. Olynyk)
2:25.0,J. Richardson enters the game for G. Dragic,,17-21,,
2:21.0,,,17-21,,Personal foul by N. Powell (drawn by K. Olynyk)
2:16.0,K. Olynyk misses 2-pt shot from 2 ft (block by S. Ibaka),,17-21,,
2:14.0,,,17-21,,Defensive rebound by N. Powell
2:07.0,,,17-21,,S. Ibaka misses 2-pt shot from 10 ft
2:02.0,Defensive rebound by B. Adebayo,,17-21,,
1:55.0,J. Richardson misses 2-pt shot from 1 ft,,17-21,,
1:52.0,Offensive rebound by K. Olynyk,,17-21,,
1:46.0,Turnover by J. Johnson (bad pass; steal by F. VanVleet),,17-21,,
1:28.0,,,17-21,,C. Miles misses 2-pt shot from 14 ft
1:26.0,Defensive rebound by B. Adebayo,,17-21,,
1:13.0,W. Ellington misses 3-pt shot from 26 ft,,17-21,,
1:11.0,Offensive rebound by B. Adebayo,,17-21,,
1:00.0,W. Ellington makes 3-pt shot from 26 ft (assist by B. Adebayo),3,20-21,,
0:49.0,,,20-21,,S. Ibaka misses 2-pt shot from 15 ft
0:46.0,Defensive rebound by J. Richardson,,20-21,,
0:36.0,B. Adebayo makes 2-pt shot at rim (assist by J. Johnson),2,22-21,,
0:24.0,Personal block foul by J. Johnson (drawn by N. Powell),,22-21,,
0:24.0,,,22-21,,P. Siakam enters the game for S. Ibaka
0:24.0,D. Jones enters the game for J. Johnson,,22-21,,
0:15.0,,,22-21,,P. Siakam misses 2-pt shot from 3 ft (block by B. Adebayo)
0:11.0,Defensive rebound by B. Adebayo,,22-21,,
0:00.0,J. Richardson misses 2-pt shot from 5 ft,,22-21,,
0:00.0,Offensive rebound by Team,,22-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Richardson misses 3-pt shot from 26 ft,,22-21,,
11:39.0,Offensive rebound by Team,,22-21,,
11:26.0,Turnover by K. Olynyk (bad pass; steal by L. Nogueira),,22-21,,
11:17.0,,,22-21,,C. Miles misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by K. Olynyk,,22-21,,
11:05.0,Turnover by K. Olynyk (turnover),,22-21,,
11:05.0,Loose ball foul by K. Olynyk (drawn by L. Nogueira),,22-21,,
10:56.0,,,22-21,,N. Powell misses 3-pt shot from 22 ft
10:51.0,,,22-21,,Offensive rebound by P. Siakam
10:45.0,Personal block foul by K. Olynyk (drawn by L. Nogueira),,22-21,,
10:45.0,J. Johnson enters the game for K. Olynyk,,22-21,,
10:35.0,,,22-24,3,C. Miles makes 3-pt shot from 26 ft (assist by F. VanVleet)
10:13.0,W. Ellington misses 3-pt shot from 26 ft,,22-24,,
10:12.0,,,22-24,,Defensive rebound by Team
10:04.0,,,22-24,,Shooting foul by D. Jones (drawn by F. VanVleet)
10:04.0,,,22-25,1,F. VanVleet makes free throw 1 of 2
10:04.0,,,22-25,,F. VanVleet misses free throw 2 of 2
10:02.0,Defensive rebound by J. Johnson,,22-25,,
9:52.0,B. Adebayo makes 2-pt shot at rim (assist by J. Richardson),2,24-25,,
9:33.0,,,24-27,2,F. VanVleet makes 2-pt shot from 1 ft
9:33.0,Violation by B. Adebayo (def goaltending),,24-27,,
9:22.0,J. Richardson misses 2-pt shot from 10 ft (block by N. Powell),,24-27,,
9:21.0,,,24-27,,Defensive rebound by N. Powell
9:21.0,Personal block foul by J. Richardson (drawn by N. Powell),,24-27,,
9:21.0,,,24-27,,J. Poeltl enters the game for L. Nogueira
9:11.0,,,24-27,,J. Poeltl misses 2-pt shot from 2 ft (block by B. Adebayo)
9:08.0,Defensive rebound by J. Johnson,,24-27,,
9:06.0,W. Ellington makes 2-pt shot at rim (assist by J. Johnson),2,26-27,,
8:52.0,,,26-27,,P. Siakam misses 2-pt shot from 2 ft
8:52.0,Defensive rebound by J. Johnson,,26-27,,
8:46.0,W. Ellington misses 3-pt shot from 27 ft,,26-27,,
8:46.0,Offensive rebound by D. Jones,,26-27,,
8:37.0,D. Jones makes 2-pt shot at rim,2,28-27,,
8:37.0,,,28-27,,Toronto full timeout
8:37.0,,,28-27,,D. DeRozan enters the game for C. Miles
8:37.0,G. Dragic enters the game for J. Richardson,,28-27,,
8:27.0,,,28-29,2,D. DeRozan makes 2-pt shot at rim
8:11.0,W. Ellington makes 3-pt shot from 22 ft,3,31-29,,
7:57.0,,,31-29,,Offensive charge foul by D. DeRozan (drawn by D. Jones)
7:57.0,,,31-29,,Turnover by D. DeRozan (offensive foul)
7:39.0,J. Johnson misses 2-pt shot from 10 ft,,31-29,,
7:36.0,,,31-29,,Defensive rebound by N. Powell
7:24.0,,,31-31,2,J. Poeltl makes 2-pt shot at rim (assist by D. DeRozan)
7:05.0,J. Johnson misses 3-pt shot from 25 ft,,31-31,,
7:03.0,,,31-31,,Defensive rebound by F. VanVleet
