time,Brooklyn,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. T. Mozgov (R. Rubio gains possession),,,,Jump ball: D. Favors vs. T. Mozgov (R. Rubio gains possession)
11:46.0,,,0-2,2,D. Mitchell makes 2-pt shot from 1 ft
11:22.0,D. Russell misses 2-pt shot from 15 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by T. Sefolosha
11:11.0,,,0-4,2,R. Rubio makes 2-pt shot from 14 ft
10:49.0,Shooting foul by D. Mitchell (drawn by R. Hollis-Jefferson),,0-4,,
10:49.0,R. Hollis-Jefferson makes free throw 1 of 2,1,1-4,,
10:49.0,R. Hollis-Jefferson makes free throw 2 of 2,1,2-4,,
10:40.0,,,2-4,,D. Favors misses 2-pt shot from 7 ft
10:36.0,Defensive rebound by R. Hollis-Jefferson,,2-4,,
10:30.0,A. Crabbe makes 2-pt shot from 2 ft,2,4-4,,
10:15.0,,,4-6,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
10:01.0,D. Carroll misses 3-pt shot from 25 ft,,4-6,,
9:58.0,,,4-6,,Defensive rebound by T. Sefolosha
9:50.0,,,4-6,,J. Ingles misses 2-pt shot from 3 ft
9:50.0,,,4-6,,Offensive rebound by D. Favors
9:45.0,,,4-9,3,D. Mitchell makes 3-pt shot from 24 ft (assist by R. Rubio)
9:36.0,,,4-9,,Personal foul by D. Favors (drawn by T. Mozgov)
9:34.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,4-9,,
9:32.0,,,4-9,,Defensive rebound by D. Favors
9:14.0,,,4-9,,D. Mitchell misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by T. Mozgov,,4-9,,
9:04.0,Turnover by D. Russell (lost ball; steal by D. Mitchell),,4-9,,
8:57.0,,,4-9,,J. Ingles misses 3-pt shot from 22 ft
8:54.0,Defensive rebound by D. Carroll,,4-9,,
8:38.0,Turnover by T. Mozgov (lost ball; steal by R. Rubio),,4-9,,
8:22.0,,,4-9,,R. Rubio misses 3-pt shot from 24 ft
8:18.0,,,4-9,,Offensive rebound by T. Sefolosha
8:13.0,,,4-9,,T. Sefolosha misses 2-pt shot from 2 ft (block by T. Mozgov)
8:12.0,Defensive rebound by D. Russell,,4-9,,
8:12.0,,,4-9,,Personal foul by R. Rubio (drawn by D. Russell)
