time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. M. Turner (S. Dinwiddie gains possession),,,,Jump ball: T. Zeller vs. M. Turner (S. Dinwiddie gains possession)
11:46.0,,,0-0,,D. Carroll misses 3-pt shot from 22 ft
11:40.0,Defensive rebound by D. Collison,,0-0,,
11:29.0,,,0-0,,Violation by T. Zeller (kicked ball)
11:20.0,D. Collison makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,2-0,,
11:08.0,,,2-0,,Turnover by T. Zeller (lost ball; steal by D. Collison)
11:02.0,V. Oladipo misses 3-pt shot from 25 ft,,2-0,,
10:57.0,Offensive rebound by T. Young,,2-0,,
10:57.0,T. Young misses 2-pt shot at rim,,2-0,,
10:56.0,,,2-0,,Defensive rebound by R. Hollis-Jefferson
10:42.0,,,2-0,,S. Dinwiddie misses 3-pt shot from 22 ft
10:38.0,,,2-0,,Offensive rebound by R. Hollis-Jefferson
10:35.0,,,2-0,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by M. Turner,,2-0,,
10:23.0,T. Young misses 2-pt shot from 13 ft,,2-0,,
10:19.0,,,2-0,,Defensive rebound by T. Zeller
10:04.0,,,2-2,2,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
10:04.0,,,2-2,,Shooting foul by B. Bogdanovic (drawn by T. Zeller)
10:04.0,,,2-3,1,T. Zeller makes free throw 1 of 1
9:48.0,B. Bogdanovic makes 2-pt shot from 15 ft,2,4-3,,
9:31.0,,,4-6,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Carroll)
9:19.0,V. Oladipo makes 2-pt shot from 8 ft (assist by D. Collison),2,6-6,,
9:07.0,,,6-8,2,A. Crabbe makes 2-pt shot from 6 ft (assist by S. Dinwiddie)
8:55.0,Shooting foul by T. Zeller (drawn by M. Turner),,6-8,,
8:55.0,M. Turner makes free throw 1 of 2,1,7-8,,
8:55.0,M. Turner makes free throw 2 of 2,1,8-8,,
8:34.0,,,8-8,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Collison)
8:29.0,Turnover by B. Bogdanovic (lost ball; steal by S. Dinwiddie),,8-8,,
8:24.0,,,8-8,,D. Carroll misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by V. Oladipo,,8-8,,
8:03.0,V. Oladipo misses 2-pt shot from 15 ft,,8-8,,
8:03.0,,,8-8,,Defensive rebound by D. Carroll
7:47.0,,,8-8,,T. Zeller misses 2-pt shot from 7 ft
7:44.0,Defensive rebound by B. Bogdanovic,,8-8,,
7:35.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Young),,8-8,,
7:35.0,T. Young makes free throw 1 of 2,1,9-8,,
7:35.0,T. Young misses free throw 2 of 2,,9-8,,
7:33.0,,,9-8,,Defensive rebound by R. Hollis-Jefferson
7:25.0,,,9-8,,A. Crabbe misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by M. Turner,,9-8,,
7:17.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,11-8,,
6:50.0,,,11-8,,Turnover by Team (shot clock)
6:50.0,,,11-8,,Brooklyn full timeout
6:36.0,D. Collison makes 3-pt shot from 25 ft,3,14-8,,
6:11.0,,,14-11,3,A. Crabbe makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
5:48.0,M. Turner misses 2-pt shot from 22 ft,,14-11,,
5:46.0,,,14-11,,Defensive rebound by D. Carroll
5:29.0,,,14-13,2,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
5:17.0,V. Oladipo misses 2-pt shot from 18 ft,,14-13,,
5:13.0,,,14-13,,Defensive rebound by D. Carroll
5:04.0,,,14-13,,Shooting foul by V. Oladipo (drawn by A. Crabbe)
5:04.0,,,14-14,1,A. Crabbe makes free throw 1 of 3
5:04.0,,,14-15,1,A. Crabbe makes free throw 2 of 3
5:04.0,,,14-15,,Q. Acy enters the game for T. Zeller
5:04.0,,,14-16,1,A. Crabbe makes free throw 3 of 3
4:54.0,Turnover by T. Young (bad pass; steal by A. Crabbe),,14-16,,
4:42.0,,,14-19,3,A. Crabbe makes 3-pt shot from 30 ft (assist by S. Dinwiddie)
4:26.0,V. Oladipo makes 3-pt shot from 26 ft,3,17-19,,
4:09.0,,,17-19,,Q. Acy misses 3-pt shot from 25 ft
4:06.0,,,17-19,,Offensive rebound by R. Hollis-Jefferson
4:01.0,,,17-19,,S. Dinwiddie misses 3-pt shot from 29 ft
3:58.0,Defensive rebound by M. Turner,,17-19,,
3:55.0,Shooting foul by R. Hollis-Jefferson (drawn by V. Oladipo),,17-19,,
3:55.0,V. Oladipo makes free throw 1 of 2,1,18-19,,
3:55.0,,,18-19,,J. Harris enters the game for R. Hollis-Jefferson
3:55.0,,,18-19,,J. Allen enters the game for A. Crabbe
3:55.0,D. Sabonis enters the game for T. Young,,18-19,,
3:55.0,C. Joseph enters the game for B. Bogdanovic,,18-19,,
3:55.0,V. Oladipo makes free throw 2 of 2,1,19-19,,
3:44.0,,,19-19,,S. Dinwiddie misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by M. Turner,,19-19,,
3:28.0,Turnover by D. Sabonis (lost ball; steal by Q. Acy),,19-19,,
3:11.0,,,19-19,,N. Stauskas enters the game for S. Dinwiddie
3:11.0,,,19-19,,C. LeVert enters the game for D. Carroll
3:05.0,,,19-21,2,C. LeVert makes 2-pt shot from 1 ft
2:58.0,Indiana full timeout,,19-21,,
2:58.0,L. Stephenson enters the game for D. Collison,,19-21,,
2:44.0,L. Stephenson makes 3-pt shot from 25 ft (assist by M. Turner),3,22-21,,
2:26.0,,,22-23,2,C. LeVert makes 2-pt shot from 2 ft (assist by J. Harris)
2:06.0,D. Sabonis makes 2-pt shot from 17 ft (assist by C. Joseph),2,24-23,,
1:55.0,,,24-26,3,J. Harris makes 3-pt shot from 26 ft (assist by N. Stauskas)
1:42.0,L. Stephenson makes 2-pt shot from 21 ft,2,26-26,,
1:23.0,,,26-26,,Q. Acy misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by C. Joseph,,26-26,,
1:11.0,,,26-26,,Personal foul by Q. Acy (drawn by D. Sabonis)
1:11.0,A. Poythress enters the game for M. Turner,,26-26,,
1:04.0,D. Sabonis makes 2-pt shot from 12 ft (assist by C. Joseph),2,28-26,,
0:48.0,,,28-26,,N. Stauskas misses 2-pt shot from 5 ft
0:46.0,Defensive rebound by D. Sabonis,,28-26,,
0:36.0,Turnover by L. Stephenson (bad pass; steal by C. LeVert),,28-26,,
0:29.0,,,28-29,3,Q. Acy makes 3-pt shot from 22 ft (assist by N. Stauskas)
0:14.0,D. Sabonis misses 2-pt shot from 4 ft (block by Q. Acy),,28-29,,
0:11.0,,,28-29,,Defensive rebound by C. LeVert
0:03.0,,,28-29,,C. LeVert misses 2-pt shot from 22 ft
0:00.0,Defensive rebound by L. Stephenson,,28-29,,
0:00.0,L. Stephenson misses 3-pt shot from 58 ft,,28-29,,
0:00.0,Offensive rebound by Team,,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. Joseph misses 2-pt shot from 11 ft,,28-29,,
11:41.0,Jump ball: Q. Acy vs. A. Poythress,,,,Jump ball: Q. Acy vs. A. Poythress
11:41.0,Defensive rebound by Team,,28-29,,
11:41.0,,,28-29,,Violation by N. Stauskas (kicked ball)
11:33.0,A. Poythress misses 2-pt shot from 9 ft,,28-29,,
11:29.0,,,28-29,,Defensive rebound by J. Allen
11:19.0,,,28-29,,N. Stauskas misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by B. Bogdanovic,,28-29,,
11:09.0,D. Sabonis misses 2-pt shot from 19 ft,,28-29,,
11:06.0,,,28-29,,Defensive rebound by Q. Acy
11:00.0,,,28-29,,J. Allen misses 2-pt shot from 5 ft (block by D. Sabonis)
10:59.0,,,28-29,,Offensive rebound by Team
10:59.0,Loose ball foul by D. Sabonis (drawn by C. LeVert),,28-29,,
10:59.0,,,28-29,,D. Carroll enters the game for Q. Acy
10:47.0,,,28-29,,N. Stauskas misses 2-pt shot from 9 ft
10:46.0,Defensive rebound by Team,,28-29,,
10:34.0,B. Bogdanovic makes 3-pt shot from 27 ft (assist by L. Stephenson),3,31-29,,
10:23.0,,,31-29,,J. Harris misses 3-pt shot from 23 ft
10:19.0,Defensive rebound by C. Joseph,,31-29,,
10:05.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. Sabonis),3,34-29,,
9:45.0,,,34-29,,J. Harris misses 2-pt shot from 3 ft
9:41.0,,,34-29,,Offensive rebound by C. LeVert
9:32.0,,,34-29,,C. LeVert misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by Team,,34-29,,
9:31.0,,,34-29,,Loose ball foul by D. Carroll (drawn by L. Stephenson)
9:12.0,B. Bogdanovic misses 2-pt shot from 11 ft,,34-29,,
9:08.0,,,34-29,,Defensive rebound by J. Allen
8:59.0,,,34-29,,D. Carroll misses 2-pt shot from 5 ft (block by A. Poythress)
8:59.0,,,34-29,,Offensive rebound by Team
8:51.0,,,34-32,3,J. Harris makes 3-pt shot from 26 ft (assist by C. LeVert)
8:39.0,Shooting foul by D. Carroll (drawn by D. Sabonis),,34-32,,
8:39.0,D. Sabonis makes free throw 1 of 2,1,35-32,,
8:39.0,D. Sabonis makes free throw 2 of 2,1,36-32,,
8:29.0,Personal foul by A. Poythress (drawn by J. Harris),,36-32,,
8:12.0,,,36-34,2,J. Harris makes 2-pt shot from 5 ft
7:59.0,B. Bogdanovic makes 2-pt shot from 7 ft,2,38-34,,
7:32.0,,,38-34,,D. Carroll misses 2-pt shot from 15 ft (block by D. Sabonis)
7:31.0,,,38-34,,Offensive rebound by Team
7:31.0,,,38-34,,Turnover by Team (shot clock)
7:31.0,,,38-34,,S. Dinwiddie enters the game for C. LeVert
7:31.0,V. Oladipo enters the game for A. Poythress,,38-34,,
7:31.0,T. Young enters the game for L. Stephenson,,38-34,,
7:16.0,D. Sabonis makes 2-pt shot from 2 ft,2,40-34,,
7:05.0,,,40-34,,J. Harris misses 2-pt shot from 2 ft (block by D. Sabonis)
7:05.0,Defensive rebound by D. Sabonis,,40-34,,
6:59.0,C. Joseph makes 2-pt shot from 21 ft,2,42-34,,
6:59.0,,,42-34,,Brooklyn full timeout
6:59.0,,,42-34,,A. Crabbe enters the game for N. Stauskas
6:59.0,,,42-34,,T. Zeller enters the game for J. Allen
6:59.0,D. Collison enters the game for B. Bogdanovic,,42-34,,
6:42.0,,,42-34,,T. Zeller misses 2-pt shot from 6 ft
6:40.0,Defensive rebound by D. Sabonis,,42-34,,
6:24.0,Shooting foul by T. Zeller (drawn by D. Sabonis),,42-34,,
6:24.0,D. Sabonis misses free throw 1 of 2,,42-34,,
6:24.0,Offensive rebound by Team,,42-34,,
6:24.0,,,42-34,,R. Hollis-Jefferson enters the game for D. Carroll
6:24.0,D. Sabonis makes free throw 2 of 2,1,43-34,,
6:04.0,,,43-37,3,T. Zeller makes 3-pt shot from 23 ft (assist by J. Harris)
5:44.0,T. Young makes 2-pt shot from 2 ft,2,45-37,,
5:31.0,,,45-37,,A. Crabbe misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by D. Sabonis,,45-37,,
5:18.0,Turnover by T. Young (out of bounds lost ball),,45-37,,
5:18.0,,,45-37,,C. LeVert enters the game for J. Harris
4:59.0,,,45-37,,Turnover by A. Crabbe (bad pass; steal by T. Young)
4:42.0,D. Sabonis makes 2-pt shot from 6 ft,2,47-37,,
4:17.0,,,47-37,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
4:13.0,Defensive rebound by C. Joseph,,47-37,,
