time,Memphis,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. M. Gasol (J. Green gains possession),,,,Jump ball: K. Faried vs. M. Gasol (J. Green gains possession)
11:42.0,M. Gasol makes 2-pt shot from 2 ft (assist by C. Parsons),2,2-0,,
11:17.0,,,2-2,2,N. Jokic makes 2-pt shot from 2 ft
11:02.0,M. Gasol makes 2-pt shot from 19 ft,2,4-2,,
10:50.0,,,4-2,,W. Chandler misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by M. Chalmers,,4-2,,
10:28.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,6-2,,
10:13.0,,,6-4,2,K. Faried makes 2-pt shot from 1 ft (assist by J. Murray)
9:49.0,M. Gasol misses 3-pt shot from 25 ft,,6-4,,
9:46.0,,,6-4,,Defensive rebound by W. Chandler
9:41.0,,,6-6,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Chandler)
9:12.0,C. Parsons makes 2-pt shot from 1 ft (assist by J. Green),2,8-6,,
8:54.0,,,8-8,2,J. Murray makes 2-pt shot from 3 ft (assist by N. Jokic)
8:40.0,M. Gasol misses 2-pt shot from 9 ft,,8-8,,
8:37.0,,,8-8,,Defensive rebound by K. Faried
8:34.0,,,8-8,,Offensive charge foul by W. Chandler (drawn by C. Parsons)
8:34.0,,,8-8,,Turnover by W. Chandler (offensive foul)
8:13.0,Offensive charge foul by M. Gasol (drawn by N. Jokic),,8-8,,
8:13.0,Turnover by M. Gasol (offensive foul),,8-8,,
7:52.0,,,8-8,,Shooting foul by D. Brooks (drawn by K. Faried)
7:52.0,,,8-8,,K. Faried misses free throw 1 of 2
7:52.0,,,8-8,,Offensive rebound by Team
7:52.0,,,8-9,1,K. Faried makes free throw 2 of 2
7:32.0,M. Chalmers misses 2-pt shot from 8 ft,,8-9,,
7:29.0,,,8-9,,Defensive rebound by N. Jokic
7:22.0,,,8-9,,G. Harris misses 2-pt shot from 6 ft
7:19.0,Defensive rebound by J. Green,,8-9,,
7:17.0,Turnover by C. Parsons (turnover),,8-9,,
7:09.0,,,8-12,3,J. Murray makes 3-pt shot from 25 ft
6:53.0,C. Parsons misses 3-pt shot from 25 ft,,8-12,,
6:49.0,,,8-12,,Defensive rebound by J. Murray
6:48.0,,,8-12,,Turnover by J. Murray (bad pass)
6:48.0,,,8-12,,Denver full timeout
6:38.0,Turnover by M. Chalmers (bad pass; steal by W. Chandler),,8-12,,
6:24.0,,,8-12,,Shooting foul by D. Brooks (drawn by K. Faried)
6:24.0,,,8-12,,K. Faried misses free throw 1 of 2
6:24.0,,,8-12,,Offensive rebound by Team
6:24.0,T. Evans enters the game for C. Parsons,,8-12,,
6:24.0,B. McLemore enters the game for D. Brooks,,8-12,,
6:24.0,,,8-13,1,K. Faried makes free throw 2 of 2
6:13.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,10-13,,
5:51.0,,,10-13,,J. Murray misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by M. Gasol,,10-13,,
5:42.0,M. Chalmers misses 3-pt shot from 24 ft,,10-13,,
5:37.0,,,10-13,,Defensive rebound by G. Harris
5:35.0,,,10-13,,Turnover by G. Harris (bad pass)
5:12.0,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers),2,12-13,,
5:10.0,,,12-13,,Denver full timeout
5:10.0,,,12-13,,T. Lyles enters the game for W. Chandler
5:10.0,,,12-13,,W. Barton enters the game for K. Faried
5:10.0,D. Davis enters the game for M. Gasol,,12-13,,
5:02.0,,,12-13,,Turnover by N. Jokic (bad pass; steal by T. Evans)
4:57.0,T. Evans misses 2-pt shot from 3 ft,,12-13,,
4:54.0,,,12-13,,Defensive rebound by W. Barton
4:52.0,,,12-15,2,G. Harris makes 2-pt shot from 3 ft (assist by W. Barton)
4:26.0,M. Chalmers misses 3-pt shot from 28 ft,,12-15,,
4:24.0,,,12-15,,Defensive rebound by T. Lyles
4:05.0,,,12-17,2,J. Murray makes 2-pt shot from 17 ft
3:48.0,,,12-17,,Personal foul by N. Jokic (drawn by T. Evans)
3:48.0,,,12-17,,M. Plumlee enters the game for N. Jokic
3:48.0,J. Martin enters the game for J. Green,,12-17,,
3:34.0,T. Evans misses 3-pt shot from 25 ft,,12-17,,
3:29.0,,,12-17,,Defensive rebound by T. Lyles
3:19.0,,,12-17,,Turnover by G. Harris (bad pass; steal by B. McLemore)
3:16.0,T. Evans makes 2-pt shot from 1 ft (assist by B. McLemore),2,14-17,,
2:56.0,,,14-19,2,J. Murray makes 2-pt shot from 13 ft
2:42.0,T. Evans makes 2-pt shot from 2 ft (assist by M. Chalmers),2,16-19,,
2:24.0,,,16-22,3,T. Lyles makes 3-pt shot from 23 ft (assist by J. Murray)
2:10.0,J. Martin misses 2-pt shot from 18 ft,,16-22,,
2:07.0,,,16-22,,Defensive rebound by G. Harris
2:01.0,,,16-22,,G. Harris misses 2-pt shot from 3 ft
2:00.0,Defensive rebound by Team,,16-22,,
2:00.0,,,16-22,,E. Mudiay enters the game for J. Murray
2:00.0,M. Gasol enters the game for M. Chalmers,,16-22,,
1:45.0,T. Evans misses 2-pt shot from 4 ft,,16-22,,
1:44.0,Offensive rebound by T. Evans,,16-22,,
1:35.0,T. Evans misses 2-pt shot from 1 ft (block by M. Plumlee),,16-22,,
1:34.0,,,16-22,,Defensive rebound by G. Harris
1:33.0,,,16-22,,T. Lyles misses 3-pt shot from 23 ft
1:33.0,,,16-22,,Offensive rebound by M. Plumlee
1:33.0,,,16-22,,Personal foul by M. Plumlee (drawn by M. Gasol)
1:33.0,,,16-22,,Turnover by M. Plumlee (turnover)
1:18.0,Turnover by T. Evans (bad pass; steal by T. Lyles),,16-22,,
1:10.0,,,16-22,,G. Harris misses 3-pt shot from 24 ft
1:06.0,,,16-22,,Offensive rebound by W. Barton
1:04.0,,,16-22,,E. Mudiay misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by B. McLemore,,16-22,,
1:04.0,Turnover by B. McLemore (bad pass),,16-22,,
1:01.0,,,16-25,3,G. Harris makes 3-pt shot from 25 ft (assist by E. Mudiay)
1:00.0,Memphis full timeout,,16-25,,
0:49.0,,,16-25,,Violation by W. Barton (kicked ball)
0:39.0,Shooting foul by E. Mudiay (drawn by J. Martin),,16-25,,
0:39.0,J. Martin makes free throw 1 of 2,1,17-25,,
0:39.0,J. Martin makes free throw 2 of 2,1,18-25,,
0:31.0,,,18-27,2,E. Mudiay makes 2-pt shot from 18 ft
0:07.0,Offensive charge foul by J. Martin (drawn by T. Lyles),,18-27,,
0:07.0,Turnover by J. Martin (offensive foul),,18-27,,
0:03.0,,,18-27,,Shooting foul by J. Martin (drawn by E. Mudiay)
0:03.0,,,18-27,,E. Mudiay misses free throw 1 of 2
0:03.0,,,18-27,,Offensive rebound by Team
0:03.0,,,18-27,,M. Beasley enters the game for G. Harris
0:03.0,,,18-27,,E. Mudiay misses free throw 2 of 2
0:01.0,Defensive rebound by J. Martin,,18-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:59.0,,,18-27,,Turnover by J. Hernangomez (turnover)
11:50.0,M. Gasol misses 2-pt shot from 13 ft,,18-27,,
11:47.0,,,18-27,,Defensive rebound by W. Barton
11:30.0,Personal foul by D. Davis (drawn by M. Plumlee),,18-27,,
11:22.0,,,18-27,,Turnover by J. Hernangomez (lost ball; steal by T. Evans)
11:16.0,Offensive charge foul by B. McLemore (drawn by J. Hernangomez),,18-27,,
11:16.0,Turnover by B. McLemore (offensive foul),,18-27,,
10:55.0,,,18-27,,Shooting foul by D. Davis (drawn by W. Barton)
10:55.0,,,18-27,,W. Barton misses free throw 1 of 2
10:55.0,,,18-27,,Offensive rebound by Team
10:55.0,,,18-27,,W. Barton misses free throw 2 of 2
10:52.0,Defensive rebound by M. Gasol,,18-27,,
10:43.0,Shooting foul by E. Mudiay (drawn by B. McLemore),,18-27,,
10:43.0,B. McLemore makes free throw 1 of 2,1,19-27,,
10:43.0,D. Brooks enters the game for D. Davis,,19-27,,
10:43.0,B. McLemore makes free throw 2 of 2,1,20-27,,
10:28.0,,,20-27,,M. Plumlee misses 2-pt shot from 2 ft
10:26.0,,,20-27,,Offensive rebound by M. Plumlee
10:22.0,,,20-27,,Turnover by M. Plumlee (bad pass; steal by J. Martin)
10:17.0,T. Evans misses 2-pt shot from 2 ft,,20-27,,
10:14.0,,,20-27,,Defensive rebound by J. Hernangomez
10:01.0,,,20-29,2,W. Barton makes 2-pt shot from 2 ft (assist by M. Plumlee)
9:42.0,,,20-29,,Personal block foul by M. Plumlee (drawn by M. Gasol)
9:29.0,M. Gasol misses 2-pt shot from 6 ft (block by M. Plumlee),,20-29,,
9:23.0,,,20-29,,Defensive rebound by J. Hernangomez
9:22.0,,,20-31,2,E. Mudiay makes 2-pt shot from 4 ft
9:15.0,Memphis full timeout,,20-31,,
9:15.0,J. Green enters the game for J. Martin,,20-31,,
9:03.0,M. Gasol misses 2-pt shot from 5 ft,,20-31,,
9:00.0,,,20-31,,Defensive rebound by M. Plumlee
8:54.0,,,20-31,,Turnover by E. Mudiay (bad pass; steal by T. Evans)
8:49.0,B. McLemore makes 2-pt shot from 4 ft,2,22-31,,
8:32.0,,,22-33,2,W. Barton makes 2-pt shot from 3 ft (assist by M. Plumlee)
8:20.0,B. McLemore makes 3-pt shot from 27 ft (assist by T. Evans),3,25-33,,
7:56.0,,,25-33,,W. Barton misses 3-pt shot from 25 ft
7:52.0,,,25-33,,Offensive rebound by T. Lyles
7:52.0,,,25-35,2,T. Lyles makes 2-pt shot from 3 ft
7:39.0,B. McLemore misses 2-pt shot from 3 ft,,25-35,,
7:36.0,,,25-35,,Defensive rebound by J. Hernangomez
7:32.0,,,25-35,,W. Barton misses 2-pt shot from 3 ft (block by D. Brooks)
7:32.0,,,25-35,,Offensive rebound by Team
7:32.0,M. Chalmers enters the game for T. Evans,,25-35,,
7:32.0,D. Davis enters the game for M. Gasol,,25-35,,
7:26.0,,,25-35,,Shooting foul by D. Davis (drawn by T. Lyles)
7:26.0,,,25-36,1,T. Lyles makes free throw 1 of 2
7:26.0,,,25-36,,N. Jokic enters the game for M. Plumlee
7:26.0,C. Parsons enters the game for B. McLemore,,25-36,,
7:26.0,,,25-36,,T. Lyles misses free throw 2 of 2
7:23.0,Defensive rebound by M. Chalmers,,25-36,,
7:05.0,Turnover by M. Chalmers (bad pass),,25-36,,
7:05.0,,,25-36,,K. Faried enters the game for T. Lyles
7:00.0,,,25-39,3,E. Mudiay makes 3-pt shot from 25 ft (assist by K. Faried)
6:45.0,J. Green makes 3-pt shot from 23 ft (assist by C. Parsons),3,28-39,,
6:24.0,,,28-39,,Turnover by K. Faried (turnover)
6:24.0,,,28-39,,J. Murray enters the game for E. Mudiay
6:24.0,,,28-39,,W. Chandler enters the game for J. Hernangomez
6:12.0,M. Chalmers misses 2-pt shot from 4 ft,,28-39,,
6:10.0,,,28-39,,Defensive rebound by N. Jokic
6:06.0,,,28-41,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
5:53.0,D. Brooks misses 2-pt shot from 8 ft,,28-41,,
5:50.0,,,28-41,,Defensive rebound by K. Faried
5:46.0,,,28-41,,Turnover by W. Barton (bad pass; steal by D. Davis)
5:42.0,Shooting foul by W. Barton (drawn by M. Chalmers),,28-41,,
5:42.0,M. Chalmers makes free throw 1 of 2,1,29-41,,
5:42.0,,,29-41,,G. Harris enters the game for W. Barton
5:42.0,M. Chalmers makes free throw 2 of 2,1,30-41,,
5:27.0,,,30-41,,G. Harris misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by D. Davis,,30-41,,
5:21.0,,,30-41,,Personal foul by G. Harris (drawn by D. Brooks)
5:13.0,Turnover by M. Chalmers (bad pass),,30-41,,
5:06.0,,,30-43,2,K. Faried makes 2-pt shot from 4 ft (assist by N. Jokic)
4:49.0,D. Davis makes 2-pt shot from 3 ft (assist by C. Parsons),2,32-43,,
4:37.0,,,32-43,,Shooting foul by D. Davis (drawn by N. Jokic)
4:37.0,,,32-43,,N. Jokic misses free throw 1 of 2
4:37.0,,,32-43,,Offensive rebound by Team
4:37.0,M. Gasol enters the game for D. Davis,,32-43,,
4:37.0,,,32-44,1,N. Jokic makes free throw 2 of 2
4:23.0,M. Gasol makes 2-pt shot from 20 ft (assist by D. Brooks),2,34-44,,
4:00.0,,,34-44,,J. Murray misses 2-pt shot from 18 ft
3:58.0,,,34-44,,Offensive rebound by K. Faried
3:45.0,,,34-46,2,W. Chandler makes 2-pt shot from 3 ft (assist by N. Jokic)
3:28.0,M. Chalmers makes 2-pt shot from 2 ft (assist by M. Gasol),2,36-46,,
3:21.0,,,36-48,2,N. Jokic makes 2-pt shot from 3 ft (assist by J. Murray)
3:21.0,,,36-48,,Shooting foul by M. Gasol (drawn by N. Jokic)
3:21.0,,,36-49,1,N. Jokic makes free throw 1 of 1
3:08.0,M. Chalmers misses 2-pt shot from 7 ft,,36-49,,
3:05.0,,,36-49,,Defensive rebound by N. Jokic
2:59.0,,,36-52,3,W. Chandler makes 3-pt shot from 25 ft (assist by N. Jokic)
2:44.0,Turnover by M. Chalmers (bad pass; steal by G. Harris),,36-52,,
2:41.0,,,36-54,2,G. Harris makes 2-pt shot from 1 ft
2:32.0,Memphis full timeout,,36-54,,
2:32.0,T. Evans enters the game for M. Chalmers,,36-54,,
2:18.0,M. Gasol misses 3-pt shot from 23 ft,,36-54,,
2:18.0,,,36-54,,Defensive rebound by W. Chandler
2:09.0,,,36-54,,Turnover by W. Chandler (bad pass; steal by M. Gasol)
2:04.0,,,36-54,,Personal foul by K. Faried (drawn by M. Gasol)
2:04.0,M. Gasol makes free throw 1 of 2,1,37-54,,
2:04.0,B. McLemore enters the game for D. Brooks,,37-54,,
2:04.0,M. Gasol makes free throw 2 of 2,1,38-54,,
1:50.0,,,38-54,,G. Harris misses 2-pt shot from 10 ft (block by T. Evans)
1:45.0,Defensive rebound by B. McLemore,,38-54,,
1:38.0,M. Gasol makes 2-pt shot from 19 ft (assist by C. Parsons),2,40-54,,
1:22.0,,,40-56,2,N. Jokic makes 2-pt shot from 13 ft (assist by G. Harris)
1:01.0,T. Evans makes 2-pt shot from 2 ft (assist by M. Gasol),2,42-56,,
0:49.0,,,42-59,3,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler)
0:32.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,45-59,,
0:17.0,,,45-61,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Chandler)
0:01.0,T. Evans misses 3-pt shot from 25 ft,,45-61,,
0:01.0,,,45-61,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,45-63,2,J. Murray makes 2-pt shot from 7 ft
11:33.0,Turnover by M. Gasol (bad pass),,45-63,,
11:11.0,,,45-63,,W. Chandler misses 2-pt shot from 9 ft
11:07.0,Defensive rebound by M. Chalmers,,45-63,,
11:02.0,,,45-63,,Personal block foul by N. Jokic (drawn by M. Gasol)
10:56.0,Turnover by C. Parsons (bad pass; steal by N. Jokic),,45-63,,
10:51.0,,,45-63,,Turnover by N. Jokic (bad pass)
10:32.0,D. Brooks misses 2-pt shot from 3 ft,,45-63,,
10:30.0,,,45-63,,Defensive rebound by J. Murray
10:27.0,,,45-63,,J. Murray misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by Team,,45-63,,
10:26.0,,,45-63,,Loose ball foul by K. Faried (drawn by J. Green)
10:10.0,Turnover by M. Gasol (lost ball; steal by G. Harris),,45-63,,
10:00.0,,,45-63,,Shooting foul by M. Chalmers (drawn by G. Harris)
10:00.0,,,45-64,1,G. Harris makes free throw 1 of 2
10:00.0,,,45-65,1,G. Harris makes free throw 2 of 2
9:43.0,D. Brooks misses 3-pt shot from 26 ft,,45-65,,
9:38.0,,,45-65,,Defensive rebound by J. Murray
9:34.0,,,45-65,,J. Murray misses 3-pt shot from 26 ft
9:30.0,,,45-65,,Offensive rebound by J. Murray
9:27.0,,,45-65,,Turnover by J. Murray (bad pass; steal by M. Chalmers)
9:23.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol),2,47-65,,
9:23.0,,,47-65,,Denver full timeout
9:13.0,,,47-65,,N. Jokic misses 2-pt shot from 6 ft
9:12.0,,,47-65,,Offensive rebound by N. Jokic
9:12.0,,,47-65,,Shooting foul by C. Parsons (drawn by N. Jokic)
9:12.0,,,47-65,,N. Jokic misses free throw 1 of 2
9:12.0,,,47-65,,Offensive rebound by Team
9:12.0,,,47-66,1,N. Jokic makes free throw 2 of 2
9:06.0,M. Chalmers misses 2-pt shot from 3 ft (block by J. Murray),,47-66,,
9:06.0,Offensive rebound by Team,,47-66,,
9:01.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Chalmers),3,50-66,,
8:40.0,,,50-66,,Turnover by N. Jokic (traveling)
8:20.0,M. Gasol misses 3-pt shot from 25 ft,,50-66,,
8:17.0,,,50-66,,Defensive rebound by G. Harris
8:09.0,,,50-66,,N. Jokic misses 3-pt shot from 25 ft
8:06.0,,,50-66,,Offensive rebound by K. Faried
7:55.0,,,50-66,,G. Harris misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by J. Green,,50-66,,
7:46.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,52-66,,
7:30.0,,,52-66,,J. Murray misses 2-pt shot from 2 ft
7:26.0,,,52-66,,Offensive rebound by J. Murray
7:26.0,,,52-68,2,J. Murray makes 2-pt shot from 1 ft
7:05.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,54-68,,
6:46.0,,,54-68,,G. Harris misses 3-pt shot from 22 ft
6:44.0,Defensive rebound by M. Gasol,,54-68,,
6:35.0,C. Parsons misses 3-pt shot from 25 ft,,54-68,,
6:32.0,,,54-68,,Defensive rebound by N. Jokic
6:30.0,,,54-68,,Shooting foul by J. Green (drawn by K. Faried)
6:30.0,,,54-68,,K. Faried misses free throw 1 of 2
6:30.0,,,54-68,,Offensive rebound by Team
6:30.0,J. Martin enters the game for J. Green,,54-68,,
6:30.0,T. Evans enters the game for M. Chalmers,,54-68,,
6:30.0,,,54-69,1,K. Faried makes free throw 2 of 2
6:14.0,T. Evans makes 2-pt shot from 3 ft,2,56-69,,
5:55.0,,,56-71,2,G. Harris makes 2-pt shot from 12 ft (assist by N. Jokic)
5:38.0,J. Martin misses 2-pt shot from 2 ft,,56-71,,
5:36.0,,,56-71,,Defensive rebound by K. Faried
5:36.0,,,56-71,,Denver full timeout
5:36.0,,,56-71,,W. Barton enters the game for W. Chandler
5:28.0,,,56-71,,Turnover by W. Barton (traveling)
5:15.0,C. Parsons misses 2-pt shot from 17 ft,,56-71,,
5:12.0,,,56-71,,Defensive rebound by N. Jokic
5:05.0,,,56-71,,J. Murray misses 2-pt shot from 20 ft
5:02.0,Defensive rebound by C. Parsons,,56-71,,
4:41.0,J. Martin makes 2-pt shot from 2 ft (assist by C. Parsons),2,58-71,,
4:24.0,,,58-74,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
4:02.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Gasol),3,61-74,,
3:43.0,,,61-74,,J. Murray misses 2-pt shot from 5 ft
3:43.0,Defensive rebound by Team,,61-74,,
3:43.0,,,61-74,,T. Lyles enters the game for G. Harris
3:43.0,,,61-74,,E. Mudiay enters the game for N. Jokic
3:43.0,,,61-74,,W. Chandler enters the game for J. Murray
3:43.0,,,61-74,,M. Plumlee enters the game for K. Faried
3:43.0,B. McLemore enters the game for C. Parsons,,61-74,,
3:27.0,T. Evans makes 3-pt shot from 25 ft (assist by M. Gasol),3,64-74,,
2:59.0,,,64-74,,E. Mudiay misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by M. Gasol,,64-74,,
2:47.0,M. Gasol misses 3-pt shot from 25 ft,,64-74,,
2:45.0,,,64-74,,Defensive rebound by T. Lyles
2:34.0,,,64-74,,W. Barton misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by Team,,64-74,,
2:19.0,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol),3,67-74,,
2:18.0,,,67-74,,Denver full timeout
1:59.0,,,67-74,,Turnover by E. Mudiay (out of bounds lost ball)
1:43.0,D. Brooks makes 2-pt shot from 3 ft (assist by B. McLemore),2,69-74,,
1:31.0,,,69-76,2,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton)
1:14.0,,,69-76,,Def 3 sec tech foul by W. Barton
1:14.0,M. Gasol makes technical free throw,1,70-76,,
1:04.0,T. Evans misses 2-pt shot from 3 ft,,70-76,,
1:02.0,,,70-76,,Defensive rebound by W. Barton
0:48.0,,,70-76,,W. Barton misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by M. Gasol,,70-76,,
0:36.0,J. Martin makes 2-pt shot from 1 ft (assist by M. Gasol),2,72-76,,
0:16.0,,,72-76,,T. Lyles misses 2-pt shot from 8 ft
