time,Miami,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. B. Adebayo (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. B. Adebayo (E. Kanter gains possession)
11:42.0,,,0-2,2,K. Porzingis makes 2-pt shot from 21 ft (assist by J. Jack)
11:23.0,J. Richardson makes 3-pt shot from 25 ft (assist by D. Waiters),3,3-2,,
11:06.0,,,3-4,2,K. Porzingis makes 2-pt shot from 20 ft (assist by J. Jack)
10:48.0,D. Waiters misses 3-pt shot from 26 ft,,3-4,,
10:45.0,,,3-4,,Defensive rebound by C. Lee
10:38.0,,,3-4,,C. Lee misses 2-pt shot at rim
10:36.0,Defensive rebound by J. Winslow,,3-4,,
10:32.0,B. Adebayo makes 2-pt shot at rim (assist by J. Winslow),2,5-4,,
10:11.0,,,5-4,,Turnover by K. Porzingis (bad pass; steal by J. Richardson)
10:05.0,G. Dragic misses 2-pt shot from 14 ft,,5-4,,
10:03.0,,,5-4,,Defensive rebound by J. Jack
9:59.0,,,5-7,3,T. Hardaway makes 3-pt shot from 22 ft (assist by J. Jack)
9:42.0,J. Winslow misses 3-pt shot from 22 ft,,5-7,,
9:36.0,Offensive rebound by J. Winslow,,5-7,,
9:34.0,J. Winslow misses 2-pt shot from 1 ft,,5-7,,
9:30.0,,,5-7,,Defensive rebound by C. Lee
9:30.0,,,5-7,,New York full timeout
9:30.0,,,5-7,,M. Beasley enters the game for K. Porzingis
9:13.0,,,5-10,3,C. Lee makes 3-pt shot from 25 ft (assist by T. Hardaway)
8:58.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Winslow),2,7-10,,
8:47.0,,,7-12,2,M. Beasley makes 2-pt shot from 14 ft
8:29.0,Turnover by J. Winslow (bad pass; steal by J. Jack),,7-12,,
8:25.0,,,7-12,,Turnover by J. Jack (bad pass; steal by B. Adebayo)
8:20.0,G. Dragic misses 2-pt shot from 1 ft,,7-12,,
8:19.0,Offensive rebound by Team,,7-12,,
8:12.0,Shooting foul by M. Beasley (drawn by J. Winslow),,7-12,,
8:12.0,J. Winslow misses free throw 2 of 2,,7-12,,
8:12.0,,,7-12,,Defensive rebound by C. Lee
8:12.0,J. Winslow makes free throw 1 of 2,1,8-12,,
7:52.0,,,8-14,2,E. Kanter makes 2-pt shot from 1 ft
7:38.0,D. Waiters misses 2-pt shot from 2 ft,,8-14,,
7:37.0,,,8-14,,Defensive rebound by Team
7:19.0,,,8-14,,Turnover by M. Beasley (lost ball; steal by J. Winslow)
7:13.0,G. Dragic misses 3-pt shot from 23 ft,,8-14,,
7:09.0,,,8-14,,Defensive rebound by E. Kanter
7:02.0,,,8-16,2,J. Jack makes 2-pt shot from 12 ft
6:36.0,J. Richardson misses 2-pt shot from 14 ft,,8-16,,
6:35.0,,,8-16,,Defensive rebound by E. Kanter
6:22.0,,,8-16,,J. Jack misses 2-pt shot from 11 ft
6:19.0,,,8-16,,Offensive rebound by E. Kanter
6:18.0,,,8-16,,E. Kanter misses 2-pt shot from 1 ft
6:15.0,Defensive rebound by B. Adebayo,,8-16,,
5:59.0,J. Winslow makes 2-pt shot from 3 ft (assist by D. Waiters),2,10-16,,
5:59.0,,,10-16,,Violation by M. Beasley (def goaltending)
5:49.0,,,10-16,,Shooting foul by D. Waiters (drawn by C. Lee)
5:49.0,,,10-16,,R. Sessions enters the game for J. Jack
5:49.0,T. Johnson enters the game for J. Richardson,,10-16,,
5:49.0,K. Olynyk enters the game for B. Adebayo,,10-16,,
5:49.0,,,10-17,1,C. Lee makes free throw 1 of 2
5:49.0,,,10-18,1,C. Lee makes free throw 2 of 2
5:38.0,D. Waiters makes 2-pt shot from 17 ft,2,12-18,,
5:16.0,,,12-18,,E. Kanter misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by J. Winslow,,12-18,,
4:57.0,K. Olynyk misses 2-pt shot from 2 ft (block by M. Beasley),,12-18,,
4:53.0,,,12-18,,Defensive rebound by M. Beasley
4:53.0,,,12-18,,T. Hardaway misses 3-pt shot from 24 ft
4:53.0,,,12-18,,Offensive rebound by E. Kanter
4:53.0,Personal foul by K. Olynyk (drawn by E. Kanter),,12-18,,
4:53.0,W. Ellington enters the game for G. Dragic,,12-18,,
4:53.0,J. Johnson enters the game for J. Winslow,,12-18,,
4:41.0,,,12-18,,R. Sessions misses 2-pt shot from 1 ft
4:41.0,,,12-18,,Offensive rebound by E. Kanter
4:35.0,,,12-20,2,E. Kanter makes 2-pt shot at rim
4:32.0,Miami full timeout,,12-20,,
4:32.0,,,12-20,,K. O'Quinn enters the game for E. Kanter
4:32.0,,,12-20,,D. McDermott enters the game for T. Hardaway
4:22.0,W. Ellington misses 3-pt shot from 26 ft,,12-20,,
4:21.0,,,12-20,,Defensive rebound by K. O'Quinn
4:09.0,,,12-20,,Offensive foul by K. O'Quinn (drawn by K. Olynyk)
4:09.0,,,12-20,,Turnover by K. O'Quinn (offensive foul)
4:01.0,D. Waiters misses 2-pt shot from 2 ft (block by D. McDermott),,12-20,,
4:00.0,Offensive rebound by Team,,12-20,,
3:49.0,J. Johnson makes 3-pt shot from 24 ft (assist by D. Waiters),3,15-20,,
3:34.0,,,15-20,,Turnover by R. Sessions (bad pass; steal by D. Waiters)
3:30.0,T. Johnson makes 2-pt shot from 2 ft (assist by D. Waiters),2,17-20,,
3:17.0,,,17-22,2,K. O'Quinn makes 2-pt shot from 7 ft
3:17.0,,,17-22,,Shooting foul by K. Olynyk (drawn by K. O'Quinn)
3:17.0,,,17-23,1,K. O'Quinn makes free throw 1 of 1
3:06.0,Shooting foul by R. Sessions (drawn by T. Johnson),,17-23,,
3:06.0,T. Johnson makes free throw 1 of 2,1,18-23,,
3:06.0,T. Johnson makes free throw 2 of 2,1,19-23,,
2:51.0,,,19-23,,Turnover by M. Beasley (bad pass; steal by W. Ellington)
2:46.0,K. Olynyk misses 3-pt shot from 26 ft,,19-23,,
2:39.0,Offensive rebound by J. Johnson,,19-23,,
2:39.0,J. Johnson misses 2-pt shot at rim,,19-23,,
2:38.0,,,19-23,,Defensive rebound by K. O'Quinn
2:30.0,,,19-25,2,C. Lee makes 2-pt shot from 9 ft
2:15.0,Turnover by K. Olynyk (lost ball; steal by R. Sessions),,19-25,,
2:08.0,,,19-27,2,D. McDermott makes 2-pt shot from 1 ft (assist by R. Sessions)
1:54.0,K. Olynyk makes 3-pt shot from 24 ft (assist by D. Waiters),3,22-27,,
1:42.0,,,22-27,,R. Sessions misses 2-pt shot from 2 ft
1:40.0,,,22-27,,Offensive rebound by M. Beasley
1:37.0,,,22-27,,R. Sessions misses 3-pt shot from 22 ft
1:36.0,Defensive rebound by T. Johnson,,22-27,,
1:25.0,J. Johnson misses 3-pt shot from 23 ft,,22-27,,
1:24.0,,,22-27,,Defensive rebound by K. O'Quinn
1:13.0,,,22-29,2,M. Beasley makes 2-pt shot from 3 ft (assist by C. Lee)
1:00.0,Turnover by J. Johnson (lost ball; steal by C. Lee),,22-29,,
0:56.0,,,22-31,2,R. Sessions makes 2-pt shot at rim (assist by C. Lee)
0:38.0,J. Johnson misses 3-pt shot from 23 ft,,22-31,,
0:36.0,Offensive rebound by W. Ellington,,22-31,,
0:19.0,Turnover by D. Waiters (turnover),,22-31,,
0:19.0,B. Adebayo enters the game for D. Waiters,,22-31,,
0:19.0,J. Richardson enters the game for K. Olynyk,,22-31,,
0:03.0,,,22-33,2,K. O'Quinn makes 2-pt shot from 15 ft (assist by R. Sessions)
0:00.0,T. Johnson misses 3-pt shot from 48 ft,,22-33,,
0:00.0,Offensive rebound by Team,,22-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Richardson misses 3-pt shot from 25 ft,,22-33,,
11:43.0,Offensive rebound by J. Johnson,,22-33,,
11:25.0,J. Richardson misses 3-pt shot from 26 ft,,22-33,,
11:24.0,,,22-33,,Defensive rebound by K. O'Quinn
11:06.0,,,22-33,,R. Sessions misses 2-pt shot at rim
11:05.0,Defensive rebound by B. Adebayo,,22-33,,
10:59.0,Shooting foul by L. Thomas (drawn by J. Johnson),,22-33,,
10:59.0,J. Johnson makes free throw 1 of 2,1,23-33,,
10:59.0,J. Johnson misses free throw 2 of 2,,23-33,,
10:57.0,,,23-33,,Defensive rebound by K. O'Quinn
10:38.0,Personal foul by B. Adebayo (drawn by K. O'Quinn),,23-33,,
10:31.0,,,23-33,,Shooting foul by J. Richardson (drawn by T. Hardaway)
10:31.0,,,23-33,,T. Hardaway misses free throw 1 of 2
10:31.0,,,23-33,,Offensive rebound by Team
10:31.0,,,23-34,1,T. Hardaway makes free throw 2 of 2
10:25.0,,,23-34,,Personal foul by D. McDermott (drawn by W. Ellington)
10:14.0,Turnover by T. Johnson (bad pass),,23-34,,
10:02.0,,,23-36,2,T. Hardaway makes 2-pt shot from 4 ft (assist by R. Sessions)
9:50.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson),3,26-36,,
9:37.0,,,26-36,,Shooting foul by J. Johnson (drawn by R. Sessions)
9:37.0,,,26-37,1,R. Sessions makes free throw 1 of 2
9:37.0,,,26-38,1,R. Sessions makes free throw 2 of 2
9:16.0,J. Richardson misses 2-pt shot from 4 ft,,26-38,,
9:14.0,,,26-38,,Defensive rebound by K. O'Quinn
9:02.0,Personal foul by T. Johnson (drawn by R. Sessions),,26-38,,
9:02.0,,,26-38,,E. Kanter enters the game for R. Sessions
9:02.0,,,26-38,,J. Jack enters the game for K. O'Quinn
8:55.0,,,26-38,,Turnover by T. Hardaway (bad pass; steal by J. Johnson)
8:51.0,Turnover by J. Johnson (lost ball; steal by T. Hardaway),,26-38,,
8:48.0,,,26-40,2,E. Kanter makes 2-pt shot from 2 ft (assist by T. Hardaway)
8:29.0,,,26-40,,Personal foul by J. Jack (drawn by J. Richardson)
8:14.0,J. Richardson makes 2-pt shot from 23 ft,2,28-40,,
7:59.0,,,28-42,2,E. Kanter makes 2-pt shot from 2 ft (assist by J. Jack)
7:46.0,T. Johnson makes 2-pt shot from 23 ft,2,30-42,,
7:29.0,,,30-44,2,T. Hardaway makes 2-pt shot from 17 ft (assist by L. Thomas)
7:22.0,Miami full timeout,,30-44,,
7:22.0,G. Dragic enters the game for J. Richardson,,30-44,,
7:10.0,T. Johnson misses 3-pt shot from 25 ft,,30-44,,
7:08.0,Offensive rebound by B. Adebayo,,30-44,,
7:01.0,B. Adebayo makes 2-pt shot at rim,2,32-44,,
6:55.0,Personal foul by B. Adebayo (drawn by L. Thomas),,32-44,,
6:55.0,K. Olynyk enters the game for B. Adebayo,,32-44,,
6:55.0,,,32-45,1,L. Thomas makes free throw 1 of 2
6:55.0,,,32-46,1,L. Thomas makes free throw 2 of 2
6:39.0,W. Ellington misses 3-pt shot from 26 ft,,32-46,,
6:38.0,,,32-46,,Defensive rebound by E. Kanter
6:28.0,,,32-46,,T. Hardaway misses 2-pt shot from 9 ft
6:27.0,,,32-46,,Offensive rebound by E. Kanter
6:27.0,,,32-48,2,E. Kanter makes 2-pt shot at rim
6:27.0,,,32-48,,Shooting foul by J. Johnson (drawn by E. Kanter)
6:27.0,,,32-49,1,E. Kanter makes free throw 1 of 1
6:16.0,Turnover by K. Olynyk (bad pass),,32-49,,
6:16.0,D. Waiters enters the game for T. Johnson,,32-49,,
6:00.0,,,32-49,,L. Thomas misses 3-pt shot from 24 ft
5:57.0,,,32-49,,Offensive rebound by E. Kanter
5:57.0,Personal foul by J. Johnson (drawn by E. Kanter),,32-49,,
5:57.0,B. Adebayo enters the game for J. Johnson,,32-49,,
5:57.0,,,32-50,1,E. Kanter makes free throw 1 of 2
5:57.0,,,32-50,,E. Kanter misses free throw 2 of 2
5:54.0,Defensive rebound by B. Adebayo,,32-50,,
5:36.0,G. Dragic makes 2-pt shot from 7 ft,2,34-50,,
5:22.0,,,34-50,,T. Hardaway misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by K. Olynyk,,34-50,,
5:11.0,K. Olynyk makes 3-pt shot from 27 ft (assist by D. Waiters),3,37-50,,
5:03.0,,,37-50,,New York full timeout
5:03.0,,,37-50,,C. Lee enters the game for D. McDermott
5:03.0,J. Richardson enters the game for W. Ellington,,37-50,,
4:45.0,,,37-52,2,T. Hardaway makes 2-pt shot from 10 ft
4:32.0,,,37-52,,Personal foul by L. Thomas (drawn by G. Dragic)
4:18.0,D. Waiters misses 2-pt shot from 4 ft,,37-52,,
4:16.0,,,37-52,,Defensive rebound by E. Kanter
4:12.0,,,37-52,,C. Lee misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by K. Olynyk,,37-52,,
4:04.0,,,37-52,,Personal foul by J. Jack (drawn by D. Waiters)
4:04.0,,,37-52,,M. Beasley enters the game for L. Thomas
4:04.0,D. Waiters makes free throw 1 of 2,1,38-52,,
4:04.0,D. Waiters misses free throw 2 of 2,,38-52,,
4:01.0,Offensive rebound by K. Olynyk,,38-52,,
3:50.0,G. Dragic misses 2-pt shot from 17 ft,,38-52,,
3:49.0,,,38-52,,Defensive rebound by C. Lee
3:30.0,,,38-52,,Turnover by M. Beasley (traveling)
3:17.0,J. Richardson misses 2-pt shot from 1 ft,,38-52,,
3:16.0,,,38-52,,Defensive rebound by E. Kanter
3:11.0,,,38-52,,J. Jack misses 3-pt shot from 25 ft
3:10.0,,,38-52,,Offensive rebound by M. Beasley
3:05.0,,,38-52,,T. Hardaway misses 3-pt shot from 27 ft
3:04.0,Defensive rebound by J. Richardson,,38-52,,
2:43.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,41-52,,
2:30.0,Personal foul by K. Olynyk (drawn by E. Kanter),,41-52,,
2:30.0,J. Winslow enters the game for K. Olynyk,,41-52,,
2:30.0,,,41-53,1,E. Kanter makes free throw 1 of 2
2:30.0,,,41-54,1,E. Kanter makes free throw 2 of 2
2:26.0,,,41-54,,Personal foul by E. Kanter (drawn by B. Adebayo)
2:26.0,B. Adebayo misses free throw 1 of 2,,41-54,,
2:26.0,Offensive rebound by Team,,41-54,,
2:26.0,B. Adebayo makes free throw 2 of 2,1,42-54,,
2:07.0,,,42-54,,M. Beasley misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by B. Adebayo,,42-54,,
1:50.0,Turnover by J. Richardson (lost ball; steal by E. Kanter),,42-54,,
1:46.0,,,42-56,2,M. Beasley makes 2-pt shot at rim (assist by E. Kanter)
1:31.0,J. Richardson makes 2-pt shot from 17 ft (assist by G. Dragic),2,44-56,,
1:12.0,Personal foul by B. Adebayo (drawn by E. Kanter),,44-56,,
1:12.0,Technical foul by Team,,44-56,,
1:12.0,J. Mickey enters the game for B. Adebayo,,44-56,,
1:12.0,,,44-57,1,C. Lee makes technical free throw
1:12.0,,,44-58,1,E. Kanter makes free throw 1 of 2
1:12.0,,,44-59,1,E. Kanter makes free throw 2 of 2
1:02.0,G. Dragic misses 2-pt shot from 1 ft,,44-59,,
1:00.0,,,44-59,,Defensive rebound by M. Beasley
0:55.0,,,44-59,,M. Beasley misses 2-pt shot from 7 ft
0:53.0,,,44-59,,Offensive rebound by E. Kanter
0:52.0,,,44-61,2,E. Kanter makes 2-pt shot from 4 ft
0:44.0,Shooting foul by M. Beasley (drawn by D. Waiters),,44-61,,
0:44.0,D. Waiters misses free throw 1 of 2,,44-61,,
0:44.0,Offensive rebound by Team,,44-61,,
0:44.0,D. Waiters misses free throw 2 of 2,,44-61,,
0:42.0,,,44-61,,Defensive rebound by E. Kanter
0:31.0,,,44-63,2,C. Lee makes 2-pt shot from 6 ft
0:07.0,J. Richardson misses 3-pt shot from 25 ft,,44-63,,
0:07.0,Offensive rebound by J. Winslow,,44-63,,
0:03.0,J. Winslow misses 2-pt shot from 3 ft,,44-63,,
0:02.0,,,44-63,,Defensive rebound by E. Kanter
0:00.0,,,44-65,2,T. Hardaway makes 2-pt shot from 21 ft (assist by J. Jack)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Dragic misses 3-pt shot from 25 ft,,44-65,,
11:44.0,,,44-65,,Defensive rebound by M. Beasley
11:29.0,,,44-65,,Turnover by M. Beasley (bad pass; steal by J. Richardson)
11:15.0,Turnover by J. Winslow (bad pass; steal by C. Lee),,44-65,,
11:05.0,,,44-65,,Turnover by C. Lee (bad pass; steal by B. Adebayo)
10:57.0,D. Waiters makes 2-pt shot from 16 ft,2,46-65,,
10:38.0,,,46-67,2,C. Lee makes 2-pt shot from 17 ft
10:19.0,J. Richardson misses 3-pt shot from 24 ft,,46-67,,
10:17.0,,,46-67,,Defensive rebound by M. Beasley
9:58.0,,,46-67,,Shooting foul by G. Dragic (drawn by C. Lee)
9:58.0,,,46-68,1,C. Lee makes free throw 1 of 2
9:58.0,,,46-69,1,C. Lee makes free throw 2 of 2
9:45.0,Turnover by B. Adebayo (lost ball; steal by C. Lee),,46-69,,
9:44.0,Violation by J. Richardson (kicked ball),,46-69,,
9:25.0,,,46-71,2,E. Kanter makes 2-pt shot from 3 ft
9:09.0,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic),2,48-71,,
8:58.0,,,48-71,,Offensive foul by E. Kanter (drawn by B. Adebayo)
8:58.0,,,48-71,,Turnover by E. Kanter (offensive foul)
8:41.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Winslow),2,50-71,,
8:28.0,,,50-71,,C. Lee misses 2-pt shot from 16 ft
8:25.0,Defensive rebound by J. Richardson,,50-71,,
8:22.0,D. Waiters misses 3-pt shot from 25 ft,,50-71,,
8:20.0,,,50-71,,Defensive rebound by J. Jack
8:15.0,,,50-71,,M. Beasley misses 2-pt shot from 1 ft (block by D. Waiters)
8:14.0,Defensive rebound by G. Dragic,,50-71,,
7:55.0,G. Dragic misses 2-pt shot from 8 ft (block by C. Lee),,50-71,,
7:53.0,Offensive rebound by D. Waiters,,50-71,,
7:49.0,D. Waiters misses 3-pt shot from 23 ft,,50-71,,
7:47.0,,,50-71,,Defensive rebound by M. Beasley
