time,Portland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Nurkic (R. Anderson gains possession),,,,Jump ball: C. Capela vs. J. Nurkic (R. Anderson gains possession)
11:47.0,,,0-3,3,E. Gordon makes 3-pt shot from 27 ft (assist by C. Paul)
11:25.0,E. Turner misses 2-pt shot from 16 ft,,0-3,,
11:20.0,,,0-3,,Defensive rebound by E. Gordon
11:13.0,,,0-3,,T. Ariza misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by A. Aminu,,0-3,,
10:53.0,E. Turner misses 3-pt shot from 29 ft,,0-3,,
10:51.0,,,0-3,,Defensive rebound by C. Capela
10:39.0,,,0-3,,C. Capela misses 2-pt shot from 2 ft (block by J. Nurkic)
10:39.0,,,0-3,,Offensive rebound by Team
10:36.0,,,0-3,,T. Ariza misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by J. Nurkic,,0-3,,
10:22.0,C. McCollum misses 3-pt shot from 24 ft,,0-3,,
10:18.0,,,0-3,,Defensive rebound by C. Capela
10:12.0,,,0-5,2,C. Paul makes 2-pt shot from 10 ft
9:54.0,J. Nurkic misses 2-pt shot from 6 ft,,0-5,,
9:52.0,,,0-5,,Defensive rebound by C. Paul
9:45.0,,,0-5,,E. Gordon misses 2-pt shot from 3 ft
9:43.0,,,0-5,,Offensive rebound by R. Anderson
9:28.0,,,0-5,,C. Capela misses 2-pt shot from 3 ft (block by J. Nurkic)
9:25.0,Defensive rebound by J. Nurkic,,0-5,,
9:11.0,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard),3,3-5,,
8:57.0,,,3-5,,Turnover by C. Paul (bad pass; steal by E. Turner)
8:49.0,E. Turner makes 3-pt shot from 22 ft (assist by D. Lillard),3,6-5,,
8:30.0,,,6-5,,C. Paul misses 2-pt shot from 8 ft
8:24.0,,,6-5,,Offensive rebound by C. Capela
8:24.0,,,6-5,,C. Capela misses 2-pt shot at rim
8:20.0,,,6-5,,Offensive rebound by E. Gordon
8:18.0,,,6-5,,E. Gordon misses 3-pt shot from 27 ft
8:18.0,Defensive rebound by J. Nurkic,,6-5,,
8:14.0,A. Aminu misses 3-pt shot from 27 ft,,6-5,,
8:14.0,Offensive rebound by Team,,6-5,,
8:13.0,,,6-5,,Loose ball foul by C. Capela (drawn by J. Nurkic)
8:05.0,C. McCollum misses 3-pt shot from 27 ft,,6-5,,
8:01.0,,,6-5,,Defensive rebound by Team
8:01.0,Loose ball foul by E. Turner (drawn by T. Ariza),,6-5,,
7:43.0,,,6-7,2,E. Gordon makes 2-pt shot from 22 ft
7:43.0,,,6-7,,Shooting foul by D. Lillard (drawn by E. Gordon)
7:43.0,,,6-7,,E. Gordon misses free throw 1 of 1
7:41.0,Defensive rebound by A. Aminu,,6-7,,
7:31.0,D. Lillard misses 2-pt shot from 21 ft,,6-7,,
7:28.0,,,6-7,,Defensive rebound by E. Gordon
7:20.0,,,6-7,,C. Paul misses 2-pt shot from 15 ft
7:14.0,,,6-7,,Offensive rebound by R. Anderson
7:14.0,,,6-7,,R. Anderson misses 2-pt shot at rim
7:13.0,Defensive rebound by C. McCollum,,6-7,,
7:05.0,E. Turner misses 3-pt shot from 24 ft,,6-7,,
7:02.0,,,6-7,,Defensive rebound by C. Capela
6:58.0,,,6-10,3,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul)
6:39.0,Shooting foul by C. Capela (drawn by C. McCollum),,6-10,,
6:39.0,,,6-10,,Houston full timeout
6:39.0,,,6-10,,P. Tucker enters the game for C. Paul
6:39.0,,,6-10,,G. Green enters the game for C. Capela
6:39.0,C. McCollum makes free throw 1 of 2,1,7-10,,
6:39.0,C. McCollum makes free throw 2 of 2,1,8-10,,
6:24.0,,,8-10,,P. Tucker misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by D. Lillard,,8-10,,
6:09.0,J. Nurkic misses 2-pt shot from 9 ft,,8-10,,
6:05.0,,,8-10,,Defensive rebound by R. Anderson
6:01.0,,,8-10,,Shooting foul by J. Nurkic (drawn by G. Green)
6:01.0,,,8-10,,G. Green misses free throw 1 of 2
6:01.0,,,8-10,,Offensive rebound by Team
