time,Oklahoma City,pts.away,score,pts.home,San Antonio
3:01.0,,,23-19,,L. Aldridge misses 2-pt shot from 11 ft (block by C. Anthony)
2:58.0,Defensive rebound by P. George,,23-19,,
2:54.0,T. Ferguson makes 3-pt shot from 22 ft (assist by P. George),3,26-19,,
2:32.0,,,26-19,,T. Parker misses 2-pt shot from 16 ft
2:30.0,,,26-19,,Offensive rebound by R. Gay
2:30.0,,,26-19,,R. Gay misses 2-pt shot at rim
2:28.0,,,26-19,,Offensive rebound by L. Aldridge
2:27.0,,,26-21,2,L. Aldridge makes 2-pt shot at rim
2:06.0,Turnover by S. Adams (lost ball; steal by M. Ginobili),,26-21,,
1:52.0,Personal foul by P. George (drawn by T. Parker),,26-21,,
1:52.0,Oklahoma City full timeout,,26-21,,
1:52.0,,,26-21,,P. Gasol enters the game for L. Aldridge
1:52.0,R. Felton enters the game for R. Westbrook,,26-21,,
1:52.0,J. Grant enters the game for C. Anthony,,26-21,,
1:52.0,,,26-22,1,T. Parker makes free throw 1 of 2
1:52.0,,,26-23,1,T. Parker makes free throw 2 of 2
1:30.0,P. George misses 2-pt shot from 19 ft,,26-23,,
1:26.0,,,26-23,,Defensive rebound by P. Gasol
1:18.0,,,26-23,,T. Parker misses 2-pt shot from 8 ft (block by J. Grant)
1:15.0,Defensive rebound by R. Felton,,26-23,,
1:11.0,J. Grant misses 2-pt shot from 2 ft,,26-23,,
1:08.0,,,26-23,,Defensive rebound by D. Green
1:03.0,Personal foul by S. Adams (drawn by T. Parker),,26-23,,
1:03.0,,,26-24,1,T. Parker makes free throw 1 of 2
1:03.0,P. Patterson enters the game for S. Adams,,26-24,,
1:03.0,,,26-24,,T. Parker misses free throw 2 of 2
1:00.0,Defensive rebound by J. Grant,,26-24,,
0:52.0,P. George misses 2-pt shot from 14 ft,,26-24,,
0:49.0,,,26-24,,Defensive rebound by M. Ginobili
0:44.0,,,26-24,,Turnover by M. Ginobili (bad pass; steal by P. George)
0:38.0,R. Felton makes 3-pt shot from 25 ft (assist by P. George),3,29-24,,
0:27.0,,,29-24,,D. Green misses 3-pt shot from 24 ft
0:27.0,,,29-24,,Offensive rebound by R. Gay
0:00.0,,,29-24,,M. Ginobili misses 2-pt shot from 14 ft
0:00.0,,,29-24,,Offensive rebound by R. Gay
0:00.0,,,29-24,,R. Gay misses 2-pt shot at rim
0:00.0,,,29-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-27,3,T. Parker makes 3-pt shot from 23 ft (assist by D. Bertans)
11:28.0,Turnover by R. Felton (bad pass; steal by M. Ginobili),,29-27,,
11:17.0,,,29-29,2,D. Green makes 2-pt shot at rim (assist by P. Gasol)
11:01.0,T. Ferguson misses 3-pt shot from 25 ft,,29-29,,
10:57.0,Offensive rebound by J. Grant,,29-29,,
10:56.0,Turnover by J. Grant (bad pass; steal by T. Parker),,29-29,,
10:52.0,,,29-31,2,P. Gasol makes 2-pt shot at rim (assist by T. Parker)
10:52.0,Oklahoma City full timeout,,29-31,,
10:52.0,A. Abrines enters the game for P. George,,29-31,,
10:39.0,J. Grant misses 3-pt shot from 26 ft,,29-31,,
10:35.0,,,29-31,,Defensive rebound by P. Gasol
10:24.0,,,29-31,,Shooting foul by J. Grant (drawn by P. Gasol)
10:24.0,,,29-32,1,P. Gasol makes free throw 1 of 2
10:24.0,,,29-33,1,P. Gasol makes free throw 2 of 2
10:06.0,P. Patterson makes 2-pt shot from 9 ft (assist by T. Ferguson),2,31-33,,
9:54.0,,,31-36,3,D. Green makes 3-pt shot from 23 ft (assist by T. Parker)
9:27.0,A. Abrines misses 3-pt shot from 24 ft,,31-36,,
9:24.0,,,31-36,,Defensive rebound by P. Gasol
9:11.0,,,31-36,,D. Green misses 2-pt shot from 2 ft
9:11.0,,,31-36,,Offensive rebound by P. Gasol
9:11.0,,,31-38,2,P. Gasol makes 2-pt shot at rim
9:11.0,Violation by J. Grant (def goaltending),,31-38,,
9:00.0,R. Felton makes 2-pt shot from 9 ft,2,33-38,,
8:49.0,Violation by P. Patterson (kicked ball),,33-38,,
8:49.0,R. Westbrook enters the game for T. Ferguson,,33-38,,
8:37.0,,,33-38,,D. Bertans misses 3-pt shot from 24 ft
8:31.0,,,33-38,,Offensive rebound by D. Green
8:22.0,,,33-38,,Shooting foul by R. Westbrook (drawn by P. Gasol)
8:22.0,,,33-38,,P. Gasol misses free throw 1 of 2
8:22.0,,,33-38,,Offensive rebound by Team
8:22.0,,,33-38,,K. Anderson enters the game for D. Green
8:22.0,,,33-38,,P. Mills enters the game for M. Ginobili
8:22.0,,,33-38,,P. Gasol misses free throw 2 of 2
8:19.0,Defensive rebound by J. Grant,,33-38,,
8:10.0,J. Grant misses 2-pt shot from 1 ft (block by P. Gasol),,33-38,,
8:06.0,,,33-38,,Defensive rebound by P. Gasol
7:57.0,,,33-38,,P. Mills misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by R. Westbrook,,33-38,,
7:48.0,R. Westbrook makes 2-pt shot from 1 ft,2,35-38,,
7:40.0,,,35-38,,San Antonio full timeout
7:40.0,,,35-38,,L. Aldridge enters the game for T. Parker
7:40.0,,,35-38,,D. Murray enters the game for D. Bertans
7:40.0,S. Adams enters the game for J. Grant,,35-38,,
7:35.0,,,35-40,2,K. Anderson makes 2-pt shot at rim (assist by L. Aldridge)
7:14.0,R. Westbrook misses 2-pt shot from 19 ft,,35-40,,
7:09.0,Offensive rebound by P. Patterson,,35-40,,
7:09.0,P. Patterson makes 2-pt shot at rim,2,37-40,,
6:50.0,,,37-42,2,L. Aldridge makes 2-pt shot from 15 ft
6:35.0,S. Adams misses 2-pt shot from 9 ft,,37-42,,
6:32.0,,,37-42,,Defensive rebound by P. Gasol
6:18.0,,,37-42,,P. Gasol misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by S. Adams,,37-42,,
6:07.0,S. Adams misses 2-pt shot at rim,,37-42,,
6:03.0,,,37-42,,Defensive rebound by D. Murray
6:01.0,,,37-45,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Murray)
5:59.0,Oklahoma City full timeout,,37-45,,
5:59.0,,,37-45,,R. Gay enters the game for P. Gasol
5:59.0,C. Anthony enters the game for R. Felton,,37-45,,
5:59.0,C. Brewer enters the game for A. Abrines,,37-45,,
5:59.0,P. George enters the game for P. Patterson,,37-45,,
5:43.0,S. Adams makes 2-pt shot at rim (assist by P. George),2,39-45,,
5:29.0,,,39-45,,Turnover by P. Mills (bad pass)
5:20.0,Turnover by R. Westbrook (bad pass; steal by D. Murray),,39-45,,
5:17.0,,,39-47,2,D. Murray makes 2-pt shot at rim
5:07.0,R. Westbrook misses 2-pt shot from 1 ft,,39-47,,
5:07.0,Offensive rebound by S. Adams,,39-47,,
5:03.0,S. Adams misses 2-pt shot from 2 ft,,39-47,,
4:59.0,,,39-47,,Defensive rebound by R. Gay
4:54.0,,,39-47,,Turnover by D. Murray (lost ball; steal by R. Westbrook)
4:53.0,Shooting foul by R. Gay (drawn by R. Westbrook),,39-47,,
4:53.0,R. Westbrook misses free throw 1 of 2,,39-47,,
4:53.0,Offensive rebound by Team,,39-47,,
4:53.0,R. Westbrook misses free throw 2 of 2,,39-47,,
4:51.0,,,39-47,,Defensive rebound by L. Aldridge
4:36.0,Personal foul by C. Brewer (drawn by R. Gay),,39-47,,
4:36.0,,,39-47,,San Antonio full timeout
4:26.0,,,39-49,2,R. Gay makes 2-pt shot from 13 ft (assist by L. Aldridge)
4:10.0,P. George makes 2-pt shot from 15 ft,2,41-49,,
3:53.0,,,41-49,,Turnover by L. Aldridge (bad pass; steal by P. George)
3:49.0,R. Westbrook makes 2-pt shot from 2 ft (assist by P. George),2,43-49,,
3:35.0,,,43-49,,P. Mills misses 2-pt shot from 21 ft
3:35.0,Defensive rebound by P. George,,43-49,,
3:27.0,P. George makes 2-pt shot from 2 ft,2,45-49,,
3:27.0,Shooting foul by R. Gay (drawn by P. George),,45-49,,
3:27.0,P. George makes free throw 1 of 1,1,46-49,,
