time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (D. DeRozan gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (D. DeRozan gains possession)
11:35.0,,,0-0,,J. Valanciunas misses 2-pt shot from 6 ft
11:33.0,Defensive rebound by J. Richardson,,0-0,,
11:19.0,T. Johnson misses 2-pt shot from 20 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by O. Anunoby
11:10.0,,,0-0,,K. Lowry misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by H. Whiteside,,0-0,,
10:59.0,H. Whiteside misses 2-pt shot from 7 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by J. Valanciunas
10:40.0,,,0-0,,Turnover by O. Anunoby (step out of bounds)
10:28.0,H. Whiteside misses 2-pt shot from 2 ft,,0-0,,
10:26.0,,,0-0,,Defensive rebound by J. Valanciunas
10:22.0,,,0-2,2,K. Lowry makes 2-pt shot from 1 ft
10:02.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,2-2,,
9:46.0,,,2-2,,D. DeRozan misses 2-pt shot from 22 ft
9:44.0,Defensive rebound by H. Whiteside,,2-2,,
9:37.0,G. Dragic misses 2-pt shot from 21 ft,,2-2,,
9:35.0,,,2-2,,Defensive rebound by J. Valanciunas
9:28.0,,,2-4,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
9:09.0,T. Johnson makes 2-pt shot from 7 ft,2,4-4,,
8:58.0,,,4-6,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
8:40.0,G. Dragic makes 2-pt shot from 12 ft,2,6-6,,
8:40.0,Shooting foul by O. Anunoby (drawn by G. Dragic),,6-6,,
8:40.0,G. Dragic makes free throw 1 of 1,1,7-6,,
8:21.0,,,7-9,3,O. Anunoby makes 3-pt shot from 24 ft (assist by K. Lowry)
8:03.0,Turnover by J. Winslow (lost ball; steal by K. Lowry),,7-9,,
7:57.0,,,7-12,3,O. Anunoby makes 3-pt shot from 25 ft (assist by K. Lowry)
7:44.0,G. Dragic misses 2-pt shot from 1 ft,,7-12,,
7:42.0,,,7-12,,Defensive rebound by J. Valanciunas
7:25.0,,,7-12,,D. DeRozan misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by H. Whiteside,,7-12,,
7:13.0,T. Johnson misses 2-pt shot from 10 ft,,7-12,,
7:11.0,,,7-12,,Defensive rebound by K. Lowry
7:03.0,,,7-12,,K. Lowry misses 3-pt shot from 28 ft
