time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Turner (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. M. Turner (T. Satoransky gains possession)
11:48.0,,,0-0,,O. Porter misses 2-pt shot from 17 ft
11:44.0,Defensive rebound by V. Oladipo,,0-0,,
11:29.0,V. Oladipo makes 2-pt shot from 20 ft,2,2-0,,
11:12.0,,,2-2,2,B. Beal makes 2-pt shot from 17 ft
10:54.0,M. Turner misses 2-pt shot from 3 ft,,2-2,,
10:52.0,Offensive rebound by M. Turner,,2-2,,
10:52.0,M. Turner misses 2-pt shot from 2 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by M. Gortat
10:34.0,,,2-2,,M. Gortat misses 2-pt shot from 9 ft
10:32.0,Defensive rebound by V. Oladipo,,2-2,,
10:25.0,M. Turner makes 3-pt shot from 27 ft (assist by V. Oladipo),3,5-2,,
10:12.0,,,5-2,,B. Beal misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by M. Turner,,5-2,,
10:01.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by C. Joseph),2,7-2,,
9:48.0,,,7-5,3,M. Morris makes 3-pt shot from 26 ft (assist by T. Satoransky)
9:42.0,,,7-5,,Personal block foul by B. Beal (drawn by V. Oladipo)
9:37.0,,,7-5,,Def 3 sec tech foul by M. Morris
9:37.0,B. Bogdanovic makes technical free throw,1,8-5,,
9:30.0,B. Bogdanovic misses 2-pt shot from 3 ft,,8-5,,
9:27.0,,,8-5,,Defensive rebound by O. Porter
9:17.0,,,8-5,,M. Gortat misses 2-pt shot from 9 ft
9:17.0,,,8-5,,Offensive rebound by Team
9:17.0,Loose ball foul by B. Bogdanovic (drawn by T. Satoransky),,8-5,,
9:09.0,,,8-5,,Turnover by B. Beal (bad pass; steal by T. Young)
9:02.0,C. Joseph makes 2-pt shot from 15 ft,2,10-5,,
8:38.0,,,10-5,,B. Beal misses 2-pt shot from 10 ft
8:36.0,Defensive rebound by M. Turner,,10-5,,
8:30.0,V. Oladipo makes 2-pt shot from 2 ft,2,12-5,,
8:30.0,,,12-5,,Washington full timeout
8:11.0,,,12-7,2,M. Morris makes 2-pt shot from 15 ft
7:58.0,C. Joseph misses 2-pt shot from 21 ft,,12-7,,
7:55.0,,,12-7,,Defensive rebound by B. Beal
7:44.0,,,12-7,,O. Porter misses 2-pt shot from 10 ft
7:41.0,,,12-7,,Offensive rebound by M. Gortat
7:41.0,,,12-9,2,M. Gortat makes 2-pt shot at rim
7:35.0,Shooting foul by O. Porter (drawn by V. Oladipo),,12-9,,
7:35.0,V. Oladipo makes free throw 1 of 2,1,13-9,,
7:35.0,V. Oladipo makes free throw 2 of 2,1,14-9,,
7:17.0,,,14-9,,O. Porter misses 3-pt shot from 23 ft
7:11.0,,,14-9,,Offensive rebound by M. Gortat
7:11.0,,,14-11,2,M. Gortat makes 2-pt shot at rim
7:01.0,V. Oladipo misses 2-pt shot from 15 ft,,14-11,,
7:00.0,,,14-11,,Defensive rebound by T. Satoransky
6:52.0,,,14-11,,M. Gortat misses 2-pt shot at rim
6:50.0,Defensive rebound by T. Young,,14-11,,
6:36.0,Turnover by T. Young (bad pass),,14-11,,
6:20.0,,,14-11,,M. Gortat misses 2-pt shot from 9 ft
6:18.0,,,14-11,,Offensive rebound by M. Gortat
6:17.0,,,14-11,,B. Beal misses 3-pt shot from 29 ft
6:15.0,Defensive rebound by B. Bogdanovic,,14-11,,
6:10.0,B. Bogdanovic makes 2-pt shot from 17 ft,2,16-11,,
5:54.0,,,16-13,2,M. Morris makes 2-pt shot from 17 ft (assist by B. Beal)
5:37.0,C. Joseph makes 2-pt shot from 1 ft,2,18-13,,
5:29.0,Violation by M. Turner (kicked ball),,18-13,,
5:15.0,,,18-16,2,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal)
4:54.0,M. Turner misses 2-pt shot from 14 ft,,18-16,,
4:50.0,,,18-16,,Defensive rebound by M. Morris
4:29.0,,,18-16,,O. Porter misses 2-pt shot from 15 ft
4:26.0,Defensive rebound by M. Turner,,18-16,,
4:21.0,V. Oladipo makes 2-pt shot from 2 ft,2,20-16,,
4:06.0,,,20-16,,T. Satoransky misses 2-pt shot from 10 ft
4:04.0,Defensive rebound by M. Turner,,20-16,,
4:02.0,,,20-16,,Personal foul by T. Satoransky (drawn by V. Oladipo)
4:02.0,,,20-16,,I. Mahinmi enters the game for O. Porter
4:02.0,,,20-16,,J. Meeks enters the game for M. Gortat
4:02.0,D. Sabonis enters the game for T. Young,,20-16,,
3:50.0,B. Bogdanovic misses 2-pt shot from 2 ft,,20-16,,
3:47.0,,,20-16,,Defensive rebound by I. Mahinmi
3:34.0,,,20-16,,B. Beal misses 2-pt shot from 15 ft
3:30.0,Defensive rebound by M. Turner,,20-16,,
3:20.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by M. Turner),3,23-16,,
2:55.0,,,23-16,,Turnover by I. Mahinmi (lost ball; steal by C. Joseph)
2:51.0,V. Oladipo makes 2-pt shot from 1 ft,2,25-16,,
2:42.0,,,25-16,,I. Mahinmi misses 2-pt shot from 1 ft
2:42.0,Defensive rebound by V. Oladipo,,25-16,,
2:37.0,,,25-16,,Personal block foul by T. Satoransky (drawn by B. Bogdanovic)
2:37.0,Indiana full timeout,,25-16,,
2:37.0,,,25-16,,M. Scott enters the game for M. Morris
2:37.0,,,25-16,,T. Frazier enters the game for T. Satoransky
2:37.0,T. Leaf enters the game for C. Joseph,,25-16,,
2:37.0,G. Robinson enters the game for M. Turner,,25-16,,
2:37.0,J. Young enters the game for B. Bogdanovic,,25-16,,
2:27.0,Turnover by D. Sabonis (bad pass; steal by B. Beal),,25-16,,
2:23.0,,,25-16,,B. Beal misses 2-pt shot from 2 ft
2:23.0,,,25-16,,Offensive rebound by Team
2:23.0,V. Oladipo makes technical free throw,1,26-16,,
2:23.0,L. Stephenson enters the game for V. Oladipo,,26-16,,
2:04.0,,,26-16,,M. Scott misses 2-pt shot from 8 ft
2:02.0,Defensive rebound by D. Sabonis,,26-16,,
1:55.0,L. Stephenson makes 2-pt shot from 20 ft (assist by D. Sabonis),2,28-16,,
1:43.0,Personal foul by G. Robinson (drawn by B. Beal),,28-16,,
1:27.0,,,28-18,2,B. Beal makes 2-pt shot from 14 ft
1:10.0,G. Robinson misses 2-pt shot from 10 ft,,28-18,,
1:08.0,,,28-18,,Defensive rebound by M. Scott
1:04.0,,,28-18,,B. Beal misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by T. Leaf,,28-18,,
0:53.0,T. Leaf misses 3-pt shot from 25 ft,,28-18,,
0:50.0,Offensive rebound by L. Stephenson,,28-18,,
0:41.0,D. Sabonis misses 2-pt shot from 20 ft,,28-18,,
0:38.0,,,28-18,,Defensive rebound by M. Scott
0:30.0,,,28-20,2,M. Scott makes 2-pt shot from 15 ft (assist by T. Frazier)
0:17.0,,,28-20,,Personal foul by T. Frazier (drawn by J. Young)
0:17.0,J. Young makes free throw 1 of 2,1,29-20,,
