time,Detroit,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: N. Vucevic vs. A. Drummond (B. Griffin gains possession)
11:46.0,Turnover by R. Bullock (bad pass),,0-0,,
11:35.0,,,0-2,2,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Fournier)
11:17.0,Turnover by B. Griffin (bad pass),,0-2,,
11:04.0,,,0-5,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
10:45.0,Turnover by B. Griffin (bad pass; steal by A. Gordon),,0-5,,
10:30.0,,,0-7,2,A. Gordon makes 2-pt shot from 12 ft
10:20.0,Offensive charge foul by I. Smith (drawn by D. Augustin),,0-7,,
10:20.0,Turnover by I. Smith (offensive foul),,0-7,,
10:01.0,,,0-9,2,J. Simmons makes 2-pt shot from 1 ft
9:54.0,Detroit full timeout,,0-9,,
9:45.0,B. Griffin misses 2-pt shot from 16 ft (block by A. Gordon),,0-9,,
9:41.0,,,0-9,,Defensive rebound by J. Simmons
9:39.0,,,0-9,,J. Simmons misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by B. Griffin,,0-9,,
9:31.0,,,0-9,,Personal foul by E. Fournier (drawn by R. Bullock)
9:24.0,R. Bullock misses 3-pt shot from 25 ft,,0-9,,
9:20.0,,,0-9,,Defensive rebound by A. Gordon
9:19.0,,,0-9,,Offensive charge foul by A. Gordon (drawn by B. Griffin)
9:19.0,,,0-9,,Turnover by A. Gordon (offensive foul)
9:07.0,I. Smith makes 2-pt shot from 19 ft,2,2-9,,
8:44.0,,,2-11,2,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic)
8:33.0,R. Bullock misses 3-pt shot from 25 ft,,2-11,,
8:30.0,,,2-11,,Defensive rebound by A. Gordon
8:27.0,,,2-11,,A. Gordon misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by A. Drummond,,2-11,,
8:15.0,J. Ennis makes 3-pt shot from 23 ft (assist by R. Bullock),3,5-11,,
8:00.0,,,5-13,2,E. Fournier makes 2-pt shot from 11 ft (assist by D. Augustin)
7:41.0,J. Ennis makes 3-pt shot from 24 ft (assist by B. Griffin),3,8-13,,
7:29.0,,,8-13,,N. Vucevic misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by A. Drummond,,8-13,,
7:25.0,Turnover by A. Drummond (lost ball; steal by A. Gordon),,8-13,,
7:18.0,,,8-13,,A. Gordon misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by B. Griffin,,8-13,,
7:15.0,I. Smith makes 2-pt shot from 17 ft,2,10-13,,
7:15.0,,,10-13,,Orlando full timeout
6:51.0,,,10-13,,D. Augustin misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by A. Drummond,,10-13,,
6:39.0,R. Bullock makes 2-pt shot at rim (assist by B. Griffin),2,12-13,,
6:19.0,,,12-13,,Shooting foul by B. Griffin (drawn by A. Gordon)
6:19.0,,,12-14,1,A. Gordon makes free throw 1 of 3
6:19.0,,,12-14,,A. Gordon misses free throw 2 of 3
6:19.0,,,12-14,,Offensive rebound by Team
6:19.0,,,12-15,1,A. Gordon makes free throw 3 of 3
6:10.0,,,12-15,,Personal foul by E. Fournier (drawn by J. Ennis)
6:10.0,,,12-15,,M. Hezonja enters the game for E. Fournier
6:02.0,B. Griffin misses 2-pt shot from 15 ft,,12-15,,
5:58.0,,,12-15,,Defensive rebound by D. Augustin
5:49.0,,,12-17,2,D. Augustin makes 2-pt shot from 21 ft (assist by J. Simmons)
5:25.0,B. Griffin makes 2-pt shot from 7 ft,2,14-17,,
5:07.0,,,14-17,,N. Vucevic misses 2-pt shot from 16 ft
5:04.0,Defensive rebound by J. Ennis,,14-17,,
4:58.0,I. Smith misses 2-pt shot from 6 ft,,14-17,,
4:56.0,,,14-17,,Defensive rebound by N. Vucevic
4:50.0,,,14-19,2,A. Gordon makes 2-pt shot from 2 ft (assist by D. Augustin)
4:50.0,,,14-19,,Shooting foul by J. Ennis (drawn by A. Gordon)
4:50.0,,,14-20,1,A. Gordon makes free throw 1 of 1
4:33.0,B. Griffin makes 2-pt shot from 7 ft,2,16-20,,
4:20.0,,,16-23,3,A. Gordon makes 3-pt shot from 27 ft (assist by N. Vucevic)
4:05.0,J. Ennis makes 2-pt shot from 1 ft (assist by B. Griffin),2,18-23,,
3:50.0,,,18-23,,A. Gordon misses 2-pt shot from 16 ft
3:48.0,Defensive rebound by A. Drummond,,18-23,,
3:41.0,I. Smith misses 3-pt shot from 25 ft,,18-23,,
3:38.0,,,18-23,,Defensive rebound by D. Augustin
3:30.0,,,18-25,2,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin)
3:09.0,,,18-25,,Personal foul by A. Gordon (drawn by B. Griffin)
3:09.0,S. Johnson enters the game for I. Smith,,18-25,,
3:09.0,D. Buycks enters the game for B. Griffin,,18-25,,
3:09.0,A. Tolliver enters the game for J. Ennis,,18-25,,
3:09.0,Technical foul by B. Griffin,,18-25,,
3:09.0,,,18-26,1,D. Augustin makes technical free throw
3:09.0,,,18-26,,J. Isaac enters the game for A. Gordon
2:56.0,R. Bullock misses 2-pt shot from 15 ft,,18-26,,
2:56.0,Offensive rebound by R. Bullock,,18-26,,
2:56.0,Shooting foul by J. Isaac (drawn by R. Bullock),,18-26,,
2:56.0,R. Bullock misses free throw 1 of 2,,18-26,,
2:56.0,Offensive rebound by Team,,18-26,,
2:56.0,R. Bullock makes free throw 2 of 2,1,19-26,,
2:45.0,,,19-26,,Turnover by J. Simmons (bad pass; steal by A. Tolliver)
2:33.0,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver),2,21-26,,
2:19.0,,,21-26,,N. Vucevic misses 2-pt shot from 11 ft
2:19.0,Defensive rebound by A. Drummond,,21-26,,
2:13.0,S. Johnson makes 2-pt shot from 17 ft,2,23-26,,
1:58.0,,,23-28,2,D. Augustin makes 2-pt shot from 1 ft
1:43.0,D. Buycks makes 2-pt shot from 1 ft,2,25-28,,
1:32.0,Personal block foul by A. Tolliver (drawn by D. Augustin),,25-28,,
1:32.0,,,25-28,,B. Biyombo enters the game for N. Vucevic
1:32.0,,,25-28,,S. Mack enters the game for J. Simmons
1:32.0,L. Galloway enters the game for R. Bullock,,25-28,,
1:23.0,,,25-31,3,D. Augustin makes 3-pt shot from 28 ft (assist by M. Hezonja)
1:02.0,Turnover by S. Johnson (bad pass; steal by J. Isaac),,25-31,,
0:57.0,,,25-31,,J. Isaac misses 2-pt shot from 16 ft
0:57.0,Defensive rebound by Team,,25-31,,
0:57.0,,,25-31,,Loose ball foul by M. Hezonja (drawn by S. Johnson)
0:57.0,S. Johnson makes free throw 1 of 2,1,26-31,,
0:57.0,S. Johnson makes free throw 2 of 2,1,27-31,,
0:36.0,,,27-31,,Turnover by D. Augustin (lost ball; steal by S. Johnson)
0:31.0,S. Johnson misses 2-pt shot at rim,,27-31,,
0:24.0,Offensive rebound by A. Tolliver,,27-31,,
0:24.0,A. Tolliver makes 2-pt shot at rim,2,29-31,,
0:12.0,,,29-31,,B. Biyombo misses 2-pt shot from 15 ft
0:12.0,,,29-31,,Offensive rebound by D. Augustin
0:00.0,,,29-31,,S. Mack misses 3-pt shot from 22 ft
0:00.0,,,29-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
