time,Toronto,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Valanciunas (D. Cousins gains possession),,,,Jump ball: A. Davis vs. J. Valanciunas (D. Cousins gains possession)
11:39.0,,,0-0,,D. Cousins misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by S. Ibaka,,0-0,,
11:31.0,Shooting foul by R. Rondo (drawn by K. Lowry),,0-0,,
11:31.0,K. Lowry makes free throw 1 of 3,1,1-0,,
11:31.0,K. Lowry makes free throw 2 of 3,1,2-0,,
11:31.0,K. Lowry makes free throw 3 of 3,1,3-0,,
11:11.0,,,3-0,,D. Cousins misses 2-pt shot from 8 ft (block by J. Valanciunas)
11:07.0,Defensive rebound by K. Lowry,,3-0,,
11:01.0,Turnover by K. Lowry (bad pass),,3-0,,
10:43.0,,,3-0,,J. Holiday misses 2-pt shot from 22 ft
10:39.0,Defensive rebound by S. Ibaka,,3-0,,
10:33.0,Turnover by K. Lowry (bad pass; steal by A. Davis),,3-0,,
10:23.0,,,3-0,,D. Cousins misses 2-pt shot at rim
10:22.0,,,3-0,,Offensive rebound by D. Cousins
10:22.0,,,3-2,2,D. Cousins makes 2-pt shot at rim
10:22.0,,,3-2,,Shooting foul by S. Ibaka (drawn by D. Cousins)
10:22.0,,,3-3,1,D. Cousins makes free throw 1 of 1
10:05.0,Turnover by J. Valanciunas (lost ball; steal by D. Cousins),,3-3,,
9:59.0,,,3-5,2,D. Cunningham makes 2-pt shot from 2 ft (assist by A. Davis)
9:42.0,Turnover by D. DeRozan (bad pass; steal by D. Cunningham),,3-5,,
9:30.0,,,3-7,2,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cunningham)
9:09.0,J. Valanciunas makes 2-pt shot from 2 ft,2,5-7,,
9:09.0,Shooting foul by D. Cousins (drawn by J. Valanciunas),,5-7,,
9:09.0,J. Valanciunas makes free throw 1 of 1,1,6-7,,
8:59.0,,,6-7,,J. Holiday misses 2-pt shot at rim
8:53.0,,,6-7,,Offensive rebound by A. Davis
8:53.0,,,6-9,2,A. Davis makes 2-pt shot at rim
8:47.0,K. Lowry misses 3-pt shot from 25 ft,,6-9,,
8:43.0,,,6-9,,Defensive rebound by R. Rondo
8:43.0,,,6-11,2,R. Rondo makes 2-pt shot from 1 ft
8:37.0,Violation by S. Ibaka (def goaltending),,6-11,,
8:21.0,Turnover by D. DeRozan (lost ball; steal by J. Holiday),,6-11,,
8:21.0,,,6-13,2,D. Cunningham makes 2-pt shot at rim (assist by R. Rondo)
8:21.0,,,6-13,,Shooting foul by O. Anunoby (drawn by D. Cunningham)
8:21.0,Toronto full timeout,,6-13,,
8:21.0,,,6-14,1,D. Cunningham makes free throw 1 of 1
8:07.0,O. Anunoby misses 3-pt shot from 25 ft,,6-14,,
8:03.0,,,6-14,,Defensive rebound by D. Cousins
7:52.0,,,6-14,,D. Cousins misses 2-pt shot from 1 ft
7:48.0,,,6-14,,Offensive rebound by D. Cousins
7:35.0,,,6-14,,D. Cousins misses 2-pt shot from 2 ft
7:34.0,Defensive rebound by K. Lowry,,6-14,,
7:34.0,,,6-14,,Loose ball foul by D. Cousins (drawn by K. Lowry)
7:22.0,J. Valanciunas misses 2-pt shot from 10 ft (block by A. Davis),,6-14,,
7:16.0,,,6-14,,Defensive rebound by D. Cunningham
7:14.0,,,6-14,,R. Rondo misses 2-pt shot from 1 ft
7:06.0,,,6-14,,Offensive rebound by J. Holiday
7:06.0,,,6-16,2,J. Holiday makes 2-pt shot at rim
6:52.0,D. DeRozan makes 3-pt shot from 23 ft (assist by K. Lowry),3,9-16,,
6:34.0,,,9-16,,Turnover by R. Rondo (bad pass; steal by O. Anunoby)
6:26.0,O. Anunoby makes 2-pt shot at rim (assist by K. Lowry),2,11-16,,
6:11.0,,,11-18,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
6:04.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan),3,14-18,,
5:42.0,Personal foul by S. Ibaka (drawn by A. Davis),,14-18,,
5:42.0,,,14-18,,D. Miller enters the game for D. Cousins
5:42.0,J. Poeltl enters the game for O. Anunoby,,14-18,,
5:42.0,C. Miles enters the game for S. Ibaka,,14-18,,
5:42.0,P. Siakam enters the game for J. Valanciunas,,14-18,,
5:27.0,,,14-21,3,D. Cunningham makes 3-pt shot from 23 ft (assist by R. Rondo)
5:21.0,Turnover by K. Lowry (lost ball; steal by J. Holiday),,14-21,,
5:17.0,,,14-21,,Shooting foul by K. Lowry (drawn by D. Miller)
5:17.0,,,14-22,1,D. Miller makes free throw 1 of 2
5:17.0,,,14-22,,J. Nelson enters the game for R. Rondo
5:17.0,,,14-23,1,D. Miller makes free throw 2 of 2
5:04.0,K. Lowry misses 3-pt shot from 26 ft,,14-23,,
5:00.0,,,14-23,,Defensive rebound by J. Nelson
4:58.0,,,14-25,2,A. Davis makes 2-pt shot at rim (assist by J. Nelson)
4:40.0,D. DeRozan misses 3-pt shot from 26 ft,,14-25,,
4:36.0,,,14-25,,Defensive rebound by A. Davis
4:28.0,,,14-25,,D. Miller misses 2-pt shot from 16 ft
4:24.0,Defensive rebound by D. DeRozan,,14-25,,
4:15.0,D. DeRozan makes 2-pt shot from 7 ft,2,16-25,,
4:03.0,,,16-27,2,J. Holiday makes 2-pt shot from 6 ft
3:46.0,D. DeRozan misses 2-pt shot from 12 ft,,16-27,,
3:45.0,Offensive rebound by J. Poeltl,,16-27,,
3:45.0,,,16-27,,Personal foul by D. Cunningham (drawn by J. Poeltl)
3:45.0,D. Wright enters the game for K. Lowry,,16-27,,
3:35.0,C. Miles misses 2-pt shot from 6 ft,,16-27,,
3:30.0,,,16-27,,Defensive rebound by J. Holiday
3:25.0,,,16-27,,Offensive charge foul by A. Davis (drawn by D. Wright)
3:25.0,,,16-27,,Turnover by A. Davis (offensive foul)
3:20.0,Offensive foul by P. Siakam (drawn by D. Miller),,16-27,,
3:20.0,Turnover by P. Siakam (offensive foul),,16-27,,
3:10.0,,,16-30,3,A. Davis makes 3-pt shot from 25 ft (assist by J. Nelson)
2:53.0,C. Miles makes 3-pt shot from 26 ft (assist by D. DeRozan),3,19-30,,
2:36.0,,,19-30,,A. Davis misses 2-pt shot from 21 ft
2:32.0,Defensive rebound by D. DeRozan,,19-30,,
2:30.0,D. DeRozan makes 2-pt shot from 12 ft,2,21-30,,
2:30.0,Shooting foul by A. Davis (drawn by D. DeRozan),,21-30,,
2:30.0,,,21-30,,New Orleans full timeout
2:30.0,,,21-30,,E. Moore enters the game for J. Holiday
2:30.0,D. DeRozan makes free throw 1 of 1,1,22-30,,
2:06.0,,,22-32,2,A. Davis makes 2-pt shot at rim (assist by J. Nelson)
1:46.0,C. Miles makes 3-pt shot from 24 ft (assist by D. DeRozan),3,25-32,,
1:30.0,,,25-32,,Turnover by J. Nelson (bad pass; steal by D. DeRozan)
1:24.0,D. DeRozan makes 2-pt shot at rim,2,27-32,,
1:04.0,,,27-34,2,A. Davis makes 2-pt shot from 21 ft
0:53.0,C. Miles misses 3-pt shot from 25 ft,,27-34,,
0:48.0,,,27-34,,Defensive rebound by E. Moore
0:38.0,,,27-34,,Turnover by D. Miller (step out of bounds)
0:38.0,F. VanVleet enters the game for D. DeRozan,,27-34,,
0:38.0,L. Nogueira enters the game for J. Poeltl,,27-34,,
0:29.0,C. Miles misses 3-pt shot from 25 ft,,27-34,,
0:27.0,Offensive rebound by C. Miles,,27-34,,
0:27.0,C. Miles makes 2-pt shot at rim,2,29-34,,
0:16.0,,,29-34,,D. Cunningham misses 3-pt shot from 22 ft
0:11.0,Defensive rebound by C. Miles,,29-34,,
0:00.0,C. Miles misses 3-pt shot from 24 ft,,29-34,,
0:00.0,Offensive rebound by Team,,29-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. Miles makes 3-pt shot from 24 ft (assist by D. Wright),3,32-34,,
11:30.0,,,32-36,2,C. Diallo makes 2-pt shot from 18 ft (assist by D. Cousins)
11:14.0,Turnover by D. Wright (bad pass; steal by D. Miller),,32-36,,
11:14.0,Personal foul by D. Wright (drawn by J. Nelson),,32-36,,
10:54.0,,,32-36,,Turnover by D. Cousins (lost ball; steal by D. Wright)
10:49.0,P. Siakam makes 2-pt shot from 1 ft (assist by D. Wright),2,34-36,,
10:36.0,,,34-38,2,C. Diallo makes 2-pt shot from 3 ft (assist by J. Nelson)
10:23.0,P. Siakam misses 3-pt shot from 23 ft,,34-38,,
10:19.0,,,34-38,,Defensive rebound by D. Cousins
10:07.0,,,34-40,2,J. Nelson makes 2-pt shot from 11 ft
9:44.0,P. Siakam makes 2-pt shot from 6 ft (assist by F. VanVleet),2,36-40,,
9:36.0,Personal foul by F. VanVleet (drawn by D. Cousins),,36-40,,
9:36.0,J. Valanciunas enters the game for L. Nogueira,,36-40,,
9:24.0,,,36-40,,Turnover by E. Moore (bad pass; steal by D. Wright)
9:19.0,P. Siakam makes 2-pt shot from 2 ft (assist by D. Wright),2,38-40,,
8:55.0,,,38-42,2,C. Diallo makes 2-pt shot at rim (assist by D. Cousins)
8:38.0,Turnover by J. Valanciunas (lost ball; steal by D. Cousins),,38-42,,
8:31.0,,,38-42,,E. Moore misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by J. Valanciunas,,38-42,,
8:14.0,P. Siakam makes 2-pt shot from 1 ft,2,40-42,,
8:02.0,,,40-42,,Turnover by E. Moore (bad pass; steal by D. Wright)
7:51.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright),3,43-42,,
7:31.0,,,43-42,,Turnover by D. Cousins (traveling)
7:31.0,,,43-42,,R. Rondo enters the game for J. Nelson
7:17.0,P. Siakam makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,45-42,,
7:04.0,,,45-42,,D. Cousins misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by D. Wright,,45-42,,
6:57.0,Turnover by C. Miles (traveling),,45-42,,
6:57.0,,,45-42,,New Orleans full timeout
6:57.0,,,45-42,,A. Davis enters the game for C. Diallo
6:57.0,,,45-42,,J. Holiday enters the game for D. Miller
6:57.0,K. Lowry enters the game for C. Miles,,45-42,,
6:37.0,,,45-44,2,J. Holiday makes 2-pt shot from 2 ft
6:15.0,Turnover by D. Wright (bad pass; steal by D. Cousins),,45-44,,
6:09.0,,,45-46,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo)
6:02.0,P. Siakam misses 3-pt shot from 23 ft,,45-46,,
5:57.0,,,45-46,,Defensive rebound by D. Cousins
5:51.0,,,45-46,,D. Cousins misses 2-pt shot from 6 ft
5:51.0,,,45-46,,Offensive rebound by D. Cousins
5:51.0,,,45-46,,Shooting foul by J. Valanciunas (drawn by D. Cousins)
5:51.0,,,45-47,1,D. Cousins makes free throw 1 of 2
5:51.0,,,45-47,,D. Cunningham enters the game for E. Moore
5:51.0,D. DeRozan enters the game for P. Siakam,,45-47,,
5:51.0,S. Ibaka enters the game for D. Wright,,45-47,,
5:51.0,,,45-48,1,D. Cousins makes free throw 2 of 2
5:36.0,D. DeRozan makes 2-pt shot from 14 ft,2,47-48,,
5:22.0,,,47-50,2,J. Holiday makes 2-pt shot from 7 ft
5:12.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,50-50,,
4:54.0,,,50-52,2,A. Davis makes 2-pt shot from 16 ft
4:40.0,Shooting foul by D. Cousins (drawn by J. Valanciunas),,50-52,,
4:40.0,J. Valanciunas makes free throw 1 of 2,1,51-52,,
4:40.0,,,51-52,,E. Moore enters the game for D. Cousins
4:40.0,O. Anunoby enters the game for F. VanVleet,,51-52,,
4:40.0,J. Valanciunas makes free throw 2 of 2,1,52-52,,
4:31.0,Personal foul by K. Lowry (drawn by A. Davis),,52-52,,
4:22.0,,,52-54,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
4:03.0,Shooting foul by A. Davis (drawn by J. Valanciunas),,52-54,,
4:03.0,J. Valanciunas makes free throw 1 of 2,1,53-54,,
4:03.0,,,53-54,,C. Diallo enters the game for A. Davis
4:03.0,J. Valanciunas makes free throw 2 of 2,1,54-54,,
3:58.0,,,54-56,2,J. Holiday makes 2-pt shot at rim (assist by R. Rondo)
3:44.0,Shooting foul by C. Diallo (drawn by J. Valanciunas),,54-56,,
3:44.0,J. Valanciunas makes free throw 1 of 2,1,55-56,,
3:44.0,J. Valanciunas makes free throw 2 of 2,1,56-56,,
3:32.0,,,56-56,,J. Holiday misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by D. DeRozan,,56-56,,
3:23.0,J. Valanciunas makes 2-pt shot from 17 ft (assist by D. DeRozan),2,58-56,,
3:03.0,,,58-56,,J. Holiday misses 2-pt shot from 2 ft
3:00.0,Defensive rebound by S. Ibaka,,58-56,,
3:00.0,Turnover by S. Ibaka (turnover),,58-56,,
2:54.0,,,58-58,2,C. Diallo makes 2-pt shot from 1 ft (assist by J. Holiday)
2:47.0,Toronto full timeout,,58-58,,
2:36.0,J. Valanciunas misses 2-pt shot from 1 ft,,58-58,,
2:33.0,,,58-58,,Defensive rebound by C. Diallo
2:13.0,,,58-58,,D. Cunningham misses 3-pt shot from 22 ft
2:07.0,Defensive rebound by J. Valanciunas,,58-58,,
2:03.0,K. Lowry misses 3-pt shot from 24 ft,,58-58,,
1:57.0,,,58-58,,Defensive rebound by C. Diallo
1:54.0,,,58-61,3,E. Moore makes 3-pt shot from 25 ft (assist by R. Rondo)
1:42.0,Turnover by O. Anunoby (lost ball; steal by R. Rondo),,58-61,,
1:31.0,,,58-61,,J. Holiday misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by D. DeRozan,,58-61,,
1:17.0,Turnover by J. Valanciunas (traveling),,58-61,,
1:17.0,A. McKinnie enters the game for O. Anunoby,,58-61,,
1:03.0,,,58-61,,E. Moore misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by K. Lowry,,58-61,,
0:49.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry),3,61-61,,
0:39.0,,,61-63,2,J. Holiday makes 2-pt shot from 5 ft (assist by R. Rondo)
0:33.0,K. Lowry makes 3-pt shot from 25 ft,3,64-63,,
0:13.0,,,64-63,,C. Diallo misses 2-pt shot from 6 ft
0:09.0,,,64-63,,Offensive rebound by R. Rondo
0:00.0,,,64-63,,R. Rondo misses 2-pt shot from 7 ft
0:00.0,,,64-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,66-63,,
11:33.0,,,66-63,,A. Davis misses 2-pt shot from 8 ft
11:29.0,Defensive rebound by K. Lowry,,66-63,,
11:19.0,S. Ibaka misses 3-pt shot from 25 ft,,66-63,,
11:15.0,,,66-63,,Defensive rebound by A. Davis
11:03.0,,,66-65,2,D. Cousins makes 2-pt shot from 2 ft
10:39.0,J. Valanciunas makes 2-pt shot from 18 ft,2,68-65,,
10:24.0,Personal foul by O. Anunoby (drawn by A. Davis),,68-65,,
10:20.0,,,68-67,2,J. Holiday makes 2-pt shot at rim (assist by D. Cousins)
9:56.0,D. DeRozan makes 2-pt shot from 19 ft,2,70-67,,
9:41.0,,,70-70,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
9:26.0,O. Anunoby makes 3-pt shot from 23 ft (assist by K. Lowry),3,73-70,,
9:11.0,,,73-73,3,D. Cousins makes 3-pt shot from 26 ft (assist by E. Moore)
8:58.0,Turnover by J. Valanciunas (lost ball; steal by D. Cousins),,73-73,,
8:46.0,,,73-73,,Offensive charge foul by D. Cousins (drawn by K. Lowry)
