time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Valanciunas (A. Horford gains possession),,,,Jump ball: A. Baynes vs. J. Valanciunas (A. Horford gains possession)
11:46.0,,,0-0,,J. Brown misses 2-pt shot from 2 ft
11:45.0,,,0-0,,Offensive rebound by A. Baynes
11:44.0,,,0-0,,A. Baynes misses 2-pt shot from 7 ft
11:42.0,Defensive rebound by D. DeRozan,,0-0,,
11:28.0,S. Ibaka misses 2-pt shot from 16 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Tatum
11:23.0,,,0-0,,J. Tatum misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by J. Valanciunas,,0-0,,
11:01.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,2-0,,
10:50.0,Personal foul by K. Lowry (drawn by T. Rozier),,2-0,,
10:40.0,,,2-2,2,A. Baynes makes 2-pt shot from 18 ft (assist by J. Tatum)
10:21.0,K. Lowry makes 3-pt shot from 30 ft (assist by D. DeRozan),3,5-2,,
10:14.0,,,5-2,,Personal foul by T. Rozier (drawn by K. Lowry)
10:14.0,,,5-2,,Turnover by T. Rozier (turnover)
10:00.0,,,5-2,,Personal foul by A. Baynes (drawn by J. Valanciunas)
9:57.0,J. Valanciunas misses 3-pt shot from 27 ft,,5-2,,
9:54.0,,,5-2,,Defensive rebound by T. Rozier
9:49.0,,,5-5,3,T. Rozier makes 3-pt shot from 25 ft
9:39.0,K. Lowry makes 2-pt shot from 4 ft,2,7-5,,
9:27.0,Personal foul by O. Anunoby (drawn by J. Tatum),,7-5,,
9:13.0,,,7-7,2,A. Baynes makes 2-pt shot from 17 ft (assist by T. Rozier)
8:56.0,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan),2,9-7,,
8:44.0,,,9-9,2,A. Baynes makes 2-pt shot from 13 ft (assist by T. Rozier)
8:22.0,Offensive charge foul by S. Ibaka (drawn by A. Baynes),,9-9,,
8:22.0,Turnover by S. Ibaka (offensive foul),,9-9,,
8:06.0,,,9-9,,J. Tatum misses 2-pt shot from 16 ft
8:03.0,Defensive rebound by S. Ibaka,,9-9,,
8:01.0,,,9-9,,Violation by T. Rozier (kicked ball)
7:52.0,D. DeRozan makes 2-pt shot from 17 ft,2,11-9,,
7:27.0,,,11-11,2,A. Horford makes 2-pt shot from 4 ft (assist by J. Tatum)
7:25.0,Turnover by K. Lowry (out of bounds lost ball),,11-11,,
7:14.0,,,11-13,2,J. Tatum makes 2-pt shot from 13 ft
6:56.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan),3,14-13,,
6:44.0,,,14-13,,J. Brown misses 2-pt shot from 15 ft
6:40.0,Defensive rebound by J. Valanciunas,,14-13,,
6:34.0,D. DeRozan misses 3-pt shot from 23 ft,,14-13,,
6:33.0,J. Valanciunas misses 2-pt shot from 1 ft,,14-13,,
6:33.0,Offensive rebound by J. Valanciunas,,14-13,,
6:32.0,Offensive rebound by J. Valanciunas,,14-13,,
6:32.0,J. Valanciunas makes 2-pt shot from 1 ft,2,16-13,,
6:28.0,,,16-13,,Boston full timeout
6:28.0,,,16-13,,M. Morris enters the game for A. Horford
6:11.0,,,16-13,,A. Baynes misses 2-pt shot from 4 ft
6:08.0,Defensive rebound by O. Anunoby,,16-13,,
5:57.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by S. Ibaka),2,18-13,,
5:35.0,,,18-16,3,A. Baynes makes 3-pt shot from 22 ft (assist by J. Tatum)
5:18.0,O. Anunoby makes 3-pt shot from 23 ft (assist by D. DeRozan),3,21-16,,
4:59.0,,,21-16,,M. Morris misses 2-pt shot from 20 ft
4:58.0,Defensive rebound by J. Valanciunas,,21-16,,
4:41.0,J. Valanciunas misses 2-pt shot from 6 ft,,21-16,,
4:39.0,,,21-16,,Defensive rebound by M. Morris
4:31.0,,,21-19,3,A. Baynes makes 3-pt shot from 24 ft (assist by T. Rozier)
4:09.0,S. Ibaka makes 3-pt shot from 27 ft (assist by K. Lowry),3,24-19,,
3:57.0,,,24-21,2,J. Brown makes 2-pt shot at rim (assist by A. Baynes)
3:37.0,K. Lowry misses 3-pt shot from 27 ft,,24-21,,
3:34.0,,,24-21,,Defensive rebound by J. Brown
3:19.0,,,24-21,,Shooting foul by O. Anunoby (drawn by M. Morris)
3:19.0,,,24-22,1,M. Morris makes free throw 1 of 2
3:19.0,J. Poeltl enters the game for O. Anunoby,,24-22,,
3:19.0,C. Miles enters the game for J. Valanciunas,,24-22,,
3:19.0,,,24-22,,M. Morris misses free throw 2 of 2
3:19.0,,,24-22,,S. Ojeleye enters the game for J. Tatum
3:18.0,Defensive rebound by C. Miles,,24-22,,
3:14.0,Toronto full timeout,,24-22,,
3:02.0,K. Lowry misses 3-pt shot from 26 ft,,24-22,,
3:00.0,,,24-22,,Defensive rebound by M. Morris
2:48.0,,,24-24,2,T. Rozier makes 2-pt shot from 1 ft
2:35.0,D. DeRozan makes 2-pt shot from 15 ft,2,26-24,,
2:16.0,,,26-24,,A. Baynes misses 2-pt shot from 16 ft
2:13.0,Defensive rebound by D. DeRozan,,26-24,,
2:04.0,D. DeRozan misses 3-pt shot from 26 ft,,26-24,,
2:01.0,,,26-24,,Defensive rebound by S. Ojeleye
1:43.0,,,26-27,3,T. Rozier makes 3-pt shot from 24 ft
1:29.0,S. Ibaka makes 2-pt shot from 3 ft (assist by K. Lowry),2,28-27,,
1:12.0,,,28-29,2,T. Rozier makes 2-pt shot from 1 ft (assist by A. Baynes)
1:00.0,D. DeRozan makes 2-pt shot from 18 ft,2,30-29,,
0:41.0,,,30-29,,M. Morris misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by D. DeRozan,,30-29,,
0:34.0,C. Miles misses 3-pt shot from 27 ft,,30-29,,
0:31.0,,,30-29,,Defensive rebound by J. Brown
0:25.0,,,30-29,,J. Brown misses 2-pt shot from 2 ft
0:25.0,,,30-29,,Offensive rebound by Team
0:25.0,Personal foul by D. DeRozan (drawn by M. Morris),,30-29,,
0:25.0,,,30-29,,K. Allen enters the game for J. Brown
0:25.0,,,30-29,,G. Monroe enters the game for A. Baynes
0:25.0,,,30-29,,A. Horford enters the game for S. Ojeleye
0:25.0,D. Wright enters the game for K. Lowry,,30-29,,
0:25.0,P. Siakam enters the game for S. Ibaka,,30-29,,
0:25.0,F. VanVleet enters the game for D. DeRozan,,30-29,,
0:13.0,,,30-29,,T. Rozier misses 2-pt shot at rim
0:12.0,,,30-29,,Offensive rebound by G. Monroe
0:12.0,,,30-31,2,G. Monroe makes 2-pt shot at rim
0:01.0,F. VanVleet makes 3-pt shot from 26 ft (assist by C. Miles),3,33-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,C. Miles misses 3-pt shot from 26 ft,,33-31,,
11:45.0,,,33-31,,Defensive rebound by G. Monroe
11:29.0,,,33-33,2,M. Morris makes 2-pt shot at rim (assist by S. Ojeleye)
11:04.0,F. VanVleet makes 3-pt shot from 27 ft (assist by D. Wright),3,36-33,,
10:44.0,,,36-33,,G. Monroe misses 2-pt shot from 4 ft
10:43.0,,,36-33,,Offensive rebound by A. Horford
10:42.0,Personal foul by C. Miles (drawn by A. Horford),,36-33,,
10:32.0,,,36-33,,A. Horford misses 2-pt shot from 5 ft (block by P. Siakam)
10:32.0,Defensive rebound by J. Poeltl,,36-33,,
10:32.0,,,36-33,,Personal foul by A. Horford (drawn by J. Poeltl)
10:08.0,P. Siakam misses 3-pt shot from 25 ft,,36-33,,
10:05.0,,,36-33,,Defensive rebound by M. Morris
10:00.0,,,36-33,,M. Morris misses 2-pt shot from 17 ft
9:57.0,Defensive rebound by F. VanVleet,,36-33,,
9:51.0,Turnover by F. VanVleet (bad pass),,36-33,,
9:39.0,,,36-35,2,A. Horford makes 2-pt shot from 2 ft
9:16.0,F. VanVleet misses 3-pt shot from 25 ft,,36-35,,
9:13.0,,,36-35,,Defensive rebound by G. Monroe
9:04.0,,,36-35,,G. Monroe misses 2-pt shot from 4 ft
9:00.0,Defensive rebound by D. Wright,,36-35,,
8:52.0,D. Wright makes 2-pt shot from 2 ft,2,38-35,,
8:30.0,,,38-37,2,A. Horford makes 2-pt shot from 15 ft (assist by K. Allen)
8:14.0,Turnover by D. Wright (bad pass; steal by G. Monroe),,38-37,,
8:00.0,,,38-37,,Shooting foul by C. Miles (drawn by M. Morris)
8:00.0,,,38-38,1,M. Morris makes free throw 1 of 2
8:00.0,,,38-39,1,M. Morris makes free throw 2 of 2
7:51.0,,,38-39,,Personal foul by M. Morris (drawn by C. Miles)
7:44.0,F. VanVleet misses 3-pt shot from 25 ft,,38-39,,
7:41.0,,,38-39,,Defensive rebound by G. Monroe
7:21.0,,,38-41,2,G. Monroe makes 2-pt shot from 4 ft
7:11.0,F. VanVleet makes 2-pt shot from 2 ft,2,40-41,,
7:11.0,Shooting foul by K. Allen (drawn by F. VanVleet),,40-41,,
7:11.0,F. VanVleet makes free throw 1 of 1,1,41-41,,
6:52.0,,,41-41,,M. Morris misses 2-pt shot from 17 ft
6:48.0,Defensive rebound by J. Poeltl,,41-41,,
6:40.0,Turnover by C. Miles (bad pass; steal by G. Monroe),,41-41,,
6:34.0,,,41-41,,S. Ojeleye misses 2-pt shot from 3 ft
6:32.0,,,41-41,,Offensive rebound by S. Ojeleye
6:31.0,,,41-41,,Turnover by S. Ojeleye (lost ball; steal by D. Wright)
6:31.0,D. Wright misses 2-pt shot from 1 ft,,41-41,,
6:31.0,,,41-41,,Defensive rebound by M. Morris
6:14.0,,,41-41,,Boston full timeout
6:14.0,,,41-41,,J. Tatum enters the game for S. Ojeleye
6:14.0,D. DeRozan enters the game for C. Miles,,41-41,,
6:14.0,K. Lowry enters the game for J. Poeltl,,41-41,,
6:14.0,S. Ibaka enters the game for P. Siakam,,41-41,,
6:14.0,J. Valanciunas enters the game for D. Wright,,41-41,,
6:12.0,,,41-41,,Offensive foul by K. Allen (drawn by J. Valanciunas)
6:12.0,,,41-41,,Turnover by K. Allen (offensive foul)
5:58.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,43-41,,
5:31.0,,,43-41,,G. Monroe misses 2-pt shot from 5 ft
5:31.0,,,43-41,,Offensive rebound by Team
5:31.0,,,43-41,,Turnover by Team (shot clock)
5:19.0,D. DeRozan misses 2-pt shot from 8 ft,,43-41,,
5:19.0,,,43-41,,Defensive rebound by M. Morris
5:09.0,,,43-43,2,J. Tatum makes 2-pt shot from 10 ft (assist by M. Morris)
4:56.0,F. VanVleet misses 2-pt shot from 3 ft,,43-43,,
4:56.0,Offensive rebound by J. Valanciunas,,43-43,,
4:55.0,,,43-43,,Personal foul by K. Allen (drawn by J. Valanciunas)
4:55.0,,,43-43,,A. Baynes enters the game for M. Morris
4:55.0,,,43-43,,J. Brown enters the game for A. Horford
4:55.0,,,43-43,,T. Rozier enters the game for K. Allen
4:55.0,,,43-43,,S. Ojeleye enters the game for G. Monroe
4:45.0,J. Valanciunas misses 2-pt shot from 16 ft,,43-43,,
4:43.0,,,43-43,,Defensive rebound by J. Brown
4:30.0,,,43-43,,J. Tatum misses 2-pt shot from 7 ft
4:27.0,,,43-43,,Offensive rebound by A. Baynes
4:14.0,,,43-43,,T. Rozier misses 2-pt shot from 10 ft
4:10.0,Defensive rebound by S. Ibaka,,43-43,,
4:03.0,J. Valanciunas misses 2-pt shot from 4 ft,,43-43,,
4:01.0,,,43-43,,Defensive rebound by A. Baynes
3:55.0,Personal foul by D. DeRozan (drawn by A. Baynes),,43-43,,
3:47.0,,,43-43,,T. Rozier misses 3-pt shot from 24 ft
3:47.0,,,43-43,,Offensive rebound by Team
3:47.0,Personal foul by F. VanVleet (drawn by S. Ojeleye),,43-43,,
3:37.0,,,43-45,2,S. Ojeleye makes 2-pt shot from 4 ft
3:21.0,D. DeRozan makes 2-pt shot from 5 ft,2,45-45,,
3:03.0,,,45-45,,S. Ojeleye misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by D. DeRozan,,45-45,,
2:57.0,Shooting foul by A. Baynes (drawn by D. DeRozan),,45-45,,
2:57.0,Toronto full timeout,,45-45,,
2:57.0,N. Powell enters the game for F. VanVleet,,45-45,,
2:57.0,D. DeRozan misses free throw 1 of 2,,45-45,,
2:57.0,Offensive rebound by Team,,45-45,,
2:57.0,D. DeRozan makes free throw 2 of 2,1,46-45,,
2:38.0,,,46-45,,A. Baynes misses 2-pt shot from 14 ft
2:36.0,Defensive rebound by S. Ibaka,,46-45,,
2:32.0,,,46-45,,Personal foul by J. Brown (drawn by S. Ibaka)
2:32.0,S. Ibaka makes free throw 1 of 2,1,47-45,,
2:32.0,,,47-45,,A. Horford enters the game for S. Ojeleye
2:32.0,,,47-45,,M. Morris enters the game for A. Baynes
2:32.0,S. Ibaka makes free throw 2 of 2,1,48-45,,
2:10.0,,,48-45,,J. Tatum misses 2-pt shot from 5 ft
2:08.0,Defensive rebound by J. Valanciunas,,48-45,,
2:01.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,50-45,,
1:37.0,,,50-47,2,M. Morris makes 2-pt shot from 2 ft
1:28.0,Shooting foul by A. Horford (drawn by D. DeRozan),,50-47,,
1:28.0,D. DeRozan makes free throw 1 of 2,1,51-47,,
1:28.0,D. DeRozan makes free throw 2 of 2,1,52-47,,
1:11.0,,,52-49,2,M. Morris makes 2-pt shot from 5 ft
1:03.0,Shooting foul by J. Tatum (drawn by K. Lowry),,52-49,,
1:03.0,K. Lowry makes free throw 1 of 2,1,53-49,,
1:03.0,K. Lowry misses free throw 2 of 2,,53-49,,
1:00.0,,,53-49,,Defensive rebound by A. Horford
0:50.0,,,53-51,2,T. Rozier makes 2-pt shot from 1 ft
