time,Utah,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. D. Favors (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. D. Favors (E. Kanter gains possession)
11:40.0,,,0-0,,K. Porzingis misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:26.0,D. Mitchell makes 2-pt shot from 1 ft (assist by R. Rubio),2,2-0,,
11:09.0,,,2-0,,Turnover by T. Hardaway (traveling)
10:58.0,J. Jerebko misses 3-pt shot from 25 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by C. Lee
10:49.0,,,2-0,,K. Porzingis misses 2-pt shot from 9 ft
10:48.0,Defensive rebound by D. Favors,,2-0,,
10:34.0,J. Jerebko misses 3-pt shot from 26 ft,,2-0,,
10:28.0,Offensive rebound by D. Favors,,2-0,,
10:28.0,D. Favors misses 2-pt shot at rim,,2-0,,
10:28.0,,,2-0,,Defensive rebound by E. Kanter
10:23.0,,,2-2,2,C. Lee makes 2-pt shot from 11 ft
10:05.0,Turnover by D. Mitchell (bad pass),,2-2,,
9:53.0,,,2-2,,Shooting foul by D. Mitchell (drawn by C. Lee)
9:53.0,,,2-3,1,C. Lee makes free throw 2 of 2
9:53.0,,,2-4,1,C. Lee makes free throw 1 of 2
9:45.0,,,2-4,,Personal foul by J. Jack (drawn by R. Rubio)
9:38.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,4-4,,
9:26.0,,,4-6,2,E. Kanter makes 2-pt shot from 1 ft (assist by T. Hardaway)
9:12.0,D. Mitchell makes 2-pt shot from 15 ft (assist by D. Favors),2,6-6,,
9:00.0,,,6-6,,Shooting foul by J. Jerebko (drawn by K. Porzingis)
9:00.0,,,6-7,1,K. Porzingis makes free throw 1 of 2
9:00.0,,,6-8,1,K. Porzingis makes free throw 2 of 2
8:48.0,D. Mitchell misses 3-pt shot from 24 ft,,6-8,,
8:44.0,,,6-8,,Defensive rebound by C. Lee
8:40.0,,,6-8,,K. Porzingis misses 2-pt shot from 14 ft
8:39.0,Defensive rebound by D. Mitchell,,6-8,,
8:22.0,R. Rubio makes 2-pt shot from 14 ft (assist by D. Favors),2,8-8,,
8:09.0,,,8-11,3,C. Lee makes 3-pt shot from 23 ft (assist by J. Jack)
7:45.0,J. Ingles makes 3-pt shot from 25 ft,3,11-11,,
7:32.0,,,11-13,2,K. Porzingis makes 2-pt shot from 8 ft (assist by T. Hardaway)
7:20.0,R. Rubio misses 3-pt shot from 22 ft,,11-13,,
7:19.0,,,11-13,,Defensive rebound by J. Jack
7:08.0,,,11-15,2,T. Hardaway makes 2-pt shot from 16 ft
6:59.0,Offensive foul by J. Ingles (drawn by T. Hardaway),,11-15,,
6:59.0,Turnover by J. Ingles (offensive foul),,11-15,,
6:59.0,,,11-15,,New York full timeout
6:59.0,R. Hood enters the game for R. Rubio,,11-15,,
6:49.0,,,11-15,,C. Lee misses 2-pt shot from 7 ft (block by D. Favors)
6:48.0,Defensive rebound by J. Jerebko,,11-15,,
6:36.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Favors),3,14-15,,
6:20.0,,,14-15,,K. Porzingis misses 2-pt shot from 8 ft
6:19.0,Defensive rebound by R. Hood,,14-15,,
6:13.0,R. Hood makes 3-pt shot from 25 ft,3,17-15,,
5:55.0,,,17-17,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
5:38.0,D. Favors misses 2-pt shot from 18 ft,,17-17,,
5:37.0,,,17-17,,Defensive rebound by K. Porzingis
5:24.0,,,17-19,2,E. Kanter makes 2-pt shot from 3 ft
5:08.0,D. Mitchell makes 2-pt shot from 1 ft,2,19-19,,
5:01.0,,,19-19,,Shooting foul by J. Ingles (drawn by K. Porzingis)
5:01.0,,,19-19,,D. McDermott enters the game for C. Lee
5:01.0,A. Burks enters the game for J. Ingles,,19-19,,
5:01.0,T. Sefolosha enters the game for J. Jerebko,,19-19,,
5:01.0,,,19-19,,K. Porzingis misses free throw 1 of 2
5:01.0,,,19-19,,Offensive rebound by Team
5:01.0,,,19-20,1,K. Porzingis makes free throw 2 of 2
4:48.0,R. Hood makes 2-pt shot from 12 ft,2,21-20,,
4:34.0,Personal foul by T. Sefolosha (drawn by K. Porzingis),,21-20,,
4:28.0,,,21-20,,K. Porzingis misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by A. Burks,,21-20,,
4:17.0,D. Favors makes 2-pt shot from 18 ft (assist by A. Burks),2,23-20,,
4:05.0,,,23-20,,Offensive foul by E. Kanter (drawn by D. Mitchell)
4:05.0,,,23-20,,Turnover by E. Kanter (offensive foul)
4:05.0,,,23-20,,K. O'Quinn enters the game for E. Kanter
4:05.0,E. Udoh enters the game for D. Favors,,23-20,,
3:47.0,A. Burks makes 2-pt shot from 19 ft,2,25-20,,
3:36.0,,,25-20,,D. McDermott misses 2-pt shot from 1 ft (block by E. Udoh)
3:35.0,,,25-20,,Offensive rebound by D. McDermott
3:31.0,,,25-20,,T. Hardaway misses 2-pt shot from 2 ft (block by E. Udoh)
3:30.0,,,25-20,,Offensive rebound by T. Hardaway
3:26.0,,,25-23,3,J. Jack makes 3-pt shot from 25 ft (assist by T. Hardaway)
3:14.0,D. Mitchell misses 3-pt shot from 25 ft,,25-23,,
3:13.0,Offensive rebound by T. Sefolosha,,25-23,,
