time,Oklahoma City,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. S. Adams (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. S. Adams (T. Satoransky gains possession)
11:39.0,,,0-0,,M. Gortat misses 2-pt shot from 7 ft
11:37.0,,,0-0,,Offensive rebound by M. Gortat
11:37.0,,,0-0,,M. Gortat misses 2-pt shot from 3 ft
11:35.0,,,0-0,,Offensive rebound by M. Gortat
11:30.0,,,0-2,2,M. Gortat makes 2-pt shot from 4 ft (assist by O. Porter)
11:12.0,C. Anthony makes 3-pt shot from 26 ft (assist by S. Adams),3,3-2,,
10:56.0,,,3-4,2,O. Porter makes 2-pt shot from 15 ft (assist by M. Morris)
10:37.0,C. Anthony misses 3-pt shot from 27 ft,,3-4,,
10:34.0,,,3-4,,Defensive rebound by T. Satoransky
10:24.0,,,3-7,3,M. Morris makes 3-pt shot from 23 ft (assist by T. Satoransky)
10:08.0,P. George makes 2-pt shot from 18 ft (assist by C. Anthony),2,5-7,,
10:01.0,,,5-9,2,M. Morris makes 2-pt shot at rim (assist by B. Beal)
10:01.0,Oklahoma City full timeout,,5-9,,
9:46.0,R. Westbrook misses 2-pt shot from 21 ft,,5-9,,
9:42.0,Offensive rebound by T. Ferguson,,5-9,,
9:34.0,S. Adams makes 2-pt shot from 11 ft (assist by T. Ferguson),2,7-9,,
9:21.0,,,7-9,,Turnover by B. Beal (bad pass; steal by R. Westbrook)
9:16.0,P. George misses 2-pt shot from 3 ft,,7-9,,
9:13.0,Offensive rebound by R. Westbrook,,7-9,,
9:12.0,R. Westbrook misses 2-pt shot from 2 ft,,7-9,,
9:12.0,,,7-9,,Defensive rebound by M. Gortat
9:01.0,,,7-12,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat)
8:46.0,S. Adams misses 2-pt shot from 11 ft,,7-12,,
8:44.0,Offensive rebound by P. George,,7-12,,
8:44.0,Shooting foul by T. Satoransky (drawn by C. Anthony),,7-12,,
8:44.0,C. Anthony makes free throw 1 of 2,1,8-12,,
8:44.0,C. Anthony misses free throw 2 of 2,,8-12,,
8:42.0,Offensive rebound by S. Adams,,8-12,,
8:39.0,S. Adams makes 2-pt shot from 1 ft,2,10-12,,
8:22.0,,,10-15,3,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky)
8:01.0,Turnover by C. Anthony (bad pass),,10-15,,
7:53.0,,,10-15,,Turnover by M. Gortat (bad pass)
