time,Philadelphia,pts.away,score,pts.home,Dallas
5:23.0,T. McConnell makes 3-pt shot from 23 ft (assist by B. Simmons),3,21-14,,
5:04.0,,,21-14,,Turnover by N. Noel (bad pass; steal by T. Luwawu-Cabarrot)
4:57.0,A. Johnson makes 2-pt shot from 1 ft (assist by T. McConnell),2,23-14,,
4:47.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Smith),,23-14,,
4:47.0,,,23-14,,D. Powell enters the game for N. Noel
4:43.0,,,23-14,,H. Barnes misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by A. Johnson,,23-14,,
4:34.0,T. McConnell makes 2-pt shot from 2 ft,2,25-14,,
4:29.0,,,25-14,,Dallas full timeout
4:29.0,,,25-14,,J. Barea enters the game for D. Smith
4:29.0,,,25-14,,Turnover by Team (turnover)
4:15.0,B. Simmons makes 2-pt shot at rim,2,27-14,,
4:04.0,Personal foul by R. Covington (drawn by W. Matthews),,27-14,,
3:52.0,,,27-14,,Turnover by W. Matthews (bad pass; steal by B. Simmons)
3:47.0,Turnover by T. McConnell (bad pass),,27-14,,
3:30.0,,,27-16,2,D. Powell makes 2-pt shot from 1 ft (assist by Y. Ferrell)
3:15.0,Shooting foul by W. Matthews (drawn by B. Simmons),,27-16,,
3:15.0,B. Simmons makes free throw 1 of 2,1,28-16,,
3:15.0,,,28-16,,D. Harris enters the game for W. Matthews
3:15.0,J. Anderson enters the game for R. Covington,,28-16,,
3:15.0,B. Simmons makes free throw 2 of 2,1,29-16,,
3:00.0,,,29-18,2,Y. Ferrell makes 2-pt shot from 19 ft
2:45.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,29-18,,
2:44.0,,,29-18,,Defensive rebound by J. Barea
2:38.0,,,29-18,,J. Barea misses 2-pt shot from 18 ft
2:35.0,Defensive rebound by T. Luwawu-Cabarrot,,29-18,,
2:30.0,B. Simmons makes 2-pt shot from 13 ft,2,31-18,,
2:15.0,Personal foul by T. Luwawu-Cabarrot (drawn by Y. Ferrell),,31-18,,
2:15.0,J. Bayless enters the game for T. Luwawu-Cabarrot,,31-18,,
2:15.0,D. Saric enters the game for B. Simmons,,31-18,,
2:07.0,,,31-18,,D. Powell misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by J. Anderson,,31-18,,
1:56.0,A. Johnson misses 3-pt shot from 25 ft,,31-18,,
1:56.0,,,31-18,,Defensive rebound by D. Harris
1:44.0,,,31-18,,D. Harris misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by J. Bayless,,31-18,,
1:20.0,Turnover by Team (shot clock),,31-18,,
1:20.0,J. Embiid enters the game for A. Johnson,,31-18,,
1:20.0,,,31-18,,D. Nowitzki enters the game for H. Barnes
0:56.0,,,31-21,3,J. Barea makes 3-pt shot from 26 ft (assist by D. Nowitzki)
0:43.0,,,31-21,,Personal foul by D. Harris (drawn by J. Embiid)
0:33.0,Shooting foul by D. Powell (drawn by J. Embiid),,31-21,,
0:33.0,J. Embiid makes free throw 1 of 2,1,32-21,,
0:33.0,J. Embiid misses free throw 2 of 2,,32-21,,
0:31.0,,,32-21,,Defensive rebound by D. Powell
0:15.0,,,32-23,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
0:03.0,T. McConnell misses 2-pt shot from 15 ft,,32-23,,
0:00.0,,,32-23,,Defensive rebound by D. Harris
0:00.0,,,32-23,,D. Harris misses 3-pt shot from 54 ft
0:00.0,,,32-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-23,,D. Harris misses 2-pt shot from 4 ft
11:41.0,Defensive rebound by J. Anderson,,32-23,,
11:35.0,J. Bayless misses 3-pt shot from 22 ft,,32-23,,
11:35.0,Offensive rebound by J. Anderson,,32-23,,
11:33.0,J. Anderson misses 2-pt shot at rim,,32-23,,
11:29.0,Offensive foul by J. Embiid (drawn by D. Harris),,32-23,,
11:29.0,Turnover by J. Embiid (offensive foul),,32-23,,
11:20.0,Offensive rebound by J. Embiid,,32-23,,
11:20.0,,,32-23,,D. Nowitzki misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by J. Embiid,,32-23,,
11:10.0,B. Simmons misses 2-pt shot from 5 ft,,32-23,,
11:10.0,,,32-23,,Defensive rebound by J. Barea
11:07.0,Personal foul by B. Simmons (drawn by D. Powell),,32-23,,
11:00.0,,,32-25,2,J. Barea makes 2-pt shot from 7 ft
10:46.0,B. Simmons misses 2-pt shot from 10 ft,,32-25,,
10:44.0,,,32-25,,Defensive rebound by D. Harris
10:26.0,,,32-27,2,J. Barea makes 2-pt shot at rim
10:06.0,D. Saric makes 3-pt shot from 24 ft (assist by J. Anderson),3,35-27,,
9:57.0,Personal block foul by B. Simmons (drawn by D. Harris),,35-27,,
9:48.0,,,35-29,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
9:36.0,Shooting foul by D. Harris (drawn by B. Simmons),,35-29,,
9:36.0,B. Simmons misses free throw 1 of 2,,35-29,,
9:36.0,Offensive rebound by Team,,35-29,,
9:36.0,R. Covington enters the game for J. Anderson,,35-29,,
9:36.0,B. Simmons makes free throw 2 of 2,1,36-29,,
9:24.0,,,36-29,,J. Barea misses 2-pt shot from 10 ft
9:24.0,Defensive rebound by J. Embiid,,36-29,,
9:13.0,A. Johnson enters the game for J. Embiid,,36-29,,
9:03.0,B. Simmons misses 2-pt shot from 1 ft,,36-29,,
9:00.0,B. Simmons makes 2-pt shot at rim,2,38-29,,
8:57.0,Offensive rebound by B. Simmons,,38-29,,
8:47.0,Personal foul by A. Johnson (drawn by J. Barea),,38-29,,
8:44.0,Personal foul by R. Covington (drawn by D. Nowitzki),,38-29,,
8:38.0,,,38-32,3,Y. Ferrell makes 3-pt shot from 24 ft
8:26.0,Turnover by D. Saric (bad pass),,38-32,,
8:14.0,,,38-32,,Shooting foul by B. Simmons (drawn by D. Harris)
8:14.0,,,38-33,1,D. Harris makes free throw 1 of 2
8:14.0,,,38-33,,D. Smith enters the game for J. Barea
