time,Philadelphia,pts.away,score,pts.home,Dallas
1:34.0,Defensive rebound by R. Covington,,109-104,,
1:22.0,T. McConnell misses 3-pt shot from 25 ft,,109-104,,
1:19.0,,,109-104,,Defensive rebound by Y. Ferrell
1:03.0,,,109-104,,Turnover by H. Barnes (bad pass)
0:45.0,Turnover by T. McConnell (out of bounds lost ball),,109-104,,
0:45.0,,,109-104,,Dallas full timeout
0:42.0,,,109-104,,Y. Ferrell misses 3-pt shot from 26 ft
0:39.0,,,109-104,,Offensive rebound by Team
0:37.0,,,109-107,3,H. Barnes makes 3-pt shot from 26 ft (assist by D. Smith)
0:15.0,J. Embiid makes 2-pt shot from 2 ft,2,111-107,,
0:08.0,,,111-110,3,H. Barnes makes 3-pt shot from 26 ft
0:08.0,Philadelphia full timeout,,111-110,,
0:08.0,,,111-110,,D. Harris enters the game for D. Nowitzki
0:08.0,J. Bayless enters the game for T. McConnell,,111-110,,
0:06.0,,,111-110,,Personal take foul by Y. Ferrell (drawn by J. Bayless)
0:06.0,J. Bayless makes free throw 1 of 2,1,112-110,,
0:06.0,,,112-110,,D. Nowitzki enters the game for D. Harris
0:06.0,T. McConnell enters the game for D. Saric,,112-110,,
0:06.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,112-110,,
0:06.0,J. Bayless misses free throw 2 of 2,,112-110,,
0:04.0,,,112-110,,Defensive rebound by Y. Ferrell
0:00.0,,,112-110,,Shooting foul by T. Luwawu-Cabarrot (drawn by Y. Ferrell)
0:00.0,,,112-110,,Y. Ferrell misses free throw 1 of 2
0:00.0,,,112-110,,Offensive rebound by Team
0:00.0,,,112-110,,N. Noel enters the game for H. Barnes
0:00.0,,,112-110,,S. Mejri enters the game for D. Nowitzki
0:00.0,J. Embiid enters the game for T. McConnell,,112-110,,
0:00.0,D. Saric enters the game for T. Luwawu-Cabarrot,,112-110,,
0:00.0,,,112-110,,Y. Ferrell misses free throw 2 of 2
0:00.0,,,112-110,,Offensive rebound by Team
