time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. P. Gasol (B. Paul gains possession),,,,Jump ball: S. Adams vs. P. Gasol (B. Paul gains possession)
11:45.0,K. Anderson misses 2-pt shot from 1 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by S. Adams
11:39.0,,,0-0,,P. George misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by B. Paul,,0-0,,
11:25.0,Turnover by P. Gasol (bad pass),,0-0,,
11:05.0,,,0-0,,R. Westbrook misses 2-pt shot from 1 ft
10:59.0,,,0-0,,Offensive rebound by S. Adams
10:58.0,,,0-0,,S. Adams misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by D. Murray,,0-0,,
10:53.0,,,0-0,,Personal foul by C. Anthony (drawn by K. Anderson)
10:39.0,P. Gasol misses 3-pt shot from 24 ft,,0-0,,
10:34.0,,,0-0,,Defensive rebound by C. Anthony
10:21.0,,,0-2,2,S. Adams makes 2-pt shot from 11 ft (assist by R. Westbrook)
9:57.0,B. Paul misses 3-pt shot from 24 ft,,0-2,,
9:55.0,,,0-2,,Defensive rebound by R. Westbrook
9:53.0,,,0-4,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
9:36.0,P. Gasol misses 2-pt shot from 14 ft,,0-4,,
9:34.0,,,0-4,,Defensive rebound by P. George
9:28.0,,,0-6,2,S. Adams makes 2-pt shot from 1 ft (assist by P. George)
9:28.0,,,0-6,,Shooting foul by B. Paul (drawn by S. Adams)
9:28.0,,,0-6,,S. Adams misses free throw 1 of 1
9:26.0,Defensive rebound by K. Anderson,,0-6,,
9:19.0,B. Paul makes 2-pt shot at rim (assist by K. Anderson),2,2-6,,
8:59.0,,,2-6,,Turnover by R. Westbrook (out of bounds lost ball)
8:36.0,P. Gasol misses 2-pt shot from 7 ft,,2-6,,
8:33.0,,,2-6,,Defensive rebound by R. Westbrook
8:29.0,,,2-8,2,R. Westbrook makes 2-pt shot from 15 ft
8:06.0,D. Murray misses 2-pt shot from 15 ft,,2-8,,
7:59.0,,,2-8,,Defensive rebound by S. Adams
7:49.0,,,2-10,2,S. Adams makes 2-pt shot from 10 ft (assist by P. George)
7:49.0,San Antonio full timeout,,2-10,,
7:32.0,D. Green misses 3-pt shot from 25 ft,,2-10,,
7:28.0,,,2-10,,Defensive rebound by R. Westbrook
7:08.0,,,2-10,,Turnover by S. Adams (lost ball; steal by D. Murray)
7:05.0,D. Murray makes 2-pt shot from 1 ft,2,4-10,,
6:55.0,,,4-10,,Offensive foul by P. George (drawn by D. Murray)
6:55.0,,,4-10,,Turnover by P. George (offensive foul)
6:46.0,B. Paul misses 2-pt shot from 12 ft,,4-10,,
6:43.0,,,4-10,,Defensive rebound by C. Anthony
6:38.0,,,4-10,,P. George misses 2-pt shot from 2 ft (block by P. Gasol)
6:38.0,Defensive rebound by Team,,4-10,,
6:22.0,D. Green makes 2-pt shot from 7 ft,2,6-10,,
5:57.0,,,6-12,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:35.0,P. Gasol makes 2-pt shot from 6 ft,2,8-12,,
5:21.0,,,8-14,2,S. Adams makes 2-pt shot from 1 ft (assist by C. Anthony)
4:58.0,K. Anderson misses 2-pt shot from 17 ft,,8-14,,
4:58.0,Offensive rebound by Team,,8-14,,
4:58.0,,,8-14,,Loose ball foul by C. Anthony (drawn by D. Green)
4:58.0,,,8-14,,J. Grant enters the game for P. George
4:58.0,B. Forbes enters the game for D. Murray,,8-14,,
4:58.0,P. Mills enters the game for D. Green,,8-14,,
4:58.0,J. Lauvergne enters the game for P. Gasol,,8-14,,
4:52.0,Turnover by P. Mills (bad pass),,8-14,,
4:35.0,,,8-14,,C. Anthony misses 2-pt shot from 17 ft
4:32.0,Defensive rebound by P. Mills,,8-14,,
4:20.0,,,8-14,,P. Patterson enters the game for S. Adams
4:17.0,K. Anderson makes 2-pt shot from 16 ft (assist by B. Paul),2,10-14,,
4:08.0,Violation by P. Mills (kicked ball),,10-14,,
4:08.0,,,10-14,,J. Huestis enters the game for C. Anthony
4:00.0,,,10-14,,R. Westbrook misses 2-pt shot from 17 ft
3:56.0,Defensive rebound by P. Mills,,10-14,,
3:45.0,J. Lauvergne misses 2-pt shot from 5 ft,,10-14,,
3:43.0,,,10-14,,Defensive rebound by R. Westbrook
3:37.0,,,10-14,,R. Westbrook misses 2-pt shot from 4 ft
3:36.0,,,10-14,,Offensive rebound by Team
3:36.0,D. Bertans enters the game for K. Anderson,,10-14,,
3:36.0,,,10-14,,P. George enters the game for A. Roberson
3:26.0,Loose ball foul by B. Paul (drawn by J. Grant),,10-14,,
3:16.0,,,10-14,,P. Patterson misses 3-pt shot from 24 ft
3:13.0,,,10-14,,Offensive rebound by J. Huestis
3:03.0,,,10-16,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
2:46.0,B. Paul misses 2-pt shot at rim,,10-16,,
2:44.0,Offensive rebound by J. Lauvergne,,10-16,,
2:43.0,J. Lauvergne makes 2-pt shot at rim,2,12-16,,
2:27.0,,,12-16,,P. George misses 2-pt shot from 3 ft
2:27.0,Defensive rebound by Team,,12-16,,
2:27.0,,,12-16,,Loose ball foul by P. George (drawn by B. Forbes)
2:27.0,,,12-16,,Oklahoma City full timeout
2:27.0,,,12-16,,R. Felton enters the game for P. George
2:27.0,D. White enters the game for B. Paul,,12-16,,
2:18.0,D. Bertans misses 3-pt shot from 25 ft,,12-16,,
2:14.0,,,12-16,,Defensive rebound by J. Huestis
1:58.0,,,12-19,3,R. Westbrook makes 3-pt shot from 22 ft (assist by J. Huestis)
1:58.0,,,12-19,,Shooting foul by D. White (drawn by R. Westbrook)
1:58.0,,,12-19,,R. Westbrook misses free throw 1 of 1
1:58.0,Defensive rebound by D. Bertans,,12-19,,
1:44.0,P. Mills makes 3-pt shot from 24 ft,3,15-19,,
1:30.0,,,15-19,,Turnover by R. Felton (out of bounds lost ball)
1:10.0,B. Forbes misses 3-pt shot from 25 ft,,15-19,,
1:08.0,,,15-19,,Defensive rebound by R. Westbrook
1:00.0,,,15-21,2,R. Westbrook makes 2-pt shot from 1 ft
0:48.0,B. Forbes misses 3-pt shot from 24 ft,,15-21,,
0:48.0,,,15-21,,Defensive rebound by Team
0:47.0,Loose ball foul by J. Lauvergne (drawn by J. Huestis),,15-21,,
0:47.0,,,15-21,,J. Huestis misses free throw 2 of 2
0:47.0,,,15-21,,Offensive rebound by J. Grant
0:47.0,,,15-21,,J. Huestis misses free throw 1 of 2
0:47.0,,,15-21,,Offensive rebound by Team
0:39.0,,,15-23,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
0:24.0,Shooting foul by R. Felton (drawn by P. Mills),,15-23,,
0:24.0,P. Mills makes free throw 1 of 3,1,16-23,,
0:24.0,P. Mills makes free throw 2 of 3,1,17-23,,
0:24.0,P. Mills makes free throw 3 of 3,1,18-23,,
0:04.0,,,18-25,2,J. Huestis makes 2-pt shot at rim (assist by R. Westbrook)
0:01.0,D. Bertans misses 3-pt shot from 24 ft,,18-25,,
0:01.0,Offensive rebound by Team,,18-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,18-25,,Turnover by J. Huestis (bad pass; steal by D. White)
11:36.0,D. Bertans makes 2-pt shot at rim (assist by B. Forbes),2,20-25,,
11:21.0,,,20-25,,J. Huestis misses 3-pt shot from 25 ft
11:17.0,,,20-25,,Offensive rebound by S. Adams
11:16.0,,,20-25,,S. Adams misses 2-pt shot at rim (block by D. Bertans)
11:13.0,Defensive rebound by D. Murray,,20-25,,
11:10.0,D. Murray misses 2-pt shot from 3 ft,,20-25,,
11:07.0,Offensive rebound by D. Murray,,20-25,,
11:06.0,D. Murray makes 2-pt shot at rim,2,22-25,,
10:47.0,Personal block foul by J. Lauvergne (drawn by R. Felton),,22-25,,
10:47.0,,,22-25,,A. Abrines enters the game for J. Huestis
10:47.0,,,22-25,,J. Grant enters the game for P. Patterson
10:38.0,,,22-25,,P. George misses 2-pt shot from 1 ft (block by D. Bertans)
10:37.0,,,22-25,,Offensive rebound by Team
10:37.0,,,22-25,,Shooting foul by D. White (drawn by S. Adams)
10:37.0,,,22-26,1,S. Adams makes free throw 1 of 2
10:37.0,B. Paul enters the game for D. White,,22-26,,
10:37.0,D. Green enters the game for B. Forbes,,22-26,,
10:37.0,,,22-27,1,S. Adams makes free throw 2 of 2
10:22.0,D. Bertans misses 3-pt shot from 24 ft,,22-27,,
10:19.0,,,22-27,,Defensive rebound by P. George
10:08.0,,,22-29,2,S. Adams makes 2-pt shot from 9 ft (assist by P. George)
9:56.0,J. Lauvergne makes 2-pt shot from 17 ft (assist by D. Murray),2,24-29,,
9:34.0,,,24-29,,J. Grant misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by D. Green,,24-29,,
9:13.0,D. Bertans misses 2-pt shot from 10 ft,,24-29,,
9:09.0,,,24-29,,Defensive rebound by S. Adams
9:00.0,,,24-31,2,R. Felton makes 2-pt shot from 20 ft
9:00.0,,,24-31,,Shooting foul by J. Lauvergne (drawn by S. Adams)
9:00.0,San Antonio full timeout,,24-31,,
9:00.0,P. Gasol enters the game for D. Bertans,,24-31,,
9:00.0,K. Anderson enters the game for J. Lauvergne,,24-31,,
9:00.0,,,24-32,1,S. Adams makes free throw 1 of 1
8:47.0,Shooting foul by P. George (drawn by B. Paul),,24-32,,
8:47.0,B. Paul makes free throw 1 of 2,1,25-32,,
8:47.0,,,25-32,,A. Roberson enters the game for P. George
8:47.0,B. Paul makes free throw 2 of 2,1,26-32,,
8:36.0,,,26-34,2,R. Felton makes 2-pt shot from 1 ft
8:18.0,Turnover by D. Green (bad pass; steal by R. Felton),,26-34,,
8:14.0,,,26-34,,R. Felton misses 2-pt shot from 1 ft (block by D. Murray)
8:09.0,,,26-34,,C. Anthony enters the game for J. Grant
8:06.0,Jump ball: A. Abrines vs. D. Green (A. Roberson gains possession),,,,Jump ball: A. Abrines vs. D. Green (A. Roberson gains possession)
8:06.0,,,26-34,,Offensive rebound by A. Abrines
8:03.0,,,26-34,,A. Abrines misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by B. Paul,,26-34,,
7:52.0,D. Green misses 3-pt shot from 22 ft,,26-34,,
7:50.0,,,26-34,,Defensive rebound by C. Anthony
7:44.0,,,26-37,3,C. Anthony makes 3-pt shot from 26 ft (assist by A. Roberson)
7:28.0,D. Green makes 3-pt shot from 24 ft (assist by K. Anderson),3,29-37,,
7:04.0,,,29-37,,C. Anthony misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by P. Gasol,,29-37,,
6:46.0,Shooting foul by A. Abrines (drawn by D. Murray),,29-37,,
6:46.0,D. Murray misses free throw 1 of 2,,29-37,,
6:46.0,Offensive rebound by Team,,29-37,,
6:46.0,,,29-37,,R. Westbrook enters the game for R. Felton
6:46.0,D. Murray makes free throw 2 of 2,1,30-37,,
6:36.0,,,30-37,,Turnover by A. Abrines (traveling)
6:20.0,D. Murray misses 2-pt shot from 1 ft,,30-37,,
6:17.0,,,30-37,,Defensive rebound by R. Westbrook
6:14.0,,,30-37,,C. Anthony misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by B. Paul,,30-37,,
5:59.0,D. Murray misses 3-pt shot from 24 ft,,30-37,,
5:55.0,,,30-37,,Defensive rebound by A. Abrines
5:50.0,,,30-39,2,R. Westbrook makes 2-pt shot from 19 ft
5:30.0,,,30-39,,Def 3 sec tech foul by C. Anthony
5:30.0,D. Green makes technical free throw,1,31-39,,
5:19.0,D. Green misses 3-pt shot from 22 ft,,31-39,,
5:18.0,Offensive rebound by Team,,31-39,,
5:18.0,,,31-39,,Loose ball foul by R. Westbrook (drawn by P. Gasol)
5:18.0,P. Mills enters the game for B. Paul,,31-39,,
5:18.0,B. Forbes enters the game for D. Murray,,31-39,,
5:02.0,K. Anderson makes 2-pt shot from 20 ft (assist by P. Gasol),2,33-39,,
4:43.0,Personal foul by K. Anderson (drawn by R. Westbrook),,33-39,,
4:30.0,,,33-41,2,A. Roberson makes 2-pt shot from 1 ft (assist by A. Abrines)
4:14.0,P. Gasol makes 2-pt shot from 13 ft,2,35-41,,
3:59.0,,,35-43,2,R. Westbrook makes 2-pt shot from 1 ft
3:32.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Anderson),3,38-43,,
3:13.0,,,38-45,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:02.0,Shooting foul by C. Anthony (drawn by K. Anderson),,38-45,,
3:02.0,K. Anderson makes free throw 1 of 2,1,39-45,,
3:02.0,,,39-45,,J. Grant enters the game for C. Anthony
3:02.0,B. Paul enters the game for D. Green,,39-45,,
3:02.0,K. Anderson misses free throw 2 of 2,,39-45,,
2:58.0,,,39-45,,Defensive rebound by J. Grant
2:49.0,,,39-45,,A. Abrines misses 3-pt shot from 22 ft
2:49.0,,,39-45,,Offensive rebound by S. Adams
2:38.0,,,39-45,,R. Westbrook misses 2-pt shot from 17 ft
2:35.0,Defensive rebound by P. Gasol,,39-45,,
2:28.0,P. Mills misses 3-pt shot from 24 ft,,39-45,,
2:25.0,,,39-45,,Defensive rebound by J. Grant
2:21.0,Personal foul by K. Anderson (drawn by R. Westbrook),,39-45,,
2:21.0,,,39-45,,Oklahoma City full timeout
2:21.0,D. Bertans enters the game for K. Anderson,,39-45,,
2:21.0,,,39-45,,R. Westbrook misses free throw 1 of 2
2:21.0,,,39-45,,Offensive rebound by Team
2:21.0,,,39-45,,R. Westbrook misses free throw 2 of 2
2:18.0,Defensive rebound by B. Paul,,39-45,,
2:07.0,Turnover by P. Gasol (bad pass; steal by S. Adams),,39-45,,
1:57.0,Technical foul by B. Paul,,39-45,,
1:57.0,,,39-46,1,R. Westbrook makes technical free throw
1:46.0,,,39-48,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:45.0,San Antonio full timeout,,39-48,,
1:45.0,D. Murray enters the game for B. Paul,,39-48,,
1:23.0,P. Gasol misses 2-pt shot from 7 ft,,39-48,,
1:20.0,,,39-48,,Defensive rebound by A. Roberson
1:17.0,,,39-50,2,R. Westbrook makes 2-pt shot from 7 ft
1:17.0,,,39-50,,Shooting foul by P. Mills (drawn by R. Westbrook)
1:17.0,,,39-51,1,R. Westbrook makes free throw 1 of 1
1:06.0,Shooting foul by A. Abrines (drawn by B. Forbes),,39-51,,
1:06.0,B. Forbes misses free throw 1 of 2,,39-51,,
1:06.0,Offensive rebound by Team,,39-51,,
1:06.0,K. Anderson enters the game for P. Mills,,39-51,,
1:06.0,B. Forbes misses free throw 2 of 2,,39-51,,
1:05.0,Offensive rebound by P. Gasol,,39-51,,
1:05.0,,,39-51,,Personal foul by S. Adams (drawn by P. Gasol)
1:05.0,P. Gasol misses free throw 1 of 2,,39-51,,
1:05.0,Offensive rebound by Team,,39-51,,
1:05.0,P. Gasol makes free throw 2 of 2,1,40-51,,
0:54.0,,,40-51,,S. Adams misses 2-pt shot at rim
0:52.0,Defensive rebound by K. Anderson,,40-51,,
0:49.0,D. Bertans makes 3-pt shot from 24 ft (assist by K. Anderson),3,43-51,,
0:38.0,,,43-51,,Turnover by R. Westbrook (bad pass; steal by K. Anderson)
0:25.0,Turnover by K. Anderson (bad pass; steal by S. Adams),,43-51,,
0:05.0,,,43-51,,R. Westbrook misses 2-pt shot from 17 ft
0:02.0,,,43-51,,Offensive rebound by S. Adams
0:00.0,,,43-54,3,J. Grant makes 3-pt shot from 22 ft (assist by S. Adams)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,43-54,,S. Adams misses 2-pt shot from 6 ft
11:35.0,Defensive rebound by B. Paul,,43-54,,
11:34.0,Turnover by B. Paul (out of bounds lost ball),,43-54,,
11:18.0,,,43-54,,P. George misses 2-pt shot from 17 ft (block by D. Green)
11:15.0,Defensive rebound by D. Murray,,43-54,,
11:07.0,Turnover by K. Anderson (bad pass),,43-54,,
10:53.0,,,43-54,,P. George misses 3-pt shot from 23 ft
10:50.0,Defensive rebound by J. Lauvergne,,43-54,,
10:35.0,J. Lauvergne misses 2-pt shot from 1 ft (block by S. Adams),,43-54,,
10:35.0,Offensive rebound by Team,,43-54,,
10:32.0,Turnover by K. Anderson (bad pass; steal by A. Roberson),,43-54,,
10:29.0,,,43-54,,Shooting foul by B. Paul (drawn by P. George)
10:29.0,,,43-54,,P. George misses free throw 1 of 2
10:29.0,,,43-54,,Offensive rebound by Team
10:29.0,,,43-55,1,P. George makes free throw 2 of 2
10:15.0,B. Paul misses 3-pt shot from 25 ft,,43-55,,
10:10.0,,,43-55,,Defensive rebound by S. Adams
10:04.0,,,43-57,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
9:57.0,San Antonio full timeout,,43-57,,
9:43.0,D. Green misses 3-pt shot from 24 ft,,43-57,,
9:39.0,Offensive rebound by J. Lauvergne,,43-57,,
9:32.0,D. Murray makes 2-pt shot from 1 ft (assist by B. Paul),2,45-57,,
9:17.0,Personal foul by D. Murray (drawn by R. Westbrook),,45-57,,
9:10.0,,,45-59,2,R. Westbrook makes 2-pt shot from 13 ft
8:55.0,Shooting foul by A. Roberson (drawn by B. Paul),,45-59,,
8:55.0,B. Paul makes free throw 1 of 2,1,46-59,,
8:55.0,B. Forbes enters the game for D. Green,,46-59,,
8:55.0,B. Paul makes free throw 2 of 2,1,47-59,,
8:42.0,,,47-61,2,S. Adams makes 2-pt shot at rim (assist by P. George)
8:29.0,Shooting foul by A. Roberson (drawn by D. Murray),,47-61,,
8:29.0,D. Murray misses free throw 1 of 2,,47-61,,
8:29.0,Offensive rebound by Team,,47-61,,
8:29.0,D. Murray makes free throw 2 of 2,1,48-61,,
8:29.0,,,48-61,,Turnover by P. George (out of bounds lost ball)
8:29.0,D. Bertans enters the game for K. Anderson,,48-61,,
8:16.0,B. Forbes misses 2-pt shot from 6 ft,,48-61,,
8:13.0,Offensive rebound by J. Lauvergne,,48-61,,
8:13.0,J. Lauvergne makes 2-pt shot from 1 ft,2,50-61,,
8:09.0,Personal foul by D. Murray (drawn by R. Westbrook),,50-61,,
7:55.0,,,50-63,2,C. Anthony makes 2-pt shot from 11 ft
7:30.0,B. Paul makes 2-pt shot from 4 ft,2,52-63,,
7:13.0,,,52-65,2,C. Anthony makes 2-pt shot from 18 ft
6:58.0,Turnover by D. Murray (lost ball; steal by R. Westbrook),,52-65,,
6:58.0,Personal foul by B. Paul (drawn by P. George),,52-65,,
6:58.0,D. White enters the game for B. Paul,,52-65,,
6:46.0,,,52-65,,C. Anthony misses 3-pt shot from 24 ft
6:44.0,,,52-65,,Offensive rebound by Team
6:42.0,,,52-65,,S. Adams misses 2-pt shot from 4 ft
6:41.0,,,52-65,,Offensive rebound by R. Westbrook
6:41.0,,,52-65,,R. Westbrook misses 2-pt shot at rim
6:38.0,Jump ball: S. Adams vs. J. Lauvergne (C. Anthony gains possession),,,,Jump ball: S. Adams vs. J. Lauvergne (C. Anthony gains possession)
6:38.0,,,52-65,,Offensive rebound by Team
6:27.0,,,52-65,,Turnover by P. George (bad pass; steal by J. Lauvergne)
6:21.0,Turnover by D. Murray (out of bounds lost ball),,52-65,,
6:13.0,,,52-65,,R. Westbrook misses 2-pt shot from 13 ft
6:09.0,Defensive rebound by D. Bertans,,52-65,,
6:05.0,B. Forbes misses 3-pt shot from 24 ft,,52-65,,
6:04.0,Offensive rebound by J. Lauvergne,,52-65,,
6:03.0,J. Lauvergne makes 2-pt shot from 1 ft,2,54-65,,
5:54.0,,,54-65,,Oklahoma City full timeout
5:46.0,,,54-65,,R. Westbrook misses 2-pt shot from 11 ft
5:46.0,Defensive rebound by D. White,,54-65,,
5:35.0,Shooting foul by A. Roberson (drawn by D. White),,54-65,,
5:35.0,D. White makes free throw 1 of 2,1,55-65,,
