time,Philadelphia,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,B. Simmons makes 2-pt shot from 6 ft (assist by J. Embiid),2,2-0,,
11:24.0,,,2-0,,Turnover by D. Nwaba (bad pass; steal by J. Embiid)
11:21.0,J. Embiid misses 2-pt shot from 2 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by D. Nwaba
11:14.0,,,2-2,2,C. Felicio makes 2-pt shot at rim (assist by D. Nwaba)
11:06.0,J. Embiid makes 3-pt shot from 25 ft (assist by J. Redick),3,5-2,,
10:42.0,,,5-2,,L. Markkanen misses 3-pt shot from 24 ft
10:42.0,,,5-2,,Offensive rebound by D. Nwaba
10:37.0,,,5-2,,Turnover by Team (shot clock)
10:23.0,J. Embiid makes 3-pt shot from 25 ft (assist by D. Saric),3,8-2,,
10:00.0,,,8-2,,K. Dunn misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by J. Redick,,8-2,,
9:49.0,B. Simmons misses 2-pt shot from 2 ft,,8-2,,
9:39.0,Offensive rebound by B. Simmons,,8-2,,
9:39.0,B. Simmons makes 2-pt shot at rim,2,10-2,,
9:35.0,,,10-2,,K. Dunn misses 2-pt shot from 5 ft (block by B. Simmons)
9:35.0,Defensive rebound by J. Embiid,,10-2,,
9:31.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,13-2,,
9:15.0,,,13-4,2,C. Felicio makes 2-pt shot from 2 ft
9:15.0,,,13-4,,Shooting foul by D. Saric (drawn by C. Felicio)
9:15.0,,,13-5,1,C. Felicio makes free throw 1 of 1
8:58.0,J. Redick misses 2-pt shot from 19 ft,,13-5,,
8:54.0,,,13-5,,Defensive rebound by D. Nwaba
8:49.0,,,13-5,,D. Nwaba misses 2-pt shot from 6 ft
8:47.0,Defensive rebound by J. Embiid,,13-5,,
8:40.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons),3,16-5,,
8:16.0,,,16-5,,Shooting foul by R. Covington (drawn by L. Markkanen)
8:16.0,,,16-5,,L. Markkanen misses free throw 1 of 2
8:16.0,,,16-5,,Offensive rebound by Team
8:16.0,,,16-6,1,L. Markkanen makes free throw 2 of 2
8:03.0,,,16-6,,Personal foul by C. Felicio (drawn by J. Embiid)
8:03.0,T. McConnell enters the game for J. Redick,,16-6,,
7:54.0,Shooting foul by C. Felicio (drawn by J. Embiid),,16-6,,
7:54.0,J. Embiid makes free throw 1 of 2,1,17-6,,
7:54.0,,,17-6,,B. Portis enters the game for C. Felicio
7:54.0,J. Embiid makes free throw 2 of 2,1,18-6,,
7:40.0,,,18-6,,Shooting foul by T. McConnell (drawn by Z. LaVine)
7:40.0,,,18-6,,Z. LaVine misses free throw 1 of 2
7:40.0,,,18-6,,Offensive rebound by Team
7:40.0,,,18-7,1,Z. LaVine makes free throw 2 of 2
7:28.0,,,18-7,,Personal foul by K. Dunn (drawn by T. McConnell)
7:21.0,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons),2,20-7,,
7:13.0,,,20-7,,K. Dunn misses 2-pt shot from 12 ft
7:06.0,Defensive rebound by B. Simmons,,20-7,,
7:06.0,B. Simmons makes 2-pt shot from 2 ft,2,22-7,,
