time,Minnesota,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Towns (D. Cousins gains possession),,,,Jump ball: A. Davis vs. K. Towns (D. Cousins gains possession)
11:49.0,,,0-0,,D. Cousins misses 2-pt shot from 20 ft
11:42.0,,,0-0,,Offensive rebound by A. Davis
11:38.0,,,0-2,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
11:21.0,J. Butler makes 2-pt shot from 19 ft (assist by K. Towns),2,2-2,,
11:06.0,,,2-2,,Shooting foul by K. Towns (drawn by A. Davis)
11:06.0,,,2-3,1,A. Davis makes free throw 1 of 2
11:06.0,,,2-4,1,A. Davis makes free throw 2 of 2
10:56.0,J. Butler misses 3-pt shot from 24 ft,,2-4,,
10:56.0,,,2-4,,Defensive rebound by Team
10:40.0,,,2-4,,A. Davis misses 2-pt shot from 10 ft
10:36.0,Defensive rebound by K. Towns,,2-4,,
10:30.0,A. Wiggins misses 3-pt shot from 28 ft,,2-4,,
10:27.0,,,2-4,,Defensive rebound by A. Davis
10:18.0,,,2-4,,D. Cousins misses 2-pt shot from 3 ft
10:18.0,Defensive rebound by K. Towns,,2-4,,
10:11.0,K. Towns misses 2-pt shot from 6 ft,,2-4,,
10:11.0,,,2-4,,Defensive rebound by R. Rondo
10:04.0,,,2-4,,J. Holiday misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by K. Towns,,2-4,,
9:51.0,T. Gibson misses 2-pt shot from 15 ft,,2-4,,
9:51.0,,,2-4,,Defensive rebound by D. Cousins
9:36.0,,,2-4,,D. Cousins misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by A. Wiggins,,2-4,,
9:15.0,A. Wiggins misses 2-pt shot from 16 ft,,2-4,,
9:12.0,,,2-4,,Defensive rebound by A. Davis
9:08.0,,,2-6,2,E. Moore makes 2-pt shot from 14 ft (assist by J. Holiday)
8:52.0,Turnover by K. Towns (bad pass; steal by D. Cousins),,2-6,,
8:45.0,,,2-8,2,D. Cousins makes 2-pt shot at rim
8:27.0,T. Jones misses 3-pt shot from 26 ft,,2-8,,
8:26.0,,,2-8,,Defensive rebound by Team
8:18.0,,,2-10,2,J. Holiday makes 2-pt shot from 1 ft
8:13.0,Minnesota full timeout,,2-10,,
7:59.0,K. Towns makes 2-pt shot from 16 ft,2,4-10,,
7:50.0,Personal foul by T. Gibson (drawn by D. Cousins),,4-10,,
7:44.0,,,4-10,,D. Cousins misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by A. Wiggins,,4-10,,
7:31.0,Turnover by K. Towns (bad pass),,4-10,,
7:21.0,,,4-10,,Turnover by A. Davis (lost ball; steal by T. Jones)
7:19.0,,,4-10,,Personal foul by R. Rondo (drawn by T. Jones)
7:13.0,J. Butler makes 2-pt shot from 2 ft (assist by T. Gibson),2,6-10,,
7:01.0,,,6-10,,E. Moore misses 3-pt shot from 22 ft
6:58.0,Defensive rebound by J. Butler,,6-10,,
6:50.0,Turnover by J. Butler (bad pass; steal by E. Moore),,6-10,,
6:45.0,,,6-13,3,R. Rondo makes 3-pt shot from 26 ft (assist by J. Holiday)
6:24.0,K. Towns misses 2-pt shot from 4 ft,,6-13,,
6:20.0,Offensive rebound by K. Towns,,6-13,,
6:20.0,K. Towns makes 2-pt shot at rim,2,8-13,,
6:10.0,,,8-13,,A. Davis misses 2-pt shot from 4 ft
6:07.0,Defensive rebound by K. Towns,,8-13,,
6:04.0,T. Jones makes 2-pt shot from 13 ft,2,10-13,,
