time,Detroit,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. A. Drummond (I. Smith gains possession),,,,Jump ball: J. Nurkic vs. A. Drummond (I. Smith gains possession)
11:50.0,J. Ennis misses 2-pt shot from 3 ft (block by M. Harkless),,0-0,,
11:50.0,Offensive rebound by Team,,0-0,,
11:48.0,B. Griffin misses 3-pt shot from 24 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by J. Nurkic
11:36.0,,,0-0,,J. Nurkic misses 2-pt shot from 3 ft
11:34.0,Defensive rebound by A. Drummond,,0-0,,
11:30.0,I. Smith misses 2-pt shot from 14 ft (block by C. McCollum),,0-0,,
11:27.0,,,0-0,,Defensive rebound by M. Harkless
11:24.0,,,0-0,,D. Lillard misses 3-pt shot from 30 ft
11:22.0,Defensive rebound by Team,,0-0,,
11:22.0,,,0-0,,Loose ball foul by J. Nurkic (drawn by A. Drummond)
11:05.0,R. Bullock makes 2-pt shot from 2 ft,2,2-0,,
10:43.0,,,2-0,,A. Aminu misses 3-pt shot from 22 ft
10:42.0,Defensive rebound by A. Drummond,,2-0,,
10:40.0,Turnover by A. Drummond (bad pass; steal by A. Aminu),,2-0,,
10:31.0,,,2-2,2,J. Nurkic makes 2-pt shot at rim
10:17.0,A. Drummond makes 2-pt shot from 3 ft,2,4-2,,
10:10.0,,,4-4,2,C. McCollum makes 2-pt shot from 1 ft
9:46.0,B. Griffin misses 2-pt shot from 20 ft,,4-4,,
9:44.0,,,4-4,,Defensive rebound by A. Aminu
9:37.0,,,4-4,,C. McCollum misses 3-pt shot from 25 ft
9:34.0,,,4-4,,Offensive rebound by M. Harkless
9:23.0,,,4-6,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
9:12.0,B. Griffin makes 2-pt shot from 19 ft,2,6-6,,
8:58.0,,,6-8,2,C. McCollum makes 2-pt shot from 21 ft (assist by D. Lillard)
8:45.0,A. Drummond misses 2-pt shot at rim,,6-8,,
8:43.0,,,6-8,,Defensive rebound by D. Lillard
8:29.0,,,6-10,2,M. Harkless makes 2-pt shot at rim
8:23.0,Shooting foul by J. Nurkic (drawn by J. Ennis),,6-10,,
8:23.0,J. Ennis misses free throw 1 of 2,,6-10,,
8:23.0,Offensive rebound by Team,,6-10,,
8:23.0,,,6-10,,M. Leonard enters the game for J. Nurkic
8:23.0,J. Ennis makes free throw 2 of 2,1,7-10,,
8:01.0,,,7-10,,A. Aminu misses 2-pt shot at rim
7:59.0,Defensive rebound by A. Drummond,,7-10,,
7:45.0,B. Griffin makes 2-pt shot from 6 ft,2,9-10,,
7:31.0,Personal foul by A. Drummond (drawn by D. Lillard),,9-10,,
7:23.0,,,9-13,3,M. Harkless makes 3-pt shot from 26 ft (assist by C. McCollum)
7:03.0,R. Bullock misses 3-pt shot from 25 ft,,9-13,,
6:59.0,,,9-13,,Defensive rebound by M. Leonard
6:48.0,,,9-13,,A. Aminu misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by I. Smith,,9-13,,
6:39.0,B. Griffin misses 2-pt shot from 2 ft,,9-13,,
6:37.0,,,9-13,,Defensive rebound by A. Aminu
6:26.0,,,9-16,3,A. Aminu makes 3-pt shot from 23 ft (assist by M. Leonard)
6:19.0,Detroit full timeout,,9-16,,
6:07.0,,,9-16,,Personal foul by C. McCollum (drawn by B. Griffin)
6:00.0,I. Smith misses 2-pt shot from 15 ft,,9-16,,
5:58.0,,,9-16,,Defensive rebound by Team
5:35.0,,,9-18,2,M. Leonard makes 2-pt shot at rim (assist by D. Lillard)
5:11.0,B. Griffin misses 2-pt shot from 10 ft,,9-18,,
5:09.0,,,9-18,,Defensive rebound by A. Aminu
4:49.0,,,9-18,,C. McCollum misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by A. Drummond,,9-18,,
4:41.0,I. Smith misses 2-pt shot from 2 ft,,9-18,,
4:41.0,,,9-18,,Defensive rebound by A. Aminu
4:33.0,,,9-20,2,C. McCollum makes 2-pt shot from 14 ft (assist by M. Leonard)
4:12.0,I. Smith makes 3-pt shot from 24 ft (assist by R. Bullock),3,12-20,,
3:52.0,,,12-23,3,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard)
3:38.0,A. Drummond makes 2-pt shot from 7 ft (assist by R. Bullock),2,14-23,,
3:24.0,D. Buycks enters the game for A. Drummond,,14-23,,
3:24.0,S. Johnson enters the game for I. Smith,,14-23,,
3:24.0,A. Tolliver enters the game for J. Ennis,,14-23,,
3:24.0,,,14-23,,Portland full timeout
3:24.0,,,14-23,,P. Connaughton enters the game for C. McCollum
3:24.0,,,14-23,,E. Turner enters the game for M. Harkless
3:24.0,,,14-23,,Z. Collins enters the game for A. Aminu
3:24.0,,,14-23,,E. Davis enters the game for M. Leonard
3:14.0,,,14-23,,E. Turner misses 2-pt shot from 16 ft
3:11.0,,,14-23,,Offensive rebound by E. Davis
3:11.0,,,14-25,2,E. Davis makes 2-pt shot from 1 ft
3:11.0,,,14-25,,Shooting foul by S. Johnson (drawn by E. Davis)
3:11.0,,,14-26,1,E. Davis makes free throw 1 of 1
2:54.0,S. Johnson makes 2-pt shot from 5 ft (assist by D. Buycks),2,16-26,,
2:28.0,,,16-26,,P. Connaughton misses 2-pt shot from 8 ft
2:25.0,Defensive rebound by S. Johnson,,16-26,,
2:20.0,S. Johnson makes 2-pt shot at rim,2,18-26,,
2:02.0,,,18-29,3,D. Lillard makes 3-pt shot from 22 ft (assist by Z. Collins)
1:40.0,A. Tolliver misses 3-pt shot from 23 ft,,18-29,,
1:38.0,,,18-29,,Defensive rebound by E. Turner
1:31.0,,,18-29,,E. Turner misses 2-pt shot from 4 ft
1:30.0,,,18-29,,Offensive rebound by Team
1:30.0,L. Kennard enters the game for B. Griffin,,18-29,,
1:30.0,A. Drummond enters the game for R. Bullock,,18-29,,
1:18.0,,,18-29,,D. Lillard misses 2-pt shot from 18 ft
1:15.0,Defensive rebound by A. Drummond,,18-29,,
1:07.0,Shooting foul by E. Turner (drawn by A. Drummond),,18-29,,
1:07.0,A. Drummond makes free throw 1 of 2,1,19-29,,
1:07.0,A. Drummond makes free throw 2 of 2,1,20-29,,
0:52.0,,,20-29,,P. Connaughton misses 3-pt shot from 25 ft
0:50.0,,,20-29,,Offensive rebound by D. Lillard
0:42.0,,,20-29,,P. Connaughton misses 3-pt shot from 28 ft
0:39.0,Defensive rebound by A. Drummond,,20-29,,
0:24.0,D. Buycks misses 2-pt shot from 23 ft,,20-29,,
0:22.0,,,20-29,,Defensive rebound by Z. Collins
0:04.0,,,20-31,2,D. Lillard makes 2-pt shot from 1 ft
0:00.0,D. Buycks misses 3-pt shot from 25 ft (block by D. Lillard),,20-31,,
0:00.0,,,20-31,,Defensive rebound by E. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,20-33,2,Z. Collins makes 2-pt shot from 1 ft (assist by C. McCollum)
11:29.0,Turnover by L. Kennard (lost ball; steal by Z. Collins),,20-33,,
11:14.0,,,20-33,,C. McCollum misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by S. Johnson,,20-33,,
11:06.0,S. Johnson makes 2-pt shot from 2 ft,2,22-33,,
10:46.0,,,22-33,,Z. Collins misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by A. Drummond,,22-33,,
10:31.0,L. Kennard misses 2-pt shot from 19 ft,,22-33,,
10:29.0,,,22-33,,Defensive rebound by E. Davis
10:22.0,,,22-35,2,E. Davis makes 2-pt shot from 1 ft (assist by S. Napier)
10:22.0,,,22-35,,Shooting foul by A. Drummond (drawn by E. Davis)
10:22.0,I. Smith enters the game for D. Buycks,,22-35,,
10:22.0,,,22-35,,E. Davis misses free throw 1 of 1
10:20.0,Defensive rebound by A. Drummond,,22-35,,
10:05.0,Turnover by S. Johnson (bad pass; steal by S. Napier),,22-35,,
10:00.0,,,22-35,,Turnover by C. McCollum (lost ball; steal by L. Kennard)
9:56.0,,,22-35,,Personal foul by S. Napier (drawn by I. Smith)
9:47.0,Turnover by I. Smith (out of bounds lost ball),,22-35,,
9:40.0,Personal foul by S. Johnson (drawn by E. Turner),,22-35,,
9:40.0,J. Ennis enters the game for A. Drummond,,22-35,,
9:40.0,B. Griffin enters the game for S. Johnson,,22-35,,
9:25.0,,,22-35,,Turnover by S. Napier (lost ball; steal by I. Smith)
9:20.0,Shooting foul by Z. Collins (drawn by A. Tolliver),,22-35,,
9:20.0,A. Tolliver makes free throw 1 of 2,1,23-35,,
9:20.0,A. Tolliver makes free throw 2 of 2,1,24-35,,
9:10.0,,,24-35,,Turnover by C. McCollum (step out of bounds)
8:58.0,I. Smith misses 2-pt shot from 2 ft,,24-35,,
8:57.0,,,24-35,,Defensive rebound by S. Napier
8:50.0,,,24-35,,S. Napier misses 2-pt shot from 22 ft
8:47.0,Defensive rebound by J. Ennis,,24-35,,
8:43.0,L. Kennard makes 3-pt shot from 26 ft (assist by J. Ennis),3,27-35,,
8:21.0,,,27-35,,Z. Collins misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by L. Kennard,,27-35,,
8:03.0,B. Griffin makes 2-pt shot at rim (assist by L. Kennard),2,29-35,,
8:03.0,,,29-35,,Portland full timeout
7:45.0,,,29-37,2,E. Turner makes 2-pt shot from 2 ft
7:45.0,,,29-37,,Shooting foul by A. Tolliver (drawn by E. Turner)
7:45.0,,,29-38,1,E. Turner makes free throw 1 of 1
7:31.0,L. Kennard misses 2-pt shot from 15 ft,,29-38,,
7:30.0,Offensive rebound by Team,,29-38,,
7:30.0,,,29-38,,Loose ball foul by E. Turner (drawn by J. Ennis)
7:17.0,Shooting foul by E. Davis (drawn by A. Tolliver),,29-38,,
7:17.0,A. Tolliver makes free throw 1 of 2,1,30-38,,
7:17.0,,,30-38,,A. Aminu enters the game for E. Davis
7:17.0,,,30-38,,J. Nurkic enters the game for Z. Collins
7:17.0,A. Tolliver misses free throw 2 of 2,,30-38,,
7:15.0,,,30-38,,Defensive rebound by A. Aminu
7:01.0,,,30-38,,S. Napier misses 3-pt shot from 23 ft
7:01.0,,,30-38,,Offensive rebound by Team
