time,Golden State,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. Z. Pachulia (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. Z. Pachulia (G. Antetokounmpo gains possession)
11:50.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
11:32.0,P. McCaw makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,2-2,,
11:32.0,,,2-2,,Violation by G. Antetokounmpo (def goaltending)
11:17.0,,,2-2,,K. Middleton misses 3-pt shot from 27 ft
11:13.0,Defensive rebound by K. Thompson,,2-2,,
11:07.0,K. Durant misses 3-pt shot from 23 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by J. Henson
11:04.0,,,2-2,,Shooting foul by K. Thompson (drawn by K. Middleton)
11:04.0,,,2-3,1,K. Middleton makes free throw 1 of 2
11:04.0,,,2-4,1,K. Middleton makes free throw 2 of 2
10:48.0,D. Green misses 3-pt shot from 28 ft,,2-4,,
10:45.0,,,2-4,,Defensive rebound by J. Henson
10:37.0,,,2-7,3,E. Bledsoe makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
10:14.0,P. McCaw misses 2-pt shot from 18 ft,,2-7,,
10:12.0,,,2-7,,Defensive rebound by K. Middleton
10:05.0,,,2-7,,E. Bledsoe misses 2-pt shot from 18 ft
10:03.0,Defensive rebound by Z. Pachulia,,2-7,,
9:57.0,K. Durant makes 2-pt shot from 5 ft (assist by K. Thompson),2,4-7,,
9:32.0,,,4-7,,Turnover by M. Brogdon (bad pass; steal by D. Green)
9:27.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,6-7,,
9:08.0,,,6-9,2,G. Antetokounmpo makes 2-pt shot from 2 ft
9:04.0,K. Durant makes 3-pt shot from 27 ft (assist by D. Green),3,9-9,,
8:54.0,,,9-9,,Shooting foul by Z. Pachulia (drawn by J. Henson)
8:54.0,,,9-10,1,J. Henson makes free throw 1 of 2
8:54.0,,,9-11,1,J. Henson makes free throw 2 of 2
8:39.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by K. Durant),2,11-11,,
8:29.0,,,11-11,,Shooting foul by K. Durant (drawn by G. Antetokounmpo)
8:29.0,,,11-12,1,G. Antetokounmpo makes free throw 1 of 2
8:29.0,,,11-13,1,G. Antetokounmpo makes free throw 2 of 2
8:16.0,D. Green misses 2-pt shot from 15 ft,,11-13,,
8:14.0,,,11-13,,Defensive rebound by G. Antetokounmpo
8:09.0,,,11-13,,Turnover by G. Antetokounmpo (bad pass; steal by P. McCaw)
8:02.0,K. Thompson misses 3-pt shot from 22 ft,,11-13,,
7:58.0,,,11-13,,Defensive rebound by G. Antetokounmpo
7:55.0,,,11-13,,E. Bledsoe misses 2-pt shot from 20 ft
7:52.0,Defensive rebound by Z. Pachulia,,11-13,,
7:44.0,K. Thompson makes 2-pt shot from 17 ft (assist by P. McCaw),2,13-13,,
7:17.0,,,13-15,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
7:08.0,,,13-15,,Personal foul by G. Antetokounmpo (drawn by K. Durant)
6:58.0,P. McCaw misses 2-pt shot from 16 ft,,13-15,,
6:55.0,,,13-15,,Defensive rebound by J. Henson
6:44.0,,,13-15,,K. Middleton misses 2-pt shot from 10 ft
6:38.0,,,13-15,,Offensive rebound by J. Henson
6:38.0,,,13-15,,J. Henson misses 2-pt shot at rim
6:37.0,,,13-15,,Offensive rebound by G. Antetokounmpo
6:28.0,,,13-15,,M. Brogdon misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by D. Green,,13-15,,
6:18.0,,,13-15,,Milwaukee full timeout
6:18.0,,,13-15,,T. Snell enters the game for G. Antetokounmpo
6:16.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,15-15,,
6:03.0,,,15-17,2,E. Bledsoe makes 2-pt shot at rim
5:37.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by P. McCaw),2,17-17,,
5:21.0,,,17-17,,E. Bledsoe misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by P. McCaw,,17-17,,
5:13.0,Turnover by K. Durant (bad pass; steal by E. Bledsoe),,17-17,,
5:06.0,,,17-19,2,K. Middleton makes 2-pt shot from 2 ft (assist by M. Brogdon)
4:58.0,,,17-19,,Personal foul by K. Middleton (drawn by D. Green)
4:58.0,K. Looney enters the game for D. Green,,17-19,,
4:58.0,A. Iguodala enters the game for Z. Pachulia,,17-19,,
4:58.0,,,17-19,,T. Maker enters the game for J. Henson
