time,Dallas,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. S. Mejri (J. Teague gains possession),,,,Jump ball: K. Towns vs. S. Mejri (J. Teague gains possession)
11:43.0,,,0-0,,Turnover by J. Teague (out of bounds lost ball)
11:26.0,D. Nowitzki misses 2-pt shot from 16 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by J. Butler
11:16.0,,,0-0,,K. Towns misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by D. Smith,,0-0,,
10:59.0,H. Barnes misses 2-pt shot from 20 ft,,0-0,,
10:53.0,Offensive rebound by S. Mejri,,0-0,,
10:53.0,S. Mejri misses 2-pt shot at rim,,0-0,,
10:52.0,,,0-0,,Defensive rebound by J. Butler
10:49.0,,,0-0,,J. Butler misses 2-pt shot from 16 ft
10:47.0,Defensive rebound by D. Smith,,0-0,,
10:43.0,D. Smith misses 2-pt shot from 22 ft,,0-0,,
10:39.0,,,0-0,,Defensive rebound by J. Butler
10:31.0,,,0-0,,Turnover by J. Teague (bad pass; steal by D. Nowitzki)
10:25.0,H. Barnes makes 2-pt shot from 3 ft (assist by W. Matthews),2,2-0,,
10:09.0,Personal foul by S. Mejri (drawn by K. Towns),,2-0,,
10:00.0,,,2-2,2,A. Wiggins makes 2-pt shot from 6 ft (assist by J. Teague)
9:38.0,W. Matthews misses 2-pt shot from 19 ft,,2-2,,
9:36.0,,,2-2,,Defensive rebound by Team
9:22.0,,,2-2,,A. Wiggins misses 2-pt shot from 14 ft
9:19.0,Defensive rebound by D. Nowitzki,,2-2,,
9:01.0,D. Smith makes 2-pt shot from 1 ft,2,4-2,,
8:52.0,,,4-5,3,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague)
8:37.0,Turnover by D. Smith (out of bounds lost ball),,4-5,,
8:37.0,Y. Ferrell enters the game for D. Nowitzki,,4-5,,
8:25.0,,,4-5,,Shooting foul by S. Mejri (drawn by K. Towns)
8:25.0,,,4-6,1,K. Towns makes free throw 1 of 2
8:25.0,N. Noel enters the game for S. Mejri,,4-6,,
8:25.0,,,4-7,1,K. Towns makes free throw 2 of 2
