time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: M. Kleber vs. T. Chandler (M. Chriss gains possession)
11:39.0,,,0-0,,Violation by M. Kleber (kicked ball)
11:32.0,T. Chandler misses 2-pt shot from 1 ft (block by M. Kleber),,0-0,,
11:30.0,,,0-0,,Defensive rebound by W. Matthews
11:19.0,,,0-3,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by Y. Ferrell)
11:05.0,J. Jackson misses 2-pt shot from 19 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by M. Kleber
10:57.0,,,0-3,,Y. Ferrell misses 2-pt shot from 17 ft
10:57.0,Defensive rebound by T. Ulis,,0-3,,
10:48.0,T. Ulis misses 2-pt shot from 2 ft,,0-3,,
10:48.0,Offensive rebound by J. Jackson,,0-3,,
10:43.0,J. Jackson misses 2-pt shot at rim,,0-3,,
10:42.0,,,0-3,,Defensive rebound by W. Matthews
10:32.0,,,0-3,,M. Kleber misses 3-pt shot from 22 ft
10:28.0,Defensive rebound by J. Jackson,,0-3,,
10:15.0,T. Chandler makes 2-pt shot at rim (assist by T. Ulis),2,2-3,,
9:54.0,,,2-3,,H. Barnes misses 2-pt shot from 2 ft
9:52.0,Defensive rebound by T. Chandler,,2-3,,
9:47.0,J. Jackson misses 3-pt shot from 22 ft,,2-3,,
9:47.0,,,2-3,,Defensive rebound by M. Kleber
9:29.0,,,2-3,,Turnover by W. Matthews (lost ball; steal by J. Jackson)
9:26.0,J. Jackson makes 2-pt shot at rim,2,4-3,,
9:10.0,,,4-3,,M. Kleber misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by M. Chriss,,4-3,,
9:08.0,,,4-3,,Personal take foul by D. Nowitzki (drawn by T. Warren)
9:04.0,T. Warren misses 2-pt shot from 17 ft,,4-3,,
9:00.0,,,4-3,,Defensive rebound by D. Nowitzki
8:52.0,,,4-3,,Shooting foul by T. Chandler (drawn by Y. Ferrell)
8:52.0,,,4-4,1,Y. Ferrell makes free throw 1 of 2
8:52.0,,,4-5,1,Y. Ferrell makes free throw 2 of 2
8:39.0,J. Jackson misses 2-pt shot from 14 ft,,4-5,,
8:36.0,,,4-5,,Defensive rebound by Y. Ferrell
8:25.0,,,4-8,3,W. Matthews makes 3-pt shot from 24 ft (assist by M. Kleber)
8:14.0,T. Chandler makes 2-pt shot from 13 ft (assist by T. Warren),2,6-8,,
7:59.0,,,6-8,,Turnover by Y. Ferrell (bad pass; steal by T. Warren)
7:55.0,T. Warren makes 2-pt shot from 2 ft,2,8-8,,
7:41.0,,,8-10,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Nowitzki)
7:32.0,M. Chriss misses 2-pt shot from 10 ft,,8-10,,
7:32.0,,,8-10,,Defensive rebound by W. Matthews
7:21.0,,,8-10,,Turnover by H. Barnes (lost ball; steal by T. Ulis)
7:21.0,,,8-10,,S. Mejri enters the game for D. Nowitzki
7:04.0,M. Chriss makes 2-pt shot from 2 ft,2,10-10,,
6:51.0,,,10-10,,H. Barnes misses 2-pt shot from 15 ft
6:46.0,,,10-10,,Offensive rebound by S. Mejri
6:46.0,,,10-10,,S. Mejri misses 2-pt shot at rim
6:45.0,Defensive rebound by T. Chandler,,10-10,,
6:41.0,T. Chandler misses 2-pt shot from 2 ft,,10-10,,
6:38.0,Offensive rebound by M. Chriss,,10-10,,
6:38.0,M. Chriss misses 2-pt shot from 11 ft,,10-10,,
6:38.0,,,10-10,,Defensive rebound by H. Barnes
6:38.0,,,10-10,,Dallas full timeout
6:23.0,,,10-10,,H. Barnes misses 2-pt shot from 7 ft
