time,Dallas,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. H. Barnes (D. Favors gains possession),,,,Jump ball: R. Gobert vs. H. Barnes (D. Favors gains possession)
11:45.0,,,0-2,2,D. Mitchell makes 2-pt shot from 5 ft
11:45.0,,,0-2,,Shooting foul by D. Smith (drawn by D. Mitchell)
11:45.0,,,0-3,1,D. Mitchell makes free throw 1 of 1
11:34.0,D. Nowitzki misses 2-pt shot from 19 ft,,0-3,,
11:31.0,,,0-3,,Defensive rebound by D. Favors
11:20.0,,,0-5,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
11:04.0,H. Barnes makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,2-5,,
11:04.0,Shooting foul by D. Favors (drawn by H. Barnes),,2-5,,
11:04.0,H. Barnes makes free throw 1 of 1,1,3-5,,
10:52.0,,,3-5,,Turnover by R. Rubio (traveling)
10:44.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea),2,5-5,,
10:30.0,,,5-8,3,R. Rubio makes 3-pt shot from 25 ft (assist by D. Favors)
10:16.0,D. Nowitzki misses 3-pt shot from 26 ft,,5-8,,
10:13.0,Offensive rebound by D. Smith,,5-8,,
10:11.0,D. Smith misses 2-pt shot from 19 ft,,5-8,,
10:06.0,,,5-8,,Defensive rebound by R. Gobert
9:57.0,,,5-8,,R. Rubio misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by H. Barnes,,5-8,,
9:49.0,H. Barnes misses 3-pt shot from 25 ft,,5-8,,
9:47.0,,,5-8,,Defensive rebound by R. Gobert
9:36.0,,,5-10,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Gobert)
9:22.0,J. Barea makes 2-pt shot from 2 ft,2,7-10,,
9:09.0,,,7-13,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio)
8:49.0,J. Barea misses 2-pt shot from 13 ft,,7-13,,
8:48.0,,,7-13,,Defensive rebound by D. Favors
8:42.0,,,7-13,,R. Rubio misses 2-pt shot from 11 ft
8:38.0,Defensive rebound by H. Barnes,,7-13,,
8:18.0,Turnover by J. Barea (lost ball; steal by D. Mitchell),,7-13,,
8:12.0,,,7-15,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
8:12.0,Dallas full timeout,,7-15,,
7:59.0,D. Smith misses 3-pt shot from 24 ft,,7-15,,
