time,Charlotte,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (K. Walker gains possession),,,,Jump ball: T. Chandler vs. D. Howard (K. Walker gains possession)
11:43.0,F. Kaminsky misses 2-pt shot from 13 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Booker
11:24.0,,,0-2,2,D. Bender makes 2-pt shot from 3 ft
11:04.0,K. Walker makes 2-pt shot from 17 ft,2,2-2,,
10:38.0,,,2-2,,D. Booker misses 2-pt shot from 15 ft
10:35.0,Defensive rebound by M. Kidd-Gilchrist,,2-2,,
10:30.0,K. Walker misses 3-pt shot from 25 ft,,2-2,,
10:26.0,,,2-2,,Defensive rebound by D. Booker
10:24.0,,,2-2,,Offensive charge foul by J. Jackson (drawn by K. Walker)
10:24.0,,,2-2,,Turnover by J. Jackson (offensive foul)
10:13.0,K. Walker misses 3-pt shot from 24 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by T. Chandler
10:06.0,,,2-4,2,J. Jackson makes 2-pt shot at rim (assist by D. Booker)
9:50.0,N. Batum makes 2-pt shot from 17 ft,2,4-4,,
9:37.0,Personal foul by D. Howard (drawn by T. Warren),,4-4,,
9:33.0,,,4-4,,D. Booker misses 2-pt shot at rim
9:31.0,Defensive rebound by D. Howard,,4-4,,
9:26.0,N. Batum misses 3-pt shot from 24 ft,,4-4,,
9:26.0,Offensive rebound by M. Kidd-Gilchrist,,4-4,,
9:10.0,N. Batum makes 2-pt shot from 11 ft,2,6-4,,
8:52.0,,,6-6,2,J. Jackson makes 2-pt shot from 1 ft (assist by D. Booker)
8:40.0,D. Howard makes 2-pt shot from 12 ft (assist by N. Batum),2,8-6,,
8:24.0,,,8-9,3,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker)
8:13.0,,,8-9,,Personal foul by J. Jackson (drawn by N. Batum)
8:13.0,,,8-9,,T. Daniels enters the game for J. Jackson
8:02.0,Shooting foul by D. Bender (drawn by F. Kaminsky),,8-9,,
8:02.0,F. Kaminsky makes free throw 1 of 2,1,9-9,,
8:02.0,F. Kaminsky makes free throw 2 of 2,1,10-9,,
7:49.0,,,10-12,3,D. Bender makes 3-pt shot from 24 ft (assist by T. Daniels)
7:29.0,F. Kaminsky misses 3-pt shot from 24 ft,,10-12,,
7:26.0,,,10-12,,Defensive rebound by T. Chandler
7:16.0,,,10-12,,T. Warren misses 2-pt shot from 9 ft (block by D. Howard)
7:15.0,,,10-12,,Offensive rebound by Team
7:11.0,,,10-12,,Offensive foul by T. Chandler (drawn by M. Kidd-Gilchrist)
7:11.0,,,10-12,,Turnover by T. Chandler (offensive foul)
6:56.0,,,10-12,,Def 3 sec tech foul by T. Daniels
6:56.0,,,10-12,,Phoenix full timeout
6:56.0,N. Batum makes technical free throw,1,11-12,,
6:49.0,F. Kaminsky misses 3-pt shot from 24 ft,,11-12,,
6:46.0,,,11-12,,Defensive rebound by T. Daniels
6:29.0,,,11-14,2,T. Warren makes 2-pt shot from 11 ft (assist by T. Chandler)
6:29.0,Violation by D. Howard (def goaltending),,11-14,,
6:19.0,D. Howard misses 2-pt shot at rim,,11-14,,
6:19.0,,,11-14,,Defensive rebound by T. Chandler
6:14.0,,,11-16,2,T. Warren makes 2-pt shot from 8 ft (assist by D. Booker)
6:01.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft,2,13-16,,
5:42.0,,,13-18,2,T. Warren makes 2-pt shot from 18 ft (assist by T. Chandler)
5:28.0,N. Batum makes 2-pt shot from 14 ft,2,15-18,,
5:19.0,,,15-20,2,D. Booker makes 2-pt shot from 1 ft
5:02.0,D. Howard misses 2-pt shot from 13 ft,,15-20,,
5:00.0,,,15-20,,Defensive rebound by T. Chandler
4:51.0,,,15-20,,D. Booker misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by D. Howard,,15-20,,
4:35.0,D. Howard makes 2-pt shot from 1 ft,2,17-20,,
4:35.0,Shooting foul by D. Bender (drawn by D. Howard),,17-20,,
4:35.0,,,17-20,,J. Dudley enters the game for T. Chandler
4:35.0,,,17-20,,A. Len enters the game for D. Bender
4:35.0,T. Graham enters the game for F. Kaminsky,,17-20,,
4:35.0,D. Howard misses free throw 1 of 1,,17-20,,
4:32.0,,,17-20,,Defensive rebound by A. Len
4:22.0,,,17-23,3,T. Daniels makes 3-pt shot from 31 ft (assist by J. Dudley)
4:03.0,D. Howard misses 2-pt shot from 2 ft,,17-23,,
4:01.0,Offensive rebound by M. Kidd-Gilchrist,,17-23,,
4:00.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,20-23,,
3:45.0,,,20-23,,A. Len misses 2-pt shot from 20 ft
3:44.0,Defensive rebound by M. Kidd-Gilchrist,,20-23,,
3:39.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,20-23,,
3:36.0,,,20-23,,Defensive rebound by T. Daniels
3:30.0,,,20-26,3,T. Daniels makes 3-pt shot from 25 ft (assist by A. Len)
3:04.0,N. Batum misses 2-pt shot from 20 ft,,20-26,,
3:01.0,,,20-26,,Defensive rebound by D. Booker
2:53.0,,,20-26,,D. Booker misses 2-pt shot from 10 ft
2:52.0,Defensive rebound by D. Howard,,20-26,,
2:46.0,K. Walker misses 3-pt shot from 24 ft,,20-26,,
2:44.0,Offensive rebound by M. Kidd-Gilchrist,,20-26,,
2:34.0,D. Howard makes 2-pt shot at rim (assist by N. Batum),2,22-26,,
2:22.0,Personal foul by T. Graham (drawn by D. Booker),,22-26,,
2:22.0,Charlotte full timeout,,22-26,,
2:22.0,,,22-26,,T. Ulis enters the game for D. Booker
2:22.0,M. Carter-Williams enters the game for M. Kidd-Gilchrist,,22-26,,
2:22.0,J. Lamb enters the game for K. Walker,,22-26,,
2:19.0,Personal foul by J. Lamb (drawn by T. Daniels),,22-26,,
2:10.0,,,22-29,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Ulis)
1:47.0,J. Lamb misses 3-pt shot from 24 ft,,22-29,,
1:43.0,,,22-29,,Defensive rebound by A. Len
1:37.0,,,22-29,,T. Daniels misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by J. Lamb,,22-29,,
1:24.0,Turnover by N. Batum (bad pass),,22-29,,
1:24.0,C. Zeller enters the game for D. Howard,,22-29,,
1:03.0,,,22-31,2,T. Ulis makes 2-pt shot from 19 ft
0:42.0,N. Batum makes 3-pt shot from 25 ft,3,25-31,,
0:27.0,,,25-31,,T. Ulis misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by C. Zeller,,25-31,,
0:07.0,Offensive foul by C. Zeller (drawn by T. Warren),,25-31,,
0:07.0,Turnover by C. Zeller (offensive foul),,25-31,,
0:02.0,,,25-31,,Turnover by T. Daniels (step out of bounds)
0:01.0,J. Lamb misses 3-pt shot from 48 ft,,25-31,,
0:00.0,Offensive rebound by Team,,25-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-33,2,A. Len makes 2-pt shot at rim (assist by T. Ulis)
11:20.0,Jump ball: T. Ulis vs. M. Carter-Williams (J. Lamb gains possession),,,,Jump ball: T. Ulis vs. M. Carter-Williams (J. Lamb gains possession)
11:18.0,J. Lamb misses 3-pt shot from 25 ft,,25-33,,
11:16.0,Offensive rebound by F. Kaminsky,,25-33,,
11:16.0,,,25-33,,Loose ball foul by A. Len (drawn by F. Kaminsky)
11:08.0,,,25-33,,Personal foul by T. Ulis (drawn by M. Carter-Williams)
11:01.0,Shooting foul by A. Len (drawn by J. Lamb),,25-33,,
11:01.0,J. Lamb makes free throw 1 of 2,1,26-33,,
11:01.0,J. Lamb makes free throw 2 of 2,1,27-33,,
10:54.0,,,27-33,,T. Daniels misses 3-pt shot from 27 ft
10:51.0,Defensive rebound by M. Carter-Williams,,27-33,,
10:41.0,,,27-33,,Personal foul by T. Ulis (drawn by J. Lamb)
10:26.0,M. Carter-Williams misses 2-pt shot from 20 ft,,27-33,,
10:24.0,Offensive rebound by Team,,27-33,,
10:24.0,,,27-33,,Loose ball foul by A. Len (drawn by C. Zeller)
10:24.0,C. Zeller makes free throw 1 of 2,1,28-33,,
10:24.0,,,28-33,,T. Chandler enters the game for A. Len
10:24.0,C. Zeller makes free throw 2 of 2,1,29-33,,
10:12.0,Personal foul by C. Zeller (drawn by T. Ulis),,29-33,,
10:08.0,,,29-35,2,D. House makes 2-pt shot at rim (assist by J. Dudley)
10:08.0,,,29-35,,Shooting foul by C. Zeller (drawn by D. House)
10:08.0,D. Howard enters the game for C. Zeller,,29-35,,
10:08.0,,,29-36,1,D. House makes free throw 1 of 1
9:46.0,J. Lamb makes 3-pt shot from 28 ft (assist by M. Carter-Williams),3,32-36,,
9:37.0,,,32-38,2,T. Chandler makes 2-pt shot at rim (assist by T. Ulis)
9:37.0,,,32-38,,Shooting foul by F. Kaminsky (drawn by T. Chandler)
9:37.0,Charlotte full timeout,,32-38,,
9:37.0,,,32-39,1,T. Chandler makes free throw 1 of 1
9:20.0,D. Howard misses 2-pt shot from 7 ft,,32-39,,
9:18.0,,,32-39,,Defensive rebound by D. House
9:01.0,,,32-39,,T. Daniels misses 3-pt shot from 26 ft (block by J. Lamb)
8:56.0,Defensive rebound by D. Howard,,32-39,,
8:48.0,D. Howard makes 2-pt shot from 18 ft (assist by J. Lamb),2,34-39,,
8:28.0,,,34-39,,T. Daniels misses 2-pt shot at rim
8:27.0,Defensive rebound by F. Kaminsky,,34-39,,
8:19.0,D. Howard misses 2-pt shot from 16 ft,,34-39,,
8:15.0,,,34-39,,Defensive rebound by D. House
7:58.0,,,34-39,,T. Ulis misses 2-pt shot from 12 ft (block by D. Howard)
7:55.0,Defensive rebound by D. Howard,,34-39,,
7:49.0,F. Kaminsky misses 2-pt shot from 1 ft (block by D. House),,34-39,,
7:47.0,Offensive rebound by D. Howard,,34-39,,
7:46.0,D. Howard makes 2-pt shot at rim,2,36-39,,
7:22.0,,,36-39,,T. Ulis misses 2-pt shot from 13 ft
7:19.0,Defensive rebound by D. Howard,,36-39,,
7:11.0,Turnover by J. Lamb (step out of bounds),,36-39,,
7:11.0,,,36-39,,D. Booker enters the game for T. Ulis
7:11.0,,,36-39,,J. Jackson enters the game for D. House
7:11.0,,,36-39,,T. Warren enters the game for T. Daniels
7:11.0,K. Walker enters the game for M. Kidd-Gilchrist,,36-39,,
7:00.0,,,36-39,,T. Warren misses 2-pt shot from 9 ft (block by J. Lamb)
6:59.0,,,36-39,,Offensive rebound by T. Chandler
6:55.0,,,36-39,,D. Booker misses 2-pt shot from 12 ft (block by D. Howard)
6:53.0,Defensive rebound by F. Kaminsky,,36-39,,
6:46.0,Turnover by F. Kaminsky (bad pass; steal by T. Warren),,36-39,,
6:40.0,,,36-39,,J. Dudley misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by J. Lamb,,36-39,,
6:17.0,J. Lamb misses 3-pt shot from 24 ft,,36-39,,
6:14.0,,,36-39,,Defensive rebound by J. Jackson
6:03.0,,,36-39,,Turnover by D. Booker (bad pass; steal by M. Carter-Williams)
6:00.0,F. Kaminsky makes 2-pt shot at rim (assist by D. Howard),2,38-39,,
5:58.0,,,38-39,,Phoenix full timeout
5:58.0,,,38-39,,D. Bender enters the game for J. Dudley
5:58.0,N. Batum enters the game for J. Lamb,,38-39,,
5:58.0,T. Graham enters the game for F. Kaminsky,,38-39,,
5:50.0,Personal foul by N. Batum (drawn by T. Warren),,38-39,,
5:44.0,,,38-41,2,D. Booker makes 2-pt shot from 19 ft
5:24.0,T. Graham misses 2-pt shot at rim,,38-41,,
5:19.0,Offensive rebound by T. Graham,,38-41,,
5:19.0,T. Graham makes 2-pt shot at rim,2,40-41,,
5:13.0,,,40-41,,Turnover by D. Booker (lost ball; steal by M. Carter-Williams)
5:11.0,,,40-41,,Personal foul by D. Booker (drawn by D. Howard)
5:11.0,D. Howard makes free throw 1 of 2,1,41-41,,
5:11.0,D. Howard makes free throw 2 of 2,1,42-41,,
4:58.0,,,42-41,,T. Chandler misses 2-pt shot from 2 ft (block by K. Walker)
4:58.0,,,42-41,,Offensive rebound by Team
4:58.0,Personal foul by N. Batum (drawn by T. Warren),,42-41,,
4:58.0,,,42-42,1,T. Warren makes free throw 1 of 2
4:58.0,,,42-43,1,T. Warren makes free throw 2 of 2
4:35.0,Jump ball: T. Warren vs. K. Walker (T. Chandler gains possession),,,,Jump ball: T. Warren vs. K. Walker (T. Chandler gains possession)
4:35.0,Turnover by K. Walker (turnover; steal by T. Warren),,42-43,,
4:28.0,,,42-46,3,J. Jackson makes 3-pt shot from 25 ft (assist by D. Booker)
4:10.0,K. Walker makes 2-pt shot from 18 ft,2,44-46,,
3:53.0,,,44-49,3,J. Jackson makes 3-pt shot from 22 ft (assist by D. Booker)
3:29.0,K. Walker misses 3-pt shot from 25 ft,,44-49,,
3:25.0,,,44-49,,Defensive rebound by T. Warren
3:19.0,,,44-51,2,T. Warren makes 2-pt shot from 10 ft
3:19.0,,,44-51,,Shooting foul by T. Graham (drawn by T. Warren)
3:19.0,F. Kaminsky enters the game for M. Carter-Williams,,44-51,,
3:19.0,M. Kidd-Gilchrist enters the game for T. Graham,,44-51,,
3:19.0,,,44-52,1,T. Warren makes free throw 1 of 1
3:05.0,N. Batum misses 3-pt shot from 24 ft,,44-52,,
3:01.0,,,44-52,,Defensive rebound by D. Booker
2:55.0,,,44-52,,Turnover by D. Bender (bad pass; steal by D. Howard)
2:51.0,Shooting foul by D. Bender (drawn by D. Howard),,44-52,,
2:51.0,D. Howard makes free throw 1 of 2,1,45-52,,
2:51.0,,,45-52,,J. Dudley enters the game for D. Bender
2:51.0,D. Howard misses free throw 2 of 2,,45-52,,
2:51.0,,,45-52,,Defensive rebound by T. Chandler
2:46.0,,,45-54,2,T. Warren makes 2-pt shot from 17 ft
2:26.0,D. Howard misses 2-pt shot from 9 ft,,45-54,,
2:22.0,,,45-54,,Defensive rebound by J. Jackson
2:07.0,,,45-56,2,J. Jackson makes 2-pt shot from 5 ft
2:07.0,Charlotte full timeout,,45-56,,
2:07.0,J. Lamb enters the game for N. Batum,,45-56,,
1:53.0,J. Lamb makes 2-pt shot from 13 ft,2,47-56,,
1:29.0,,,47-56,,T. Warren misses 2-pt shot from 9 ft
1:27.0,Defensive rebound by J. Lamb,,47-56,,
1:20.0,J. Lamb misses 2-pt shot from 18 ft,,47-56,,
