time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:53.0,Jump ball: T. Maker vs. A. Horford (J. Brown gains possession),,,,Jump ball: T. Maker vs. A. Horford (J. Brown gains possession)
11:41.0,,,0-0,,Personal foul by T. Snell (drawn by D. Theis)
11:40.0,A. Horford misses 2-pt shot from 3 ft,,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:33.0,K. Irving misses 2-pt shot from 11 ft,,0-0,,
11:29.0,Offensive rebound by A. Horford,,0-0,,
11:25.0,K. Irving makes 2-pt shot from 20 ft (assist by A. Horford),2,2-0,,
11:18.0,,,2-2,2,K. Middleton makes 2-pt shot from 16 ft
11:06.0,Turnover by D. Theis (turnover),,2-2,,
10:54.0,,,2-2,,K. Middleton misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by K. Irving,,2-2,,
10:46.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving),2,4-2,,
10:33.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:18.0,J. Tatum misses 3-pt shot from 27 ft,,4-4,,
10:15.0,,,4-4,,Defensive rebound by T. Maker
10:08.0,,,4-7,3,T. Snell makes 3-pt shot from 26 ft (assist by T. Maker)
9:42.0,A. Horford makes 2-pt shot from 11 ft (assist by J. Tatum),2,6-7,,
9:14.0,,,6-7,,K. Middleton misses 2-pt shot from 10 ft
9:12.0,,,6-7,,Offensive rebound by T. Maker
9:11.0,,,6-7,,T. Maker misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by J. Brown,,6-7,,
8:58.0,Shooting foul by G. Antetokounmpo (drawn by K. Irving),,6-7,,
8:58.0,K. Irving makes free throw 1 of 2,1,7-7,,
8:58.0,K. Irving makes free throw 2 of 2,1,8-7,,
8:48.0,,,8-7,,T. Snell misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by J. Brown,,8-7,,
8:40.0,J. Tatum makes 3-pt shot from 26 ft (assist by A. Horford),3,11-7,,
8:40.0,,,11-7,,Technical foul by T. Snell (drawn by J. Tatum)
8:40.0,,,11-7,,Turnover by T. Snell (turnover)
8:40.0,,,11-7,,D. Liggins enters the game for T. Snell
8:40.0,J. Tatum makes free throw 1 of 1,1,12-7,,
8:32.0,Offensive foul by J. Tatum (drawn by M. Brogdon),,12-7,,
8:32.0,Turnover by J. Tatum (offensive foul),,12-7,,
8:20.0,,,12-7,,G. Antetokounmpo misses 2-pt shot from 15 ft
